open,high,low,close,date,volume
181.5,181.5,164.55,166.05,2022-09-23,94295
166.0,172.4,151.6,158.75,2022-09-26,218108
160.1,162.6,149.05,156.25,2022-09-27,194276
155.0,170.0,153.75,163.3,2022-09-28,145591
166.0,170.0,161.2,162.25,2022-09-29,77762
157.1,166.85,157.1,161.05,2022-09-30,73708
163.0,171.5,162.0,163.35,2022-10-03,118451
166.0,174.5,163.45,168.3,2022-10-04,204160
169.75,175.0,169.0,170.35,2022-10-06,70899
170.75,182.2,166.3,175.25,2022-10-07,186567
174.85,186.4,172.2,182.45,2022-10-10,278634
185.2,185.55,174.45,176.1,2022-10-11,119837
177.95,178.85,169.5,172.15,2022-10-12,72099
172.0,173.45,167.85,168.55,2022-10-13,54259
170.25,177.9,168.4,170.3,2022-10-14,28077
170.8,172.0,166.45,167.65,2022-10-17,40201
170.15,171.15,165.2,166.5,2022-10-18,42664
168.0,169.0,164.2,164.8,2022-10-19,39670
166.2,167.95,162.5,163.2,2022-10-20,43540
164.25,167.25,159.95,161.55,2022-10-21,44449
165.5,166.0,163.7,164.85,2022-10-24,11022
164.05,169.0,162.7,166.6,2022-10-25,56743
165.8,168.25,160.0,162.85,2022-10-27,44284
163.25,164.1,161.0,161.75,2022-10-28,27621
163.1,165.05,156.6,157.85,2022-10-31,54264
157.85,163.05,157.75,158.9,2022-11-01,44741
158.7,163.3,158.05,158.9,2022-11-02,41030
158.4,159.5,156.65,157.4,2022-11-03,36538
159.35,162.0,153.9,157.35,2022-11-04,84137
157.9,161.0,157.0,158.3,2022-11-07,30431
159.0,163.8,155.05,158.15,2022-11-09,74711
157.0,159.2,154.0,154.8,2022-11-10,43682
157.75,159.5,155.0,155.45,2022-11-11,36287
153.1,156.45,152.0,153.75,2022-11-14,44539
153.0,163.95,152.65,157.75,2022-11-15,76221
155.1,158.2,152.35,153.25,2022-11-16,38532
153.3,153.95,151.0,151.55,2022-11-17,32640
153.35,153.35,147.3,148.65,2022-11-18,47819
148.65,150.3,140.55,142.15,2022-11-21,87686
142.5,146.95,142.2,143.05,2022-11-22,39471
144.1,147.0,143.45,144.95,2022-11-23,19621
146.5,151.05,141.85,146.5,2022-11-24,65937
147.65,155.0,145.1,152.65,2022-11-25,103373
153.75,158.0,152.5,153.95,2022-11-28,143505
154.1,155.5,150.1,151.35,2022-11-29,26153
152.1,153.05,150.05,152.35,2022-11-30,25094
153.0,157.0,151.0,152.4,2022-12-01,66564
153.0,154.0,148.5,151.15,2022-12-02,84266
152.85,162.0,148.75,159.6,2022-12-05,289621
159.6,161.4,155.1,156.25,2022-12-06,68350
155.05,157.95,151.55,152.35,2022-12-07,41258
153.55,163.25,151.95,159.2,2022-12-08,214065
159.05,159.95,155.7,157.4,2022-12-09,74943
159.0,159.0,153.95,154.75,2022-12-12,76056
156.0,157.55,153.95,155.5,2022-12-13,54414
154.7,158.5,152.6,157.05,2022-12-14,115749
154.7,159.95,153.85,156.65,2022-12-15,142649
153.2,157.2,150.0,151.45,2022-12-16,112308
151.3,157.0,149.45,154.55,2022-12-19,79165
155.0,159.5,152.1,155.1,2022-12-20,102805
156.5,163.5,154.25,155.6,2022-12-21,251386
158.0,160.0,149.5,155.8,2022-12-22,124293
155.0,156.75,147.0,148.9,2022-12-23,175223
147.5,157.3,146.5,154.15,2022-12-26,103392
156.0,159.0,152.8,157.85,2022-12-27,66963
157.4,161.65,153.8,157.4,2022-12-28,134445
155.85,173.7,155.85,167.3,2022-12-29,916074
168.0,173.7,163.0,167.6,2022-12-30,281022
170.6,179.0,169.95,174.75,2023-01-02,388055
175.6,175.9,166.8,168.65,2023-01-03,166022
169.0,170.9,163.05,163.8,2023-01-04,110560
164.0,168.7,162.55,165.85,2023-01-05,74042
166.0,167.05,162.5,163.8,2023-01-06,73343
164.0,171.25,163.55,168.25,2023-01-09,86498
168.25,168.95,164.15,165.9,2023-01-10,131328
166.7,168.45,162.0,163.4,2023-01-11,88101
163.65,165.2,161.6,163.95,2023-01-12,163701
163.75,170.9,162.25,169.45,2023-01-13,92244
170.95,173.35,164.95,165.35,2023-01-16,76573
165.85,168.25,164.0,166.55,2023-01-17,107086
166.95,167.35,163.6,164.1,2023-01-18,82928
163.6,169.35,162.95,166.1,2023-01-19,82941
167.75,182.2,164.8,177.65,2023-01-20,520015
179.0,179.85,168.0,169.65,2023-01-23,309212
170.9,173.9,167.5,168.4,2023-01-24,80373
169.0,171.0,164.8,168.25,2023-01-25,82633
169.0,170.0,161.0,162.95,2023-01-27,115061
166.8,166.8,158.0,160.7,2023-01-30,141068
161.65,167.85,158.0,164.7,2023-01-31,204784
166.9,169.6,164.1,166.5,2023-02-01,144805
164.1,173.3,164.1,170.8,2023-02-02,105281
170.8,182.0,168.4,180.6,2023-02-03,340111
195.0,204.8,182.2,185.1,2023-02-06,661628
185.1,189.85,177.0,177.6,2023-02-07,204665
179.35,207.95,179.35,194.65,2023-02-08,2320258
194.05,202.0,190.2,192.85,2023-02-09,551841
192.35,201.75,189.2,198.7,2023-02-10,321128
199.9,216.7,195.85,207.5,2023-02-13,1300428
208.0,219.9,207.6,213.1,2023-02-14,742375
213.1,215.6,207.3,212.7,2023-02-15,290614
214.65,214.65,204.85,206.75,2023-02-16,216177
206.6,210.9,202.3,203.95,2023-02-17,157170
