open,high,low,close,date,volume
131.0,139.9,117.4,117.4,2023-07-10,737360
120.0,129.1,111.0,129.1,2023-07-11,465791
133.0,135.55,122.65,122.7,2023-07-12,434261
121.0,123.45,116.6,116.6,2023-07-13,43923
118.9,118.9,110.8,110.8,2023-07-14,57444
107.0,112.8,105.3,105.3,2023-07-17,79383
101.0,103.55,100.05,100.05,2023-07-18,32015
100.05,105.05,95.05,103.4,2023-07-19,76721
106.5,108.55,103.7,108.55,2023-07-20,35688
112.5,113.95,110.6,113.95,2023-07-21,28604
117.75,119.0,112.2,116.4,2023-07-24,17914
112.95,122.2,110.7,122.2,2023-07-25,55193
127.75,128.3,119.0,128.2,2023-07-26,55224
130.95,134.6,123.0,129.1,2023-07-27,23129
129.9,135.3,129.0,132.15,2023-07-28,19636
132.2,135.2,129.0,131.15,2023-07-31,6058
134.9,134.9,126.55,129.15,2023-08-01,5487
129.0,132.45,122.75,123.45,2023-08-02,6259
125.05,129.6,125.0,128.55,2023-08-03,6422
134.95,134.95,122.15,122.15,2023-08-04,76664
124.9,128.25,116.05,116.05,2023-08-07,308597
110.4,121.85,110.25,121.05,2023-08-08,353274
121.8,127.1,117.0,124.8,2023-08-09,100989
124.1,124.1,119.0,119.95,2023-08-10,27756
115.5,125.9,115.5,125.75,2023-08-11,63120
125.95,132.0,122.75,131.95,2023-08-14,83618
138.5,138.5,131.95,138.3,2023-08-16,205179
139.0,145.2,139.0,145.1,2023-08-17,136119
151.7,152.35,149.15,152.25,2023-08-18,119525
159.85,159.85,146.6,159.85,2023-08-21,158267
161.0,161.0,151.85,151.85,2023-08-22,113812
151.8,151.8,144.25,144.25,2023-08-23,26765
146.9,148.8,138.0,141.6,2023-12-18,91603
142.1,143.85,134.55,137.0,2023-12-19,17523
136.0,140.95,130.5,131.7,2023-12-20,37616
132.05,132.9,127.25,130.2,2023-12-21,32419
130.85,133.95,130.85,133.4,2023-12-22,91831
131.5,140.05,131.5,139.5,2023-12-26,24399
140.05,145.85,140.05,142.9,2023-12-27,15168
148.8,148.8,138.3,139.45,2023-12-28,27070
139.0,141.65,134.0,134.7,2023-12-29,22505
