open,high,low,close,date,volume
911.95,967.0,902.85,913.35,2022-09-29,12326
903.0,926.0,903.0,914.3,2022-09-30,22369
902.15,918.7,867.95,873.2,2022-10-03,14779
895.95,909.5,885.95,895.5,2022-10-04,11233
913.35,914.95,890.0,894.85,2022-10-06,6121
901.9,902.0,880.0,894.35,2022-10-07,21331
899.9,899.9,879.15,885.05,2022-10-10,5715
898.25,899.1,884.9,887.75,2022-10-11,4817
894.95,900.85,880.15,887.35,2022-10-12,28938
886.1,897.0,875.0,878.8,2022-10-13,7876
887.6,890.0,877.3,885.3,2022-10-14,7008
882.55,919.0,862.95,886.55,2022-10-17,21721
893.6,896.65,875.0,879.5,2022-10-18,6580
875.0,901.0,875.0,897.0,2022-10-19,11136
907.7,907.7,880.35,891.75,2022-10-20,15034
890.0,897.9,870.05,887.95,2022-10-21,6315
898.0,898.0,865.5,881.95,2022-10-24,2231
886.25,891.1,854.0,856.25,2022-10-25,15997
850.0,878.4,850.0,871.8,2022-10-27,7483
876.05,884.25,862.0,867.4,2022-10-28,6996
861.05,868.05,842.0,845.8,2022-10-31,9457
850.0,884.0,850.0,856.9,2022-11-01,20689
855.0,930.0,855.0,912.9,2022-11-02,25114
909.0,922.0,885.0,892.3,2022-11-03,15183
898.45,920.0,884.5,890.7,2022-11-04,20313
924.0,924.0,816.3,827.8,2022-11-07,49207
837.9,837.95,802.0,806.2,2022-11-09,33749
803.7,807.95,772.0,782.65,2022-11-10,21170
785.8,825.0,782.95,819.4,2022-11-11,42368
826.7,866.95,806.45,856.85,2022-11-14,84152
856.85,873.95,856.0,860.65,2022-11-15,28140
858.75,878.0,851.0,868.45,2022-11-16,31711
874.4,883.15,855.0,865.35,2022-11-17,10168
872.25,872.3,832.35,839.8,2022-11-18,6840
840.0,880.6,840.0,864.2,2022-11-21,16481
860.0,869.95,840.7,844.5,2022-11-22,7449
851.25,863.7,840.1,860.45,2022-11-23,10856
868.1,869.4,845.25,848.35,2022-11-24,5983
855.9,872.4,848.0,860.0,2022-11-25,9529
859.0,860.9,837.95,844.4,2022-11-28,5880
850.95,860.0,825.25,833.8,2022-11-29,5842
841.2,848.95,825.25,832.6,2022-11-30,6740
840.0,855.25,837.1,842.1,2022-12-01,9845
846.15,879.9,838.9,871.95,2022-12-02,14049
878.9,889.8,846.35,855.35,2022-12-05,8319
855.35,867.4,840.35,849.1,2022-12-06,7596
858.0,860.0,833.6,837.45,2022-12-07,4341
844.05,887.0,838.1,877.2,2022-12-08,41677
882.8,882.8,843.0,864.7,2022-12-09,14272
876.8,876.8,842.95,847.9,2022-12-12,6929
841.0,859.5,841.0,852.0,2022-12-13,3325
847.0,859.7,845.0,849.45,2022-12-14,5159
862.2,867.95,825.1,836.0,2022-12-15,12347
847.0,847.8,827.55,830.35,2022-12-16,10650
842.95,844.1,825.2,832.0,2022-12-19,7573
835.0,847.0,821.5,842.35,2022-12-20,10310
845.0,847.95,810.0,819.4,2022-12-21,17866
832.5,832.5,807.2,813.35,2022-12-22,41694
811.25,811.25,753.9,776.1,2022-12-23,16416
775.25,798.0,760.0,777.45,2022-12-26,14240
787.2,803.15,780.0,792.1,2022-12-27,9096
795.0,813.95,784.05,800.75,2022-12-28,9749
805.0,844.0,801.75,839.6,2022-12-29,21930
850.25,860.0,839.6,847.65,2022-12-30,13785
870.0,885.95,843.7,860.0,2023-01-02,34473
868.5,869.45,844.05,849.55,2023-01-03,10483
847.0,856.0,839.25,843.65,2023-01-04,20083
857.2,857.2,840.0,849.8,2023-01-05,7381
855.0,855.0,828.05,833.85,2023-01-06,7592
848.0,848.0,827.1,830.75,2023-01-09,5234
837.0,841.9,819.0,837.1,2023-01-10,5557
841.2,847.6,813.85,817.05,2023-01-11,12989
825.2,829.9,803.85,814.9,2023-01-12,12897
817.0,819.45,787.85,792.8,2023-01-13,15211
799.8,808.95,790.0,803.4,2023-01-16,9688
808.75,811.95,795.0,807.45,2023-01-17,4420
812.0,815.45,794.05,804.15,2023-01-18,9229
803.75,821.0,792.9,808.45,2023-01-19,23952
820.0,820.0,797.25,807.25,2023-01-20,7855
819.5,819.5,800.0,801.65,2023-01-23,5266
805.0,810.0,800.25,809.35,2023-01-24,3306
808.0,815.0,800.85,807.6,2023-01-25,5427
815.0,815.0,777.0,782.3,2023-01-27,13161
785.0,798.3,785.0,789.85,2023-01-30,4038
785.0,812.25,785.0,804.4,2023-01-31,19953
809.0,812.0,794.0,808.15,2023-02-01,12941
808.9,844.7,795.0,833.05,2023-02-02,33458
845.45,847.75,822.5,832.35,2023-02-03,10640
894.95,913.0,861.0,869.0,2023-02-06,104755
881.2,881.2,828.3,842.35,2023-02-07,18453
850.7,850.7,816.0,823.5,2023-02-08,20530
835.0,865.0,815.0,848.85,2023-02-09,39952
852.1,857.3,840.3,849.9,2023-02-10,10920
862.65,862.65,841.1,848.95,2023-02-13,26848
859.0,859.0,825.05,829.65,2023-02-14,11935
832.9,849.0,828.05,845.9,2023-02-15,8384
851.0,893.9,847.05,878.5,2023-02-16,37599
