open,high,low,close,date,volume
18.3,19.35,18.1,18.25,2022-09-23,45433
17.55,18.45,17.35,18.15,2022-09-26,33726
18.15,18.5,17.25,17.3,2022-09-27,46935
17.75,17.8,16.45,16.65,2022-09-28,36688
16.85,17.45,16.3,17.35,2022-09-29,18938
17.35,17.9,16.5,17.4,2022-09-30,55238
18.25,18.25,16.55,16.55,2022-10-03,19062
17.15,17.15,15.8,16.2,2022-10-04,51671
16.9,16.9,16.15,16.4,2022-10-06,21507
16.95,16.95,16.0,16.45,2022-10-07,112291
17.1,17.1,15.25,16.0,2022-10-10,20249
16.75,17.5,15.3,15.7,2022-10-11,43876
16.4,16.65,15.6,16.6,2022-10-12,51243
17.0,17.0,15.5,15.6,2022-10-13,22249
16.45,16.45,14.85,15.1,2022-10-14,77175
15.1,16.3,14.3,15.75,2022-10-17,43689
15.45,16.4,15.45,16.25,2022-10-18,15060
16.8,16.8,15.5,16.3,2022-10-19,28971
16.6,16.6,15.3,15.5,2022-10-20,51335
15.85,15.85,14.25,14.95,2022-10-21,105225
15.35,16.0,15.15,15.75,2022-10-24,30593
16.1,17.3,15.55,17.3,2022-10-25,146204
18.4,19.0,18.0,19.0,2022-10-27,99388
19.9,20.0,18.0,18.25,2022-10-28,183054
18.8,19.25,18.35,18.95,2022-10-31,45024
19.7,19.7,18.15,18.5,2022-11-01,21313
18.75,18.75,17.6,17.7,2022-11-02,27657
17.5,17.55,16.85,16.95,2022-11-03,27106
16.95,17.75,16.5,17.4,2022-11-04,44936
17.1,18.25,17.1,18.25,2022-11-07,46564
19.15,19.15,18.0,18.7,2022-11-09,127175
18.7,19.3,17.8,18.1,2022-11-10,42508
18.5,19.0,18.15,18.55,2022-11-11,89321
19.45,19.45,19.45,19.45,2022-11-14,88102
20.4,20.4,19.9,20.4,2022-11-15,75647
20.9,21.3,19.4,19.9,2022-11-16,198169
20.7,20.85,20.0,20.7,2022-11-17,121443
21.35,21.7,20.25,20.65,2022-11-18,85511
20.65,20.65,19.65,19.8,2022-11-21,23096
19.8,20.45,18.85,19.15,2022-11-22,45410
19.9,19.9,18.3,18.45,2022-11-23,47292
18.75,19.35,18.15,19.05,2022-11-24,27399
19.35,19.8,18.1,18.8,2022-11-25,78069
18.9,19.6,18.15,18.4,2022-11-28,62955
18.4,19.3,18.3,19.3,2022-11-29,53634
19.95,20.25,19.1,20.25,2022-11-30,124499
21.25,21.25,20.3,21.25,2022-12-01,192038
22.0,22.25,20.5,21.05,2022-12-02,124278
21.55,21.8,20.35,21.2,2022-12-05,105130
22.2,22.2,21.3,21.7,2022-12-06,41571
22.65,23.85,20.7,23.85,2022-12-07,190594
25.7,26.2,25.0,26.2,2022-12-08,206722
28.8,28.8,26.85,27.85,2022-12-09,632926
29.2,29.2,27.15,29.2,2022-12-12,186109
30.65,30.65,30.65,30.65,2022-12-13,37036
32.15,32.15,32.15,32.15,2022-12-14,92255
31.0,31.7,30.55,30.55,2022-12-15,354478
29.05,29.05,29.05,29.05,2022-12-16,16156
27.6,29.85,27.6,27.6,2022-12-19,216400
27.0,28.95,26.25,28.95,2022-12-20,271967
29.95,29.95,27.55,27.55,2022-12-21,75909
26.3,26.9,26.2,26.2,2022-12-22,31486
24.9,24.9,24.9,24.9,2022-12-23,8880
23.7,26.1,23.7,24.8,2022-12-26,249425
25.75,26.0,24.2,26.0,2022-12-27,103177
26.95,27.1,24.7,24.7,2022-12-28,130553
23.9,24.9,23.5,24.1,2022-12-29,61981
24.8,25.3,23.1,24.9,2022-12-30,156657
25.95,26.1,25.2,25.75,2023-01-02,100442
26.35,26.35,24.5,24.5,2023-01-03,89276
25.4,25.5,23.3,23.35,2023-01-04,154143
24.3,24.3,22.2,22.85,2023-01-05,74395
23.0,23.0,21.75,22.4,2023-01-06,97314
22.95,23.5,22.0,22.85,2023-01-09,44936
22.95,23.65,22.95,23.4,2023-01-10,38075
24.0,24.25,22.8,23.0,2023-01-11,29741
23.5,23.9,22.55,23.6,2023-01-12,26745
23.9,23.9,23.0,23.6,2023-01-13,61599
23.7,24.55,23.1,23.6,2023-01-16,18448
24.35,24.35,22.45,22.55,2023-01-17,65479
23.2,23.2,22.05,22.6,2023-01-18,19386
22.95,22.95,22.25,22.5,2023-01-19,11507
22.5,22.75,21.65,22.15,2023-01-20,50339
22.8,23.25,22.05,22.8,2023-01-23,68670
23.35,23.35,22.4,22.65,2023-01-24,36301
22.0,23.75,21.65,23.7,2023-01-25,151207
24.0,24.5,22.95,24.05,2023-01-27,73646
24.65,24.7,22.85,22.85,2023-01-30,52409
22.4,23.3,21.7,21.7,2023-01-31,52756
21.15,22.75,21.0,21.9,2023-02-01,114519
22.3,22.4,21.6,21.9,2023-02-02,22963
22.15,22.15,20.8,20.85,2023-02-03,36424
21.15,21.45,20.55,21.1,2023-02-06,28949
21.85,21.85,20.15,20.4,2023-02-07,21712
20.85,21.15,20.05,20.4,2023-02-08,19905
20.95,22.0,20.35,21.6,2023-02-09,19494
22.2,22.9,21.55,22.4,2023-02-10,59600
22.5,23.2,22.45,22.6,2023-02-13,27440
22.25,23.35,22.1,22.3,2023-02-14,35230
22.1,22.8,21.35,22.15,2023-02-15,32366
22.15,22.8,21.75,22.1,2023-02-16,18099
22.45,22.65,21.05,21.55,2023-02-17,30595
22.3,22.4,21.3,22.1,2023-02-20,445410
22.45,22.45,21.2,21.35,2023-02-21,20883
21.05,21.8,20.0,20.3,2023-02-22,37565
21.25,21.5,20.65,21.2,2023-02-23,20828
21.2,21.65,20.1,20.6,2023-02-24,27402
20.35,21.1,20.05,20.3,2023-02-27,26402
21.2,21.6,20.25,21.15,2023-02-28,22448
21.45,22.7,20.6,22.15,2023-03-01,38987
22.45,23.55,21.75,23.1,2023-03-02,39890
23.95,25.3,21.7,22.2,2023-03-03,908778
22.2,23.0,21.7,22.55,2023-03-06,29297
22.8,22.8,21.05,21.6,2023-03-08,68096
21.6,22.35,21.6,22.05,2023-03-09,12654
22.25,22.3,20.85,21.35,2023-03-10,19662
22.2,22.2,20.6,20.95,2023-03-13,20224
20.9,21.45,20.25,20.35,2023-03-14,18122
21.3,21.8,20.3,20.75,2023-03-15,27895
20.25,22.0,20.25,21.65,2023-03-16,23836
22.8,22.8,21.3,21.8,2023-03-17,14787
21.8,21.8,20.7,20.85,2023-03-20,4392
20.85,22.5,20.4,20.7,2023-03-21,34588
21.2,21.45,20.5,21.25,2023-03-22,11883
21.4,21.4,20.25,20.4,2023-03-23,14653
20.4,21.2,20.4,20.8,2023-03-24,28974
20.8,21.35,20.2,20.5,2023-03-27,74208
20.55,21.7,20.15,20.4,2023-03-28,33719
20.8,21.55,18.5,19.4,2023-03-29,34915
19.4,20.4,18.95,19.55,2023-03-31,38300
20.1,20.45,19.55,20.25,2023-04-03,4826
20.0,20.95,19.65,20.75,2023-04-05,28707
20.95,22.7,20.95,22.0,2023-04-06,50886
22.0,22.0,21.4,21.55,2023-04-10,14537
21.35,25.85,21.35,23.1,2023-04-11,475731
23.7,23.8,22.5,22.9,2023-04-12,30741
22.55,27.0,22.55,24.35,2023-04-13,181469
25.4,28.9,24.55,26.15,2023-04-17,867149
26.3,27.0,24.05,24.4,2023-04-18,107469
25.35,25.75,24.0,24.75,2023-04-19,32432
24.8,24.95,23.75,24.25,2023-04-20,23871
24.9,24.9,23.5,24.05,2023-04-21,30401
24.45,24.6,24.0,24.15,2023-04-24,47210
24.35,24.35,23.55,23.95,2023-04-25,20443
23.6,26.45,23.55,24.9,2023-04-26,128801
25.45,25.45,24.3,24.75,2023-04-27,25872
24.55,25.5,24.55,24.85,2023-04-28,16345
25.4,25.4,24.2,24.65,2023-05-02,28140
24.95,25.4,23.55,24.35,2023-05-03,37322
24.75,25.5,23.65,24.3,2023-05-04,45025
24.3,24.7,23.9,24.25,2023-05-05,23885
23.8,24.4,23.1,23.65,2023-05-08,80013
