open,high,low,close,date,volume
103.95,105.65,102.6,103.15,2022-09-29,55595
103.9,105.0,102.55,103.45,2022-09-30,94223
104.9,104.9,102.6,102.9,2022-10-03,45656
104.1,105.5,102.95,103.4,2022-10-04,87402
104.9,106.2,104.15,104.85,2022-10-06,62841
104.6,109.6,104.6,108.5,2022-10-07,81521
107.0,108.75,105.6,106.6,2022-10-10,74851
107.0,107.6,103.65,104.25,2022-10-11,63747
105.45,105.45,102.5,102.85,2022-10-12,53934
102.95,104.85,101.1,101.8,2022-10-13,50855
105.0,108.1,102.1,104.55,2022-10-14,179944
103.0,104.0,99.0,100.05,2022-10-17,177325
101.0,102.6,100.05,101.15,2022-10-18,93448
102.3,102.95,100.15,101.05,2022-10-19,47394
101.0,101.4,95.3,100.4,2022-10-20,58011
100.2,102.4,97.2,98.2,2022-10-21,92209
99.8,100.0,98.0,99.15,2022-10-24,37247
99.65,100.95,98.55,100.1,2022-10-25,47416
99.75,102.75,99.75,101.4,2022-10-27,54094
101.9,103.0,100.35,101.2,2022-10-28,54138
101.2,102.3,99.5,100.15,2022-10-31,63306
100.25,101.6,100.0,100.6,2022-11-01,46837
100.6,102.9,100.05,100.9,2022-11-02,65986
100.2,102.0,83.85,98.9,2022-11-03,181258
99.0,102.75,98.85,101.95,2022-11-04,119483
102.1,110.5,102.1,108.95,2022-11-07,355145
114.1,117.85,111.5,112.75,2022-11-09,359674
112.95,112.95,107.4,108.4,2022-11-10,149084
110.9,111.0,105.25,107.35,2022-11-11,141367
107.5,108.35,105.6,106.65,2022-11-14,100519
107.6,107.9,102.45,104.3,2022-11-15,74331
103.8,105.5,100.1,100.9,2022-11-16,164451
100.8,105.3,100.8,103.75,2022-11-17,173800
105.0,105.15,101.95,102.75,2022-11-18,59508
103.25,111.0,101.55,105.8,2022-11-21,278758
106.9,107.75,102.0,103.35,2022-11-22,113566
104.15,105.0,103.0,103.4,2022-11-23,54268
104.9,105.2,102.7,103.55,2022-11-24,53934
104.45,106.45,103.55,105.2,2022-11-25,109638
105.9,107.3,104.05,104.95,2022-11-28,88721
105.95,107.95,105.35,106.15,2022-11-29,130873
106.9,106.9,104.8,105.6,2022-11-30,49494
106.45,109.6,105.15,105.8,2022-12-01,143669
106.0,106.85,105.4,105.8,2022-12-02,78996
106.6,107.0,105.15,105.95,2022-12-05,77996
106.2,106.6,105.05,105.25,2022-12-06,61200
106.0,106.0,103.45,103.65,2022-12-07,62719
104.05,105.9,103.1,103.4,2022-12-08,75581
104.0,104.0,100.5,101.15,2022-12-09,78227
101.55,101.65,100.0,100.7,2022-12-12,91470
104.75,104.75,100.5,101.0,2022-12-13,121168
101.65,102.5,100.55,100.95,2022-12-14,72227
100.6,102.8,100.6,101.4,2022-12-15,58267
