open,high,low,close,date,volume
275.0,283.4,270.1,271.9,2022-09-29,261613
273.25,274.85,266.95,269.35,2022-09-30,177972
267.4,275.85,264.75,268.0,2022-10-03,159300
271.35,278.25,271.05,276.55,2022-10-04,120746
277.95,283.7,276.1,280.45,2022-10-06,114536
277.55,291.0,276.1,281.7,2022-10-07,214889
278.0,280.35,274.5,276.4,2022-10-10,38936
277.8,278.1,268.15,268.45,2022-10-11,68552
267.6,274.0,266.0,271.65,2022-10-12,87369
272.8,272.85,268.0,268.75,2022-10-13,59852
270.5,272.65,268.1,268.8,2022-10-14,66554
269.7,269.7,265.45,266.85,2022-10-17,49435
267.5,282.85,267.5,279.65,2022-10-18,203378
280.9,287.9,279.55,282.85,2022-10-19,166999
281.15,288.0,280.25,284.05,2022-10-20,77754
284.05,284.05,280.75,282.05,2022-10-21,61600
282.0,288.0,280.3,286.4,2022-10-24,55825
287.35,287.4,281.2,282.3,2022-10-25,38500
283.5,288.5,282.0,286.65,2022-10-27,56238
285.8,288.0,283.4,284.1,2022-10-28,45575
285.55,285.95,284.0,284.2,2022-10-31,36741
285.65,286.7,282.6,284.0,2022-11-01,52527
284.25,292.45,284.0,287.15,2022-11-02,117588
287.15,287.15,281.7,282.45,2022-11-03,55418
280.6,284.95,280.0,281.6,2022-11-04,30396
283.05,287.0,280.2,285.7,2022-11-07,63646
286.0,300.0,284.0,294.5,2022-11-09,210412
294.5,294.55,289.0,292.35,2022-11-10,54272
293.85,300.0,282.15,284.6,2022-11-11,207274
281.0,286.0,278.0,279.7,2022-11-14,47400
281.1,284.1,275.5,277.2,2022-11-15,47801
278.6,280.05,272.05,274.0,2022-11-16,46804
273.05,278.0,272.55,276.2,2022-11-17,49196
277.6,281.5,276.1,279.15,2022-11-18,47508
279.0,280.5,271.0,272.8,2022-11-21,61508
272.9,275.5,271.45,273.05,2022-11-22,30596
273.1,275.0,270.05,271.1,2022-11-23,40959
272.45,288.35,271.6,279.75,2022-11-24,136098
280.95,288.15,278.45,285.1,2022-11-25,71149
286.5,287.9,279.8,280.5,2022-11-28,45184
281.95,287.5,280.65,284.0,2022-11-29,57083
285.4,286.4,280.7,284.0,2022-11-30,40737
284.5,286.3,279.85,280.8,2022-12-01,50098
280.45,286.7,279.15,283.6,2022-12-02,55543
283.7,310.95,283.7,307.15,2022-12-05,942450
304.1,318.3,303.0,315.5,2022-12-06,760772
318.0,323.75,311.0,315.15,2022-12-07,610094
315.5,317.25,310.0,314.2,2022-12-08,152530
