open,high,low,close,date,volume
121.4,121.4,118.0,121.4,2022-12-06,25215
125.0,127.45,120.0,120.8,2022-12-07,52946
120.3,122.45,114.8,114.8,2022-12-08,16836
109.15,113.0,109.1,109.1,2022-12-09,20095
108.05,108.05,103.65,104.35,2022-12-12,17833
103.15,108.4,103.15,107.1,2022-12-13,9918
112.45,112.45,112.45,112.45,2022-12-14,3678
118.0,118.05,114.9,115.2,2022-12-15,59116
119.6,119.6,109.45,111.1,2022-12-16,20040
111.15,113.05,108.25,109.65,2022-12-19,7703
109.9,112.0,108.0,111.05,2022-12-20,3677
113.95,113.95,106.0,108.7,2022-12-21,9803
108.05,108.15,105.0,106.25,2022-12-22,15554
102.05,111.25,102.0,102.85,2022-12-23,9310
107.85,107.85,102.85,103.5,2022-12-26,4400
107.8,107.8,100.1,103.0,2022-12-27,4827
105.0,108.05,102.05,103.2,2022-12-28,7364
103.1,106.0,103.1,105.35,2022-12-29,4997
109.25,109.25,101.6,103.15,2022-12-30,14207
107.25,107.9,103.4,103.9,2023-01-02,3987
105.65,105.65,102.1,103.45,2023-01-03,6199
103.45,104.85,103.0,103.2,2023-01-04,4829
104.3,104.5,100.0,100.85,2023-01-05,10739
100.85,103.8,100.25,100.55,2023-01-06,3590
103.7,105.55,100.9,105.55,2023-01-09,12921
108.3,109.85,103.15,103.75,2023-01-10,14161
105.8,107.5,103.35,107.2,2023-01-11,1518
107.0,107.0,101.9,102.45,2023-01-12,6065
104.1,105.4,102.8,104.95,2023-01-13,4495
105.45,106.15,102.6,103.25,2023-01-16,5474
104.05,105.55,100.15,102.2,2023-01-17,5601
102.2,104.45,101.5,101.8,2023-01-18,2236
103.5,105.5,102.45,104.8,2023-01-19,1833
104.0,110.0,101.3,104.2,2023-01-20,17332
103.05,103.75,101.4,102.45,2023-01-23,4986
102.45,105.0,101.5,102.45,2023-01-24,5083
102.95,102.95,99.1,100.35,2023-01-25,5629
101.0,101.95,96.9,98.2,2023-01-27,18242
97.95,99.85,94.25,95.6,2023-01-30,5512
95.6,97.0,94.5,96.55,2023-01-31,6485
97.0,101.3,97.0,98.9,2023-02-01,7346
103.8,103.8,98.6,99.75,2023-02-02,2753
100.0,102.45,95.45,97.7,2023-02-03,8328
99.0,99.25,97.25,98.15,2023-02-06,1420
98.25,98.4,96.5,96.8,2023-02-07,5384
94.9,98.8,94.9,96.0,2023-02-08,3416
101.0,101.0,95.75,96.2,2023-02-09,9334
97.6,99.0,95.0,95.9,2023-02-10,5925
96.0,97.2,89.0,90.95,2023-02-13,18661
91.7,94.25,91.7,93.75,2023-02-14,5325
99.45,99.45,90.55,91.6,2023-02-15,4137
98.85,98.85,90.4,92.15,2023-02-16,4315
92.15,93.0,89.7,91.1,2023-02-17,5396
92.0,98.95,90.25,91.7,2023-02-20,10533
91.7,94.5,91.7,92.4,2023-02-21,4174
90.55,94.0,90.55,93.1,2023-02-22,3357
93.1,93.1,92.1,92.15,2023-02-23,500
94.45,94.5,88.15,89.55,2023-02-24,7418
90.05,91.0,87.5,89.4,2023-02-27,3315
90.6,90.65,88.5,88.6,2023-02-28,3757
91.8,91.8,87.7,88.05,2023-03-01,12148
90.55,96.85,88.6,95.7,2023-03-02,19726
