open,high,low,close,date,volume
548.0,556.9,548.0,555.55,2022-09-29,2811
552.85,574.8,552.85,572.7,2022-09-30,4570
579.0,579.0,563.5,566.55,2022-10-03,1258
564.4,575.0,561.0,563.0,2022-10-04,2426
564.05,575.15,560.9,572.6,2022-10-06,3039
575.15,575.15,568.2,570.35,2022-10-07,173
565.3,571.05,558.55,560.65,2022-10-10,1029
564.85,567.0,551.1,553.75,2022-10-11,2988
558.05,565.9,549.1,561.6,2022-10-12,2868
561.0,568.95,552.0,559.05,2022-10-13,1497
561.3,564.0,558.05,561.3,2022-10-14,1091
555.0,567.7,553.65,558.5,2022-10-17,4998
559.9,569.95,558.3,561.45,2022-10-18,1690
564.75,565.0,559.95,561.0,2022-10-19,2967
555.0,566.0,550.6,558.3,2022-10-20,4656
559.4,564.6,555.0,558.1,2022-10-21,3489
567.3,568.9,560.0,561.35,2022-10-24,571
560.15,563.45,555.2,558.05,2022-10-25,2080
560.3,562.7,551.05,560.3,2022-10-27,3614
562.95,565.65,556.1,557.4,2022-10-28,1916
566.35,566.35,556.45,557.05,2022-10-31,2457
562.1,562.1,551.0,555.5,2022-11-01,2738
553.05,569.85,553.05,568.7,2022-11-02,3924
567.05,581.55,558.05,580.15,2022-11-03,9635
582.0,607.05,577.05,600.3,2022-11-04,15944
608.0,608.0,588.6,596.75,2022-11-07,5967
594.5,603.0,591.0,596.3,2022-11-09,3536
596.05,599.0,580.0,587.7,2022-11-10,2269
582.05,596.4,573.0,578.6,2022-11-11,11558
621.1,642.2,602.0,606.05,2022-11-14,35804
617.8,618.15,601.6,607.9,2022-11-15,4876
609.95,610.0,596.05,600.3,2022-11-16,2618
611.0,612.45,591.0,597.8,2022-11-17,3711
600.1,600.1,586.7,592.3,2022-11-18,2051
597.95,598.9,587.1,595.3,2022-11-21,2700
590.0,602.0,583.95,593.25,2022-11-22,3024
590.0,600.05,587.0,590.1,2022-11-23,5648
586.0,602.85,586.0,593.15,2022-11-24,1539
598.5,604.95,588.2,589.65,2022-11-25,3407
582.8,593.9,582.8,587.7,2022-11-28,2093
586.0,596.0,584.05,592.15,2022-11-29,1478
598.0,622.6,593.35,612.9,2022-11-30,26270
621.0,622.25,603.45,607.15,2022-12-01,7513
610.1,610.3,600.85,607.75,2022-12-02,2333
608.05,615.95,604.25,609.35,2022-12-05,5513
608.6,613.0,604.7,606.45,2022-12-06,2121
610.2,614.0,603.9,610.9,2022-12-07,3164
615.0,625.0,595.4,600.55,2022-12-08,8051
611.9,627.9,608.95,614.9,2022-12-09,12643
620.0,622.3,601.0,603.2,2022-12-12,5409
609.65,610.15,602.1,604.25,2022-12-13,3092
609.0,616.0,603.0,605.9,2022-12-14,3367
608.2,616.0,601.15,611.0,2022-12-15,4081
611.9,615.05,594.45,600.2,2022-12-16,4107
601.1,615.8,597.45,601.8,2022-12-19,7204
600.4,610.0,598.0,600.0,2022-12-20,3486
610.5,611.95,569.95,578.6,2022-12-21,11189
596.0,603.0,577.05,579.65,2022-12-22,13029
580.3,582.3,532.1,541.35,2022-12-23,11765
552.15,567.6,545.3,561.25,2022-12-26,2170
565.0,572.75,564.95,567.25,2022-12-27,1632
570.7,573.5,567.3,568.95,2022-12-28,1369
572.1,573.95,562.05,565.7,2022-12-29,1494
565.0,574.8,565.0,566.75,2022-12-30,859
576.9,579.0,567.55,574.15,2023-01-02,2106
576.9,577.0,570.0,571.1,2023-01-03,1135
577.45,577.45,569.0,569.85,2023-01-04,925
566.0,578.0,565.15,566.3,2023-01-05,1511
569.6,576.85,552.25,569.4,2023-01-06,3225
576.8,576.8,564.85,572.15,2023-01-09,1053
574.85,575.95,564.85,569.5,2023-01-10,2637
567.6,575.8,561.6,568.9,2023-01-11,1216
570.0,571.9,561.7,567.35,2023-01-12,853
568.35,568.75,559.95,561.9,2023-01-13,1460
569.1,569.1,555.05,559.2,2023-01-16,1479
567.8,567.8,555.0,559.6,2023-01-17,2069
563.5,566.2,555.05,560.75,2023-01-18,332
562.25,566.7,555.0,556.7,2023-01-19,1117
560.35,563.5,556.0,562.6,2023-01-20,829
563.65,563.65,550.25,553.35,2023-01-23,1801
559.95,562.3,552.05,557.55,2023-01-24,997
557.55,557.9,545.0,547.15,2023-01-25,1071
553.35,553.35,531.3,538.7,2023-01-27,2712
538.0,546.5,532.6,544.05,2023-01-30,1527
541.85,552.0,533.5,550.15,2023-01-31,4345
548.1,554.85,548.05,551.0,2023-02-01,5048
556.25,561.95,548.0,550.0,2023-02-02,4058
555.5,556.95,549.0,550.15,2023-02-03,5369
559.95,563.45,552.1,558.8,2023-02-06,2111
555.75,564.25,554.0,555.0,2023-02-07,935
562.0,567.05,559.0,566.1,2023-02-08,2070
566.0,575.0,565.0,570.85,2023-02-09,1754
572.1,578.75,565.0,566.75,2023-02-10,561
578.85,580.0,566.0,571.35,2023-02-13,2328
579.35,579.35,559.0,563.7,2023-02-14,2317
559.85,567.0,553.55,559.0,2023-02-15,694
554.95,583.95,553.95,557.5,2023-02-16,7740
562.5,567.9,558.1,561.35,2023-02-17,1380
564.2,569.9,559.85,560.95,2023-02-20,2351
565.0,570.05,559.0,560.05,2023-02-21,1989
564.1,564.1,557.0,559.45,2023-02-22,2818
560.0,562.55,558.95,559.5,2023-02-23,1221
563.55,564.9,559.0,560.45,2023-02-24,828
560.9,560.9,556.05,558.1,2023-02-27,2940
561.8,561.8,545.5,548.1,2023-02-28,3438
548.25,564.95,548.25,550.75,2023-03-01,1853
553.85,556.5,548.6,550.35,2023-03-02,2515
551.1,552.45,546.45,548.35,2023-03-03,2847
548.35,557.05,546.05,554.95,2023-03-06,3129
563.8,563.8,541.05,545.1,2023-03-08,2673
550.6,552.75,543.0,546.55,2023-03-09,887
543.9,549.5,534.95,544.1,2023-03-10,1890
544.1,548.6,531.2,534.9,2023-03-13,2230
538.5,542.5,535.75,538.45,2023-03-14,1333
542.3,544.9,511.0,524.75,2023-03-15,3032
516.9,529.9,514.5,522.25,2023-03-16,3411
522.3,528.6,522.3,525.05,2023-03-17,2431
553.85,553.85,525.0,525.15,2023-03-20,2696
523.9,538.45,523.9,535.15,2023-03-21,1744
534.0,548.7,529.05,540.0,2023-03-22,8235
550.75,550.75,535.2,538.8,2023-03-23,4723
537.95,549.0,537.2,539.05,2023-03-24,8434
541.25,541.25,527.05,535.3,2023-03-27,1707
536.45,536.45,512.25,517.4,2023-03-28,3436
517.55,527.0,515.9,519.95,2023-03-29,3824
523.3,525.45,505.95,512.55,2023-03-31,8046
522.75,525.7,515.9,522.15,2023-04-03,7043
521.7,529.85,517.0,528.45,2023-04-05,5850
528.7,536.65,527.15,535.75,2023-04-06,3215
539.3,546.5,535.0,538.65,2023-04-10,4654
534.25,549.35,534.25,540.6,2023-04-11,4517
542.3,547.9,535.1,539.3,2023-04-12,6625
539.3,593.85,538.0,572.6,2023-04-13,32407
575.0,587.05,567.25,583.0,2023-04-17,5552
587.05,598.95,586.05,596.0,2023-04-18,6299
594.0,612.05,585.15,601.9,2023-04-19,15307
591.25,605.95,591.25,600.1,2023-04-20,2391
610.9,610.9,585.95,592.75,2023-04-21,3492
596.9,606.0,593.0,602.7,2023-04-24,3707
596.15,608.5,591.3,602.2,2023-04-25,3127
605.0,605.0,593.0,594.8,2023-04-26,1873
599.45,610.0,599.2,604.2,2023-04-27,3783
606.9,610.0,599.3,608.3,2023-04-28,2699
624.0,624.0,605.65,607.15,2023-05-02,5067
607.45,611.3,600.1,601.5,2023-05-03,2832
609.8,609.8,586.8,588.75,2023-05-04,4929
592.6,596.1,554.5,564.25,2023-05-05,13366
