open,high,low,close,date,volume
905.7,905.7,843.95,868.25,2022-09-29,35173
866.0,893.6,860.0,871.1,2022-09-30,26174
870.0,872.95,833.0,840.5,2022-10-03,16112
851.0,852.0,831.0,835.8,2022-10-04,24377
848.0,868.95,842.05,849.0,2022-10-06,21062
849.95,867.95,849.0,864.15,2022-10-07,6956
865.05,874.4,849.55,872.35,2022-10-10,18600
875.0,885.0,840.1,844.65,2022-10-11,10036
848.0,852.0,833.3,840.05,2022-10-12,9727
840.05,848.95,821.0,822.2,2022-10-13,6167
834.45,869.95,831.1,833.95,2022-10-14,5108
840.05,840.05,805.2,807.45,2022-10-17,7238
819.5,942.65,810.45,900.2,2022-10-18,98902
899.8,964.85,899.45,946.9,2022-10-19,138362
933.1,943.0,913.0,919.3,2022-10-20,12707
905.5,928.9,890.0,898.7,2022-10-21,9681
899.0,909.9,895.5,901.25,2022-10-24,2527
901.0,918.0,875.35,881.85,2022-10-25,6063
876.05,898.45,870.1,875.7,2022-10-27,4863
875.7,888.0,875.0,882.1,2022-10-28,2776
895.35,899.8,867.95,882.3,2022-10-31,5066
895.45,895.45,855.8,874.1,2022-11-01,7150
887.0,887.0,862.0,864.15,2022-11-02,5648
867.8,879.45,847.7,867.15,2022-11-03,7719
880.1,895.0,873.1,888.3,2022-11-04,7425
895.0,895.0,875.0,876.9,2022-11-07,2386
885.75,885.75,863.0,872.15,2022-11-09,7656
869.0,880.45,851.05,879.1,2022-11-10,4794
878.8,926.8,862.25,882.95,2022-11-11,20074
890.0,921.45,875.05,915.1,2022-11-14,19832
929.9,992.0,925.05,959.75,2022-11-15,60498
970.0,999.65,930.1,987.15,2022-11-16,71528
1001.95,1008.9,942.0,962.75,2022-11-17,33724
976.0,1083.0,969.0,1071.6,2022-11-18,257745
1095.0,1112.9,1051.1,1067.9,2022-11-21,141093
1076.95,1098.95,1030.6,1041.2,2022-11-22,42738
1045.0,1080.0,1041.0,1049.4,2022-11-23,27083
1056.5,1074.5,1033.0,1046.7,2022-11-24,22215
1049.95,1050.0,1014.0,1022.15,2022-11-25,23726
1028.5,1045.0,978.65,994.0,2022-11-28,49090
994.0,1045.0,992.05,1003.3,2022-11-29,29731
1006.95,1030.0,994.55,1008.2,2022-11-30,17638
1010.0,1019.3,977.0,985.8,2022-12-01,18385
985.8,1010.0,975.9,988.45,2022-12-02,11646
989.0,1003.7,954.0,978.2,2022-12-05,54232
967.05,986.05,961.5,967.45,2022-12-06,22503
967.45,1013.15,961.0,996.5,2022-12-07,37711
1008.7,1015.0,992.4,1003.8,2022-12-08,27645
1003.8,1035.0,980.25,992.0,2022-12-09,39124
966.0,1001.95,950.0,956.95,2022-12-12,56720
960.0,975.0,921.0,927.95,2022-12-13,39526
926.0,945.0,914.0,918.1,2022-12-14,26839
918.9,968.0,918.1,964.0,2022-12-15,32358
970.0,980.05,935.05,961.3,2022-12-16,16170
970.0,974.0,955.0,956.3,2022-12-19,9130
956.0,966.15,936.9,948.85,2022-12-20,13917
940.15,953.1,897.75,915.2,2022-12-21,49002
915.0,915.0,868.85,897.5,2022-12-22,22142
897.5,898.05,829.0,839.4,2022-12-23,31799
