open,high,low,close,date,volume
90.65,94.7,88.65,92.0,2022-09-29,47310
92.0,101.2,91.6,101.2,2022-09-30,65849
105.0,111.3,98.5,111.3,2022-10-03,368715
116.4,117.75,105.0,110.65,2022-10-04,331036
112.85,116.45,109.6,110.9,2022-10-06,94136
109.9,110.2,104.1,106.05,2022-10-07,89214
105.1,112.5,102.05,110.35,2022-10-10,81092
111.15,112.2,107.9,108.55,2022-10-11,30608
108.2,109.2,104.55,105.7,2022-10-12,28596
106.25,109.15,103.3,104.7,2022-10-13,35940
106.7,109.95,104.7,106.25,2022-10-14,34348
105.8,127.5,103.5,127.3,2022-10-17,647994
130.1,133.0,118.6,120.0,2022-10-18,356658
119.75,142.4,119.75,138.25,2022-10-19,1256242
138.45,153.7,134.55,142.85,2022-10-20,1188635
143.4,143.4,127.6,131.15,2022-10-21,206866
132.0,138.7,132.0,136.2,2022-10-24,41207
138.0,140.0,128.1,129.7,2022-10-25,73525
132.0,140.6,130.5,131.4,2022-10-27,171102
132.0,135.45,121.75,123.65,2022-10-28,93083
125.9,128.0,120.65,121.15,2022-10-31,49495
122.55,143.0,122.55,136.65,2022-11-01,552334
133.35,143.7,132.3,136.5,2022-11-02,231595
135.9,140.0,132.0,132.75,2022-11-03,69093
133.65,137.3,131.1,131.5,2022-11-04,69856
132.5,134.7,126.2,127.6,2022-11-07,59443
128.5,133.0,124.0,125.3,2022-11-09,59168
126.2,129.1,113.95,116.2,2022-11-10,192574
118.0,120.0,113.6,114.65,2022-11-11,66827
115.1,116.5,112.6,113.35,2022-11-14,32798
114.05,133.0,113.35,128.15,2022-11-15,526007
127.5,127.5,120.25,121.85,2022-11-16,80714
121.4,126.95,118.95,124.75,2022-11-17,103561
125.5,127.5,121.35,122.05,2022-11-18,53766
121.75,122.7,118.2,119.4,2022-11-21,37997
120.2,120.95,115.0,115.45,2022-11-22,50195
116.5,126.0,116.2,119.4,2022-11-23,99073
119.4,123.35,118.05,119.55,2022-11-24,44120
120.35,120.9,118.15,119.95,2022-11-25,36164
120.6,124.5,117.65,118.55,2022-11-28,31404
119.3,138.35,117.95,135.3,2022-11-29,601291
137.0,147.8,131.95,133.65,2022-11-30,946722
133.65,138.9,130.0,134.25,2022-12-01,165111
134.85,135.7,131.8,132.6,2022-12-02,59984
135.6,147.4,133.85,137.85,2022-12-05,406118
139.2,146.9,137.3,143.2,2022-12-06,276596
143.5,148.8,140.1,141.55,2022-12-07,202648
141.95,146.0,140.1,143.1,2022-12-08,94938
145.8,147.0,134.75,136.7,2022-12-09,96493
137.0,138.7,133.0,134.1,2022-12-12,59739
135.3,137.45,134.2,134.95,2022-12-13,24866
137.2,139.5,135.55,136.25,2022-12-14,40947
136.8,138.6,133.0,133.85,2022-12-15,45653
133.85,134.7,129.0,129.75,2022-12-16,40055
129.75,132.6,129.55,131.15,2022-12-19,20287
131.0,131.8,124.1,127.3,2022-12-20,34265
128.4,134.05,119.0,120.45,2022-12-21,107171
121.55,125.95,116.0,118.25,2022-12-22,120262
115.0,117.6,104.05,105.35,2022-12-23,108501
107.0,124.0,107.0,120.4,2022-12-26,116656
124.0,128.6,121.45,124.1,2022-12-27,97772
125.3,131.9,122.5,126.3,2022-12-28,98487
127.85,138.0,124.55,131.05,2022-12-29,137671
133.0,136.9,126.7,128.0,2022-12-30,75153
128.8,139.3,128.0,134.7,2023-01-02,209550
136.0,144.8,135.9,143.35,2023-01-03,342072
145.0,172.0,145.0,172.0,2023-01-04,2245286
172.0,173.9,157.5,161.85,2023-01-05,821317
163.0,171.4,157.0,167.65,2023-01-06,365134
169.5,172.7,158.55,159.8,2023-01-09,189869
159.95,159.95,149.9,151.85,2023-01-10,133306
153.9,163.8,152.95,155.4,2023-01-11,227740
116.9,116.9,107.35,107.35,2023-02-28,19932
106.0,111.35,105.6,109.95,2023-03-01,14925
111.75,114.2,110.05,111.4,2023-03-02,12440
113.55,113.6,109.4,110.35,2023-03-03,10828
110.7,115.0,110.45,111.15,2023-03-06,14282
110.9,112.3,110.35,111.75,2023-03-08,7496
112.1,113.0,111.75,112.35,2023-03-09,6621
114.5,114.5,110.05,111.15,2023-03-10,9476
111.15,113.2,105.6,105.6,2023-03-13,17538
105.6,105.65,100.7,101.0,2023-03-14,24295
104.0,104.0,99.1,99.75,2023-03-15,17159
99.65,99.65,94.8,94.95,2023-03-16,24454
97.75,99.65,95.35,99.65,2023-03-17,20248
101.9,102.8,97.2,98.65,2023-03-20,14773
98.65,101.2,98.6,100.45,2023-03-21,12668
101.8,104.9,101.8,102.85,2023-03-22,14584
107.0,107.0,100.1,101.35,2023-03-23,14694
101.8,101.8,96.3,96.3,2023-03-24,15221
95.05,97.15,91.5,91.55,2023-03-27,21762
91.6,95.45,87.0,88.3,2023-03-28,25151
88.55,90.9,85.3,88.7,2023-03-29,23938
90.1,93.1,90.1,91.5,2023-03-31,41251
94.7,95.0,90.65,92.6,2023-04-03,18777
95.95,95.95,92.65,93.0,2023-04-05,18540
93.95,96.75,92.45,95.95,2023-04-06,16447
95.8,96.65,94.1,95.8,2023-04-10,13645
96.1,104.4,96.1,102.8,2023-04-11,54986
104.0,105.0,101.1,103.25,2023-04-12,17949
105.9,109.9,103.95,108.0,2023-04-13,40304
108.55,110.0,102.1,102.95,2023-04-17,36778
104.6,108.1,103.4,106.35,2023-04-18,27803
106.75,107.0,99.2,101.5,2023-04-19,53782
102.5,103.75,98.45,101.25,2023-04-20,22827
100.5,102.9,100.05,101.6,2023-04-21,11317
100.1,102.55,97.5,101.4,2023-04-24,29091
102.0,102.3,99.25,100.8,2023-04-25,11957
99.6,101.9,99.6,100.0,2023-04-26,13969
100.9,102.9,99.3,100.2,2023-04-27,17594
101.0,104.0,100.1,102.5,2023-04-28,30749
102.1,104.95,102.1,103.75,2023-05-02,13758
102.3,103.3,101.25,102.0,2023-05-03,12021
102.3,104.45,102.0,103.8,2023-05-04,18688
102.2,103.95,101.3,101.75,2023-05-05,15241
104.0,104.0,100.6,101.4,2023-05-08,27509
101.4,103.8,101.4,102.55,2023-05-09,11089
103.5,103.5,101.2,101.7,2023-05-10,11800
102.95,102.95,100.0,100.6,2023-05-11,15695
103.0,103.0,98.9,100.45,2023-05-12,22372
100.05,101.95,100.0,101.35,2023-05-15,11402
103.0,103.0,100.2,101.3,2023-05-16,20432
101.9,101.9,100.0,100.45,2023-05-17,6685
101.85,102.0,97.7,99.0,2023-05-18,11829
99.0,100.4,98.8,99.75,2023-05-19,9770
99.45,101.15,99.0,99.65,2023-05-22,7384
101.3,101.35,98.5,98.9,2023-05-23,38659
99.0,99.5,98.55,99.0,2023-05-24,12654
98.7,100.15,96.1,98.2,2023-05-25,20502
98.0,100.3,97.75,98.25,2023-05-26,20613
98.5,101.15,97.8,98.45,2023-05-29,16234
99.5,101.1,98.8,100.0,2023-05-30,15103
100.3,104.0,99.9,102.1,2023-05-31,24572
103.5,103.9,101.5,102.5,2023-06-01,13004
102.5,103.2,99.5,101.65,2023-06-02,21171
101.05,101.65,100.0,100.15,2023-06-05,18311
100.35,110.15,100.25,110.15,2023-06-06,96732
117.75,132.15,116.3,132.15,2023-06-07,1297951
136.4,143.45,134.65,135.8,2023-06-08,671520
135.0,135.05,126.0,128.1,2023-06-09,131250
129.6,133.3,128.0,128.25,2023-06-12,52963
128.0,131.7,125.1,127.15,2023-06-13,64299
127.95,127.95,124.05,125.35,2023-06-14,26213
106.55,106.55,102.25,104.25,2023-08-16,11942
105.2,108.0,105.1,106.35,2023-08-17,15774
104.2,108.7,104.0,107.85,2023-08-18,25807
109.9,109.9,106.45,108.15,2023-08-21,15608
109.9,109.9,106.1,106.55,2023-08-22,14945
108.0,108.0,105.0,105.55,2023-08-23,15473
105.95,109.0,105.35,107.6,2023-08-24,11457
107.6,108.25,106.1,107.45,2023-08-25,14698
110.7,110.7,106.1,107.0,2023-08-28,8407
106.75,111.05,106.0,109.45,2023-08-29,30370
110.6,113.75,109.05,113.35,2023-08-30,54338
113.75,119.0,113.75,119.0,2023-08-31,81477
121.6,124.95,119.85,121.9,2023-09-01,108410
124.9,127.0,123.5,124.45,2023-09-04,56337
124.05,125.6,119.1,119.3,2023-09-05,47052
123.0,123.0,117.0,117.5,2023-09-06,18702
120.2,121.4,118.0,118.9,2023-09-07,19056
119.05,120.3,117.0,117.4,2023-09-08,24010
115.55,119.0,115.55,117.0,2023-09-11,21553
119.05,119.05,111.2,111.7,2023-09-12,25687
116.0,116.0,110.5,113.95,2023-09-13,18469
114.35,117.5,113.0,116.25,2023-09-14,19784
119.0,119.0,115.65,117.0,2023-09-15,16771
117.0,118.15,115.0,115.7,2023-09-18,15746
119.0,119.0,114.0,114.55,2023-09-20,8079
113.2,116.35,113.2,113.7,2023-09-21,2283
113.95,115.35,112.0,112.7,2023-09-22,9635
112.7,114.1,111.15,113.05,2023-09-25,9899
116.0,116.0,112.05,113.9,2023-09-26,6336
116.0,116.0,110.9,111.55,2023-09-27,17752
111.55,112.5,110.8,111.0,2023-09-28,8039
114.95,115.0,111.35,114.0,2023-09-29,7679
112.55,114.9,111.45,113.1,2023-10-03,9038
114.95,114.95,112.15,112.2,2023-10-04,8109
114.3,114.8,110.65,111.05,2023-10-05,11321
111.5,116.6,111.0,116.45,2023-10-06,151892
116.85,122.5,112.05,117.45,2023-10-09,197138
117.0,121.9,116.15,117.7,2023-10-10,39418
117.6,121.2,116.6,117.35,2023-10-11,23831
118.6,118.6,116.4,116.8,2023-10-12,10049
116.4,117.9,114.75,115.4,2023-10-13,20062
117.5,121.9,114.75,119.15,2023-10-16,62015
119.15,123.0,117.3,118.35,2023-10-17,29498
121.0,121.0,117.0,117.4,2023-10-18,13005
116.05,119.25,115.05,116.0,2023-10-19,18456
117.8,117.8,110.5,113.4,2023-10-20,27610
113.4,114.9,110.5,110.85,2023-10-23,46565
113.95,113.95,110.5,110.95,2023-10-25,16266
111.05,111.3,105.5,107.3,2023-10-26,17940
110.4,111.0,108.95,110.15,2023-10-27,4295
108.0,111.0,107.35,108.6,2023-10-30,10867
110.5,111.9,109.0,110.2,2023-10-31,16101
114.9,114.9,109.8,110.75,2023-11-01,31235
113.8,113.8,110.15,110.7,2023-11-02,13289
110.5,114.0,110.5,111.6,2023-11-03,9032
111.05,111.55,108.05,108.65,2023-11-06,20657
109.0,110.9,107.95,108.2,2023-11-07,17068
108.9,110.0,107.55,107.95,2023-11-08,15963
109.0,109.7,106.45,107.45,2023-11-09,14624
110.95,110.95,105.75,106.75,2023-11-10,11523
110.0,110.0,107.25,108.15,2023-11-12,5351
107.1,110.6,107.05,109.65,2023-11-13,20058
110.0,111.95,108.2,110.45,2023-11-15,24870
110.95,111.0,107.85,109.5,2023-11-16,16448
109.2,114.65,108.35,113.75,2023-11-17,54675
114.25,125.1,114.1,125.1,2023-11-20,230957
133.7,136.95,126.25,133.6,2023-11-21,535008
134.05,136.4,124.2,125.2,2023-11-22,131708
126.45,134.45,124.25,131.75,2023-11-23,201440
131.9,133.85,128.75,129.4,2023-11-24,43749
127.3,139.0,126.0,136.95,2023-11-28,208937
137.0,147.2,134.0,144.9,2023-11-29,330334
146.0,146.85,136.0,140.85,2023-11-30,131084
142.0,144.5,138.1,140.8,2023-12-01,58482
144.0,154.85,143.2,154.85,2023-12-04,321774
158.7,158.7,147.1,147.85,2023-12-05,183700
147.85,152.0,145.15,146.15,2023-12-06,41606
147.5,149.9,142.3,146.55,2023-12-07,36516
146.55,153.8,144.3,147.2,2023-12-08,83632
150.0,153.35,147.4,150.4,2023-12-11,64361
154.0,157.9,151.05,153.55,2023-12-12,214538
154.8,160.5,151.55,158.5,2023-12-13,112047
161.5,162.4,155.0,155.2,2023-12-14,46155
156.0,162.9,153.05,154.6,2023-12-15,53116
156.7,156.9,149.45,151.15,2023-12-18,53639
150.35,153.4,148.05,149.3,2023-12-19,20842
149.15,152.2,141.85,142.0,2023-12-20,57281
139.0,143.85,138.1,140.5,2023-12-21,35594
141.45,145.7,139.1,142.3,2023-12-22,26553
142.7,145.9,140.1,141.75,2023-12-26,15433
145.0,148.8,140.55,141.7,2023-12-27,25458
141.7,142.75,137.85,138.6,2023-12-28,33658
138.6,139.7,135.0,136.3,2023-12-29,29036
