open,high,low,close,date,volume
2857.35,2910.35,2850.6,2882.5,2022-09-29,27710
2870.0,2882.0,2842.1,2868.95,2022-09-30,23340
2883.3,2923.25,2870.0,2912.05,2022-10-03,24685
2931.0,2962.05,2908.05,2916.05,2022-10-04,20386
2937.65,2960.95,2912.6,2921.7,2022-10-06,18903
2925.0,2939.7,2912.35,2919.5,2022-10-07,13139
2910.0,2914.95,2877.4,2884.75,2022-10-10,16851
2890.0,2917.75,2850.0,2860.7,2022-10-11,17989
2870.0,2890.0,2825.0,2830.75,2022-10-12,22694
2827.4,2875.0,2824.95,2845.2,2022-10-13,20468
2866.7,2905.0,2863.75,2884.15,2022-10-14,22445
2867.8,2922.9,2865.0,2893.8,2022-10-17,117141
2990.0,2990.0,2903.15,2918.05,2022-10-18,26051
2918.05,2940.0,2905.5,2928.35,2022-10-19,19507
2928.35,2991.0,2903.85,2976.0,2022-10-20,34485
2976.0,2988.0,2940.0,2949.4,2022-10-21,21290
2971.7,2993.85,2950.0,2973.15,2022-10-24,8995
2972.8,2990.0,2945.85,2975.8,2022-10-25,11535
2975.0,3029.85,2919.95,2976.15,2022-10-27,30372
2970.0,2995.7,2953.75,2968.35,2022-10-28,14323
2951.0,2975.0,2936.85,2953.15,2022-10-31,25170
2941.05,2968.75,2941.05,2959.45,2022-11-01,23997
2959.0,2980.0,2950.0,2971.8,2022-11-02,18260
2960.0,3049.0,2960.0,3032.45,2022-11-03,44660
3050.0,3064.45,3003.3,3012.4,2022-11-04,31449
3025.0,3042.0,2850.5,2952.65,2022-11-07,101233
2950.0,2950.0,2881.2,2904.1,2022-11-09,40440
2897.0,2897.0,2860.0,2871.2,2022-11-10,20673
2892.0,2915.95,2862.6,2868.75,2022-11-11,18090
2868.0,2874.0,2834.3,2857.1,2022-11-14,18929
2857.1,2865.0,2845.0,2848.1,2022-11-15,10949
2860.35,2860.4,2800.0,2825.1,2022-11-16,19049
2820.05,2863.95,2805.0,2824.6,2022-11-17,21985
2838.7,2865.0,2798.7,2802.85,2022-11-18,29127
2805.95,2861.0,2763.1,2780.7,2022-11-21,30687
2784.0,2882.0,2784.0,2867.3,2022-11-22,36525
2875.0,2900.0,2829.05,2854.95,2022-11-23,23487
2860.0,2892.45,2808.0,2817.15,2022-11-24,21132
2817.0,2893.85,2810.75,2870.9,2022-11-25,40977
2870.9,2884.3,2804.3,2812.45,2022-11-28,39881
2834.55,2848.0,2811.0,2824.65,2022-11-29,20862
2830.0,2845.0,2810.05,2821.55,2022-11-30,16251
2839.75,2857.4,2823.0,2829.25,2022-12-01,19457
2829.25,2847.85,2823.05,2829.05,2022-12-02,13728
2822.25,2848.0,2780.0,2798.55,2022-12-05,44332
2800.0,2839.95,2798.0,2817.05,2022-12-06,24434
2817.05,2824.95,2790.05,2793.7,2022-12-07,15335
