open,high,low,close,date,volume
410.0,425.0,406.55,422.15,2022-09-29,2469025
422.15,431.2,410.1,412.0,2022-09-30,1559212
413.0,419.7,391.4,402.15,2022-10-03,848102
409.4,418.0,406.0,412.4,2022-10-04,927360
417.95,428.65,415.0,418.6,2022-10-06,879076
419.2,419.8,407.05,412.7,2022-10-07,456033
408.8,411.0,402.2,403.85,2022-10-10,450026
406.7,409.0,395.0,398.45,2022-10-11,725164
399.5,404.8,388.1,400.0,2022-10-12,636576
400.0,401.5,390.1,394.55,2022-10-13,382761
402.9,406.3,386.0,387.75,2022-10-14,466261
384.25,395.05,382.5,392.45,2022-10-17,543441
395.0,412.7,393.9,410.05,2022-10-18,1218124
414.0,430.5,411.5,426.45,2022-10-19,1849966
428.45,442.0,425.1,438.75,2022-10-20,1558820
444.0,444.0,412.0,414.4,2022-10-21,996545
418.3,422.95,414.0,420.55,2022-10-24,239807
422.75,436.0,411.05,426.3,2022-10-25,997541
430.9,430.9,405.95,415.05,2022-10-27,622178
416.8,435.5,407.05,425.25,2022-10-28,1259001
429.55,442.0,425.0,432.75,2022-10-31,992004
431.6,434.3,423.35,426.25,2022-11-01,517505
428.45,428.45,418.0,422.15,2022-11-02,480740
425.7,426.7,416.05,417.55,2022-11-03,352988
419.95,421.55,413.0,414.55,2022-11-04,351441
418.0,419.65,407.25,411.2,2022-11-07,626251
413.0,420.25,411.0,416.05,2022-11-09,724613
421.0,429.0,403.0,419.15,2022-11-10,998999
426.7,458.5,421.05,453.6,2022-11-11,4595086
456.95,495.0,455.4,473.9,2022-11-14,6711433
477.3,483.75,460.1,468.1,2022-11-15,1594072
467.7,478.5,460.8,476.35,2022-11-16,1334670
475.5,476.15,466.35,471.35,2022-11-17,603934
472.95,485.25,455.55,462.5,2022-11-18,1114136
461.75,474.7,456.6,469.65,2022-11-21,609532
467.55,481.3,462.2,469.9,2022-11-22,637861
472.2,479.4,470.4,473.35,2022-11-23,567815
475.7,487.0,458.6,463.6,2022-11-24,910219
468.0,472.75,455.55,467.45,2022-11-25,1006213
466.7,475.9,461.55,464.55,2022-11-28,401310
466.1,466.8,428.1,432.45,2022-11-29,1783503
434.5,450.8,429.0,444.6,2022-11-30,1062181
446.7,453.5,440.75,443.7,2022-12-01,621495
444.7,444.9,437.9,440.15,2022-12-02,510897
440.6,441.55,423.25,425.25,2022-12-05,841268
423.8,427.6,418.05,419.5,2022-12-06,511559
422.0,437.0,420.4,430.0,2022-12-07,1014105
428.0,434.25,426.6,428.05,2022-12-08,319815
430.0,431.45,418.55,423.3,2022-12-09,246711
419.8,422.75,413.5,416.55,2022-12-12,361113
418.4,438.7,418.0,436.3,2022-12-13,641204
438.5,447.95,428.5,438.15,2022-12-14,910767
432.3,434.9,424.3,427.5,2022-12-15,350202
423.5,448.9,423.5,441.05,2022-12-16,1435259
442.95,445.5,432.0,436.0,2022-12-19,338067
437.2,437.5,424.55,430.65,2022-12-20,283383
430.65,435.25,411.55,414.3,2022-12-21,363283
414.3,417.9,393.0,400.65,2022-12-22,691244
393.15,396.1,365.45,370.6,2022-12-23,776033
360.0,399.0,358.15,395.7,2022-12-26,618886
399.95,404.6,393.15,400.3,2022-12-27,249971
402.1,414.7,395.0,411.75,2022-12-28,431425
411.65,412.95,400.0,403.35,2022-12-29,337664
405.55,419.85,401.0,403.45,2022-12-30,245327
404.0,411.0,403.3,406.15,2023-01-02,159079
406.95,407.0,399.0,403.0,2023-01-03,168879
407.0,416.85,405.0,407.95,2023-01-04,662525
409.5,414.4,402.4,412.45,2023-01-05,306963
412.7,413.9,397.3,400.65,2023-01-06,296761
402.55,404.45,398.3,400.05,2023-01-09,258196
400.05,400.1,386.25,389.1,2023-01-10,289823
389.15,402.45,387.1,394.15,2023-01-11,625194
395.3,402.85,393.85,400.25,2023-01-12,291371
402.9,407.7,397.3,401.9,2023-01-13,276167
401.9,411.4,399.3,407.35,2023-01-16,317264
407.35,413.9,403.65,411.75,2023-01-17,299805
412.95,436.0,412.95,430.25,2023-01-18,1546140
428.8,429.0,419.35,423.25,2023-01-19,286823
424.9,441.2,422.2,431.3,2023-01-20,802750
431.35,433.5,421.5,425.15,2023-01-23,206851
425.95,429.75,418.3,422.4,2023-01-24,152517
418.2,428.75,410.45,412.3,2023-01-25,261586
414.35,423.9,393.8,402.2,2023-01-27,474746
398.0,409.65,394.3,399.5,2023-01-30,216564
401.95,419.95,401.25,419.05,2023-01-31,262457
420.15,440.6,410.0,414.85,2023-02-01,858748
415.0,429.4,410.0,418.35,2023-02-02,243922
428.0,428.0,410.2,418.7,2023-02-03,253457
419.5,424.9,412.05,415.95,2023-02-06,247843
417.1,420.0,410.1,415.0,2023-02-07,191044
417.05,419.5,411.0,415.25,2023-02-08,164620
416.85,416.85,408.0,410.15,2023-02-09,231750
412.0,424.05,408.1,411.2,2023-02-10,231472
415.7,415.7,401.55,405.85,2023-02-13,137286
385.1,385.85,327.1,364.55,2023-02-14,6256114
363.0,365.7,351.85,354.7,2023-02-15,1079366
357.45,361.0,335.2,341.5,2023-02-16,1980491
340.5,354.6,340.0,343.1,2023-02-17,1039122
343.1,371.35,343.1,364.25,2023-02-20,1865003
370.0,384.5,365.0,377.65,2023-02-21,1584794
373.85,375.65,360.5,362.25,2023-02-22,833228
365.85,377.9,355.0,372.05,2023-02-23,757729
375.0,382.0,365.1,372.4,2023-02-24,905978
367.75,373.7,362.0,365.15,2023-02-27,444571
367.9,374.95,366.15,370.05,2023-02-28,465647
370.4,373.4,362.1,364.3,2023-03-01,392027
364.2,369.0,360.55,363.25,2023-03-02,303834
366.9,376.85,366.5,370.3,2023-03-03,477621
373.85,381.9,369.05,374.35,2023-03-06,445776
379.3,385.0,372.0,376.95,2023-03-08,644486
379.1,379.8,372.1,378.45,2023-03-09,355870
375.0,384.7,375.0,379.2,2023-03-10,444317
381.1,384.0,372.55,377.0,2023-03-13,300319
379.0,383.7,370.1,370.85,2023-03-14,300064
369.2,376.75,362.6,366.75,2023-03-15,365497
363.2,365.0,348.7,352.1,2023-03-16,479807
353.9,363.2,350.25,356.0,2023-03-17,1976442
354.1,367.75,354.1,363.15,2023-03-20,405152
367.45,369.0,363.05,364.7,2023-03-21,167367
366.4,367.45,363.15,364.0,2023-03-22,104351
364.85,373.45,364.8,366.95,2023-03-23,263018
366.55,368.55,354.7,356.3,2023-03-24,198369
351.1,353.4,343.4,346.45,2023-03-27,468553
354.0,362.0,347.6,351.25,2023-03-28,703748
353.05,363.9,351.25,359.8,2023-03-29,371225
356.15,358.45,352.9,355.65,2023-03-31,544497
367.7,367.75,358.0,360.05,2023-04-03,257902
360.95,369.45,360.95,367.0,2023-04-05,212785
365.05,371.75,363.05,365.9,2023-04-06,163227
367.35,367.7,353.0,354.3,2023-04-10,258228
356.0,357.1,348.1,349.1,2023-04-11,300500
350.1,356.95,350.1,353.6,2023-04-12,301409
355.15,358.85,342.1,345.9,2023-04-13,426718
345.9,353.8,339.05,345.85,2023-04-17,926106
281.6,326.8,279.85,302.4,2023-05-03,730890
306.35,312.75,300.55,305.85,2023-05-04,342844
306.4,308.4,298.05,299.95,2023-05-05,150331
303.0,305.95,297.0,299.7,2023-05-08,122812
299.7,303.9,294.0,295.65,2023-05-09,254600
296.8,300.9,288.25,298.15,2023-05-10,123598
297.8,302.7,294.9,298.1,2023-05-11,399163
298.0,299.45,294.6,296.2,2023-05-12,88742
294.2,297.95,285.8,288.55,2023-05-15,145566
289.9,292.4,285.15,289.2,2023-05-16,176861
289.9,289.9,280.3,287.4,2023-05-17,177995
287.45,293.5,283.25,284.4,2023-05-18,250870
284.95,287.8,283.05,285.85,2023-05-19,83860
287.2,290.9,284.55,289.9,2023-05-22,129436
294.0,297.85,284.15,288.5,2023-05-23,317004
287.05,300.1,285.0,286.0,2023-05-24,391143
287.9,288.2,284.4,286.0,2023-05-25,281209
286.9,287.4,274.6,275.4,2023-05-26,401603
277.9,281.0,269.05,279.05,2023-05-29,410874
284.0,284.0,273.0,274.0,2023-05-30,173437
266.95,268.0,262.5,266.35,2023-05-31,428708
265.0,284.0,265.0,280.5,2023-06-01,598972
282.0,282.8,277.25,278.95,2023-06-02,287807
278.85,281.8,275.0,276.3,2023-06-05,214372
278.0,286.6,275.8,284.4,2023-06-06,405456
285.65,297.6,284.4,293.85,2023-06-07,563431
293.85,296.95,289.7,294.35,2023-06-08,277537
295.4,299.2,291.0,296.05,2023-06-09,250539
299.0,299.0,285.3,286.9,2023-06-12,562431
288.1,293.5,285.45,290.45,2023-06-13,236047
291.35,295.0,284.2,286.4,2023-06-14,344796
286.4,288.65,284.7,286.5,2023-06-15,146798
287.9,294.15,286.95,291.9,2023-06-16,221761
293.45,295.65,288.15,289.25,2023-06-19,171012
290.15,293.3,287.2,289.85,2023-06-20,98709
291.35,293.85,286.55,288.0,2023-06-21,104054
286.55,291.9,285.35,286.15,2023-06-22,154360
287.0,289.6,282.0,282.55,2023-06-23,117220
282.95,282.95,278.0,281.1,2023-06-26,120169
284.85,288.4,282.05,286.6,2023-06-27,168708
286.05,289.4,280.5,284.05,2023-06-28,186530
284.1,287.95,283.35,284.15,2023-06-30,123726
285.75,287.95,280.05,280.85,2023-07-03,232977
282.8,283.85,280.3,281.1,2023-07-04,132776
281.5,281.55,276.55,279.7,2023-07-05,243328
280.2,282.2,277.5,280.1,2023-07-06,258335
285.0,293.5,283.3,286.4,2023-07-07,547885
290.0,290.0,283.25,287.65,2023-07-10,243786
289.0,292.0,287.95,289.4,2023-07-11,229190
290.85,292.0,288.75,289.7,2023-07-12,163639
291.1,292.85,287.75,289.4,2023-07-13,212021
288.5,290.3,287.25,288.6,2023-07-14,182217
288.75,294.7,284.6,288.1,2023-07-17,752052
289.7,307.8,288.15,304.4,2023-07-18,1498822
306.0,307.85,296.0,296.9,2023-07-19,575459
297.95,306.4,294.45,301.8,2023-07-20,696501
298.2,303.75,296.95,299.85,2023-07-21,385601
301.5,304.2,295.15,296.4,2023-07-24,443876
297.25,302.7,295.9,299.75,2023-07-25,387319
301.2,301.85,297.1,299.3,2023-07-26,223069
299.3,309.0,298.2,300.35,2023-07-27,532218
301.05,308.7,301.05,305.75,2023-07-28,435980
307.0,313.75,306.0,312.05,2023-07-31,571539
313.0,316.5,306.2,308.45,2023-08-01,474603
309.45,309.45,297.5,303.5,2023-08-02,434617
303.4,307.7,300.7,304.85,2023-08-03,210289
305.8,308.95,300.55,302.65,2023-08-04,231579
304.2,305.9,301.7,304.9,2023-08-07,133729
305.75,305.75,295.9,300.95,2023-08-08,332401
303.4,303.4,298.4,299.75,2023-08-09,129799
299.65,304.0,292.7,295.0,2023-08-10,279304
293.1,297.65,290.9,293.9,2023-08-11,546389
290.0,291.0,278.3,284.3,2023-08-14,434865
284.25,284.25,276.8,277.15,2023-08-16,339181
277.15,281.35,273.0,273.55,2023-08-17,213829
273.55,277.6,264.0,265.35,2023-08-18,471175
266.0,275.5,262.6,268.5,2023-08-21,685744
268.55,274.05,265.0,266.45,2023-08-22,304052
269.4,277.8,268.35,273.8,2023-08-23,425694
275.5,276.0,270.45,273.15,2023-08-24,187155
274.8,274.8,269.15,271.95,2023-08-25,226650
271.05,275.95,268.15,270.0,2023-08-28,178667
271.0,274.6,267.5,272.4,2023-08-29,244434
