open,high,low,close,date,volume
901.8,914.4,889.3,904.3,2022-09-29,83946
904.3,920.0,890.0,912.0,2022-09-30,67875
912.0,930.95,894.0,896.35,2022-10-03,71983
911.05,929.0,910.0,920.7,2022-10-04,49428
928.5,949.95,923.0,941.25,2022-10-06,81424
941.25,953.95,932.25,943.05,2022-10-07,42119
937.0,937.0,925.1,930.85,2022-10-10,33274
930.85,934.0,909.0,921.3,2022-10-11,33914
929.9,929.95,911.0,921.95,2022-10-12,23043
919.9,922.8,910.05,916.75,2022-10-13,19326
924.95,950.05,913.0,930.45,2022-10-14,46248
940.0,947.65,925.55,940.9,2022-10-17,35758
941.25,967.0,941.25,954.55,2022-10-18,87948
959.9,964.0,932.0,934.85,2022-10-19,36844
933.9,934.8,922.0,925.15,2022-10-20,21139
925.15,934.5,924.5,930.3,2022-10-21,33665
940.0,942.0,934.0,936.4,2022-10-24,7790
950.0,950.05,936.0,945.7,2022-10-25,34628
940.0,954.9,940.0,952.05,2022-10-27,33772
952.05,955.0,935.0,940.55,2022-10-28,28528
942.75,954.25,938.1,949.45,2022-10-31,37445
953.95,954.7,940.0,944.7,2022-11-01,21026
940.0,950.0,930.0,939.6,2022-11-02,17513
939.6,947.95,935.0,938.55,2022-11-03,15743
950.0,1018.25,946.0,981.25,2022-11-04,123154
985.0,1010.0,953.0,960.1,2022-11-07,73750
960.0,960.0,926.1,928.25,2022-11-09,61029
928.25,935.25,869.0,876.2,2022-11-10,138063
900.0,910.0,885.0,891.3,2022-11-11,194710
899.95,900.05,877.1,880.85,2022-11-14,59543
893.95,893.95,883.3,888.95,2022-11-15,25465
888.95,910.2,885.05,905.4,2022-11-16,46821
902.95,905.4,895.0,897.05,2022-11-17,13486
899.95,903.0,877.05,884.0,2022-11-18,29084
880.0,894.2,876.55,885.35,2022-11-21,28663
885.0,891.0,883.55,886.25,2022-11-22,21459
892.5,902.0,886.25,900.05,2022-11-23,26975
907.75,913.5,895.0,904.85,2022-11-24,47248
903.7,906.7,891.35,896.3,2022-11-25,23000
930.25,966.0,920.25,936.5,2022-11-28,360134
971.0,1012.0,941.15,1000.4,2022-11-29,805005
999.0,1006.95,970.5,974.7,2022-11-30,103577
978.9,1002.85,972.5,994.5,2022-12-01,116214
990.7,995.0,983.0,991.5,2022-12-02,47478
996.9,1000.0,983.25,989.7,2022-12-05,44240
982.25,1000.0,965.0,968.55,2022-12-06,121258
972.3,981.55,965.0,975.35,2022-12-07,46708
976.0,977.4,963.25,966.35,2022-12-08,21605
970.0,974.35,883.1,932.75,2022-12-09,63601
931.0,979.0,925.55,961.45,2022-12-12,62728
961.45,976.4,935.0,954.15,2022-12-13,42751
954.2,972.0,942.0,964.35,2022-12-14,51601
964.35,967.0,945.15,948.6,2022-12-15,22243
942.0,954.7,936.3,943.5,2022-12-16,18819
940.0,968.0,938.5,959.3,2022-12-19,30602
951.0,969.85,945.45,961.95,2022-12-20,26134
962.0,981.0,947.7,974.9,2022-12-21,106810
980.0,1019.0,974.0,991.0,2022-12-22,177154
975.05,986.95,943.45,977.05,2022-12-23,135539
982.0,1005.0,965.1,981.45,2022-12-26,72101
989.95,994.45,970.85,989.55,2022-12-27,29206
991.95,991.95,962.55,967.4,2022-12-28,31637
977.0,986.45,953.4,958.95,2022-12-29,51201
962.0,971.95,958.05,965.35,2022-12-30,24097
974.9,974.9,961.05,964.5,2023-01-02,14837
969.9,978.45,956.1,959.55,2023-01-03,31069
964.4,973.65,956.65,968.6,2023-01-04,109930
968.0,987.2,941.8,947.65,2023-01-05,43029
950.0,955.05,940.25,945.9,2023-01-06,21550
948.0,952.1,925.5,928.15,2023-01-09,41739
934.4,942.0,918.35,925.15,2023-01-10,30376
925.15,933.5,916.2,919.75,2023-01-11,28587
919.75,927.1,915.0,919.2,2023-01-12,38225
