open,high,low,close,date,volume
27.2,28.2,26.7,27.2,2022-09-29,21972
27.0,27.85,26.9,27.75,2022-09-30,14478
27.4,28.15,27.15,27.95,2022-10-03,17117
28.55,28.95,28.0,28.75,2022-10-04,22307
28.75,29.95,28.65,29.65,2022-10-06,50107
29.4,30.2,28.9,29.2,2022-10-07,33395
29.2,29.65,28.5,29.0,2022-10-10,16875
29.15,29.35,28.2,28.35,2022-10-11,10217
28.7,28.7,27.6,28.2,2022-10-12,10382
28.2,28.35,27.5,27.9,2022-10-13,9937
28.55,28.85,27.5,27.6,2022-10-14,17550
27.6,28.75,27.3,28.15,2022-10-17,37964
28.65,28.65,27.3,27.45,2022-10-18,15997
28.7,28.7,27.45,27.55,2022-10-19,9179
27.1,28.1,27.1,27.65,2022-10-20,9717
27.85,28.0,26.9,27.1,2022-10-21,24211
28.5,28.5,26.7,27.45,2022-10-24,5985
27.2,27.6,27.05,27.25,2022-10-25,18028
27.4,29.85,27.4,29.1,2022-10-27,143185
29.5,29.7,28.45,29.1,2022-10-28,30143
29.0,30.8,28.7,29.95,2022-10-31,98613
30.45,32.2,29.4,30.65,2022-11-01,107828
31.35,31.8,29.45,30.55,2022-11-02,78428
30.1,31.1,28.9,29.1,2022-11-03,59940
29.7,29.9,28.7,28.9,2022-11-04,21986
29.55,30.6,29.0,29.7,2022-11-07,63865
29.7,30.15,29.1,29.3,2022-11-09,25848
29.3,29.85,28.65,28.9,2022-11-10,21636
29.25,29.65,28.65,28.85,2022-11-11,24822
28.6,29.15,28.5,28.65,2022-11-14,11421
28.95,29.05,28.35,28.6,2022-11-15,4975
28.6,29.2,28.25,28.35,2022-11-16,7099
28.7,29.35,28.55,28.85,2022-11-17,26946
29.45,29.45,28.3,28.4,2022-11-18,9098
28.45,28.8,28.05,28.55,2022-11-21,12629
28.0,28.55,26.75,27.05,2022-11-22,56223
27.7,28.9,26.85,27.8,2022-11-23,25852
28.55,28.55,27.8,27.85,2022-11-24,8172
28.25,28.25,27.25,27.8,2022-11-25,10253
28.0,28.0,27.5,27.9,2022-11-28,13153
28.6,28.6,27.55,27.7,2022-11-29,21728
28.5,28.5,27.8,27.95,2022-11-30,9955
28.05,30.7,27.95,30.0,2022-12-01,127980
30.5,31.5,29.95,30.35,2022-12-02,93468
30.35,31.1,28.4,29.25,2022-12-05,42619
29.35,30.3,29.0,29.4,2022-12-06,41884
29.05,29.6,28.6,29.05,2022-12-07,33725
29.45,30.4,29.4,29.9,2022-12-08,43589
30.5,31.25,28.5,29.4,2022-12-09,81089
29.0,30.85,29.0,29.95,2022-12-12,33888
29.7,30.3,29.4,29.75,2022-12-13,22084
29.6,30.5,29.6,29.8,2022-12-14,32059
29.9,30.25,29.45,29.55,2022-12-15,32074
29.5,30.2,29.4,29.65,2022-12-16,32521
30.35,32.3,29.95,30.55,2022-12-19,307414
30.8,30.9,30.2,30.45,2022-12-20,38963
30.05,30.75,28.65,28.9,2022-12-21,57616
29.5,29.8,27.6,27.9,2022-12-22,35174
27.9,28.0,25.2,25.8,2022-12-23,70410
25.7,27.45,25.6,27.1,2022-12-26,32348
27.25,28.65,27.25,27.65,2022-12-27,13849
27.65,28.3,27.3,27.85,2022-12-28,24545
28.35,28.35,27.3,27.8,2022-12-29,11838
28.15,28.15,27.1,27.35,2022-12-30,27990
27.25,28.3,27.25,27.8,2023-01-02,30351
28.0,28.4,26.45,27.45,2023-01-03,44824
27.55,28.05,26.85,27.05,2023-01-04,28554
27.1,28.8,27.05,28.0,2023-01-05,120562
28.3,29.45,28.1,29.2,2023-01-06,98426
29.5,30.1,28.5,29.5,2023-01-09,48183
29.0,30.8,28.9,30.15,2023-01-10,81586
29.5,30.7,29.5,30.2,2023-01-11,60120
30.0,30.8,29.75,29.95,2023-01-12,32618
30.0,30.65,29.3,29.85,2023-01-13,62363
29.9,30.0,28.5,28.85,2023-01-16,15851
29.7,30.1,28.9,29.6,2023-01-17,28933
29.85,30.1,29.4,29.55,2023-01-18,13751
29.8,31.15,29.1,30.1,2023-01-19,86436
30.0,30.75,29.4,29.6,2023-01-20,8425
30.5,30.5,28.5,28.8,2023-01-23,15122
29.85,29.85,27.35,28.9,2023-01-24,68220
28.55,28.55,27.3,27.85,2023-01-25,46416
28.6,28.6,27.0,27.85,2023-01-27,21911
27.85,27.9,26.65,27.15,2023-01-30,24915
27.55,28.05,27.1,27.8,2023-01-31,30009
28.0,28.3,26.75,27.15,2023-02-01,22218
27.55,28.15,27.15,28.0,2023-02-02,21763
28.6,28.6,27.2,27.95,2023-02-03,19107
28.1,28.5,27.4,28.1,2023-02-06,17355
28.35,28.5,27.45,28.15,2023-02-07,21761
28.15,28.5,27.5,27.95,2023-02-08,6194
27.95,28.4,27.2,27.9,2023-02-09,14114
27.8,27.95,27.25,27.35,2023-02-10,10168
27.45,27.95,27.0,27.15,2023-02-13,39517
27.0,27.5,26.7,27.2,2023-02-14,17900
27.45,27.45,26.8,26.9,2023-02-15,8014
27.6,27.8,27.05,27.4,2023-02-16,4633
27.95,27.95,27.1,27.35,2023-02-17,2932
27.95,27.95,26.7,26.8,2023-02-20,10228
26.65,27.5,26.4,26.55,2023-02-21,10194
27.65,27.65,25.6,25.95,2023-02-22,15393
26.45,26.95,25.95,26.7,2023-02-23,13699
27.5,27.5,26.1,26.95,2023-02-24,4118
26.45,26.9,25.7,25.8,2023-02-27,5754
25.85,26.4,25.6,25.7,2023-02-28,9974
26.0,26.1,25.3,25.55,2023-03-01,27537
25.55,26.25,25.45,25.85,2023-03-02,19592
26.25,27.4,25.85,26.6,2023-03-03,61621
27.5,27.5,25.7,25.9,2023-03-06,17454
26.0,26.15,24.9,25.55,2023-03-08,26437
25.65,26.05,25.2,25.4,2023-03-09,16298
25.3,25.6,24.65,25.1,2023-03-10,22157
25.1,26.6,24.65,24.85,2023-03-13,24380
24.85,25.15,22.8,23.25,2023-03-14,72952
24.0,24.35,22.9,23.15,2023-03-15,13770
22.6,23.65,22.5,23.45,2023-03-16,16271
23.1,23.75,22.7,23.1,2023-03-17,20343
23.4,23.4,21.55,22.25,2023-03-20,28467
22.1,22.75,21.95,22.55,2023-03-21,8234
22.75,23.1,22.0,22.55,2023-03-22,8166
22.95,23.15,22.4,22.65,2023-03-23,24514
22.95,22.95,21.55,21.7,2023-03-24,18624
21.7,21.7,20.1,20.25,2023-03-27,29765
20.8,20.95,18.75,19.1,2023-03-28,50786
19.55,22.2,19.25,21.1,2023-03-29,51524
21.95,21.95,19.95,21.2,2023-03-31,46580
20.65,22.4,20.65,22.2,2023-04-03,17889
22.2,23.65,21.5,23.45,2023-04-05,44899
23.8,23.9,22.85,23.1,2023-04-06,15105
23.45,23.65,22.25,22.45,2023-04-10,14150
23.2,24.35,22.65,23.6,2023-04-11,68020
23.85,24.35,23.05,23.3,2023-04-12,21671
23.5,23.5,22.65,22.75,2023-04-13,38140
22.5,23.5,22.2,23.15,2023-04-17,19089
23.65,25.35,23.25,23.8,2023-04-18,68109
24.1,24.1,23.25,23.55,2023-04-19,9278
23.6,24.25,23.5,24.15,2023-04-20,16732
24.2,24.2,23.1,23.3,2023-04-21,18196
23.5,24.0,22.25,23.05,2023-04-24,24293
23.3,23.8,22.9,23.3,2023-04-25,8858
23.55,24.0,23.2,23.3,2023-04-26,16946
23.55,23.8,23.45,23.45,2023-04-27,5903
23.2,23.95,23.0,23.55,2023-04-28,22575
23.85,24.05,23.1,23.6,2023-05-02,16368
23.7,24.9,23.7,24.2,2023-05-03,18418
24.4,24.55,23.65,23.9,2023-05-04,13772
24.25,24.4,23.15,24.2,2023-05-05,10352
23.85,24.4,23.6,23.75,2023-05-08,9693
24.05,24.95,24.0,24.4,2023-05-09,62646
25.1,25.1,24.45,24.6,2023-05-10,8780
24.5,24.95,24.5,24.8,2023-05-11,10566
25.35,25.35,24.45,24.6,2023-05-12,6703
24.45,24.85,23.8,24.05,2023-05-15,25129
24.55,24.55,23.85,24.1,2023-05-16,18648
23.75,24.75,23.75,24.25,2023-05-17,3267
24.55,24.65,23.85,24.15,2023-05-18,7124
23.7,24.3,23.5,23.55,2023-05-19,8344
