open,high,low,close,date,volume
163.35,163.35,157.0,160.0,2023-11-10,8742
163.85,165.05,159.0,162.6,2023-11-12,12350
162.6,163.2,153.65,157.0,2023-11-13,7098
157.9,164.0,151.2,153.8,2023-11-15,7065
153.25,158.75,153.25,156.1,2023-11-16,9783
153.2,160.45,153.2,157.15,2023-11-17,12403
157.7,160.95,155.1,156.35,2023-11-20,6678
155.15,157.45,155.15,155.7,2023-11-21,14336
157.0,159.05,155.1,155.8,2023-11-22,10380
156.85,157.05,152.95,153.5,2023-11-23,16893
155.8,156.45,149.0,151.2,2023-11-24,10988
158.8,161.0,154.1,158.8,2023-11-28,16207
159.7,160.5,150.0,154.3,2023-11-29,12583
154.05,158.3,150.3,154.55,2023-11-30,13411
154.7,173.65,153.8,163.75,2023-12-01,78860
169.0,173.0,165.55,166.8,2023-12-04,27070
168.05,169.4,162.55,163.25,2023-12-05,15008
165.0,176.4,163.9,173.85,2023-12-06,53963
175.8,179.9,168.15,171.1,2023-12-07,23621
177.0,179.0,170.4,172.15,2023-12-08,32272
168.0,175.25,168.0,172.65,2023-12-11,27916
174.2,174.4,165.0,165.4,2023-12-12,14818
163.5,169.9,158.35,162.15,2023-12-13,20002
165.15,168.1,161.45,163.75,2023-12-14,10644
164.9,168.35,162.15,164.1,2023-12-15,11185
179.9,179.9,161.0,163.75,2023-12-18,15936
160.55,167.1,160.55,163.2,2023-12-19,7482
168.6,168.6,156.1,157.6,2023-12-20,22428
157.55,166.15,155.0,162.85,2023-12-21,11938
162.85,166.95,156.65,158.75,2023-12-22,6255
161.95,167.95,158.4,166.7,2023-12-26,37788
168.7,172.6,166.2,167.1,2023-12-27,19442
170.0,170.45,165.15,167.9,2023-12-28,41954
168.2,169.35,164.15,167.4,2023-12-29,15223
