open,high,low,close,date,volume
83.0,85.25,80.45,83.05,2022-09-29,1164514
83.05,98.45,83.05,97.05,2022-09-30,7279873
96.05,100.5,93.2,94.0,2022-10-03,5016000
96.0,104.9,95.65,101.65,2022-10-04,7251717
102.3,106.8,100.55,103.85,2022-10-06,5200734
103.5,104.8,101.5,102.9,2022-10-07,2026960
101.0,103.0,98.05,100.9,2022-10-10,1780105
101.15,105.85,100.2,101.25,2022-10-11,3324372
101.75,103.7,97.6,100.95,2022-10-12,2272502
101.1,102.3,98.9,100.45,2022-10-13,1167327
102.55,105.0,100.05,101.2,2022-10-14,2236133
101.55,109.0,100.8,108.1,2022-10-17,6350700
109.5,109.9,104.3,105.65,2022-10-18,3414717
105.65,105.95,99.5,100.85,2022-10-19,4956600
101.7,109.9,100.8,108.55,2022-10-20,8296040
109.0,110.9,105.55,106.4,2022-10-21,4192750
107.65,109.0,106.6,108.3,2022-10-24,1081484
108.9,108.9,105.0,106.05,2022-10-25,1661824
107.0,110.8,106.0,110.1,2022-10-27,2669284
110.5,115.5,110.5,114.75,2022-10-28,5565769
115.4,116.9,112.75,113.75,2022-10-31,2161083
114.25,114.75,110.0,113.85,2022-11-01,5306705
113.5,114.85,100.35,110.0,2022-11-02,2122623
109.85,112.5,109.0,110.45,2022-11-03,958899
111.0,115.65,110.4,114.85,2022-11-04,2172883
115.7,117.2,112.8,114.45,2022-11-07,1274421
115.25,117.9,114.1,115.4,2022-11-09,3832231
114.5,117.95,113.55,114.65,2022-11-10,1325633
116.0,117.75,114.3,116.6,2022-11-11,1367831
117.0,117.65,114.0,115.4,2022-11-14,772693
115.3,120.35,114.85,118.35,2022-11-15,2051059
118.0,118.5,112.1,113.35,2022-11-16,2132232
113.0,113.15,109.65,112.0,2022-11-17,1134662
112.0,113.0,105.0,106.7,2022-11-18,1853110
106.4,106.7,100.45,102.2,2022-11-21,2735928
102.65,106.5,101.05,101.75,2022-11-22,2139326
102.5,104.0,99.65,100.9,2022-11-23,1902224
101.0,106.35,100.0,103.85,2022-11-24,4817368
103.8,105.75,101.9,103.75,2022-11-25,2638283
103.6,104.2,100.2,100.8,2022-11-28,1739084
101.35,102.3,98.4,99.4,2022-11-29,1655390
99.3,102.7,99.15,101.45,2022-11-30,1598215
102.0,104.95,101.35,102.95,2022-12-01,1645049
103.2,103.75,101.2,101.9,2022-12-02,1121194
102.4,103.85,100.5,101.3,2022-12-05,1052178
101.0,102.05,99.45,100.3,2022-12-06,1000128
100.85,102.75,99.7,101.1,2022-12-07,1091109
101.65,102.95,100.25,101.2,2022-12-08,836645
102.0,103.9,98.6,102.15,2022-12-09,2144964
102.55,103.15,99.75,101.9,2022-12-12,1278463
101.0,109.25,101.0,107.3,2022-12-13,6221168
108.0,114.0,107.6,109.7,2022-12-14,6515839
109.45,110.65,104.85,105.65,2022-12-15,2527923
105.05,106.55,101.7,102.65,2022-12-16,2214093
103.7,104.65,101.0,103.5,2022-12-19,2333799
103.1,108.7,102.9,105.95,2022-12-20,5315592
107.0,113.75,104.2,105.3,2022-12-21,9784738
106.5,109.5,99.0,101.5,2022-12-22,5519521
101.1,101.6,88.5,89.9,2022-12-23,4145742
90.35,98.65,88.0,95.1,2022-12-26,3772532
95.5,100.85,95.5,98.1,2022-12-27,3366426
98.0,101.5,97.0,100.55,2022-12-28,4197903
100.55,106.25,100.0,105.25,2022-12-29,4416179
107.15,115.85,107.15,112.1,2022-12-30,13566865
112.0,112.8,107.0,108.35,2023-01-02,3368115
108.2,111.7,107.3,109.15,2023-01-03,3312731
109.5,112.8,109.5,111.3,2023-01-04,4079606
111.55,113.9,110.5,113.4,2023-01-05,4258256
114.0,117.35,112.75,116.5,2023-01-06,3914910
117.9,118.7,113.85,115.7,2023-01-09,2560056
115.7,116.1,111.05,111.85,2023-01-10,1644605
111.85,114.3,111.55,112.35,2023-01-11,1336239
112.95,113.95,110.4,111.45,2023-01-12,1757847
111.85,115.1,111.7,114.7,2023-01-13,1578905
115.2,118.45,114.05,114.95,2023-01-16,2175293
115.45,120.5,112.4,119.6,2023-01-17,3567622
120.2,123.0,119.15,120.0,2023-01-18,3809497
119.4,122.7,118.15,121.9,2023-01-19,2426181
124.2,125.25,119.5,120.75,2023-01-20,6827714
121.85,121.85,116.2,118.35,2023-01-23,1855073
118.95,120.8,115.2,117.4,2023-01-24,1331324
117.0,117.4,112.85,113.45,2023-01-25,1236033
113.5,114.35,102.1,106.8,2023-01-27,2592713
107.4,110.3,104.45,107.5,2023-01-30,1529668
108.6,113.25,106.5,111.45,2023-01-31,1737643
113.0,114.2,90.6,103.05,2023-02-01,3001242
103.05,106.55,100.6,103.1,2023-02-02,1339986
103.8,104.7,97.25,100.4,2023-02-03,2605208
100.4,105.4,99.4,104.1,2023-02-06,1480995
103.5,105.45,103.0,103.85,2023-02-07,1157313
103.6,108.4,103.5,107.25,2023-02-08,1232001
107.25,108.95,106.0,108.05,2023-02-09,841031
107.5,108.5,107.0,107.2,2023-02-10,442582
106.9,107.6,102.85,103.75,2023-02-13,957985
103.45,106.85,101.2,104.25,2023-02-14,1159716
104.0,106.9,103.65,106.35,2023-02-15,585979
106.8,110.5,106.2,109.7,2023-02-16,1222842
108.6,112.95,108.25,112.45,2023-02-17,949550
113.05,117.35,113.0,115.55,2023-02-20,2031424
115.55,117.4,113.65,115.95,2023-02-21,3121516
114.8,117.55,111.0,111.9,2023-02-22,2480869
111.9,113.05,109.9,112.4,2023-02-23,696208
112.8,113.45,106.65,108.0,2023-02-24,1192347
108.25,109.0,101.0,103.9,2023-02-27,1213663
104.9,106.8,103.2,104.75,2023-02-28,838779
104.9,108.8,104.5,107.65,2023-03-01,1256861
107.65,113.75,107.3,112.65,2023-03-02,2312680
113.0,116.75,112.05,115.4,2023-03-03,2324858
116.0,117.6,115.25,115.95,2023-03-06,1443530
115.0,116.9,113.85,115.15,2023-03-08,1490492
115.05,120.55,115.05,118.7,2023-03-09,4122008
117.85,120.45,115.25,116.15,2023-03-10,2120772
116.5,117.0,109.05,110.25,2023-03-13,1500376
110.45,112.85,107.1,111.6,2023-03-14,1250780
112.15,115.5,111.5,114.45,2023-03-15,1541445
113.85,114.8,111.55,113.65,2023-03-16,817184
114.75,118.45,114.75,117.55,2023-03-17,1916154
117.15,117.5,111.25,113.55,2023-03-20,1504580
114.15,123.0,112.75,122.4,2023-03-21,3824242
122.45,124.25,120.35,121.55,2023-03-22,2915656
121.0,122.2,119.0,119.6,2023-03-23,1062772
119.8,119.9,116.8,117.75,2023-03-24,1485976
117.95,118.0,114.25,115.6,2023-03-27,1055397
122.7,122.7,114.5,115.6,2023-03-28,1099252
115.65,118.95,114.6,118.05,2023-03-29,2645963
119.0,123.8,118.65,122.15,2023-03-31,2661129
123.75,128.0,122.5,125.65,2023-04-03,2365577
125.8,134.0,125.1,133.3,2023-04-05,4598533
133.7,136.6,131.35,135.6,2023-04-06,3038970
136.1,138.45,133.45,135.15,2023-04-10,1486344
135.95,139.25,133.15,137.8,2023-04-11,1720627
137.2,142.0,136.3,141.45,2023-04-12,2495298
