open,high,low,close,date,volume
436.25,442.95,434.55,438.6,2022-09-29,28258
423.0,446.0,423.0,442.45,2022-09-30,50784
438.0,441.6,423.0,425.15,2022-10-03,50633
436.0,436.0,424.2,425.95,2022-10-04,23343
426.7,447.8,426.7,443.8,2022-10-06,160193
443.5,449.45,433.1,444.4,2022-10-07,41890
439.0,456.6,434.15,443.55,2022-10-10,94227
446.9,454.4,434.0,436.35,2022-10-11,121328
436.05,442.7,429.0,432.05,2022-10-12,54847
429.0,438.1,429.0,433.35,2022-10-13,49007
441.0,443.35,430.0,432.65,2022-10-14,27404
428.5,442.0,425.0,437.55,2022-10-17,38590
440.5,452.0,438.25,450.05,2022-10-18,36427
454.75,464.0,445.8,450.1,2022-10-19,60523
453.5,468.9,451.0,463.7,2022-10-20,107517
468.25,469.8,450.1,453.5,2022-10-21,83724
457.5,465.9,455.05,463.9,2022-10-24,15949
467.35,480.35,460.0,478.55,2022-10-25,98282
484.4,491.65,480.0,489.85,2022-10-27,125211
490.85,492.0,473.75,482.35,2022-10-28,87949
492.9,498.9,488.0,492.55,2022-10-31,158756
492.55,493.0,482.75,491.05,2022-11-01,80385
493.5,493.5,462.0,475.85,2022-11-02,196543
494.0,499.0,473.0,476.2,2022-11-03,695112
476.2,479.5,466.0,470.65,2022-11-04,114292
481.0,481.0,465.1,469.75,2022-11-07,65374
474.9,476.75,460.1,462.55,2022-11-09,90813
460.0,471.9,453.5,457.15,2022-11-10,72976
468.7,468.7,445.2,448.7,2022-11-11,75025
453.2,458.0,445.0,449.35,2022-11-14,118999
455.0,455.0,445.35,447.4,2022-11-15,60732
444.05,449.0,435.1,437.1,2022-11-16,77408
439.0,440.5,429.0,431.05,2022-11-17,44581
432.0,435.65,427.5,429.4,2022-11-18,55561
429.4,437.85,424.15,427.85,2022-11-21,36784
434.9,434.9,423.8,429.85,2022-11-22,48105
433.9,450.1,431.3,449.8,2022-11-23,135298
455.0,455.0,440.05,441.95,2022-11-24,43148
446.35,446.35,434.0,435.2,2022-11-25,27558
442.0,442.9,426.0,428.95,2022-11-28,66159
425.1,435.0,414.0,415.4,2022-11-29,88074
416.5,429.0,416.5,426.3,2022-11-30,45222
432.0,433.45,420.8,422.9,2022-12-01,60407
422.9,426.6,418.3,420.7,2022-12-02,38934
416.15,440.0,416.15,431.6,2022-12-05,77882
431.6,436.45,425.0,428.6,2022-12-06,30874
430.0,434.95,425.0,429.75,2022-12-07,39024
429.75,438.75,428.8,436.3,2022-12-08,23226
439.0,452.0,433.65,445.4,2022-12-09,335429
448.5,448.5,437.65,443.1,2022-12-12,42246
447.9,447.9,437.0,439.6,2022-12-13,29415
443.75,448.9,439.0,445.0,2022-12-14,37171
446.0,447.25,436.95,437.75,2022-12-15,20318
441.95,441.95,424.3,433.25,2022-12-16,34642
434.0,449.4,430.2,444.7,2022-12-19,97662
448.8,451.0,440.1,441.9,2022-12-20,156301
445.0,449.0,420.0,424.15,2022-12-21,43017
428.35,431.8,403.55,411.35,2022-12-22,69537
411.25,411.35,371.0,376.5,2022-12-23,104099
378.2,409.0,376.5,405.15,2022-12-26,44232
405.5,417.7,403.55,413.75,2022-12-27,26959
410.35,424.0,410.35,420.95,2022-12-28,25176
418.2,419.95,414.05,418.5,2022-12-29,16159
416.0,424.35,416.0,420.1,2022-12-30,18114
423.55,427.45,420.0,423.55,2023-01-02,19315
426.0,427.75,420.0,422.7,2023-01-03,15808
425.0,427.0,414.55,418.5,2023-01-04,32449
419.9,423.5,417.5,419.1,2023-01-05,17984
423.3,424.45,412.55,416.35,2023-01-06,16735
424.7,424.7,412.0,413.05,2023-01-09,19261
414.1,414.1,406.45,407.95,2023-01-10,21702
414.0,419.85,408.05,417.7,2023-01-11,20543
420.0,420.95,410.0,411.6,2023-01-12,11347
408.6,422.0,408.6,414.9,2023-01-13,23939
421.0,421.0,409.0,411.35,2023-01-16,9150
412.0,412.0,405.9,408.85,2023-01-17,13810
409.55,412.9,408.65,411.35,2023-01-18,7304
415.0,417.9,405.7,415.65,2023-01-19,15753
416.3,424.0,412.1,420.65,2023-01-20,23316
428.0,428.0,418.5,422.5,2023-01-23,21829
421.0,427.75,418.55,422.45,2023-01-24,28065
423.0,427.95,418.7,421.35,2023-01-25,18188
415.0,422.95,404.25,410.4,2023-01-27,23835
418.55,428.15,411.95,421.95,2023-01-30,49227
425.05,465.0,425.05,453.8,2023-01-31,934682
456.0,460.0,431.6,438.05,2023-02-01,254121
432.65,456.95,432.65,447.75,2023-02-02,156277
457.6,457.6,430.0,439.7,2023-02-03,113971
446.3,452.0,439.9,445.9,2023-02-06,136879
448.0,453.05,436.7,440.1,2023-02-07,85195
444.2,449.7,435.8,441.2,2023-02-08,44320
442.0,457.1,441.8,448.9,2023-02-09,140155
451.6,452.4,440.05,441.25,2023-02-10,138996
447.0,453.65,418.8,429.7,2023-02-13,216742
437.9,437.9,422.95,432.45,2023-02-14,164055
431.75,445.0,429.75,438.8,2023-02-15,84935
442.0,443.1,435.0,438.3,2023-02-16,48442
438.3,444.0,435.35,441.15,2023-02-17,48067
442.55,455.05,431.75,435.3,2023-02-20,71981
441.85,447.0,433.25,435.4,2023-02-21,32123
435.0,435.0,427.75,429.2,2023-02-22,34133
425.0,432.5,424.75,430.2,2023-02-23,30493
431.6,435.35,429.55,430.2,2023-02-24,19059
433.0,433.0,420.15,422.05,2023-02-27,26804
420.3,426.25,418.2,423.6,2023-02-28,20254
423.9,431.85,423.25,427.65,2023-03-01,28433
430.5,435.25,424.0,425.55,2023-03-02,30380
427.0,433.0,425.25,428.6,2023-03-03,82393
431.8,432.95,425.05,425.85,2023-03-06,56575
428.5,431.7,422.2,429.0,2023-03-08,53770
431.7,441.0,426.1,429.35,2023-03-09,85294
429.9,433.4,426.1,430.05,2023-03-10,31849
434.25,434.25,418.5,419.95,2023-03-13,45823
418.15,424.0,401.0,404.05,2023-03-14,85225
409.9,414.9,404.2,406.35,2023-03-15,27975
409.9,409.9,393.8,400.25,2023-03-16,35169
404.25,413.95,403.35,410.55,2023-03-17,23377
410.55,411.75,399.0,403.4,2023-03-20,27377
405.0,412.75,404.5,409.15,2023-03-21,26559
413.15,423.5,411.35,420.05,2023-03-22,46748
420.0,423.45,410.0,414.4,2023-03-23,81817
418.45,422.8,411.4,415.05,2023-03-24,74345
413.0,418.45,405.0,408.65,2023-03-27,27645
405.55,407.0,395.3,400.2,2023-03-28,34866
398.1,414.05,398.05,410.3,2023-03-29,126445
422.5,422.5,412.0,413.85,2023-03-31,93087
416.0,432.0,414.9,429.15,2023-04-03,168828
429.15,437.0,426.05,431.7,2023-04-05,127936
435.9,435.9,426.15,429.9,2023-04-06,56163
430.0,434.25,422.0,425.15,2023-04-10,46931
427.3,432.9,427.0,429.9,2023-04-11,78466
433.7,444.0,427.8,436.65,2023-04-12,79562
441.0,473.0,437.8,457.25,2023-04-13,349345
468.35,475.0,452.1,463.0,2023-04-17,270904
463.0,465.05,453.55,460.6,2023-04-18,71017
461.0,469.0,453.9,458.1,2023-04-19,157160
458.95,467.2,458.1,463.1,2023-04-20,95659
466.05,469.95,460.1,463.65,2023-04-21,120639
465.0,466.0,456.6,460.7,2023-04-24,56649
462.95,477.55,455.7,461.5,2023-04-25,328538
465.9,467.1,445.0,450.25,2023-04-26,143345
454.75,455.1,445.05,449.8,2023-04-27,76873
452.0,455.0,449.8,453.4,2023-04-28,47426
456.45,464.55,456.35,459.2,2023-05-02,147193
459.2,467.35,457.3,463.65,2023-05-03,78914
468.9,473.85,459.45,469.85,2023-05-04,214525
470.6,472.0,457.55,459.5,2023-05-05,85257
461.0,477.8,461.0,473.15,2023-05-08,348431
496.0,496.0,456.05,470.45,2023-05-09,901550
474.5,475.0,460.0,460.7,2023-05-10,165173
464.9,471.95,460.2,464.55,2023-05-11,109935
468.95,471.0,459.0,463.55,2023-05-12,119005
460.0,467.9,456.7,464.15,2023-05-15,193725
468.0,468.0,457.15,458.9,2023-05-16,66060
461.0,463.7,454.45,457.9,2023-05-17,59476
462.5,464.9,452.0,455.5,2023-05-18,50788
460.0,460.0,451.65,455.35,2023-05-19,54339
452.05,458.65,452.05,456.9,2023-05-22,52174
459.0,464.2,455.1,460.15,2023-05-23,98118
462.95,462.95,447.15,451.1,2023-05-24,89695
453.8,453.8,429.0,433.45,2023-05-25,236989
436.95,439.0,432.05,437.65,2023-05-26,50114
437.7,448.6,437.1,443.3,2023-05-29,77917
446.45,452.25,440.8,447.7,2023-05-30,66264
451.95,451.95,438.1,444.55,2023-05-31,34468
445.85,449.95,445.5,446.75,2023-06-01,27007
442.35,447.7,442.0,443.1,2023-06-02,56760
447.0,450.85,444.0,446.5,2023-06-05,52533
449.5,449.5,441.0,444.05,2023-06-06,39708
445.0,448.5,444.15,445.25,2023-06-07,30129
445.0,449.0,436.0,437.1,2023-06-08,73436
441.45,441.45,428.75,432.6,2023-06-09,52294
435.0,435.0,427.1,429.1,2023-06-12,69793
434.8,435.75,430.55,433.15,2023-06-13,46747
437.0,437.45,429.55,431.35,2023-06-14,43687
435.65,435.65,426.0,429.1,2023-06-15,36837
434.95,435.2,430.0,431.25,2023-06-16,44666
434.85,434.9,424.0,424.85,2023-06-19,65575
425.05,428.4,421.1,424.55,2023-06-20,66106
428.0,428.0,421.95,424.75,2023-06-21,41371
424.7,428.35,421.55,422.35,2023-06-22,32726
424.0,424.0,416.6,418.45,2023-06-23,33179
413.0,413.0,391.3,407.1,2023-06-26,160283
407.1,425.5,407.1,421.3,2023-06-27,78519
424.5,425.4,414.0,422.75,2023-06-28,83655
423.25,423.25,417.15,418.8,2023-06-30,50360
422.9,425.35,414.0,414.7,2023-07-03,55503
416.0,416.0,412.0,413.4,2023-07-04,40601
419.45,419.65,412.15,414.25,2023-07-05,58469
414.0,425.0,413.85,423.25,2023-07-06,90112
425.05,433.3,421.05,423.35,2023-07-07,128129
424.3,426.6,418.0,421.6,2023-07-10,47223
422.0,425.35,421.05,423.5,2023-07-11,36582
427.0,427.0,423.35,424.65,2023-07-12,37537
427.0,428.55,417.1,419.95,2023-07-13,65015
