open,high,low,close,date,volume
135.95,139.0,132.2,137.15,2022-09-29,203203
137.85,141.35,135.2,139.8,2022-09-30,185590
140.35,140.45,136.0,136.55,2022-10-03,93855
138.25,143.8,138.0,142.3,2022-10-04,149958
143.7,146.65,142.45,144.6,2022-10-06,164582
143.7,146.7,143.45,144.95,2022-10-07,124342
143.0,146.65,143.0,143.25,2022-10-10,137556
144.25,147.3,138.1,140.15,2022-10-11,188747
141.0,146.0,138.9,143.3,2022-10-12,122542
143.35,145.45,141.5,143.05,2022-10-13,99761
145.95,146.2,141.2,141.7,2022-10-14,67018
140.6,142.4,139.95,140.25,2022-10-17,63445
141.0,142.8,140.2,140.9,2022-10-18,102025
141.0,142.5,140.6,141.1,2022-10-19,60840
139.05,142.0,139.0,139.65,2022-10-20,135279
140.4,141.2,136.5,138.35,2022-10-21,112788
141.0,141.0,137.15,138.9,2022-10-24,35077
139.85,141.5,136.2,137.0,2022-10-25,92859
137.5,140.3,137.1,139.7,2022-10-27,56554
138.5,139.95,137.25,137.55,2022-10-28,56933
137.7,141.5,137.3,140.65,2022-10-31,152888
141.35,141.5,133.7,138.5,2022-11-01,206400
139.45,146.8,138.75,145.4,2022-11-02,457140
146.45,148.0,142.25,142.8,2022-11-03,108463
142.8,144.35,142.1,143.25,2022-11-04,63719
144.45,145.35,140.3,141.35,2022-11-07,105815
141.0,142.4,138.05,138.45,2022-11-09,130768
138.0,139.1,136.5,136.75,2022-11-10,90543
139.1,139.1,135.25,135.6,2022-11-11,103494
134.55,135.15,130.05,131.3,2022-11-14,277065
132.35,132.35,128.5,129.55,2022-11-15,192696
129.55,134.45,129.55,133.6,2022-11-16,319992
132.5,134.95,132.5,133.2,2022-11-17,136814
133.2,133.55,129.5,129.95,2022-11-18,121637
130.9,130.9,127.8,128.3,2022-11-21,141355
128.05,130.1,128.0,128.8,2022-11-22,58081
129.0,130.8,129.0,129.5,2022-11-23,60976
130.95,133.25,129.7,130.25,2022-11-24,155240
130.1,131.25,128.0,128.8,2022-11-25,172718
129.9,131.9,128.8,131.15,2022-11-28,109510
130.2,132.0,130.05,130.8,2022-11-29,68528
131.0,131.6,128.6,128.85,2022-11-30,165014
131.0,131.0,128.8,129.6,2022-12-01,131961
129.6,137.9,129.1,135.7,2022-12-02,787865
137.15,139.0,135.85,137.3,2022-12-05,266632
139.7,141.45,137.6,138.35,2022-12-06,362326
137.0,137.8,134.5,135.2,2022-12-07,109952
136.4,136.55,133.25,134.3,2022-12-08,54011
135.4,135.4,131.5,131.8,2022-12-09,105422
131.1,134.65,130.05,131.15,2022-12-12,139480
131.9,133.3,129.9,130.35,2022-12-13,150368
131.0,131.65,128.6,128.8,2022-12-14,260052
129.05,131.45,128.8,129.0,2022-12-15,166750
129.2,136.9,129.05,135.05,2022-12-16,904833
138.0,146.25,138.0,139.3,2022-12-19,1786105
141.7,141.7,135.3,136.1,2022-12-20,391594
138.95,139.5,130.5,131.75,2022-12-21,342261
132.1,133.0,126.5,128.85,2022-12-22,266029
126.05,127.8,123.5,124.1,2022-12-23,206150
124.1,128.6,123.0,126.65,2022-12-26,245768
129.9,133.0,129.8,132.45,2022-12-27,369911
132.45,133.2,131.05,131.4,2022-12-28,105445
131.1,135.8,130.45,133.45,2022-12-29,356423
134.75,136.5,132.6,133.25,2022-12-30,131386
132.5,135.05,132.5,134.15,2023-01-02,80899
133.1,136.0,133.1,134.25,2023-01-03,161479
134.7,134.8,130.5,130.9,2023-01-04,120278
131.05,132.0,129.5,130.2,2023-01-05,92644
130.2,131.35,129.05,129.3,2023-01-06,72155
129.6,132.5,128.5,129.25,2023-01-09,109093
129.5,130.2,127.8,128.85,2023-01-10,89056
129.7,132.25,129.3,130.05,2023-01-11,125267
131.2,131.65,129.45,129.8,2023-01-12,41511
130.8,130.85,129.0,129.5,2023-01-13,54617
129.5,130.6,129.0,129.95,2023-01-16,64422
130.75,138.65,128.65,135.45,2023-01-17,570151
135.05,137.9,133.4,137.25,2023-01-18,528818
137.0,137.85,134.1,134.9,2023-01-19,177290
134.9,135.45,132.4,132.9,2023-01-20,73353
132.5,134.3,131.6,132.9,2023-01-23,91006
133.7,133.7,130.2,130.55,2023-01-24,54148
130.4,133.2,128.8,130.45,2023-01-25,127129
130.95,131.95,127.35,128.1,2023-01-27,100591
128.0,130.45,127.0,128.75,2023-01-30,107007
129.95,131.5,127.7,130.85,2023-01-31,124636
131.95,132.15,127.05,128.4,2023-02-01,106042
128.05,129.9,127.3,128.4,2023-02-02,67635
128.35,129.3,127.05,128.05,2023-02-03,48718
128.85,129.05,126.5,126.95,2023-02-06,89591
127.05,127.85,126.0,126.8,2023-02-07,49827
127.0,127.8,126.35,127.3,2023-02-08,61503
127.3,128.35,126.45,127.7,2023-02-09,42464
128.0,128.9,127.0,128.05,2023-02-10,65964
128.1,128.9,125.0,125.65,2023-02-13,109008
126.7,126.7,123.0,123.35,2023-02-14,85127
125.1,125.7,123.4,125.15,2023-02-15,112413
125.65,127.65,124.9,125.85,2023-02-16,86234
125.85,128.4,125.0,126.8,2023-02-17,92311
127.9,127.9,124.5,125.05,2023-02-20,50406
125.0,125.85,123.55,124.15,2023-02-21,47591
125.35,125.35,122.4,122.65,2023-02-22,44139
122.0,124.45,120.7,121.05,2023-02-23,53699
122.85,122.85,120.0,120.75,2023-02-24,52045
120.9,121.85,115.45,116.3,2023-02-27,135606
117.45,120.35,115.0,117.65,2023-02-28,108157
117.7,120.0,117.5,119.35,2023-03-01,34037
119.4,120.75,117.7,118.9,2023-03-02,53649
117.5,120.3,117.5,119.15,2023-03-03,55234
119.2,120.8,119.1,119.3,2023-03-06,83553
120.2,129.25,118.7,126.25,2023-03-08,882453
126.95,126.95,122.5,123.0,2023-03-09,99497
122.45,127.8,120.55,126.95,2023-03-10,627022
126.5,127.45,122.1,122.75,2023-03-13,128378
122.95,123.65,119.3,119.55,2023-03-14,109515
120.9,121.85,116.6,117.75,2023-03-15,94265
118.75,118.8,113.0,113.9,2023-03-16,221980
115.3,115.7,112.75,113.15,2023-03-17,124870
113.2,113.9,110.5,111.5,2023-03-20,92029
112.0,112.9,110.5,111.15,2023-03-21,104570
111.9,113.85,110.9,111.4,2023-03-22,122192
111.7,116.95,111.05,112.5,2023-03-23,294622
112.55,113.6,110.5,110.85,2023-03-24,105776
110.0,112.3,105.0,105.85,2023-03-27,194649
106.0,106.7,100.5,101.95,2023-03-28,231233
101.85,108.5,101.85,107.05,2023-03-29,300036
111.8,111.8,108.1,108.5,2023-03-31,189329
108.5,112.4,108.5,110.85,2023-04-03,165645
112.1,113.85,110.6,112.65,2023-04-05,181597
115.0,116.45,113.2,113.6,2023-04-06,290165
114.85,115.2,113.75,114.15,2023-04-10,88654
114.9,114.9,113.05,113.65,2023-04-11,117494
114.8,118.0,114.8,115.7,2023-04-12,176821
116.85,118.45,115.5,116.1,2023-04-13,207525
116.15,116.9,114.4,115.0,2023-04-17,191280
115.7,116.25,109.15,111.95,2023-04-18,500320
112.3,115.8,112.2,114.65,2023-04-19,270164
