open,high,low,close,date,volume
816.0,853.0,804.1,817.85,2022-09-29,22152
825.95,845.0,810.0,826.25,2022-09-30,6718
822.0,875.0,816.3,850.4,2022-10-03,11931
861.0,879.9,839.0,853.3,2022-10-04,9646
860.4,903.0,860.4,883.65,2022-10-06,15805
875.0,900.0,875.0,896.4,2022-10-07,6734
887.0,910.0,865.0,890.15,2022-10-10,5214
907.0,907.0,861.0,867.15,2022-10-11,3872
867.15,887.95,862.25,878.95,2022-10-12,6874
880.0,908.0,865.0,896.5,2022-10-13,4364
897.1,908.65,860.1,866.6,2022-10-14,14101
880.0,883.8,842.4,853.65,2022-10-17,30079
879.9,882.65,851.25,857.0,2022-10-18,57729
865.5,875.0,841.0,862.15,2022-10-19,24962
854.0,860.45,845.0,849.85,2022-10-20,8915
850.0,863.85,844.0,850.6,2022-10-21,9354
852.0,864.7,848.3,851.3,2022-10-24,2408
859.75,860.95,840.05,842.4,2022-10-25,5418
865.0,865.0,835.0,839.15,2022-10-27,6314
847.45,847.45,837.3,840.0,2022-10-28,3901
850.0,856.65,835.65,844.55,2022-10-31,9132
845.05,848.9,835.0,842.25,2022-11-01,8284
840.0,850.0,840.0,846.05,2022-11-02,3183
842.05,887.9,842.05,849.9,2022-11-03,7729
850.65,855.95,841.1,845.25,2022-11-04,5406
853.65,860.75,843.05,849.0,2022-11-07,4468
849.0,856.4,839.95,850.45,2022-11-09,6680
858.0,880.0,845.65,870.7,2022-11-10,12113
869.9,892.05,860.05,875.55,2022-11-11,14418
875.55,884.2,850.0,874.1,2022-11-14,14134
877.9,897.45,867.1,885.65,2022-11-15,9513
890.0,944.7,875.2,930.0,2022-11-16,53459
925.0,950.0,915.05,939.45,2022-11-17,29673
945.0,947.95,902.0,906.35,2022-11-18,10873
924.0,924.0,861.8,863.95,2022-11-21,37023
872.55,884.0,858.0,865.05,2022-11-22,9403
878.0,880.35,860.85,868.1,2022-11-23,5358
876.7,876.7,850.0,855.75,2022-11-24,9501
865.0,879.15,852.05,870.7,2022-11-25,8802
870.7,881.95,859.8,874.15,2022-11-28,7036
865.4,924.95,865.0,893.5,2022-11-29,29404
894.75,910.0,884.7,895.8,2022-11-30,6095
904.75,909.0,880.05,891.8,2022-12-01,20798
898.25,904.0,871.6,880.45,2022-12-02,25414
875.05,892.45,869.1,876.7,2022-12-05,6496
887.95,897.65,878.55,889.35,2022-12-06,9391
890.0,895.75,881.0,883.5,2022-12-07,3017
890.0,894.95,884.1,889.4,2022-12-08,3255
885.0,894.85,865.05,868.55,2022-12-09,6839
868.0,873.85,859.95,866.65,2022-12-12,3881
860.15,890.0,860.0,861.6,2022-12-13,7378
865.0,870.15,860.0,860.85,2022-12-14,3208
861.95,866.0,856.05,862.25,2022-12-15,4989
860.0,867.95,848.0,854.7,2022-12-16,7371
862.0,864.45,845.0,847.0,2022-12-19,6209
847.0,853.05,841.0,842.35,2022-12-20,7280
843.95,869.0,840.05,853.7,2022-12-21,9307
845.0,873.05,840.0,856.05,2022-12-22,11313
851.0,856.0,811.0,826.6,2022-12-23,27372
825.0,860.0,819.85,855.3,2022-12-26,7943
863.85,874.45,848.0,855.85,2022-12-27,18225
864.3,864.3,845.0,852.05,2022-12-28,2553
860.0,863.4,841.25,847.25,2022-12-29,11379
860.0,876.0,850.4,864.8,2022-12-30,8668
876.0,888.0,858.4,882.6,2023-01-02,25300
884.9,973.6,877.65,949.85,2023-01-03,98732
965.0,978.95,931.0,936.0,2023-01-04,54668
939.0,942.15,915.0,919.8,2023-01-05,7248
914.8,956.0,914.8,931.5,2023-01-06,23169
954.95,954.95,922.25,931.5,2023-01-09,14136
930.0,943.5,920.0,924.6,2023-01-10,9030
930.0,938.75,911.0,917.45,2023-01-11,28275
926.55,969.25,926.5,960.9,2023-01-12,77309
960.0,993.9,935.05,951.0,2023-01-13,219417
952.25,1028.0,951.0,1001.55,2023-01-16,178863
1001.55,1009.05,961.0,964.55,2023-01-17,45525
966.5,1027.25,966.5,1019.85,2023-01-18,77510
1020.0,1049.05,1001.7,1036.5,2023-01-19,68143
1044.55,1068.0,1036.0,1060.35,2023-01-20,75764
1076.25,1085.0,1022.0,1032.5,2023-01-23,78081
1027.0,1062.0,1022.25,1039.35,2023-01-24,39204
1069.0,1089.0,1035.45,1054.3,2023-01-25,66490
1065.0,1080.0,982.95,1015.4,2023-01-27,34864
995.25,1045.45,995.25,1033.15,2023-01-30,38037
1049.0,1054.95,1019.05,1050.45,2023-01-31,22168
1050.0,1119.1,1050.0,1086.25,2023-02-01,148537
1075.0,1148.9,1056.4,1141.05,2023-02-02,99407
1149.95,1158.95,1103.75,1117.1,2023-02-03,31683
1124.2,1147.0,1111.65,1117.05,2023-02-06,28239
1128.6,1150.0,1092.15,1130.2,2023-02-07,40405
1131.1,1138.95,1110.0,1113.7,2023-02-08,26466
1102.0,1188.0,1102.0,1179.85,2023-02-09,47743
1180.0,1202.85,1132.2,1139.95,2023-02-10,45811
1140.0,1157.05,1110.05,1119.35,2023-02-13,22857
1136.15,1148.95,1118.25,1130.0,2023-02-14,15796
1130.0,1166.5,1130.0,1152.8,2023-02-15,18056
1152.8,1163.7,1130.0,1138.95,2023-02-16,20259
1135.05,1147.25,1117.05,1121.55,2023-02-17,12251
1125.05,1143.7,1124.1,1131.1,2023-02-20,14928
1129.65,1182.9,1129.65,1164.2,2023-02-21,28324
1167.95,1172.5,1136.0,1149.1,2023-02-22,20714
1151.05,1166.55,1143.05,1153.95,2023-02-23,18198
1164.55,1229.2,1151.5,1164.5,2023-02-24,111040
1172.0,1172.0,1104.15,1143.1,2023-02-27,40156
1153.9,1185.85,1129.9,1168.2,2023-02-28,28933
1178.9,1181.25,1105.0,1111.7,2023-03-01,34292
1120.9,1131.1,1079.0,1088.35,2023-03-02,25071
1088.35,1115.0,1081.1,1090.95,2023-03-03,18492
1095.0,1114.8,1075.05,1098.35,2023-03-06,19464
1098.85,1104.75,1078.25,1096.3,2023-03-08,13475
1082.0,1111.1,1077.45,1079.55,2023-03-09,13835
1079.0,1093.0,1050.0,1062.6,2023-03-10,22942
1053.15,1071.25,1002.05,1015.95,2023-03-13,48406
1015.95,1039.7,988.0,1008.5,2023-03-14,23951
1018.5,1029.75,989.75,998.85,2023-03-15,11898
995.45,1003.4,960.0,977.6,2023-03-16,16597
979.9,1002.55,977.9,995.6,2023-03-17,16344
1005.1,1013.65,975.0,989.15,2023-03-20,17323
993.25,996.95,980.5,991.65,2023-03-21,7391
997.0,997.0,973.0,977.1,2023-03-22,10785
977.1,990.0,970.35,978.5,2023-03-23,14264
978.5,980.0,954.9,964.15,2023-03-24,20906
969.95,991.9,950.05,976.6,2023-03-27,17224
966.85,1013.0,966.85,988.8,2023-03-28,16392
990.25,1006.4,970.05,976.7,2023-03-29,20067
975.0,1020.05,970.05,1001.7,2023-03-31,23681
1011.65,1074.1,1011.6,1064.45,2023-04-03,19323
1064.45,1064.45,1021.6,1039.75,2023-04-05,26260
1027.3,1077.0,1027.3,1054.45,2023-04-06,12551
1058.5,1065.5,1024.95,1028.6,2023-04-10,16127
1038.9,1043.05,1014.1,1024.7,2023-04-11,10548
1028.95,1059.6,1014.0,1043.3,2023-04-12,13494
1043.3,1069.9,1043.3,1047.9,2023-04-13,11818
1040.0,1095.9,1040.0,1069.9,2023-04-17,24343
1069.9,1097.0,1067.95,1092.1,2023-04-18,12543
1094.0,1123.9,1076.5,1081.05,2023-04-19,15485
1091.1,1120.0,1085.0,1105.3,2023-04-20,13246
1109.4,1131.0,1078.0,1085.05,2023-04-21,9952
1092.0,1130.05,1090.0,1100.2,2023-04-24,16796
1111.0,1119.15,1095.2,1107.7,2023-04-25,13952
1095.0,1128.0,1094.0,1115.8,2023-04-26,16833
1115.85,1128.0,1106.05,1109.6,2023-04-27,13187
1115.0,1156.95,1115.0,1136.7,2023-04-28,45218
1146.15,1150.0,1115.0,1121.7,2023-05-02,21362
1121.6,1148.15,1120.0,1141.0,2023-05-03,12011
1145.35,1180.65,1145.35,1161.75,2023-05-04,21499
1168.25,1168.25,1129.0,1154.75,2023-05-05,13019
1155.25,1165.0,1140.05,1151.25,2023-05-08,14455
1154.85,1156.15,1130.55,1137.1,2023-05-09,6826
1154.15,1180.0,1139.75,1172.65,2023-05-10,25964
