open,high,low,close,date,volume
605.0,607.7,577.75,599.8,2022-09-29,168594
595.0,606.5,593.0,604.65,2022-09-30,107898
605.0,618.4,605.0,615.2,2022-10-03,106542
618.3,627.9,616.2,621.5,2022-10-04,130714
624.0,629.4,621.05,622.85,2022-10-06,49103
622.85,625.95,605.05,617.5,2022-10-07,140501
611.9,617.3,605.1,611.25,2022-10-10,62381
612.0,613.2,595.0,597.7,2022-10-11,124469
599.0,602.35,580.55,582.35,2022-10-12,204865
583.95,587.9,572.35,575.6,2022-10-13,224475
580.0,581.0,570.0,571.8,2022-10-14,90371
568.0,575.05,566.6,571.05,2022-10-17,53026
572.9,573.9,557.1,560.15,2022-10-18,204186
556.0,560.0,551.2,552.75,2022-10-19,78558
553.0,558.5,540.0,543.25,2022-10-20,456564
545.95,549.0,541.25,543.45,2022-10-21,34558
550.0,550.0,545.45,548.45,2022-10-24,12365
555.0,558.75,546.05,548.15,2022-10-25,118085
550.0,552.0,542.25,549.05,2022-10-27,200934
551.8,554.35,547.55,549.5,2022-10-28,46218
552.15,559.9,548.5,550.1,2022-10-31,77091
551.1,582.8,550.0,577.85,2022-11-01,302440
578.65,619.9,575.35,611.7,2022-11-02,858338
605.0,675.0,603.65,658.15,2022-11-03,2634201
658.15,659.8,642.6,656.6,2022-11-04,266812
650.6,654.0,623.75,628.1,2022-11-07,365923
629.0,634.0,616.0,620.65,2022-11-09,303676
623.8,633.5,605.0,616.55,2022-11-10,118721
620.35,644.3,609.95,639.3,2022-11-11,365196
640.0,644.0,628.55,640.0,2022-11-14,153440
643.2,652.75,640.0,646.3,2022-11-15,158516
646.3,649.55,630.1,635.7,2022-11-16,59261
638.85,638.85,630.0,634.55,2022-11-17,31247
634.55,637.05,620.0,625.95,2022-11-18,83185
629.0,634.4,620.25,625.0,2022-11-21,61903
621.2,625.85,613.05,615.2,2022-11-22,99057
615.25,618.0,607.8,610.3,2022-11-23,196379
612.0,613.2,596.05,599.75,2022-11-24,420929
602.75,607.05,596.15,597.85,2022-11-25,216727
600.0,604.85,598.0,600.05,2022-11-28,82502
603.1,605.65,596.1,597.6,2022-11-29,53060
596.0,600.7,593.0,594.6,2022-11-30,44988
596.0,607.9,591.8,594.6,2022-12-01,103905
597.6,601.2,595.0,598.7,2022-12-02,44097
601.9,605.95,595.65,596.9,2022-12-05,33877
599.85,599.85,590.0,590.7,2022-12-06,38004
585.1,590.95,585.0,588.15,2022-12-07,26340
588.5,601.35,588.5,599.75,2022-12-08,80821
602.75,608.6,587.05,595.85,2022-12-09,152347
598.2,598.45,590.6,596.85,2022-12-12,31826
596.85,598.2,591.05,594.95,2022-12-13,63761
595.0,603.0,592.4,597.8,2022-12-14,40112
593.15,599.0,584.0,586.6,2022-12-15,47483
586.0,590.45,579.9,583.2,2022-12-16,38018
583.0,589.0,562.85,580.55,2022-12-19,155167
576.0,583.5,573.95,576.7,2022-12-20,25467
579.7,604.75,575.8,597.95,2022-12-21,155414
600.95,602.8,588.0,589.0,2022-12-22,56844
586.0,600.0,574.55,580.05,2022-12-23,96912
585.0,592.5,579.55,586.4,2022-12-26,72330
586.35,600.0,584.2,595.5,2022-12-27,48667
599.0,599.0,587.05,588.6,2022-12-28,27020
588.6,593.0,578.1,580.55,2022-12-29,40856
580.0,585.75,571.95,572.9,2022-12-30,72581
575.8,575.8,566.0,568.9,2023-01-02,150760
570.0,575.2,569.2,573.6,2023-01-03,56980
574.9,582.6,568.15,572.8,2023-01-04,96721
569.2,582.9,565.55,568.1,2023-01-05,63838
567.1,569.2,561.0,561.3,2023-01-06,89746
564.85,567.0,558.6,561.3,2023-01-09,46565
564.3,565.45,556.4,558.2,2023-01-10,39370
561.0,562.0,552.7,556.25,2023-01-11,353856
559.0,560.0,553.0,557.4,2023-01-12,45939
559.0,560.0,554.0,555.2,2023-01-13,29296
557.95,558.9,551.0,552.2,2023-01-16,30221
552.2,555.8,550.0,550.85,2023-01-17,50753
