open,high,low,close,date,volume
171.3,172.0,161.5,162.85,2022-09-23,200404
162.6,162.6,150.25,154.1,2022-09-26,276238
155.85,158.0,152.8,154.45,2022-09-27,111868
153.4,163.0,151.95,158.6,2022-09-28,243929
161.85,183.0,160.0,179.05,2022-09-29,1406643
178.75,187.45,174.3,180.55,2022-09-30,956072
180.55,192.2,178.5,181.45,2022-10-03,948662
184.4,185.95,180.0,183.75,2022-10-04,258304
185.1,194.7,184.05,189.65,2022-10-06,626566
189.65,195.65,188.05,191.3,2022-10-07,374635
187.1,194.0,186.0,187.15,2022-10-10,224183
188.55,189.6,176.1,177.05,2022-10-11,269695
182.0,204.0,178.55,198.9,2022-10-12,1777953
203.9,223.5,203.0,216.15,2022-10-13,3565538
220.0,247.8,220.0,236.55,2022-10-14,4065416
239.95,244.9,226.45,234.2,2022-10-17,1052521
234.2,240.7,227.65,231.2,2022-10-18,688532
230.2,238.9,225.05,228.35,2022-10-19,461650
276.35,285.0,272.0,276.75,2022-12-06,134410
279.95,279.95,269.0,271.45,2022-12-07,69428
272.0,279.5,271.4,273.9,2022-12-08,75288
276.6,276.6,260.25,261.6,2022-12-09,111261
258.0,268.2,253.0,266.75,2022-12-12,71979
268.6,280.0,268.6,277.05,2022-12-13,170221
282.5,288.0,277.4,278.75,2022-12-14,271481
280.0,284.2,278.05,279.9,2022-12-15,108483
280.0,282.85,265.95,269.25,2022-12-16,123946
269.0,274.55,262.4,272.35,2022-12-19,106092
273.75,273.75,268.1,271.35,2022-12-20,97172
270.2,284.9,265.8,270.45,2022-12-21,359685
277.0,277.0,256.95,257.4,2022-12-22,308392
257.0,257.0,244.55,244.55,2022-12-23,187363
232.65,256.75,232.5,252.25,2022-12-26,164158
256.55,261.0,244.25,254.05,2022-12-27,111789
254.05,266.75,253.35,266.75,2022-12-28,141690
270.8,280.05,269.7,278.0,2022-12-29,203756
281.0,291.9,281.0,291.85,2022-12-30,345631
293.0,306.4,293.0,305.65,2023-01-02,409959
306.4,309.0,291.65,306.7,2023-01-03,246789
311.0,322.0,308.1,317.7,2023-01-04,501057
323.0,333.55,319.9,333.55,2023-01-05,736328
345.95,346.35,321.25,329.2,2023-01-06,391813
337.95,337.95,313.1,314.8,2023-01-09,237503
314.5,315.7,299.1,308.1,2023-01-10,210212
311.4,323.5,311.4,323.5,2023-01-11,77868
335.3,335.3,315.4,319.4,2023-01-12,306831
324.4,335.35,316.0,334.35,2023-01-13,172849
344.0,348.7,322.0,325.6,2023-01-16,190320
327.8,341.85,320.1,340.8,2023-01-17,259928
339.5,345.9,333.55,341.65,2023-01-18,195777
341.0,358.7,338.0,358.55,2023-01-19,763665
362.0,368.0,347.65,363.0,2023-01-20,426961
375.0,375.95,344.85,349.6,2023-01-23,309698
349.5,358.1,337.0,346.0,2023-01-24,177975
346.0,347.65,328.7,333.05,2023-01-25,151964
334.95,338.95,316.4,316.5,2023-01-27,138603
317.0,329.75,303.3,323.4,2023-01-30,88775
326.1,327.0,315.05,318.75,2023-01-31,71797
321.0,329.9,302.85,305.5,2023-02-01,122809
305.0,314.4,300.1,307.3,2023-02-02,62992
309.85,309.95,293.8,300.45,2023-02-03,85603
300.45,306.95,298.25,300.35,2023-02-06,72563
302.75,315.35,300.7,315.35,2023-02-07,109860
327.8,331.1,320.4,331.1,2023-02-08,107571
341.5,343.85,328.05,332.65,2023-02-09,151187
328.0,349.25,327.95,345.95,2023-02-10,193427
362.0,363.2,341.0,344.3,2023-02-13,286538
346.6,346.6,330.0,332.9,2023-02-14,108734
331.75,339.45,328.35,332.3,2023-02-15,58157
334.25,336.15,325.0,327.0,2023-02-16,88063
326.85,333.9,320.45,325.05,2023-02-17,68516
326.9,338.85,325.45,327.4,2023-02-20,72443
326.0,334.0,318.85,321.3,2023-02-21,56297
316.5,318.65,312.0,316.05,2023-02-22,72875
319.8,324.2,315.0,316.0,2023-02-23,51347
318.5,319.45,304.0,309.15,2023-02-24,48972
309.0,309.0,293.7,295.05,2023-02-27,100231
297.7,309.0,297.55,300.5,2023-02-28,47543
305.0,312.95,302.65,307.1,2023-03-01,37280
308.4,308.45,302.0,302.55,2023-03-02,37052
304.8,317.65,304.8,317.65,2023-03-03,63221
327.95,327.95,312.0,313.55,2023-03-06,87971
307.2,316.9,307.2,310.05,2023-03-08,34484
311.65,321.2,310.05,315.8,2023-03-09,56792
314.2,314.2,300.05,304.8,2023-03-10,76096
301.2,303.2,290.1,295.85,2023-03-13,76668
298.55,303.0,285.2,288.1,2023-03-14,65588
291.0,296.75,285.1,288.25,2023-03-15,36344
