open,high,low,close,date,volume
519.95,531.85,512.5,527.55,2022-09-29,48194
534.6,534.6,515.45,520.65,2022-09-30,44383
523.0,545.0,523.0,526.8,2022-10-03,84803
539.9,539.9,525.0,530.7,2022-10-04,36370
539.85,552.0,526.0,530.45,2022-10-06,93441
532.0,538.2,522.05,526.2,2022-10-07,25375
526.0,537.0,508.55,525.85,2022-10-10,84970
527.4,527.4,516.2,518.35,2022-10-11,21399
514.5,523.75,511.85,515.8,2022-10-12,35431
515.0,523.0,515.0,520.4,2022-10-13,28603
528.0,531.8,512.35,521.2,2022-10-14,44787
526.4,532.0,512.4,529.9,2022-10-17,53392
536.8,536.8,517.95,525.9,2022-10-18,50209
526.1,534.0,515.1,516.6,2022-10-19,26540
516.6,522.0,510.85,514.3,2022-10-20,29425
515.0,520.9,504.2,505.5,2022-10-21,38626
519.0,524.55,513.35,515.25,2022-10-24,14854
513.1,520.25,507.1,514.1,2022-10-25,20885
514.95,522.5,505.2,509.85,2022-10-27,97901
519.8,519.8,498.6,502.6,2022-10-28,35079
508.15,509.5,493.05,495.65,2022-10-31,51796
499.0,499.0,485.05,493.05,2022-11-01,61477
494.95,497.9,486.0,487.65,2022-11-02,31026
487.65,495.0,485.0,491.05,2022-11-03,29977
491.1,495.5,475.6,488.6,2022-11-04,19286
493.95,495.85,486.75,493.2,2022-11-07,27928
495.0,495.0,484.8,486.95,2022-11-09,25560
480.0,483.0,471.05,473.1,2022-11-10,27780
480.2,511.0,472.6,485.05,2022-11-11,78037
452.0,490.0,437.1,477.2,2022-11-14,146298
484.35,484.35,465.05,473.65,2022-11-15,43978
480.75,483.0,465.0,467.5,2022-11-16,30994
467.0,477.0,465.25,469.2,2022-11-17,78456
473.9,478.55,466.05,473.4,2022-11-18,38751
482.0,482.0,470.3,475.0,2022-11-21,36040
479.0,479.1,472.25,476.25,2022-11-22,23226
472.0,479.0,466.05,469.75,2022-11-23,29753
473.0,474.45,451.35,468.95,2022-11-24,41940
472.45,479.9,464.65,475.7,2022-11-25,77620
480.0,505.0,471.95,495.7,2022-11-28,105594
495.7,504.85,489.55,494.7,2022-11-29,45493
499.9,502.0,487.0,489.15,2022-11-30,30493
498.15,502.55,486.4,499.1,2022-12-01,107746
500.0,512.95,491.75,510.55,2022-12-02,88004
510.55,528.0,510.0,513.85,2022-12-05,119386
513.0,515.45,499.3,503.05,2022-12-06,43548
505.0,508.6,500.0,503.85,2022-12-07,30570
507.95,518.0,504.95,512.15,2022-12-08,48435
515.8,517.45,501.0,505.75,2022-12-09,73074
509.0,515.0,500.9,502.25,2022-12-12,20380
502.7,515.5,501.0,503.75,2022-12-13,39460
509.0,514.5,504.95,507.05,2022-12-14,32012
513.9,554.65,505.55,544.45,2022-12-15,406346
544.0,544.45,533.0,537.05,2022-12-16,74047
543.8,543.8,526.75,534.15,2022-12-19,24762
539.0,539.0,523.35,526.05,2022-12-20,44315
535.0,535.0,505.2,510.7,2022-12-21,42348
510.0,515.8,495.15,498.25,2022-12-22,65864
491.0,501.95,471.4,474.4,2022-12-23,45645
471.25,493.55,471.25,486.75,2022-12-26,30801
494.05,512.0,490.05,506.2,2022-12-27,51297
506.2,513.45,496.5,501.05,2022-12-28,28806
501.05,513.5,498.2,510.25,2022-12-29,14910
520.0,525.0,512.65,517.6,2022-12-30,55253
524.0,524.0,504.75,509.6,2023-01-02,19220
516.5,520.1,506.0,509.3,2023-01-03,20056
516.5,516.5,507.1,510.4,2023-01-04,131662
515.5,524.0,504.0,520.95,2023-01-05,35981
513.15,525.85,507.55,513.5,2023-01-06,37520
519.0,522.5,505.0,507.35,2023-01-09,28347
512.95,529.9,507.4,523.9,2023-01-10,72930
528.8,535.85,521.65,526.1,2023-01-11,33864
529.8,529.8,512.75,514.85,2023-01-12,22910
520.0,522.55,506.95,510.0,2023-01-13,50618
515.1,516.45,505.0,506.3,2023-01-16,28538
504.0,513.8,500.2,507.2,2023-01-17,49612
507.55,530.0,507.1,523.65,2023-01-18,122512
523.0,530.1,522.0,525.7,2023-01-19,54695
530.0,567.0,527.0,540.7,2023-01-20,532851
540.5,564.4,535.7,559.25,2023-01-23,202193
569.55,580.0,528.3,541.25,2023-01-24,354375
522.0,536.9,507.6,511.8,2023-01-25,143663
507.0,513.0,496.55,504.85,2023-01-27,91588
504.85,519.2,503.2,507.4,2023-01-30,50106
512.7,516.6,504.2,508.05,2023-01-31,33103
515.65,515.65,498.75,502.35,2023-02-01,75483
502.95,510.9,498.35,502.8,2023-02-02,71419
501.0,508.85,501.0,502.75,2023-02-03,42793
503.95,506.95,496.95,501.0,2023-02-06,38843
505.0,506.0,491.8,494.7,2023-02-07,30107
495.25,499.9,492.35,496.2,2023-02-08,24209
495.1,503.0,493.75,497.45,2023-02-09,22180
499.0,505.0,497.65,503.75,2023-02-10,23672
508.0,508.0,503.75,504.15,2023-02-13,16947
503.8,505.4,492.0,495.4,2023-02-14,47928
498.0,499.65,492.3,496.1,2023-02-15,22575
498.15,505.0,497.0,501.85,2023-02-16,25482
504.0,509.0,501.3,503.5,2023-02-17,20159
503.5,508.85,498.0,499.75,2023-02-20,27506
500.5,504.45,497.5,502.15,2023-02-21,18103
506.75,506.75,495.0,497.15,2023-02-22,16041
502.05,502.05,488.05,495.3,2023-02-23,25457
496.0,500.0,490.7,492.7,2023-02-24,18846
496.3,496.3,480.6,484.75,2023-02-27,24306
494.95,494.95,481.3,487.6,2023-02-28,30664
489.3,505.0,488.45,499.2,2023-03-01,25812
499.85,514.45,498.9,504.7,2023-03-02,37909
507.25,537.0,505.6,532.85,2023-03-03,169017
540.0,556.45,540.0,545.5,2023-03-06,114470
537.3,567.9,537.3,556.9,2023-03-08,98442
556.6,560.0,541.0,546.3,2023-03-09,50177
546.3,565.95,528.0,556.05,2023-03-10,118306
556.0,575.0,545.15,549.05,2023-03-13,129023
559.8,559.95,547.55,553.0,2023-03-14,64543
560.0,571.0,543.15,565.05,2023-03-15,248640
566.55,572.9,551.75,569.2,2023-03-16,172620
567.0,577.9,566.0,567.35,2023-03-17,62277
564.2,576.95,563.1,566.5,2023-03-20,155528
566.2,566.2,540.65,543.85,2023-03-21,95073
544.5,553.5,540.0,549.1,2023-03-22,48049
548.65,554.5,544.3,549.85,2023-03-23,30153
549.75,562.5,544.95,556.3,2023-03-24,75714
554.05,556.65,548.95,549.3,2023-03-27,38814
550.4,550.45,536.5,541.55,2023-03-28,41003
535.0,548.9,529.95,545.05,2023-03-29,40121
