open,high,low,close,date,volume
206.3,206.3,200.0,206.3,2022-12-06,19544
215.0,216.6,204.9,211.75,2022-12-07,67478
210.1,211.0,201.2,201.2,2022-12-08,23428
192.05,194.95,191.15,191.15,2022-12-09,27626
184.95,184.95,181.6,181.6,2022-12-12,8181
173.35,190.65,172.55,190.65,2022-12-13,51683
194.9,200.15,192.1,200.15,2022-12-14,27338
201.0,205.8,191.0,194.0,2022-12-15,30215
190.45,198.75,184.3,186.15,2022-12-16,33406
182.0,190.85,179.0,181.65,2022-12-19,14155
178.0,190.7,178.0,190.7,2022-12-20,12597
197.4,198.0,181.2,182.35,2022-12-21,40099
184.9,184.9,173.25,173.25,2022-12-22,31851
172.5,178.4,164.6,165.4,2022-12-23,33730
165.9,173.65,162.0,172.75,2022-12-26,9862
178.0,181.35,169.1,181.35,2022-12-27,12541
183.8,190.4,182.05,188.25,2022-12-28,21236
184.1,188.0,178.85,179.65,2022-12-29,14018
181.0,186.9,178.0,179.9,2022-12-30,7102
185.45,185.45,178.7,181.15,2023-01-02,5274
180.1,183.9,177.5,178.5,2023-01-03,11905
184.9,184.9,172.55,177.55,2023-01-04,5938
176.55,179.95,172.2,175.0,2023-01-05,8295
174.85,178.0,171.25,172.9,2023-01-06,10506
170.0,177.9,170.0,173.9,2023-01-09,4954
174.75,175.0,167.05,170.0,2023-01-10,6462
169.95,170.1,167.0,168.05,2023-01-11,4977
169.6,172.95,167.75,171.6,2023-01-12,2687
171.4,180.15,169.9,180.15,2023-01-13,14995
189.15,189.15,189.15,189.15,2023-01-16,6299
198.6,198.6,192.05,198.6,2023-01-17,31296
203.8,206.0,189.15,194.25,2023-01-18,43495
194.25,196.0,184.55,184.95,2023-01-19,16170
184.85,194.15,178.0,194.15,2023-01-20,30192
199.6,199.9,186.2,193.1,2023-01-23,31620
194.4,199.0,188.0,189.05,2023-01-24,11246
191.3,196.7,181.0,193.1,2023-01-25,19108
188.15,193.25,183.45,183.9,2023-01-27,21543
187.15,193.05,182.75,186.15,2023-01-30,14365
187.9,189.8,178.55,180.55,2023-01-31,9140
186.7,188.45,171.55,171.9,2023-02-01,29044
180.0,180.0,167.0,168.7,2023-02-02,17859
168.7,173.9,161.25,163.65,2023-02-03,15280
168.1,171.8,164.95,170.55,2023-02-06,10512
168.0,176.8,162.05,163.75,2023-02-07,25029
168.8,171.9,168.1,171.9,2023-02-08,7567
177.0,180.45,174.25,177.9,2023-02-09,30429
179.0,186.75,173.0,180.1,2023-02-10,18769
187.8,187.8,172.15,173.75,2023-02-13,15068
182.4,182.4,182.4,182.4,2023-02-14,7847
191.5,191.5,191.5,191.5,2023-02-15,7970
201.05,201.05,184.25,196.0,2023-02-16,102058
199.85,199.85,188.7,189.1,2023-02-17,25458
192.45,198.55,188.7,198.4,2023-02-20,54136
199.2,208.3,191.2,195.4,2023-02-21,50748
202.9,203.9,190.0,191.6,2023-02-22,17337
198.9,198.95,182.05,185.85,2023-02-23,33500
184.2,187.45,182.0,182.35,2023-02-24,8922
185.0,185.0,176.55,180.25,2023-02-27,10626
177.05,189.0,175.05,182.85,2023-02-28,18217
184.95,186.95,182.5,183.55,2023-03-01,5585
185.4,188.85,180.6,182.45,2023-03-02,5353
188.75,189.45,182.0,184.85,2023-03-03,7934
184.85,194.05,184.85,194.05,2023-03-06,19741
197.25,203.75,195.3,203.75,2023-03-08,44775
206.95,213.9,205.7,213.9,2023-03-09,63594
224.55,224.55,220.05,224.55,2023-03-10,50273
235.0,235.0,215.2,220.55,2023-03-13,139785
219.95,226.95,210.55,223.55,2023-03-14,64056
228.7,230.9,222.1,225.1,2023-03-15,20948
227.5,227.9,219.2,224.6,2023-03-16,15404
224.75,231.8,221.6,222.85,2023-03-17,20206
220.0,225.6,213.1,219.5,2023-03-20,31832
224.8,230.45,216.55,224.85,2023-03-21,28759
225.0,236.05,222.5,236.05,2023-03-22,23858
244.0,247.85,236.55,246.35,2023-03-23,76319
