open,high,low,close,date,volume
239.1,246.5,236.5,238.65,2022-09-29,48856
238.0,249.45,235.65,246.0,2022-09-30,57510
244.0,249.4,237.35,240.3,2022-10-03,43022
242.85,257.7,241.1,255.15,2022-10-04,113903
259.05,264.9,256.05,262.7,2022-10-06,56454
261.9,262.95,250.0,253.4,2022-10-07,49180
253.0,258.0,249.5,254.4,2022-10-10,55337
254.9,259.9,251.0,251.3,2022-10-11,42209
253.1,255.75,249.1,253.8,2022-10-12,63748
252.0,254.9,242.35,243.95,2022-10-13,57064
251.0,264.8,250.0,255.65,2022-10-14,127170
261.7,262.15,248.15,251.65,2022-10-17,58940
254.95,255.15,252.0,253.2,2022-10-18,28595
255.0,255.4,250.0,250.45,2022-10-19,31761
250.6,254.15,249.0,251.5,2022-10-20,16599
251.6,255.85,246.0,249.0,2022-10-21,23335
249.05,257.85,249.05,255.6,2022-10-24,18706
258.75,271.0,254.65,265.7,2022-10-25,93391
266.5,274.0,265.0,267.35,2022-10-27,63652
267.35,270.35,255.0,257.15,2022-10-28,40893
261.1,262.15,247.2,249.4,2022-10-31,64900
248.5,260.3,248.5,259.0,2022-11-01,52352
260.6,264.2,256.95,262.4,2022-11-02,40733
259.1,262.95,254.3,254.9,2022-11-03,64193
255.95,266.0,254.3,257.6,2022-11-04,88748
257.0,261.95,254.15,255.0,2022-11-07,30781
256.8,274.0,255.0,264.2,2022-11-09,145134
265.0,269.05,259.25,262.6,2022-11-10,49769
260.5,284.1,260.5,279.35,2022-11-11,107768
275.0,278.35,265.95,267.95,2022-11-14,57448
275.0,275.0,266.05,267.4,2022-11-15,30061
268.0,274.4,256.8,262.8,2022-11-16,55721
264.9,264.9,260.0,260.4,2022-11-17,49527
262.5,266.25,255.35,257.95,2022-11-18,51037
260.0,260.0,254.0,255.8,2022-11-21,27006
256.15,260.35,246.75,250.15,2022-11-22,69322
255.2,255.2,245.55,249.45,2022-11-23,28711
253.0,258.2,249.55,255.05,2022-11-24,45707
258.9,261.95,256.65,260.85,2022-11-25,53769
257.05,282.4,257.05,276.45,2022-11-28,207116
280.1,281.95,270.0,273.5,2022-11-29,118812
275.0,275.0,265.55,267.0,2022-11-30,41714
272.0,284.85,268.35,273.55,2022-12-01,187943
267.95,272.9,267.95,270.4,2022-12-02,31856
274.95,288.95,270.05,282.15,2022-12-05,200345
284.0,297.5,278.1,283.6,2022-12-06,240765
283.6,287.45,280.6,283.5,2022-12-07,53753
282.0,283.75,277.0,279.0,2022-12-08,24686
281.6,282.7,261.7,269.7,2022-12-09,83218
265.65,276.15,265.15,274.2,2022-12-12,33662
273.5,284.9,273.25,280.15,2022-12-13,47653
280.15,286.65,275.45,276.6,2022-12-14,34704
276.05,289.0,275.95,280.75,2022-12-15,84970
279.95,283.5,267.1,277.35,2022-12-16,85289
271.45,282.95,268.5,280.4,2022-12-19,57649
281.0,282.45,274.1,276.75,2022-12-20,20863
278.0,282.45,263.9,270.2,2022-12-21,132839
273.0,277.95,265.75,269.35,2022-12-22,74330
272.0,275.0,258.6,260.3,2022-12-23,113855
262.0,279.0,262.0,277.4,2022-12-26,132065
278.2,295.7,278.2,281.45,2022-12-27,237835
282.3,322.2,282.0,317.15,2022-12-28,1417349
322.7,331.8,310.35,322.75,2022-12-29,792936
324.7,342.0,316.5,323.05,2022-12-30,569578
324.6,333.0,321.5,330.7,2023-01-02,204608
331.0,339.9,325.3,331.6,2023-01-03,164538
331.6,335.0,320.35,322.75,2023-01-04,93839
323.6,328.5,315.05,317.0,2023-01-05,46232
318.5,328.4,310.55,319.2,2023-01-06,84631
321.3,326.85,310.6,315.25,2023-01-09,40724
315.25,315.3,300.0,310.85,2023-01-10,103724
308.1,318.8,307.5,311.65,2023-01-11,107438
312.8,314.9,303.5,310.3,2023-01-12,27345
311.1,328.0,308.55,325.95,2023-01-13,145584
325.95,348.95,325.8,332.05,2023-01-16,472275
333.75,344.5,325.3,334.15,2023-01-17,297041
336.0,337.0,328.0,330.4,2023-01-18,43766
331.7,331.7,313.8,315.85,2023-01-19,72749
314.45,317.75,295.4,296.95,2023-01-20,204995
299.45,311.0,295.15,302.15,2023-01-23,393559
301.5,301.95,290.0,291.75,2023-01-24,136662
291.4,304.35,281.0,297.6,2023-01-25,119440
297.6,300.0,271.65,293.25,2023-01-27,98515
297.0,298.9,280.1,282.45,2023-01-30,73073
283.4,297.0,283.0,295.0,2023-01-31,46518
291.2,297.35,280.0,285.35,2023-02-01,40556
282.0,291.4,281.1,282.5,2023-02-02,40441
282.5,286.9,272.1,274.3,2023-02-03,85755
271.3,294.7,271.3,289.2,2023-02-06,62233
289.2,293.3,283.5,290.4,2023-02-07,26200
293.05,293.05,285.1,290.25,2023-02-08,14750
292.0,299.25,284.8,287.15,2023-02-09,61772
285.05,292.85,282.0,284.0,2023-02-10,20385
284.0,287.45,275.35,277.25,2023-02-13,27050
277.25,284.0,276.55,280.95,2023-02-14,17500
282.9,282.9,276.05,276.9,2023-02-15,16463
278.9,286.0,278.1,280.75,2023-02-16,17050
279.7,282.1,272.3,274.25,2023-02-17,22057
276.2,284.25,269.05,270.65,2023-02-20,30834
270.0,274.0,262.55,264.6,2023-02-21,54149
262.55,266.45,250.6,256.35,2023-02-22,78470
255.0,258.2,242.2,244.0,2023-02-23,90012
248.3,257.65,245.1,252.3,2023-02-24,63013
248.8,257.0,243.65,247.55,2023-02-27,33528
250.05,257.8,249.0,256.8,2023-02-28,24816
256.2,262.4,253.7,260.25,2023-03-01,21327
262.7,262.7,256.15,260.05,2023-03-02,12622
261.3,269.9,260.5,262.05,2023-03-03,21481
262.0,266.95,256.35,258.0,2023-03-06,29072
255.0,264.9,255.0,264.05,2023-03-08,17267
264.05,269.7,264.05,266.85,2023-03-09,17237
266.85,267.0,258.2,260.85,2023-03-10,11727
258.3,264.0,248.25,251.5,2023-03-13,63322
251.05,253.85,244.0,248.6,2023-03-14,39047
249.9,252.35,236.6,239.15,2023-03-15,42127
238.7,244.0,234.85,239.95,2023-03-16,27858
238.1,244.75,230.9,235.1,2023-03-17,31817
236.7,237.25,224.35,226.65,2023-03-20,83531
227.05,235.45,227.0,232.1,2023-03-21,35519
232.1,264.9,230.55,242.3,2023-03-22,370752
241.05,251.55,240.95,241.95,2023-03-23,100398
242.7,258.05,240.85,251.2,2023-03-24,141589
258.5,258.5,245.05,251.9,2023-03-27,58710
253.1,262.55,251.5,257.5,2023-03-28,87643
257.5,269.4,255.0,267.1,2023-03-29,64173
269.5,284.9,266.55,282.5,2023-03-31,247669
287.7,303.3,282.15,294.45,2023-04-03,131059
296.0,300.0,286.1,289.95,2023-04-05,60941
290.0,296.7,287.25,288.55,2023-04-06,33201
290.0,302.95,277.1,300.15,2023-04-10,110305
302.15,309.7,300.0,301.95,2023-04-11,84462
299.2,315.0,299.0,312.95,2023-04-12,83626
313.95,314.1,297.4,300.75,2023-04-13,41079
300.75,307.45,295.9,305.1,2023-04-17,56801
310.0,311.8,300.15,310.1,2023-04-18,68377
310.0,319.8,305.7,316.4,2023-04-19,65570
316.35,322.5,313.5,318.35,2023-04-20,27733
317.05,321.0,316.05,316.15,2023-04-21,36798
316.05,317.95,303.0,305.05,2023-04-24,25364
307.0,313.65,299.0,301.8,2023-04-25,46029
301.0,313.8,301.0,305.95,2023-04-26,85338
304.5,313.05,304.5,309.15,2023-04-27,26575
309.5,320.0,309.25,314.9,2023-04-28,40008
317.0,320.0,310.0,314.65,2023-05-02,26873
312.0,317.65,311.65,314.05,2023-05-03,25114
315.25,317.05,308.3,312.3,2023-05-04,19354
311.0,315.8,304.95,310.45,2023-05-05,20884
312.0,335.2,308.0,329.35,2023-05-08,208163
331.8,336.4,315.25,317.0,2023-05-09,74458
317.0,317.0,308.1,310.6,2023-05-10,33031
311.85,316.8,310.0,313.75,2023-05-11,20628
308.05,319.4,308.05,312.5,2023-05-12,22229
310.05,319.5,310.0,314.4,2023-05-15,30049
315.95,330.9,308.05,321.75,2023-05-16,80717
324.6,334.65,319.7,326.0,2023-05-17,79554
329.5,330.8,326.0,327.0,2023-05-18,33967
328.25,339.0,306.0,335.7,2023-05-19,306128
337.0,338.35,325.95,330.25,2023-05-22,70626
326.0,330.95,315.35,317.15,2023-05-23,60496
317.15,321.05,311.15,319.25,2023-05-24,37249
320.0,326.0,312.95,322.7,2023-05-25,20859
325.95,329.8,319.25,325.5,2023-05-26,32168
325.5,334.0,323.55,330.1,2023-05-29,36223
331.0,332.4,325.25,330.55,2023-05-30,20310
325.6,344.9,325.55,330.5,2023-05-31,267221
332.4,375.0,331.95,366.7,2023-06-01,474140
368.0,369.8,351.25,357.2,2023-06-02,142890
359.45,364.9,354.25,356.65,2023-06-05,64993
357.5,364.05,353.3,357.2,2023-06-06,106002
357.2,371.0,357.2,365.85,2023-06-07,100481
367.7,367.7,347.05,351.95,2023-06-08,46453
353.0,356.75,342.05,348.6,2023-06-09,38383
348.6,365.0,345.65,347.7,2023-06-12,33153
348.5,362.4,346.6,353.95,2023-06-13,57912
354.25,382.7,353.45,370.45,2023-06-14,229624
371.75,380.0,359.15,361.55,2023-06-15,103398
362.0,364.9,358.35,361.35,2023-06-16,21195
360.05,363.35,348.8,356.5,2023-06-19,33248
356.5,362.0,349.9,351.5,2023-06-20,30390
