open,high,low,close,date,volume
629.95,638.8,613.05,632.25,2022-09-29,394787
628.6,649.0,621.2,635.15,2022-09-30,493038
633.95,646.0,624.8,641.6,2022-10-03,160025
650.0,650.0,641.25,648.75,2022-10-04,227114
653.0,655.95,629.7,635.75,2022-10-06,416403
630.55,655.8,628.05,648.65,2022-10-07,133925
642.0,654.0,638.0,644.4,2022-10-10,127720
642.0,645.1,630.0,636.7,2022-10-11,98993
635.0,636.0,616.05,625.0,2022-10-12,117235
620.0,634.0,619.95,622.3,2022-10-13,55338
625.35,645.0,606.6,609.2,2022-10-14,347261
605.0,629.6,604.25,611.1,2022-10-17,208585
614.85,623.25,608.0,609.85,2022-10-18,102684
610.95,615.0,602.0,604.45,2022-10-19,80227
603.0,620.05,597.0,617.15,2022-10-20,273503
617.15,619.45,603.0,605.5,2022-10-21,49546
605.0,615.45,602.6,612.3,2022-10-24,23492
612.3,612.35,605.15,607.1,2022-10-25,32213
609.0,630.6,584.3,618.75,2022-10-27,170230
616.7,622.1,606.65,613.35,2022-10-28,59184
615.15,620.1,606.0,615.85,2022-10-31,215100
618.95,635.05,617.0,629.5,2022-11-01,268272
622.5,626.8,612.5,619.75,2022-11-02,96994
611.0,620.0,611.0,618.85,2022-11-03,78710
618.0,618.85,611.0,617.5,2022-11-04,50577
617.5,620.0,602.7,605.65,2022-11-07,124874
605.65,615.85,605.0,611.55,2022-11-09,67575
607.2,615.5,602.0,610.6,2022-11-10,58555
614.0,634.7,614.0,629.2,2022-11-11,279938
630.0,651.9,629.0,644.15,2022-11-14,515586
648.0,650.0,622.0,629.4,2022-11-15,195047
625.9,630.25,608.0,614.9,2022-11-16,124037
608.0,643.75,608.0,633.35,2022-11-17,273205
635.0,635.0,618.15,628.45,2022-11-18,64360
628.45,633.95,615.95,622.8,2022-11-21,123016
623.5,624.0,613.0,618.0,2022-11-22,102037
613.0,635.0,613.0,632.55,2022-11-23,149849
632.5,634.4,621.0,625.05,2022-11-24,120264
628.2,631.2,615.0,616.25,2022-11-25,76307
617.2,622.55,608.2,616.05,2022-11-28,89816
615.45,620.0,611.0,613.2,2022-11-29,56262
613.2,619.9,604.8,616.55,2022-11-30,154785
619.65,620.0,608.2,609.85,2022-12-01,69301
610.0,619.8,607.5,613.1,2022-12-02,74711
616.2,619.1,612.05,614.05,2022-12-05,40434
611.0,614.9,606.0,606.8,2022-12-06,55714
606.0,609.85,586.0,591.1,2022-12-07,134397
593.9,612.0,591.0,601.4,2022-12-08,76802
604.45,610.0,581.0,583.95,2022-12-09,136529
581.0,585.0,570.3,574.75,2022-12-12,112506
577.65,582.7,570.5,573.15,2022-12-13,53099
578.1,579.55,572.0,573.9,2022-12-14,54374
571.55,579.55,567.0,571.2,2022-12-15,44982
567.0,573.85,555.8,559.05,2022-12-16,83414
557.0,564.0,541.9,557.15,2022-12-19,159190
553.6,560.35,547.2,556.8,2022-12-20,46818
556.8,559.7,531.0,541.45,2022-12-21,80292
540.0,545.9,518.1,522.8,2022-12-22,90603
519.0,522.55,481.05,486.8,2022-12-23,135445
486.0,525.0,484.55,518.5,2022-12-26,186457
518.5,529.4,514.7,518.05,2022-12-27,70410
515.0,527.95,510.0,525.35,2022-12-28,48975
520.0,522.7,515.05,516.85,2022-12-29,29301
518.0,538.0,518.0,523.0,2022-12-30,147265
523.1,531.75,516.05,521.2,2023-01-02,72931
522.65,524.65,515.15,517.15,2023-01-03,59947
518.0,522.85,515.0,517.3,2023-01-04,55374
516.1,522.0,507.3,509.45,2023-01-05,76448
508.0,511.65,503.0,504.7,2023-01-06,36096
508.25,513.35,507.1,508.75,2023-01-09,28671
510.0,519.0,506.75,514.15,2023-01-10,23665
515.6,518.5,503.5,506.15,2023-01-11,60683
506.0,515.4,504.85,509.4,2023-01-12,124828
508.6,519.25,506.25,516.25,2023-01-13,80748
518.8,519.5,514.7,517.65,2023-01-16,35150
512.45,520.45,509.75,511.8,2023-01-17,61892
512.5,514.75,504.0,508.35,2023-01-18,80820
508.2,512.0,501.55,506.25,2023-01-19,43388
505.05,519.0,501.55,510.3,2023-01-20,103089
510.3,513.75,503.25,509.55,2023-01-23,55162
506.0,511.0,493.35,497.05,2023-01-24,55341
495.0,509.0,488.0,493.9,2023-01-25,222776
490.25,495.15,472.3,490.45,2023-01-27,136896
490.0,494.6,467.0,470.15,2023-01-30,58927
470.95,515.0,470.95,508.0,2023-01-31,275864
505.0,529.8,499.0,503.3,2023-02-01,171052
500.0,512.0,495.55,507.8,2023-02-02,36568
507.0,513.0,499.55,509.9,2023-02-03,38053
509.9,518.45,502.85,506.15,2023-02-06,43340
506.0,518.0,499.3,515.05,2023-02-07,65964
515.05,517.0,511.95,514.85,2023-02-08,50681
508.05,514.85,500.0,500.8,2023-02-09,48631
500.8,515.1,500.8,512.25,2023-02-10,134449
512.25,512.25,503.05,505.9,2023-02-13,30169
505.8,521.0,500.8,508.2,2023-02-14,112075
505.0,515.55,505.0,511.35,2023-02-15,55489
512.65,514.45,509.45,513.05,2023-02-16,23072
515.65,519.7,512.2,514.25,2023-02-17,29863
514.25,518.0,510.25,514.25,2023-02-20,26576
513.45,514.0,496.0,497.9,2023-02-21,39741
494.2,499.7,488.1,491.85,2023-02-22,30964
487.0,512.35,486.35,499.8,2023-02-23,143373
499.8,502.25,486.65,488.85,2023-02-24,31604
487.0,488.65,465.05,467.85,2023-02-27,140721
470.15,489.0,468.1,481.85,2023-02-28,102076
481.0,490.0,478.6,487.7,2023-03-01,24851
487.7,487.7,478.25,482.9,2023-03-02,43670
482.9,488.0,480.25,484.35,2023-03-03,34208
484.35,498.25,484.05,493.95,2023-03-06,69278
489.5,495.75,485.2,492.5,2023-03-08,24951
488.1,493.45,485.45,488.85,2023-03-09,17502
486.0,488.3,478.9,481.7,2023-03-10,29812
480.95,482.0,467.25,469.75,2023-03-13,42272
470.95,483.95,470.1,479.25,2023-03-14,42756
479.25,483.55,475.7,480.55,2023-03-15,30662
476.9,484.0,463.55,467.5,2023-03-16,116785
469.85,473.05,456.05,459.85,2023-03-17,64321
455.0,473.3,455.0,466.05,2023-03-20,58510
468.4,469.45,459.05,462.15,2023-03-21,61373
466.75,475.25,463.55,473.35,2023-03-22,53950
472.85,473.35,463.35,468.2,2023-03-23,75115
468.0,468.0,450.65,454.3,2023-03-24,47853
453.75,454.0,439.0,444.1,2023-03-27,68538
444.1,445.6,419.65,440.0,2023-03-28,236517
440.0,460.4,439.0,455.3,2023-03-29,106235
457.6,469.0,448.0,452.15,2023-03-31,96626
459.45,460.65,455.0,457.15,2023-04-03,41384
463.0,464.65,453.5,458.3,2023-04-05,53732
460.7,461.6,455.0,457.35,2023-04-06,26065
459.8,464.5,459.0,459.95,2023-04-10,27257
461.0,466.35,447.6,449.85,2023-04-11,230862
452.05,475.0,452.0,467.6,2023-04-12,367934
467.6,477.65,467.6,474.6,2023-04-13,81607
476.85,481.0,470.0,471.35,2023-04-17,87683
473.8,474.15,452.65,456.4,2023-04-18,135584
460.95,474.95,460.95,472.7,2023-04-19,86565
473.0,477.7,462.5,463.2,2023-04-20,94289
463.0,465.55,458.4,460.9,2023-04-21,45153
462.95,463.95,453.8,454.45,2023-04-24,73839
454.0,457.0,446.85,448.75,2023-04-25,84240
449.4,480.0,449.4,475.75,2023-04-26,319700
480.0,488.7,471.1,473.75,2023-04-27,143542
478.0,483.6,465.2,478.2,2023-04-28,148778
480.0,505.0,480.0,500.45,2023-05-02,153488
501.65,506.7,493.15,498.75,2023-05-03,69440
502.6,504.0,493.0,497.95,2023-05-04,62034
498.7,503.3,483.2,484.85,2023-05-05,62614
489.7,497.2,486.9,495.85,2023-05-08,42099
498.5,500.35,485.0,487.75,2023-05-09,53353
491.6,505.0,485.0,503.3,2023-05-10,102845
509.7,511.5,496.3,500.1,2023-05-11,133694
502.5,511.0,496.2,498.05,2023-05-12,115740
499.95,508.0,476.1,486.15,2023-05-15,327172
485.0,490.0,470.05,472.45,2023-05-16,157475
474.7,477.7,462.6,467.45,2023-05-17,93780
469.75,473.0,459.3,461.1,2023-05-18,93642
463.4,463.4,454.7,455.95,2023-05-19,68550
457.95,458.9,445.45,451.4,2023-05-22,110901
452.25,454.7,447.95,452.6,2023-05-23,72414
454.75,462.75,453.8,457.25,2023-05-24,90669
460.0,465.1,457.1,459.7,2023-05-25,54490
464.0,464.25,454.8,456.8,2023-05-26,47011
463.65,463.65,455.7,457.05,2023-05-29,34761
456.65,458.1,451.05,453.4,2023-05-30,62674
450.3,454.8,446.15,451.6,2023-05-31,170085
