open,high,low,close,date,volume
303.3,316.7,303.3,310.1,2023-11-15,21693577
317.0,319.7,311.0,313.85,2023-11-16,4725578
312.0,318.8,306.2,310.15,2023-11-17,2579193
310.15,311.45,292.35,300.1,2023-11-20,2760212
302.05,307.5,297.7,298.55,2023-11-21,1936376
298.7,301.8,290.0,290.9,2023-11-22,894399
293.05,302.1,291.3,293.1,2023-11-23,1042513
294.65,296.4,293.1,294.5,2023-11-24,353653
297.25,302.15,295.05,296.2,2023-11-28,728239
298.9,299.65,293.0,293.45,2023-11-29,668376
294.6,296.45,290.2,294.8,2023-11-30,563831
297.8,298.0,293.45,295.9,2023-12-01,421481
292.3,294.45,286.0,289.5,2023-12-04,1145440
291.0,292.45,284.55,285.75,2023-12-05,574264
287.0,291.45,285.25,286.5,2023-12-06,658851
288.9,289.3,285.2,286.4,2023-12-07,259131
286.5,287.45,275.5,277.2,2023-12-08,618624
279.0,283.9,277.6,279.75,2023-12-11,341149
279.75,288.5,277.15,286.4,2023-12-12,998633
286.4,294.0,281.55,291.2,2023-12-13,605804
295.05,297.85,287.6,289.7,2023-12-14,706497
292.4,292.45,285.55,287.15,2023-12-15,296354
287.15,289.0,280.0,281.85,2023-12-18,303237
284.5,289.05,282.0,286.85,2023-12-19,310206
289.25,289.25,275.0,276.35,2023-12-20,433476
275.0,282.9,271.4,280.35,2023-12-21,668496
281.9,282.2,277.5,279.85,2023-12-22,185900
279.95,280.85,276.1,280.0,2023-12-26,155437
280.1,286.0,278.0,285.05,2023-12-27,485531
288.45,292.4,286.55,288.1,2023-12-28,415721
291.3,292.8,286.05,290.5,2023-12-29,486018
