open,high,low,close,date,volume
1818.9,1865.0,1818.85,1838.7,2022-09-29,5144
1828.0,1866.0,1805.0,1852.35,2022-09-30,6781
1822.0,1881.15,1788.6,1850.2,2022-10-03,15040
1840.0,1881.3,1820.0,1835.7,2022-10-04,36648
1850.0,1883.4,1846.45,1869.1,2022-10-06,9083
1865.0,1922.35,1852.1,1869.1,2022-10-07,15064
1860.0,1869.0,1818.15,1839.95,2022-10-10,9927
1849.6,1944.0,1826.55,1920.9,2022-10-11,19730
1912.0,2065.0,1901.0,2012.1,2022-10-12,53605
2110.0,2264.45,2110.0,2145.6,2022-10-13,495199
2145.15,2175.0,2080.0,2106.7,2022-10-14,74393
2119.0,2225.0,2106.7,2175.75,2022-10-17,124937
2180.0,2190.0,2144.65,2156.1,2022-10-18,32089
2179.8,2200.0,2140.0,2182.8,2022-10-19,19470
2182.8,2274.0,2144.45,2250.75,2022-10-20,94736
2249.0,2250.9,2141.2,2149.75,2022-10-21,22674
2194.7,2215.7,2155.0,2197.9,2022-10-24,5697
2196.9,2222.15,2127.6,2149.1,2022-10-25,20636
2148.0,2199.9,2146.8,2186.45,2022-10-27,10885
2185.0,2215.0,2141.0,2173.2,2022-10-28,13911
2180.0,2215.75,2082.4,2167.85,2022-10-31,40201
2165.0,2183.9,2107.2,2129.0,2022-11-01,11122
2129.0,2156.85,2112.0,2133.25,2022-11-02,7331
2130.25,2167.75,2104.75,2144.2,2022-11-03,16394
2123.0,2187.0,2123.0,2174.05,2022-11-04,16545
2177.0,2205.9,2108.0,2142.6,2022-11-07,23105
2125.0,2173.0,2100.0,2114.65,2022-11-09,11681
2125.0,2145.05,2086.0,2100.25,2022-11-10,21523
2110.8,2124.9,2070.05,2082.15,2022-11-11,13881
2078.0,2216.75,2065.55,2175.35,2022-11-14,39205
2162.5,2216.5,2149.0,2159.35,2022-11-15,13535
2170.15,2250.0,2146.65,2236.45,2022-11-16,34765
2245.0,2288.8,2199.55,2216.95,2022-11-17,28818
2238.8,2238.8,2079.0,2106.55,2022-11-18,35926
2117.1,2207.0,2111.1,2169.45,2022-11-21,20794
2169.45,2174.95,2113.25,2144.8,2022-11-22,11188
2166.25,2210.75,2145.05,2201.6,2022-11-23,17412
2212.6,2217.65,2135.1,2146.85,2022-11-24,13524
2130.0,2146.3,2120.0,2128.8,2022-11-25,8873
2139.45,2139.45,2080.0,2082.2,2022-11-28,15607
2130.0,2130.0,2065.15,2074.8,2022-11-29,22074
2100.0,2100.0,2018.1,2045.7,2022-11-30,106436
2026.0,2039.9,1975.0,1987.55,2022-12-01,22655
1987.0,2004.95,1959.9,1990.45,2022-12-02,11098
