open,high,low,close,date,volume
240.0,240.0,211.0,220.95,2023-05-10,39399
239.0,259.95,232.0,256.75,2023-05-11,187342
266.0,270.0,227.0,240.0,2023-05-12,230608
239.95,252.0,223.6,236.8,2023-05-15,78641
238.7,246.0,231.6,235.35,2023-05-16,57035
235.5,250.0,235.5,239.95,2023-05-17,88043
249.8,249.8,235.25,240.45,2023-05-18,59693
247.0,247.0,236.1,238.4,2023-05-19,33996
241.0,241.0,225.6,229.5,2023-05-22,62007
195.15,200.0,191.95,191.95,2023-08-16,17505
185.0,191.3,182.35,186.05,2023-08-17,41419
189.0,193.0,184.1,192.2,2023-08-18,12252
194.95,194.95,188.25,189.4,2023-08-21,10237
194.4,198.85,194.35,198.85,2023-08-22,4225
208.75,208.75,202.0,208.75,2023-08-23,19704
210.95,210.95,202.55,204.15,2023-08-24,8182
200.0,211.4,196.15,198.0,2023-08-25,12178
202.0,202.0,193.55,195.5,2023-08-28,7524
197.5,200.0,194.15,197.65,2023-08-29,100290
192.8,195.0,187.8,187.8,2023-08-30,87756
192.9,192.9,187.0,188.55,2023-08-31,18982
191.95,192.0,186.0,188.1,2023-09-01,10832
188.1,190.75,179.0,181.6,2023-09-04,32092
187.95,187.95,182.5,184.15,2023-09-05,15133
190.0,190.0,185.5,187.25,2023-09-06,14564
193.0,193.0,178.85,184.05,2023-09-07,39565
188.95,188.95,180.55,181.95,2023-09-08,27699
184.95,186.0,177.3,178.65,2023-09-11,32603
183.95,184.7,169.75,173.35,2023-09-12,35274
175.0,177.6,169.5,173.85,2023-09-13,13997
179.35,179.95,175.5,178.55,2023-09-14,12238
185.4,185.4,174.5,177.4,2023-09-15,9368
182.95,183.4,177.25,180.5,2023-09-18,15807
183.95,183.95,177.65,179.7,2023-09-20,8080
183.7,183.7,174.15,177.35,2023-09-21,9209
175.95,184.6,175.95,181.1,2023-09-22,8249
185.8,185.8,178.2,179.55,2023-09-25,9456
183.0,184.7,174.8,177.0,2023-09-26,12466
179.95,179.95,174.3,178.35,2023-09-27,7399
175.0,178.4,173.75,177.7,2023-09-28,5754
182.85,182.85,177.75,178.65,2023-09-29,4947
178.65,182.0,177.5,177.9,2023-10-03,14413
181.15,181.15,174.1,177.7,2023-10-04,6493
182.0,182.0,176.55,178.4,2023-10-05,5185
180.0,186.25,178.1,179.9,2023-10-06,40282
180.55,180.9,174.1,178.05,2023-10-09,15508
178.05,180.65,172.5,174.3,2023-10-10,13204
179.5,180.95,176.0,178.9,2023-10-11,5720
180.0,195.5,176.0,177.2,2023-10-12,205183
179.9,181.7,177.2,178.9,2023-10-13,18414
179.0,196.75,172.5,177.3,2023-10-16,261171
181.6,182.4,174.5,178.5,2023-10-17,31666
181.9,181.9,174.35,175.35,2023-10-18,23441
172.75,177.0,172.05,172.75,2023-10-19,19131
177.0,177.0,170.0,170.35,2023-10-20,20752
179.95,179.95,167.5,168.6,2023-10-23,13608
173.95,173.95,165.1,167.15,2023-10-25,10623
167.15,171.9,162.1,169.75,2023-10-26,12438
170.1,173.0,163.6,165.7,2023-10-27,22965
172.0,172.0,164.0,165.8,2023-10-30,9747
166.0,166.85,160.95,162.6,2023-10-31,13180
165.9,165.9,158.1,159.2,2023-11-01,16581
165.0,165.0,159.5,161.3,2023-11-02,11995
163.6,164.95,160.85,162.05,2023-11-03,12205
172.0,172.0,154.2,156.3,2023-11-06,49946
156.0,159.75,146.5,148.05,2023-11-07,76740
152.0,154.95,146.0,147.95,2023-11-08,56605
149.9,152.25,148.0,149.5,2023-11-09,20091
150.95,152.55,147.3,150.6,2023-11-10,11581
153.0,154.6,149.0,150.15,2023-11-12,14561
152.5,152.5,149.0,151.0,2023-11-13,10488
152.0,153.9,136.0,143.9,2023-11-15,97828
146.0,158.0,138.0,143.85,2023-11-16,148686
145.9,146.0,143.75,144.7,2023-11-17,36194
149.4,149.4,145.3,147.05,2023-11-20,28582
149.4,157.8,149.0,150.75,2023-11-21,102431
152.9,162.0,152.5,158.1,2023-11-22,104503
164.35,166.2,159.55,164.65,2023-11-23,84525
167.0,181.1,163.8,181.1,2023-11-24,195760
187.4,190.15,181.6,190.15,2023-11-28,125640
199.65,199.65,181.0,189.95,2023-11-29,176345
185.25,191.15,183.35,184.85,2023-11-30,38173
184.95,194.0,180.3,188.3,2023-12-01,56702
195.0,196.0,187.1,192.6,2023-12-04,81719
202.0,202.0,195.9,198.7,2023-12-05,94359
204.0,208.6,202.95,208.6,2023-12-06,73836
213.0,219.0,206.15,219.0,2023-12-07,99979
229.95,229.95,225.3,229.95,2023-12-08,46178
241.4,241.4,218.45,220.9,2023-12-11,268256
225.05,229.95,210.25,213.15,2023-12-12,75124
218.85,223.8,209.15,219.5,2023-12-13,72156
222.0,227.9,213.2,214.4,2023-12-14,63819
220.95,220.95,206.25,207.9,2023-12-15,48478
213.65,218.25,206.55,218.25,2023-12-18,40316
222.0,225.95,218.55,221.45,2023-12-19,67323
222.0,225.0,210.4,210.6,2023-12-20,39794
205.05,215.35,200.1,201.3,2023-12-21,105265
204.0,211.35,201.95,203.45,2023-12-22,65171
205.0,205.0,196.0,199.85,2023-12-26,87984
205.9,209.8,202.0,205.2,2023-12-27,108780
207.0,214.9,205.85,210.85,2023-12-28,97629
212.0,221.35,211.95,213.6,2023-12-29,122997
