open,high,low,close,date,volume
438.8,440.0,403.05,412.45,2022-09-23,141603
408.05,413.85,387.05,405.6,2022-09-26,135983
403.95,421.2,402.1,407.8,2022-09-27,72349
409.85,419.9,401.45,408.15,2022-09-28,58930
418.75,450.0,413.1,448.7,2022-09-29,439158
459.8,477.6,439.75,447.05,2022-09-30,325486
445.0,445.0,416.0,419.6,2022-10-03,204120
425.5,444.85,425.0,429.25,2022-10-04,165922
432.8,446.8,430.0,433.95,2022-10-06,98197
438.75,444.0,428.15,432.3,2022-10-07,51510
431.0,439.45,415.5,423.4,2022-10-10,171938
428.1,434.8,421.05,424.05,2022-10-11,64403
428.75,428.75,409.05,414.6,2022-10-12,94215
419.6,424.4,409.05,418.1,2022-10-13,84204
425.1,431.8,409.5,411.75,2022-10-14,68319
414.6,417.4,392.2,409.5,2022-10-17,76926
411.0,417.4,407.6,412.3,2022-10-18,51856
414.35,419.25,409.8,411.2,2022-10-19,59198
417.2,417.9,400.0,415.1,2022-10-20,69549
415.1,419.9,407.5,410.2,2022-10-21,44494
415.0,419.0,406.25,414.5,2022-10-24,12802
417.85,418.2,407.0,408.3,2022-10-25,24090
417.75,439.0,407.2,421.6,2022-10-27,141562
425.0,428.7,415.6,418.9,2022-10-28,42268
423.55,431.9,376.0,382.25,2022-10-31,383962
381.0,392.85,371.05,377.75,2022-11-01,152350
383.0,399.0,380.1,392.75,2022-11-02,88676
394.0,394.0,375.4,378.25,2022-11-03,70501
381.0,381.0,368.0,371.15,2022-11-04,79934
375.0,378.1,359.85,362.05,2022-11-07,67094
365.0,382.0,358.8,367.3,2022-11-09,93268
374.0,375.9,360.05,363.8,2022-11-10,38364
376.0,376.0,362.1,366.85,2022-11-11,37738
373.0,373.0,353.7,354.5,2022-11-14,53622
355.05,364.5,352.5,358.9,2022-11-15,66371
360.4,370.05,338.25,343.25,2022-11-16,136684
345.0,349.9,337.5,347.4,2022-11-17,47745
350.7,351.0,342.45,344.7,2022-11-18,18882
350.0,354.55,338.95,341.95,2022-11-21,42400
345.0,346.65,337.9,338.65,2022-11-22,20386
342.4,343.4,328.0,330.4,2022-11-23,46897
333.5,343.4,331.85,341.05,2022-11-24,31958
344.0,344.0,333.3,335.85,2022-11-25,41622
337.9,340.35,330.0,332.65,2022-11-28,47301
335.0,339.15,330.6,335.65,2022-11-29,40802
338.0,350.9,334.25,345.25,2022-11-30,58639
350.9,354.35,343.15,349.65,2022-12-01,53778
353.15,353.15,341.55,346.85,2022-12-02,28748
346.9,356.55,345.05,346.95,2022-12-05,47440
349.8,349.8,342.1,344.2,2022-12-06,13190
347.65,348.0,340.8,344.7,2022-12-07,34537
344.0,412.0,342.0,391.65,2022-12-08,559243
400.0,400.0,378.0,384.25,2022-12-09,109945
384.25,389.0,372.6,376.5,2022-12-12,48877
380.0,382.0,370.3,373.05,2022-12-13,29816
381.05,387.55,376.0,383.65,2022-12-14,45616
387.5,387.5,373.0,375.6,2022-12-15,28609
370.05,378.45,358.1,360.8,2022-12-16,41045
361.1,374.0,360.3,364.4,2022-12-19,23509
369.5,369.5,355.0,357.15,2022-12-20,22283
359.6,365.0,332.35,337.7,2022-12-21,52829
340.1,343.9,321.1,323.5,2022-12-22,56143
323.0,345.2,297.6,302.45,2022-12-23,115775
310.0,332.0,306.35,329.45,2022-12-26,129191
333.0,341.2,331.1,333.45,2022-12-27,53965
333.0,337.55,331.0,334.15,2022-12-28,19556
330.2,336.95,329.55,334.15,2022-12-29,22371
338.0,348.0,337.25,343.45,2022-12-30,32572
345.4,346.0,339.3,341.15,2023-01-02,22081
339.3,344.55,338.0,341.65,2023-01-03,29557
341.6,371.25,335.1,360.05,2023-01-04,87639
366.0,377.35,365.0,369.6,2023-01-05,122779
370.95,387.0,369.25,374.8,2023-01-06,89768
380.0,383.85,365.9,368.4,2023-01-09,31933
