open,high,low,close,date,volume
124.95,129.8,118.0,124.1,2022-09-29,46420
122.0,125.95,122.0,123.25,2022-09-30,41197
130.0,130.0,120.0,120.95,2022-10-03,39774
124.35,130.2,118.05,124.7,2022-10-04,21440
129.95,130.25,121.85,123.0,2022-10-06,34484
129.4,129.4,120.9,123.95,2022-10-07,26346
127.0,130.25,120.0,123.35,2022-10-10,34388
129.0,130.0,122.65,126.7,2022-10-11,22882
130.25,130.25,123.9,124.8,2022-10-12,24595
126.0,127.7,121.5,123.2,2022-10-13,24200
128.2,128.2,120.1,121.8,2022-10-14,108354
127.0,127.3,119.05,121.1,2022-10-17,52774
122.3,122.75,116.55,120.05,2022-10-18,52587
124.9,124.9,119.2,121.65,2022-10-19,25791
123.5,123.8,119.5,121.1,2022-10-20,140112
125.0,125.0,120.0,120.8,2022-10-21,23083
123.0,125.0,118.55,121.9,2022-10-24,11435
124.0,124.35,117.7,119.8,2022-10-25,20176
124.05,124.75,117.95,121.05,2022-10-27,174318
119.55,122.65,118.05,120.05,2022-10-28,22144
123.0,123.0,117.15,120.45,2022-10-31,101095
118.05,123.45,115.3,118.35,2022-11-01,13954
119.85,122.3,116.3,119.95,2022-11-02,23550
123.05,123.5,118.3,119.8,2022-11-03,35219
122.55,123.5,119.05,121.55,2022-11-04,105317
120.65,124.35,116.2,118.05,2022-11-07,24135
118.55,121.25,115.2,120.4,2022-11-09,17983
119.0,120.0,117.6,119.5,2022-11-10,35639
118.2,122.05,117.0,119.15,2022-11-11,15277
122.0,122.0,115.4,117.5,2022-11-14,33364
121.5,121.5,112.0,115.1,2022-11-15,70774
117.0,120.75,102.6,119.1,2022-11-16,84429
120.95,122.0,117.45,119.35,2022-11-17,40958
120.25,120.25,118.2,119.35,2022-11-18,36218
120.0,120.0,95.55,105.6,2022-11-21,130486
107.0,112.0,106.1,111.9,2022-11-22,21707
111.9,112.3,106.0,106.8,2022-11-23,16336
106.8,118.4,106.8,113.45,2022-11-24,53301
117.0,118.85,110.6,113.7,2022-11-25,19035
114.0,115.55,112.5,114.4,2022-11-28,21183
119.0,119.0,112.75,113.35,2022-11-29,20886
110.95,121.4,109.05,119.7,2022-11-30,36905
123.0,123.0,114.45,115.6,2022-12-01,23904
