open,high,low,close,date,volume
100.0,101.0,99.0,99.75,2022-09-29,53492
99.75,100.8,98.6,99.45,2022-09-30,44890
99.45,102.0,95.35,96.5,2022-10-03,107218
98.0,99.15,97.0,97.85,2022-10-04,97385
99.0,104.8,99.0,101.9,2022-10-06,134623
103.9,103.9,100.1,101.2,2022-10-07,72363
100.65,103.0,99.4,101.95,2022-10-10,91747
102.95,107.25,102.1,103.95,2022-10-11,204253
104.95,106.0,102.05,104.1,2022-10-12,91275
102.65,104.0,102.0,103.15,2022-10-13,50702
105.5,105.5,102.65,103.95,2022-10-14,90509
103.95,106.0,103.3,104.75,2022-10-17,72255
105.8,111.5,104.05,105.0,2022-10-18,466764
106.55,115.0,105.75,114.1,2022-10-19,971863
114.5,116.8,111.2,111.7,2022-10-20,473074
112.4,113.75,108.2,109.1,2022-10-21,167207
116.0,116.5,113.0,114.3,2022-10-24,242731
114.7,116.7,111.45,114.35,2022-10-25,237747
115.0,116.5,112.4,113.85,2022-10-27,230541
114.45,118.3,110.55,113.0,2022-10-28,358380
114.95,114.95,109.8,110.9,2022-10-31,128867
111.95,112.95,109.0,109.95,2022-11-01,110868
109.95,112.6,109.2,109.6,2022-11-02,86630
109.0,112.0,108.95,111.7,2022-11-03,90023
112.5,113.75,111.0,112.6,2022-11-04,121481
111.0,113.65,111.0,113.0,2022-11-07,135223
114.75,118.0,113.35,116.3,2022-11-09,445269
115.5,116.75,111.0,111.55,2022-11-10,126470
113.2,114.7,111.0,112.95,2022-11-11,100406
115.2,119.8,113.4,117.5,2022-11-14,400392
118.3,118.95,114.15,114.8,2022-11-15,142875
113.4,116.0,112.0,112.25,2022-11-16,122540
112.25,114.6,111.05,112.1,2022-11-17,102758
113.0,113.2,107.15,108.95,2022-11-18,152988
108.65,108.95,105.2,105.65,2022-11-21,111136
106.7,106.8,103.0,103.9,2022-11-22,153729
104.0,107.3,104.0,106.65,2022-11-23,115172
107.6,109.9,106.7,107.65,2022-11-24,94573
108.5,109.95,107.1,108.65,2022-11-25,70811
110.25,110.25,106.0,106.95,2022-11-28,92802
107.0,109.0,106.3,107.15,2022-11-29,75631
108.2,109.0,107.0,107.8,2022-11-30,59180
108.9,110.8,107.6,109.35,2022-12-01,75686
109.9,112.9,108.6,111.55,2022-12-02,144257
113.5,113.75,111.65,112.35,2022-12-05,69362
114.0,114.05,109.1,110.65,2022-12-06,95217
111.9,118.8,110.95,118.15,2022-12-07,965591
124.7,124.7,119.5,120.8,2022-12-08,1029799
121.7,121.7,114.2,115.6,2022-12-09,280983
116.1,118.55,113.5,117.5,2022-12-12,131475
118.25,118.5,115.0,115.3,2022-12-13,89875
116.55,117.45,113.85,114.75,2022-12-14,103483
114.75,115.8,111.75,112.45,2022-12-15,142347
111.35,114.25,110.6,111.4,2022-12-16,123986
111.5,115.65,111.2,113.7,2022-12-19,136546
113.9,115.2,111.65,112.65,2022-12-20,74235
113.95,114.4,106.1,107.6,2022-12-21,137689
106.3,108.15,102.2,104.8,2022-12-22,182953
103.0,103.4,95.0,97.0,2022-12-23,281671
98.4,104.85,97.1,102.95,2022-12-26,152986
103.35,105.95,103.35,104.7,2022-12-27,90402
104.95,107.0,104.45,104.85,2022-12-28,61231
104.85,108.2,103.85,107.0,2022-12-29,104924
108.95,108.95,106.0,106.7,2022-12-30,51015
108.8,110.0,106.95,109.2,2023-01-02,68538
109.15,111.0,108.9,109.1,2023-01-03,87609
110.2,110.3,105.95,106.7,2023-01-04,63597
107.1,108.9,105.0,106.55,2023-01-05,83524
106.5,107.5,103.95,106.95,2023-01-06,80366
108.7,108.7,105.6,106.45,2023-01-09,62929
105.4,107.75,105.4,106.6,2023-01-10,36043
106.9,107.8,105.5,106.1,2023-01-11,39709
107.25,107.25,105.55,105.8,2023-01-12,22863
106.9,107.9,95.9,102.4,2023-01-13,377826
103.35,108.0,103.35,107.25,2023-01-16,339286
107.25,108.4,105.05,105.65,2023-01-17,93570
105.35,106.75,103.65,104.2,2023-01-18,78234
104.2,105.55,103.3,103.65,2023-01-19,54252
104.7,104.85,101.55,102.75,2023-01-20,88981
103.0,104.45,102.3,102.55,2023-01-23,34803
103.05,103.7,101.0,101.3,2023-01-24,72637
101.0,102.8,99.05,99.3,2023-01-25,123154
99.05,100.2,96.1,96.95,2023-01-27,127515
98.45,100.0,95.0,96.6,2023-01-30,108558
98.4,99.7,96.15,98.15,2023-01-31,80096
99.0,102.2,96.2,98.25,2023-02-01,125011
97.2,99.75,97.0,97.6,2023-02-02,64788
98.8,99.0,95.4,97.4,2023-02-03,64602
98.45,98.65,97.0,97.8,2023-02-06,53716
98.9,98.9,96.1,96.6,2023-02-07,62589
96.55,103.9,95.95,101.25,2023-02-08,304366
101.25,102.7,100.6,101.85,2023-02-09,157735
101.8,103.35,100.6,102.75,2023-02-10,91597
103.45,104.8,93.0,94.75,2023-02-13,401186
94.75,95.2,92.0,92.35,2023-02-14,105312
92.0,96.1,91.1,94.1,2023-02-15,94768
95.5,97.3,94.0,94.65,2023-02-16,89832
94.5,96.1,93.0,93.35,2023-02-17,70682
94.6,94.6,90.9,91.7,2023-02-20,77812
91.0,92.7,90.8,91.1,2023-02-21,65378
91.45,91.7,89.5,89.95,2023-02-22,69871
90.15,90.8,87.3,88.2,2023-02-23,74627
88.0,91.2,88.0,89.4,2023-02-24,78807
88.2,89.35,86.3,86.8,2023-02-27,86259
87.0,88.0,85.0,85.7,2023-02-28,98660
85.05,89.3,85.05,88.55,2023-03-01,77704
88.8,89.55,86.75,87.0,2023-03-02,102708
87.05,89.3,86.9,88.45,2023-03-03,118607
89.25,90.8,87.9,88.4,2023-03-06,89056
88.3,90.55,87.4,89.95,2023-03-08,71559
90.75,92.35,89.2,90.0,2023-03-09,75737
90.0,91.5,89.0,90.3,2023-03-10,72424
88.35,90.6,87.0,88.05,2023-03-13,140074
88.9,89.15,85.95,87.35,2023-03-14,60230
88.8,88.85,86.0,86.3,2023-03-15,71702
86.0,86.9,84.0,86.1,2023-03-16,83694
87.0,87.05,85.6,85.85,2023-03-17,40620
86.2,86.2,82.0,83.45,2023-03-20,91459
