open,high,low,close,date,volume
112.0,112.6,110.0,110.8,2022-09-29,75868
110.7,112.75,110.05,112.2,2022-09-30,91798
112.7,113.6,109.85,110.5,2022-10-03,114266
111.5,112.9,111.15,111.85,2022-10-04,101107
112.45,113.9,111.85,112.55,2022-10-06,138207
112.85,115.6,112.55,115.1,2022-10-07,254521
114.35,115.95,111.6,113.65,2022-10-10,169150
114.4,115.5,113.0,113.7,2022-10-11,73440
114.45,114.45,111.1,112.3,2022-10-12,80406
112.5,113.25,111.65,111.95,2022-10-13,47824
113.8,115.3,111.45,112.0,2022-10-14,71121
112.4,112.6,111.0,111.25,2022-10-17,63183
111.8,112.0,110.6,111.35,2022-10-18,96882
111.4,112.5,111.25,111.55,2022-10-19,84247
111.7,112.05,107.7,108.25,2022-10-20,956700
109.0,110.4,108.9,109.65,2022-10-21,170376
111.0,111.6,109.95,111.25,2022-10-24,58127
111.25,111.55,110.5,110.9,2022-10-25,65463
111.5,112.6,110.05,111.75,2022-10-27,101611
111.75,113.8,111.75,112.4,2022-10-28,120911
112.5,114.05,112.5,113.45,2022-10-31,94677
114.1,114.45,113.15,113.55,2022-11-01,118755
114.0,115.45,112.7,113.3,2022-11-02,161582
113.35,117.25,113.35,115.15,2022-11-03,365479
116.45,117.0,113.75,114.1,2022-11-04,379956
115.5,116.75,114.55,115.0,2022-11-07,210973
115.95,116.3,114.15,114.6,2022-11-09,172982
114.5,115.0,112.55,113.25,2022-11-10,116645
114.0,114.8,112.5,113.0,2022-11-11,130512
113.0,115.2,111.85,113.15,2022-11-14,284752
113.7,113.9,111.5,111.85,2022-11-15,185997
112.0,114.15,111.85,113.75,2022-11-16,197151
113.85,123.2,113.25,121.05,2022-11-17,2428221
122.7,124.7,119.3,119.95,2022-11-18,869723
119.7,119.7,117.0,118.3,2022-11-21,167659
118.35,119.0,116.6,117.95,2022-11-22,208493
118.0,122.8,118.0,120.95,2022-11-23,636888
121.55,122.9,119.9,120.85,2022-11-24,296859
121.9,124.2,120.4,121.55,2022-11-25,405530
121.1,125.5,121.1,123.6,2022-11-28,756061
123.55,124.55,121.0,121.3,2022-11-29,231061
121.3,128.95,121.3,125.7,2022-11-30,1573521
125.75,127.0,123.5,124.1,2022-12-01,253690
124.15,124.6,121.7,122.45,2022-12-02,282441
122.85,124.5,122.5,122.9,2022-12-05,180290
123.0,124.25,122.2,122.65,2022-12-06,214961
122.7,123.25,120.65,122.3,2022-12-07,224600
121.5,123.45,121.25,122.75,2022-12-08,168507
122.75,124.7,120.05,120.95,2022-12-09,277306
120.0,123.8,119.1,123.05,2022-12-12,278122
123.9,127.8,123.4,125.15,2022-12-13,597130
125.95,126.95,124.2,124.45,2022-12-14,206581
125.1,129.8,124.05,126.5,2022-12-15,824498
126.25,128.5,123.7,125.2,2022-12-16,354413
125.25,129.4,124.35,127.9,2022-12-19,483265
127.05,129.6,126.15,127.05,2022-12-20,366615
128.5,128.5,120.9,121.65,2022-12-21,440788
122.05,123.2,117.85,120.05,2022-12-22,339798
119.25,119.7,114.25,115.4,2022-12-23,368056
116.0,119.2,115.5,118.65,2022-12-26,165800
119.7,121.8,119.0,120.9,2022-12-27,201538
120.9,124.2,120.55,123.05,2022-12-28,256031
123.75,123.75,121.55,122.55,2022-12-29,142149
122.55,127.75,122.05,125.05,2022-12-30,449407
125.05,128.0,124.0,127.45,2023-01-02,320799
127.1,127.7,123.6,124.5,2023-01-03,235055
124.6,132.25,123.1,128.25,2023-01-04,1485255
128.7,129.4,125.5,126.3,2023-01-05,259082
126.9,132.9,126.3,130.95,2023-01-06,2037403
132.85,132.85,128.65,129.15,2023-01-09,503443
129.45,130.8,126.5,127.25,2023-01-10,351625
128.0,128.6,126.0,126.95,2023-01-11,279301
127.45,127.8,125.05,125.55,2023-01-12,183449
126.0,126.5,124.6,125.2,2023-01-13,143663
125.85,126.65,124.1,124.4,2023-01-16,122023
124.4,124.9,123.4,123.9,2023-01-17,109456
124.7,125.0,123.1,124.0,2023-01-18,112466
124.0,124.75,122.75,123.8,2023-01-19,108135
123.0,125.15,123.0,124.15,2023-01-20,114597
124.15,124.75,122.5,122.9,2023-01-23,85661
123.1,125.5,122.55,122.7,2023-01-24,138831
123.5,123.5,120.6,121.1,2023-01-25,105829
121.1,122.0,117.7,118.2,2023-01-27,248723
118.6,121.0,117.7,119.4,2023-01-30,167482
120.0,120.75,118.65,120.15,2023-01-31,167414
120.95,122.9,117.0,118.2,2023-02-01,148575
118.2,119.8,115.5,117.0,2023-02-02,180105
117.6,118.55,114.95,117.85,2023-02-03,182888
118.45,118.45,116.7,117.2,2023-02-06,87942
117.5,118.85,116.0,116.75,2023-02-07,102957
116.75,119.05,116.5,118.65,2023-02-08,80112
119.1,120.0,117.85,118.95,2023-02-09,65777
119.0,120.0,117.0,118.1,2023-02-10,87221
118.1,120.15,117.0,117.2,2023-02-13,105707
117.35,117.9,115.85,116.25,2023-02-14,84432
116.95,117.8,115.75,117.0,2023-02-15,132291
118.75,118.75,116.5,116.8,2023-02-16,86089
116.45,119.9,116.45,118.1,2023-02-17,222339
117.15,118.1,116.05,116.35,2023-02-20,59248
115.8,117.5,115.3,115.9,2023-02-21,129676
115.25,116.15,113.8,113.95,2023-02-22,112316
113.3,115.5,113.3,114.9,2023-02-23,177804
115.15,115.75,114.85,115.3,2023-02-24,51975
115.0,115.4,113.0,113.45,2023-02-27,96641
114.05,114.6,113.55,114.25,2023-02-28,62350
114.25,116.1,114.25,115.3,2023-03-01,72609
115.1,115.65,114.8,115.05,2023-03-02,41489
115.55,115.8,114.5,115.0,2023-03-03,71646
115.15,116.9,115.05,115.65,2023-03-06,103317
115.15,116.2,115.05,115.65,2023-03-08,82816
116.25,117.65,114.7,115.6,2023-03-09,114705
116.0,116.0,114.75,115.45,2023-03-10,59088
114.7,115.75,113.0,113.5,2023-03-13,99263
113.5,114.65,112.5,112.75,2023-03-14,77637
113.5,113.95,112.1,112.4,2023-03-15,72103
112.9,112.9,109.5,111.75,2023-03-16,166031
112.35,112.8,111.25,111.8,2023-03-17,75003
