open,high,low,close,date,volume
184.25,187.1,182.5,183.45,2022-09-29,69662
184.7,184.85,181.95,183.75,2022-09-30,82617
184.7,186.4,180.1,181.1,2022-10-03,107144
184.65,185.6,181.5,183.95,2022-10-04,110506
183.95,188.25,178.8,179.8,2022-10-06,264192
180.75,184.9,178.5,184.05,2022-10-07,170868
187.5,188.0,183.35,186.2,2022-10-10,258785
187.0,187.0,181.2,182.45,2022-10-11,102798
183.0,183.6,178.2,181.0,2022-10-12,102993
182.0,182.75,177.6,179.55,2022-10-13,104805
182.0,183.15,180.5,181.1,2022-10-14,80517
181.5,181.5,177.6,180.3,2022-10-17,54202
181.0,182.85,179.3,180.05,2022-10-18,51738
180.8,182.9,179.05,179.95,2022-10-19,69974
179.9,180.8,178.0,179.35,2022-10-20,59078
180.4,181.0,178.05,179.0,2022-10-21,42864
181.8,181.8,178.75,180.1,2022-10-24,17579
180.9,196.45,180.0,189.45,2022-10-25,367926
194.8,197.05,190.6,194.6,2022-10-27,191456
194.0,196.15,188.05,189.15,2022-10-28,127799
190.0,194.5,190.0,192.95,2022-10-31,120176
194.0,196.0,189.45,191.75,2022-11-01,109156
191.75,194.0,190.45,192.85,2022-11-02,71640
192.35,193.45,190.35,192.45,2022-11-03,47045
192.05,198.45,191.05,195.25,2022-11-04,147182
196.2,199.5,195.95,196.85,2022-11-07,116543
198.75,198.75,195.6,196.9,2022-11-09,100719
197.0,198.6,191.5,192.2,2022-11-10,68898
194.5,197.0,192.55,193.25,2022-11-11,58586
198.95,198.95,193.8,195.55,2022-11-14,191784
197.05,205.5,195.1,202.35,2022-11-15,243087
203.0,205.2,200.2,201.8,2022-11-16,130560
202.5,211.7,200.3,209.85,2022-11-17,508638
210.9,213.7,205.3,206.15,2022-11-18,128488
206.1,207.9,201.7,203.25,2022-11-21,65666
203.75,204.2,200.05,200.75,2022-11-22,64869
201.8,202.5,198.35,199.2,2022-11-23,99753
198.7,202.35,198.05,199.4,2022-11-24,80958
200.95,202.2,199.05,200.25,2022-11-25,53866
202.3,204.0,198.95,201.15,2022-11-28,67501
202.85,205.85,200.0,202.0,2022-11-29,74045
203.0,205.85,200.25,202.85,2022-11-30,106958
203.7,208.4,202.3,205.15,2022-12-01,139792
205.1,206.7,202.55,204.65,2022-12-02,67015
205.25,212.0,205.25,211.25,2022-12-05,173953
212.0,213.7,206.85,208.1,2022-12-06,93803
208.0,209.2,203.1,204.55,2022-12-07,62162
205.0,208.15,204.5,205.5,2022-12-08,43766
206.0,208.1,200.35,201.7,2022-12-09,88370
201.5,202.9,199.7,200.55,2022-12-12,65783
201.8,202.7,199.2,199.9,2022-12-13,83616
200.9,204.95,200.0,202.25,2022-12-14,106285
202.8,203.7,200.65,201.25,2022-12-15,40418
201.0,201.95,196.3,197.25,2022-12-16,98673
198.35,198.45,194.45,195.55,2022-12-19,127832
197.3,198.0,194.8,196.85,2022-12-20,36670
197.0,198.8,191.55,191.9,2022-12-21,92106
192.9,193.85,184.1,189.7,2022-12-22,118916
188.05,189.15,179.0,180.6,2022-12-23,212697
182.0,191.0,178.25,186.8,2022-12-26,193665
188.7,201.5,188.65,200.0,2022-12-27,209293
201.6,201.6,196.05,198.65,2022-12-28,110926
197.0,204.95,195.1,202.85,2022-12-29,154275
203.95,208.5,199.15,200.05,2022-12-30,95595
202.3,202.8,199.5,200.95,2023-01-02,49054
202.1,202.8,198.0,199.35,2023-01-03,62639
199.5,201.1,197.0,199.3,2023-01-04,57905
200.0,200.35,196.95,198.95,2023-01-05,40152
199.8,202.65,194.1,200.05,2023-01-06,82577
201.3,202.7,198.2,199.55,2023-01-09,48996
199.85,201.8,199.0,200.15,2023-01-10,72618
201.7,206.4,200.4,201.6,2023-01-11,105160
201.6,202.15,199.35,200.65,2023-01-12,37164
199.6,201.65,199.0,200.0,2023-01-13,47159
200.5,200.85,198.0,198.8,2023-01-16,40471
198.8,200.85,198.0,199.45,2023-01-17,58983
200.05,204.8,199.65,200.4,2023-01-18,110872
199.9,202.4,199.9,201.45,2023-01-19,40805
201.1,202.3,199.55,200.3,2023-01-20,28302
202.3,202.3,198.85,199.4,2023-01-23,46135
201.3,201.3,197.2,200.15,2023-01-24,39806
199.9,200.3,197.0,198.35,2023-01-25,120132
198.0,200.25,190.0,191.45,2023-01-27,94105
192.5,195.7,191.0,192.75,2023-01-30,38782
195.35,201.95,194.8,200.7,2023-01-31,73695
202.4,207.2,199.15,200.85,2023-02-01,152472
202.0,204.2,197.1,199.4,2023-02-02,63611
200.0,202.1,190.1,195.4,2023-02-03,73361
197.9,203.9,194.5,201.8,2023-02-06,213447
203.1,204.35,200.0,202.9,2023-02-07,102647
203.8,207.85,202.35,205.5,2023-02-08,164445
203.0,220.0,203.0,217.2,2023-02-09,492497
219.45,222.8,213.05,215.3,2023-02-10,302579
216.0,242.25,213.25,233.8,2023-02-13,2139248
239.0,244.15,226.15,228.45,2023-02-14,756201
229.4,239.7,229.0,237.1,2023-02-15,500129
238.75,247.9,236.3,243.1,2023-02-16,560857
243.1,247.55,239.0,241.35,2023-02-17,259555
242.5,245.5,239.5,240.55,2023-02-20,131160
242.45,244.4,234.0,235.8,2023-02-21,165780
236.8,241.1,235.5,237.05,2023-02-22,215422
238.0,238.0,230.9,232.45,2023-02-23,182041
225.45,234.0,222.5,228.15,2023-02-24,175008
225.85,230.6,213.45,216.1,2023-02-27,174593
216.8,221.4,216.0,219.35,2023-02-28,91325
219.0,231.4,218.0,229.6,2023-03-01,163087
229.5,232.85,228.1,229.35,2023-03-02,93897
229.3,234.0,228.65,232.05,2023-03-03,103239
232.05,235.9,231.1,234.9,2023-03-06,102447
232.55,251.2,232.4,241.15,2023-03-08,345729
242.0,244.45,238.05,243.1,2023-03-09,155414
242.0,249.4,237.0,248.1,2023-03-10,239002
