open,high,low,close,date,volume
1090.0,1104.25,1060.0,1078.9,2022-09-29,47632
1080.0,1112.25,1064.4,1107.8,2022-09-30,49693
1108.0,1112.0,1065.0,1076.65,2022-10-03,40274
1082.3,1109.0,1082.3,1094.95,2022-10-04,73012
1099.8,1113.15,1073.0,1078.7,2022-10-06,42851
1084.0,1085.0,1058.05,1069.5,2022-10-07,45176
1058.0,1073.05,1051.0,1056.4,2022-10-10,25239
1056.1,1075.0,1052.1,1069.85,2022-10-11,38120
1066.0,1093.9,1051.65,1063.95,2022-10-12,77695
1067.85,1069.9,1050.2,1052.55,2022-10-13,21790
1060.0,1073.9,1055.15,1060.5,2022-10-14,23523
1053.0,1060.55,1040.0,1045.95,2022-10-17,14533
1055.8,1075.0,1049.3,1066.45,2022-10-18,23078
1066.45,1080.5,1047.5,1051.6,2022-10-19,19611
1055.6,1057.6,1037.0,1041.45,2022-10-20,29818
1050.95,1054.9,1028.0,1032.6,2022-10-21,16362
1047.8,1065.0,1031.0,1050.85,2022-10-24,3843
1055.0,1080.0,1036.7,1070.65,2022-10-25,58862
1070.0,1093.0,1053.65,1079.15,2022-10-27,37662
1062.95,1080.05,1060.15,1064.05,2022-10-28,26166
1066.5,1085.0,1055.4,1073.75,2022-10-31,43092
1079.8,1098.4,1075.15,1088.1,2022-11-01,43214
1094.9,1112.0,1077.05,1106.7,2022-11-02,38402
1099.8,1117.3,1090.0,1105.45,2022-11-03,35135
1112.8,1141.0,1108.4,1124.35,2022-11-04,108906
1125.0,1155.0,1123.4,1148.25,2022-11-07,70289
1150.0,1172.8,1030.3,1049.65,2022-11-09,353485
1056.0,1084.8,1036.0,1069.95,2022-11-10,340676
1079.9,1123.0,1075.0,1089.45,2022-11-11,177565
1089.9,1094.45,1072.0,1081.05,2022-11-14,106798
1091.8,1115.2,1085.75,1098.9,2022-11-15,64267
1109.8,1122.55,1092.05,1106.4,2022-11-16,150257
1104.0,1114.45,1082.3,1094.45,2022-11-17,35021
1109.9,1113.4,1085.3,1091.2,2022-11-18,41702
1099.95,1109.95,1050.55,1071.0,2022-11-21,36918
1067.0,1075.3,1038.6,1042.65,2022-11-22,56872
1053.0,1053.0,1032.0,1042.65,2022-11-23,51820
1047.0,1060.35,1034.2,1040.85,2022-11-24,53560
1050.0,1069.8,1034.6,1053.2,2022-11-25,53070
1060.8,1060.95,1030.0,1046.1,2022-11-28,61196
1046.1,1060.0,1036.1,1054.55,2022-11-29,42529
1051.0,1098.4,1031.3,1055.4,2022-11-30,409181
1048.0,1059.65,1039.5,1046.9,2022-12-01,85082
1054.9,1054.9,1039.5,1043.2,2022-12-02,18241
1050.0,1063.95,1042.0,1050.7,2022-12-05,24851
1056.0,1057.45,1037.0,1038.9,2022-12-06,48834
1045.0,1048.5,1031.7,1033.75,2022-12-07,37338
1036.0,1040.0,1030.0,1031.75,2022-12-08,18712
1030.05,1040.0,1010.5,1016.3,2022-12-09,65377
1021.0,1042.0,1008.0,1025.05,2022-12-12,120122
1029.3,1042.45,1025.1,1038.1,2022-12-13,118259
1049.0,1049.0,1020.0,1026.55,2022-12-14,29990
1032.5,1041.5,1021.0,1023.1,2022-12-15,16151
1027.75,1031.9,1019.1,1024.2,2022-12-16,10635
1030.85,1040.0,1011.0,1019.4,2022-12-19,27038
1024.0,1036.8,1019.15,1029.9,2022-12-20,16147
1031.4,1034.0,996.35,1019.45,2022-12-21,30015
1017.0,1026.3,968.2,997.2,2022-12-22,55340
971.0,994.0,942.95,964.9,2022-12-23,48419
961.1,979.65,953.55,972.75,2022-12-26,41523
985.0,999.9,960.0,971.65,2022-12-27,80603
968.05,990.45,963.45,985.15,2022-12-28,18278
988.45,988.45,960.2,968.4,2022-12-29,35703
968.4,983.6,959.85,966.05,2022-12-30,27678
974.85,990.0,965.05,982.05,2023-01-02,24907
980.0,993.0,970.0,976.4,2023-01-03,16544
976.0,982.45,959.5,968.35,2023-01-04,17835
963.0,975.35,956.55,967.25,2023-01-05,12312
970.0,988.0,941.05,946.4,2023-01-06,33625
954.95,968.3,940.0,946.95,2023-01-09,12364
946.95,964.0,916.1,923.05,2023-01-10,20567
923.05,940.0,918.8,923.95,2023-01-11,10846
930.0,938.0,911.15,921.15,2023-01-12,7775
921.15,933.25,918.0,930.4,2023-01-13,10521
925.05,937.95,916.0,917.35,2023-01-16,8011
917.5,923.95,909.0,912.0,2023-01-17,7945
912.0,925.0,903.4,913.6,2023-01-18,11684
910.05,919.95,881.0,887.55,2023-01-19,25456
890.0,900.05,890.0,892.0,2023-01-20,102145
905.3,905.3,882.0,882.4,2023-01-23,22857
889.9,894.0,880.0,883.45,2023-01-24,17108
879.0,894.0,869.85,879.65,2023-01-25,23794
882.05,888.75,812.0,823.8,2023-01-27,54399
820.0,839.95,814.0,836.2,2023-01-30,22008
848.75,894.0,844.0,880.35,2023-01-31,86673
900.1,910.0,843.65,853.05,2023-02-01,22274
862.0,958.15,861.95,881.4,2023-02-02,172078
882.0,894.75,856.7,869.35,2023-02-03,50859
875.0,889.65,855.05,860.1,2023-02-06,21844
867.0,897.9,824.0,844.7,2023-02-07,49267
829.0,829.0,792.0,796.0,2023-02-08,128543
796.0,798.0,774.85,781.2,2023-02-09,188848
770.8,806.0,770.8,775.8,2023-02-10,65691
784.9,784.9,762.45,768.4,2023-02-13,44077
764.5,774.95,754.5,761.2,2023-02-14,54477
760.0,769.1,740.0,750.75,2023-02-15,19736
749.0,754.0,725.25,735.85,2023-02-16,69750
739.8,745.0,713.95,719.75,2023-02-17,132750
726.95,738.05,695.05,700.95,2023-02-20,75809
698.95,734.35,686.0,701.05,2023-02-21,458471
698.0,732.0,688.0,692.15,2023-02-22,136952
705.0,737.75,689.75,723.6,2023-02-23,173462
729.2,749.7,728.45,738.9,2023-02-24,76841
740.0,742.95,715.2,729.2,2023-02-27,56250
721.9,738.45,713.1,717.7,2023-02-28,37294
724.9,732.0,707.15,713.1,2023-03-01,38611
711.0,722.4,710.0,717.45,2023-03-02,21007
717.0,725.35,715.05,717.4,2023-03-03,14113
729.0,734.8,711.0,722.65,2023-03-06,65104
720.0,720.0,710.05,716.4,2023-03-08,20288
719.0,719.0,703.55,712.3,2023-03-09,36719
710.0,715.0,705.05,710.75,2023-03-10,13744
714.5,732.0,691.0,699.4,2023-03-13,128757
699.0,705.0,675.1,700.25,2023-03-14,101025
703.9,709.6,667.0,674.0,2023-03-15,35812
660.0,681.8,655.65,674.25,2023-03-16,32289
685.0,692.0,656.55,680.15,2023-03-17,102180
679.6,697.3,665.55,669.7,2023-03-20,84956
669.65,692.8,665.05,679.25,2023-03-21,63136
682.8,689.2,657.0,663.7,2023-03-22,88988
670.0,682.15,654.05,670.3,2023-03-23,127049
662.9,666.9,634.5,641.45,2023-03-24,84932
647.7,647.7,616.85,620.55,2023-03-27,45521
634.5,634.5,605.05,618.15,2023-03-28,48303
621.4,632.75,592.0,609.0,2023-03-29,239363
615.05,655.3,615.05,633.15,2023-03-31,113806
633.15,643.75,607.2,610.6,2023-04-03,77947
614.85,623.5,601.1,602.55,2023-04-05,73321
607.0,722.0,594.0,671.4,2023-04-06,1258131
675.6,704.8,654.05,662.65,2023-04-10,468743
665.0,686.35,651.35,659.75,2023-04-11,247095
659.75,673.9,648.2,651.4,2023-04-12,244444
651.4,663.6,640.05,645.3,2023-04-13,160570
655.0,665.0,628.5,632.0,2023-04-17,190196
638.9,643.2,623.4,629.15,2023-04-18,58448
630.0,636.35,625.05,629.35,2023-04-19,69112
632.7,641.35,617.55,624.4,2023-04-20,83085
624.0,641.3,615.0,617.3,2023-04-21,55179
621.25,627.0,605.05,608.25,2023-04-24,162222
612.0,634.0,610.55,613.7,2023-04-25,148168
620.0,621.8,606.6,613.8,2023-04-26,195104
619.35,629.7,605.6,607.05,2023-04-27,117609
618.7,618.7,603.95,605.65,2023-04-28,90519
608.1,618.9,605.85,607.25,2023-05-02,81024
609.3,632.7,607.05,615.1,2023-05-03,219429
618.9,629.0,612.95,614.45,2023-05-04,138306
619.0,619.0,596.5,599.9,2023-05-05,258964
605.0,612.95,598.95,606.8,2023-05-08,79076
606.95,613.4,604.05,607.05,2023-05-09,54717
608.9,610.7,595.25,596.85,2023-05-10,87994
598.95,623.5,597.75,603.15,2023-05-11,211065
608.7,608.7,596.0,599.9,2023-05-12,64225
602.6,605.95,594.05,596.2,2023-05-15,78495
598.1,635.35,598.1,624.8,2023-05-16,371589
625.0,654.0,619.5,624.65,2023-05-17,384054
627.6,635.0,615.0,619.05,2023-05-18,93471
622.3,650.2,618.8,628.25,2023-05-19,314210
625.0,630.85,620.0,621.6,2023-05-22,53004
624.7,642.0,620.0,626.9,2023-05-23,86175
629.5,646.95,622.0,630.7,2023-05-24,110038
634.55,649.0,630.6,644.1,2023-05-25,134245
645.05,651.3,633.0,636.85,2023-05-26,150820
615.15,628.45,600.0,617.65,2023-05-29,245127
623.0,630.0,610.5,611.95,2023-05-30,127164
614.7,616.45,601.6,606.3,2023-05-31,106604
614.85,620.2,609.3,614.8,2023-06-01,50321
622.0,634.8,615.2,631.65,2023-06-02,98493
641.05,644.9,624.05,627.05,2023-06-05,115789
636.85,675.95,629.5,667.45,2023-06-06,340024
678.0,691.4,667.55,677.95,2023-06-07,297331
678.0,688.4,652.4,657.15,2023-06-08,131023
663.7,663.75,644.05,646.8,2023-06-09,74433
650.9,663.45,645.0,654.85,2023-06-12,75625
660.0,670.75,654.0,663.6,2023-06-13,170075
670.0,678.3,661.05,664.75,2023-06-14,117744
667.75,667.9,657.45,659.15,2023-06-15,56160
664.4,694.0,660.25,682.1,2023-06-16,480479
682.0,704.75,675.65,701.0,2023-06-19,331332
707.75,711.9,675.0,680.25,2023-06-20,240860
685.0,686.0,661.15,664.85,2023-06-21,204311
667.65,676.2,652.0,654.45,2023-06-22,130498
656.9,659.95,645.55,654.05,2023-06-23,56861
666.0,673.7,648.0,670.35,2023-06-26,70623
672.0,672.55,643.0,648.5,2023-06-27,250152
657.0,659.5,648.5,649.55,2023-06-28,54051
650.0,666.0,649.05,660.3,2023-06-30,151379
664.4,665.4,650.45,654.5,2023-07-03,63154
658.3,663.9,648.65,658.55,2023-07-04,80191
655.15,665.4,652.5,655.35,2023-07-05,48787
658.4,660.95,651.35,656.6,2023-07-06,30632
660.35,674.0,651.0,665.9,2023-07-07,82995
669.0,695.0,654.2,658.9,2023-07-10,55471
660.0,664.85,654.0,655.6,2023-07-11,32712
658.8,661.35,651.0,654.2,2023-07-12,47123
656.6,673.95,656.6,671.85,2023-07-13,135253
672.5,681.0,672.5,678.9,2023-07-14,65859
681.95,693.5,678.5,685.45,2023-07-17,112287
686.0,691.4,670.0,674.15,2023-07-18,73590
678.0,688.35,675.3,683.9,2023-07-19,56809
680.05,685.05,670.1,673.95,2023-07-20,36769
663.95,682.0,663.95,672.35,2023-07-21,45645
676.4,686.95,673.35,677.85,2023-07-24,51947
681.7,681.7,670.1,673.15,2023-07-25,30754
675.05,688.0,675.05,679.9,2023-07-26,49099
683.0,687.0,663.5,666.0,2023-07-27,87973
670.0,679.0,663.8,668.1,2023-07-28,29461
672.6,682.0,670.4,678.5,2023-07-31,45471
