open,high,low,close,date,volume
4800.0,4878.0,4780.0,4863.4,2022-09-29,7882
4824.05,4944.0,4785.6,4883.05,2022-09-30,19268
4949.0,4999.0,4760.0,4803.0,2022-10-03,13077
4825.0,4914.0,4805.55,4884.85,2022-10-04,5520
4888.9,4921.45,4830.05,4855.55,2022-10-06,7091
4855.55,4875.1,4736.6,4747.85,2022-10-07,13066
4662.0,4720.0,4662.0,4697.65,2022-10-10,6117
4697.65,4815.0,4668.85,4725.95,2022-10-11,14960
4749.95,4750.75,4692.05,4699.15,2022-10-12,4146
4672.0,4693.65,4645.0,4648.25,2022-10-13,3663
4669.95,4720.0,4626.05,4649.55,2022-10-14,5441
4659.95,4747.0,4592.15,4626.95,2022-10-17,8582
4649.95,4699.05,4619.75,4665.65,2022-10-18,8831
4677.6,4720.05,4625.05,4647.15,2022-10-19,4380
4647.15,4769.75,4620.0,4682.4,2022-10-20,11090
4705.8,4705.8,4626.35,4671.8,2022-10-21,8027
4640.0,4700.0,4640.0,4696.7,2022-10-24,685
4680.0,4718.95,4658.8,4685.3,2022-10-25,4797
4666.0,4749.0,4665.95,4727.5,2022-10-27,8349
4735.6,4749.9,4632.95,4655.9,2022-10-28,8555
4655.9,4726.2,4645.45,4678.45,2022-10-31,11830
4670.0,4678.85,4605.05,4614.95,2022-11-01,10382
4615.0,4664.0,4555.0,4584.8,2022-11-02,69597
4555.0,4645.4,4555.0,4620.85,2022-11-03,109276
4629.7,4680.0,4619.7,4645.05,2022-11-04,12017
4657.1,4691.2,4650.0,4673.5,2022-11-07,10690
4690.0,4765.0,4674.0,4755.2,2022-11-09,10421
4750.0,4750.0,4706.7,4721.35,2022-11-10,12902
4745.0,4745.0,4651.0,4668.25,2022-11-11,8999
4668.25,4769.9,4668.25,4746.6,2022-11-14,15029
4745.0,4761.2,4651.0,4667.4,2022-11-15,9535
4667.4,4703.7,4643.8,4660.75,2022-11-16,9377
4620.0,4650.0,4580.0,4601.65,2022-11-17,10108
4601.65,4616.65,4526.0,4538.75,2022-11-18,4714
4533.3,4559.95,4505.0,4524.7,2022-11-21,4651
4525.0,4637.4,4522.05,4551.65,2022-11-22,8964
4566.9,4599.0,4525.3,4543.25,2022-11-23,4605
4552.3,4592.45,4530.0,4585.25,2022-11-24,3593
4565.0,4608.15,4534.0,4541.45,2022-11-25,4605
4541.45,4541.45,4516.0,4537.45,2022-11-28,34620
4537.45,4617.0,4492.0,4519.55,2022-11-29,120678
4535.0,4650.0,4525.6,4630.15,2022-11-30,110473
4653.3,4659.95,4589.05,4604.3,2022-12-01,35040
4650.0,4650.0,4600.0,4635.15,2022-12-02,56298
4637.0,4650.0,4611.15,4635.4,2022-12-05,58299
4658.0,4840.0,4610.0,4781.15,2022-12-06,90270
4806.0,4814.95,4706.65,4729.55,2022-12-07,9711
4754.4,4793.55,4686.7,4780.65,2022-12-08,6002
4824.0,4824.0,4702.6,4751.8,2022-12-09,5709
4768.6,4825.0,4719.05,4789.0,2022-12-12,8093
4825.0,4847.45,4691.5,4725.45,2022-12-13,11781
4667.0,4734.7,4620.0,4679.55,2022-12-14,38798
4679.3,4715.95,4645.0,4651.4,2022-12-15,4474
4610.0,4884.0,4600.0,4830.2,2022-12-16,29430
4830.2,4830.2,4731.5,4793.9,2022-12-19,8792
4767.0,4799.85,4660.05,4676.05,2022-12-20,7820
4700.7,4794.35,4586.0,4750.45,2022-12-21,17800
4775.0,4780.0,4630.05,4761.55,2022-12-22,11123
4718.3,4764.7,4623.0,4745.0,2022-12-23,13101
4681.05,4860.0,4675.0,4812.7,2022-12-26,14556
4800.0,4838.0,4742.0,4817.15,2022-12-27,15894
4820.0,4875.0,4777.55,4865.3,2022-12-28,9463
4873.0,4913.1,4823.0,4899.25,2022-12-29,15042
4899.25,4968.9,4846.0,4937.4,2022-12-30,14355
