open,high,low,close,date,volume
259.95,260.0,215.55,225.9,2022-11-23,25970
227.05,239.95,222.4,228.0,2022-11-24,10199
235.0,235.0,220.0,221.5,2022-11-25,5408
220.0,225.5,220.0,224.75,2022-11-28,4484
230.05,234.0,221.95,223.9,2022-11-29,5153
224.9,225.0,217.0,220.55,2022-11-30,1784
225.45,225.45,218.35,221.1,2022-12-01,3777
230.75,230.75,217.95,218.85,2022-12-02,4477
220.05,225.0,217.95,224.6,2022-12-05,4020
228.1,228.1,213.7,220.6,2022-12-06,15920
220.9,233.0,220.9,227.7,2022-12-07,7992
238.0,271.0,230.0,236.6,2022-12-08,43036
245.9,248.25,231.6,238.0,2022-12-09,12818
249.0,249.0,221.85,238.1,2022-12-12,13428
244.7,249.95,233.55,241.45,2022-12-13,43269
252.5,280.0,246.0,260.0,2022-12-14,81380
268.0,268.5,256.15,264.3,2022-12-15,16968
273.25,273.25,253.0,257.6,2022-12-16,13158
262.8,272.0,250.15,256.5,2022-12-19,4408
269.95,269.95,248.6,250.5,2022-12-20,9862
251.8,253.15,235.0,238.8,2022-12-21,14992
237.05,238.9,227.25,231.75,2022-12-22,14848
238.0,238.0,226.6,228.9,2022-12-23,7252
233.65,236.85,226.4,233.9,2022-12-26,8590
237.7,237.7,227.45,231.45,2022-12-27,9851
232.05,235.9,228.9,232.85,2022-12-28,3466
226.35,239.0,226.35,235.25,2022-12-29,9723
240.0,240.05,231.55,234.35,2022-12-30,10805
237.85,242.0,227.9,229.7,2023-01-02,11241
235.0,244.95,218.3,239.0,2023-01-03,135106
240.7,269.5,233.95,265.35,2023-01-04,44957
261.55,273.0,251.55,253.9,2023-01-05,22127
241.35,256.2,241.35,246.3,2023-01-06,10103
246.3,262.05,242.2,243.6,2023-01-09,4386
249.0,256.05,242.6,249.55,2023-01-10,3517
245.15,256.05,242.95,248.95,2023-01-11,1263
251.3,254.45,240.35,244.5,2023-01-12,1872
250.1,250.1,240.75,246.35,2023-01-13,2105
244.9,262.0,240.45,257.65,2023-01-16,21212
265.95,279.95,261.6,277.7,2023-01-17,39812
281.0,313.4,274.0,292.6,2023-01-18,71931
294.65,308.85,275.5,279.4,2023-01-19,58955
279.4,285.9,265.95,267.85,2023-01-20,24537
270.05,274.85,263.15,270.6,2023-01-23,13133
269.9,278.9,260.5,268.2,2023-01-24,136743
272.2,274.2,262.05,266.05,2023-01-25,13221
271.0,271.0,255.0,255.95,2023-01-27,13397
263.0,263.4,255.1,258.25,2023-01-30,7596
257.4,267.0,255.35,261.2,2023-01-31,4933
264.0,269.5,254.0,257.5,2023-02-01,6344
256.9,263.0,255.0,256.55,2023-02-02,6331
256.1,260.9,255.55,258.1,2023-02-03,4509
258.0,262.95,257.0,257.75,2023-02-06,1947
258.9,263.95,258.9,261.25,2023-02-07,4303
253.95,268.0,253.95,261.75,2023-02-08,2734
261.6,262.05,255.8,257.25,2023-02-09,867
261.75,261.75,240.2,241.7,2023-02-10,19828
244.95,250.4,243.0,249.1,2023-02-13,7111
254.55,254.9,240.25,242.35,2023-02-14,5744
254.0,254.0,224.2,232.05,2023-02-15,40350
239.55,241.55,224.25,226.35,2023-02-16,17985
233.75,234.0,226.55,228.95,2023-02-17,4182
229.95,230.0,225.4,229.9,2023-02-20,3849
223.4,229.95,223.4,227.85,2023-02-21,1920
229.3,229.3,224.5,226.2,2023-02-22,2812
230.3,231.15,228.05,229.0,2023-02-23,1285
224.0,229.95,224.0,229.1,2023-02-24,1803
229.15,229.25,223.3,224.9,2023-02-27,4465
227.25,230.0,215.25,220.35,2023-02-28,7900
220.55,228.35,216.05,218.85,2023-03-01,8875
221.95,223.1,218.05,220.45,2023-03-02,2934
229.95,231.0,221.0,221.1,2023-03-03,9993
228.95,228.95,216.15,222.55,2023-03-06,6275
220.0,227.0,218.1,221.55,2023-03-08,2803
223.35,224.9,219.1,221.85,2023-03-09,3943
225.3,229.0,222.1,223.1,2023-03-10,3111
229.45,229.45,206.05,211.1,2023-03-13,9038
211.9,211.9,195.05,202.2,2023-03-14,19601
208.65,210.0,203.0,206.45,2023-03-15,3068
200.35,208.9,200.35,207.35,2023-03-16,7887
214.0,214.0,204.5,205.2,2023-03-17,4560
200.05,215.0,195.0,205.0,2023-03-20,6194
210.2,215.0,207.1,215.0,2023-03-21,4226
218.4,219.7,211.5,217.85,2023-03-22,3373
208.4,219.0,208.4,212.1,2023-03-23,4024
211.4,215.0,211.3,213.85,2023-03-24,2655
218.15,218.15,208.45,209.4,2023-03-27,4713
208.3,218.0,178.55,217.5,2023-03-28,16521
210.95,219.0,210.15,217.8,2023-03-29,8225
217.35,220.0,210.0,214.2,2023-03-31,8153
220.6,220.6,216.75,218.05,2023-04-03,2748
217.95,223.15,212.95,216.7,2023-04-05,5015
220.0,241.75,215.05,236.85,2023-04-06,14529
246.0,246.0,226.45,229.4,2023-04-10,2842
229.4,235.0,224.05,227.9,2023-04-11,3865
233.95,235.0,225.1,233.25,2023-04-12,3680
228.45,232.9,225.0,227.2,2023-04-13,3066
237.1,237.1,224.1,225.45,2023-04-17,2735
232.3,236.85,215.1,217.8,2023-04-18,5980
220.5,226.75,216.6,222.75,2023-04-19,5193
225.15,225.15,215.0,219.2,2023-04-20,4923
228.5,228.95,219.9,225.0,2023-04-21,4589
230.0,234.9,223.05,232.0,2023-04-24,4476
232.3,235.5,230.5,234.4,2023-04-25,1537
235.0,236.0,225.25,231.35,2023-04-26,4628
233.7,233.7,228.0,229.55,2023-04-27,1330
233.65,234.95,228.5,233.35,2023-04-28,4811
243.0,243.0,229.6,233.25,2023-05-02,5559
228.85,238.5,228.85,235.6,2023-05-03,1148
233.3,237.5,232.1,233.1,2023-05-04,54085
238.0,238.0,230.85,232.4,2023-05-05,1554
234.15,244.0,233.4,240.05,2023-05-08,4461
239.45,249.1,239.45,247.55,2023-05-09,6422
247.55,247.95,237.9,239.9,2023-05-10,4334
242.3,244.9,234.0,236.05,2023-05-11,3649
237.0,243.45,234.05,237.7,2023-05-12,2318
239.95,240.75,231.85,232.65,2023-05-15,3195
233.0,239.95,226.8,230.15,2023-05-16,3916
233.1,235.0,230.0,230.45,2023-05-17,1490
235.7,237.95,230.1,237.35,2023-05-18,1646
237.95,238.5,231.35,236.55,2023-05-19,1385
232.0,237.6,230.0,233.0,2023-05-22,3390
236.7,237.6,234.0,234.65,2023-05-23,784
236.65,236.95,230.4,232.55,2023-05-24,2768
234.15,235.0,230.4,232.45,2023-05-25,1052
236.05,236.05,227.35,228.8,2023-05-26,3335
234.6,239.95,226.35,229.9,2023-05-29,5665
234.95,235.0,226.1,228.0,2023-05-30,1975
225.0,230.0,221.0,226.5,2023-05-31,6667
229.35,234.3,213.85,231.35,2023-06-01,9865
233.05,234.0,227.65,229.4,2023-06-02,5141
230.1,231.0,221.5,223.4,2023-06-05,3838
223.5,232.9,221.0,225.3,2023-06-06,5310
230.0,230.0,225.0,225.7,2023-06-07,5095
227.9,228.25,221.0,222.7,2023-06-08,8841
227.7,229.3,221.95,223.0,2023-06-09,2934
224.95,230.0,223.6,227.75,2023-06-12,4643
226.9,239.9,223.1,239.0,2023-06-13,7000
243.0,260.0,237.1,256.3,2023-06-14,18817
256.3,257.95,242.1,245.3,2023-06-15,11847
242.55,255.65,242.55,251.6,2023-06-16,12000
251.55,289.0,243.35,260.85,2023-06-19,77234
259.7,263.8,247.5,256.35,2023-06-20,12352
251.4,258.55,247.0,250.4,2023-06-21,5165
255.0,255.0,239.0,240.55,2023-06-22,7939
242.55,246.25,232.6,237.35,2023-06-23,2076
242.1,242.1,228.65,232.25,2023-06-26,2685
231.55,239.45,231.1,236.8,2023-06-27,2503
240.0,243.95,236.3,239.15,2023-06-28,1687
237.5,247.9,226.0,230.7,2023-06-30,10356
235.0,235.0,225.95,229.35,2023-07-03,5951
229.0,264.0,228.75,255.05,2023-07-04,46015
265.0,265.0,236.65,243.25,2023-07-05,25059
248.95,249.45,242.25,244.25,2023-07-06,3811
248.0,248.0,236.35,239.15,2023-07-07,5268
236.25,243.4,234.0,234.3,2023-07-10,3512
238.8,242.95,233.4,236.55,2023-07-11,7754
236.55,239.95,232.0,233.9,2023-07-12,10936
238.1,244.0,229.6,231.6,2023-07-13,37101
231.35,242.0,230.25,236.25,2023-07-14,9284
239.9,245.0,233.1,237.25,2023-07-17,10333
234.1,239.1,226.0,231.55,2023-07-18,7792
230.2,243.0,230.2,239.05,2023-07-19,8352
239.9,239.9,232.0,237.55,2023-07-20,7104
234.85,237.4,227.5,230.9,2023-07-21,18607
235.95,235.95,230.0,231.7,2023-07-24,4138
236.0,236.0,231.05,233.1,2023-07-25,2420
230.05,234.95,226.05,228.85,2023-07-26,7961
232.0,233.0,230.15,230.9,2023-07-27,2006
230.65,235.95,226.05,231.3,2023-07-28,5338
232.95,235.0,228.25,231.6,2023-07-31,8877
234.0,237.85,226.0,228.15,2023-08-01,18802
227.95,238.45,227.05,228.7,2023-08-02,9047
227.7,235.95,227.7,234.6,2023-08-03,11726
238.0,238.0,230.8,235.55,2023-08-04,10514
234.95,240.0,234.0,234.9,2023-08-07,6891
245.85,245.85,232.55,239.65,2023-08-08,6753
239.6,241.95,234.1,236.75,2023-08-09,5637
232.7,241.55,232.7,237.0,2023-08-10,4035
236.95,246.05,232.8,234.9,2023-08-11,7170
233.1,238.0,230.0,235.85,2023-08-14,11298
243.0,243.0,233.0,233.0,2023-08-16,2659
235.95,235.95,231.0,231.5,2023-08-17,1275
235.25,235.25,226.05,230.4,2023-08-18,7096
231.2,232.6,228.35,229.35,2023-08-21,5589
230.45,269.0,230.45,257.1,2023-08-22,38870
285.0,299.0,257.1,263.95,2023-08-23,291127
261.7,263.9,247.55,254.45,2023-08-24,34589
254.3,254.3,246.1,251.1,2023-08-25,11553
247.0,254.15,244.0,247.5,2023-08-28,8854
247.5,248.45,240.5,242.75,2023-08-29,6782
243.15,246.25,240.1,241.9,2023-08-30,6546
241.6,245.4,241.5,241.9,2023-08-31,5658
245.55,248.15,237.55,245.5,2023-09-01,8548
248.9,248.9,243.0,245.1,2023-09-04,7324
247.9,249.45,244.6,245.0,2023-09-05,5850
243.85,248.9,243.85,244.45,2023-09-06,5397
247.9,249.55,240.0,244.45,2023-09-07,9433
247.55,249.45,241.3,245.0,2023-09-08,6757
248.0,249.1,244.3,246.1,2023-09-11,4057
249.2,249.2,238.0,246.1,2023-09-12,5700
245.0,247.7,240.0,246.85,2023-09-13,4401
245.35,248.0,242.0,244.8,2023-09-14,3040
245.65,248.1,241.45,243.7,2023-09-15,3278
242.9,245.95,238.95,241.2,2023-09-18,6893
240.65,241.55,231.85,239.65,2023-09-20,6307
240.1,241.7,238.0,239.1,2023-09-21,2017
240.95,241.85,235.0,236.2,2023-09-22,3678
243.85,243.85,235.4,237.5,2023-09-25,2624
240.75,247.95,238.05,247.5,2023-09-26,5120
248.9,267.25,236.9,252.05,2023-09-27,66358
262.0,264.0,251.9,257.85,2023-09-28,15191
258.0,260.95,256.35,256.95,2023-09-29,7696
257.1,260.2,250.55,253.05,2023-10-03,6144
253.05,253.2,242.0,243.2,2023-10-04,5092
