open,high,low,close,date,volume
219.75,219.75,210.2,211.7,2023-02-28,3834
218.95,222.25,211.65,221.8,2023-03-01,10334
229.7,229.7,216.05,218.9,2023-03-02,4003
225.0,225.0,212.05,212.85,2023-03-03,20495
215.0,223.0,211.0,221.0,2023-03-06,24283
221.0,232.05,216.9,227.65,2023-03-08,17818
237.9,237.9,227.0,230.0,2023-03-09,5785
230.0,230.05,220.65,222.05,2023-03-10,8085
212.7,227.0,212.7,226.2,2023-03-13,26758
236.7,236.7,223.5,224.95,2023-03-14,6672
232.35,232.35,215.65,220.0,2023-03-15,9891
226.4,226.4,211.0,215.5,2023-03-16,21380
222.75,223.4,216.7,222.25,2023-03-17,1843
220.1,224.4,215.4,217.1,2023-03-20,19142
222.45,226.0,211.05,221.3,2023-03-21,8768
221.3,221.3,212.5,214.5,2023-03-22,4772
212.2,224.4,208.35,218.5,2023-03-23,8330
223.0,223.95,210.0,214.25,2023-03-24,16244
216.05,219.0,210.0,211.75,2023-03-27,7452
204.1,219.0,204.1,216.55,2023-03-28,65929
215.25,218.9,213.0,215.45,2023-03-29,6876
219.85,222.7,212.0,212.85,2023-03-31,8162
210.0,220.4,210.0,211.6,2023-04-03,4410
213.6,219.0,213.5,214.75,2023-04-05,9056
219.0,220.0,208.0,218.3,2023-04-06,24713
222.0,226.3,208.0,211.1,2023-04-10,27274
216.4,218.35,202.0,204.2,2023-04-11,24295
206.0,215.1,205.0,207.9,2023-04-12,22102
211.0,214.0,208.0,211.65,2023-04-13,3947
217.0,217.0,205.0,206.2,2023-04-17,11065
210.35,210.35,186.55,194.4,2023-04-18,37204
196.45,202.95,194.55,198.4,2023-04-19,10153
202.55,202.55,194.0,194.95,2023-04-20,7780
195.05,202.45,195.05,200.1,2023-04-21,24990
195.0,210.0,195.0,207.85,2023-04-24,12397
211.9,228.6,206.05,219.1,2023-04-25,102923
223.0,229.4,213.55,216.6,2023-04-26,7697
219.8,237.0,219.8,232.75,2023-04-27,27838
233.3,238.05,220.75,231.15,2023-04-28,14316
241.15,241.15,228.0,232.45,2023-05-02,11465
235.95,235.95,224.0,224.8,2023-05-03,6216
229.3,234.8,220.55,222.1,2023-05-04,4436
222.15,227.45,218.0,220.2,2023-05-05,8868
225.95,236.0,223.05,230.65,2023-05-08,14623
238.9,238.9,222.65,225.35,2023-05-09,10576
226.05,234.0,225.55,227.4,2023-05-10,33988
228.8,234.9,221.9,226.25,2023-05-11,12401
229.95,229.95,222.5,225.45,2023-05-12,6313
226.0,247.95,226.0,239.65,2023-05-15,44458
248.0,252.95,240.0,248.0,2023-05-16,46471
255.0,255.05,240.0,245.35,2023-05-17,34551
262.3,262.3,245.05,250.15,2023-05-18,19114
255.15,262.8,245.1,246.1,2023-05-19,14673
260.0,260.0,236.4,240.45,2023-05-22,56894
245.0,250.35,240.6,246.3,2023-05-23,10714
258.0,258.0,244.1,248.55,2023-05-24,60458
249.9,249.9,224.0,234.75,2023-05-25,40513
245.0,258.2,240.1,258.2,2023-05-26,91849
275.0,283.0,266.1,276.2,2023-05-29,100847
278.95,281.9,271.15,272.9,2023-05-30,20490
268.8,281.95,268.8,272.35,2023-05-31,33068
276.45,293.95,271.3,283.2,2023-06-01,38136
283.1,304.0,283.1,303.15,2023-06-02,63588
309.0,333.45,305.1,330.5,2023-06-05,90796
345.0,345.0,304.0,320.25,2023-06-06,101330
