open,high,low,close,date,volume
364.0,367.75,356.05,359.75,2022-09-29,45503
360.0,366.7,352.05,362.65,2022-09-30,58979
356.35,363.35,351.8,354.05,2022-10-03,62662
356.0,371.75,356.0,369.0,2022-10-04,86950
367.0,380.0,367.0,373.85,2022-10-06,118050
373.85,379.8,369.4,376.8,2022-10-07,75468
372.0,388.0,368.35,384.9,2022-10-10,182237
387.0,397.95,373.0,376.15,2022-10-11,343908
377.0,386.9,368.85,384.35,2022-10-12,112858
380.05,384.2,377.0,383.1,2022-10-13,74491
384.0,387.0,374.0,377.1,2022-10-14,99780
382.0,384.0,370.0,380.95,2022-10-17,188959
380.95,395.0,380.9,388.15,2022-10-18,280738
390.1,405.0,388.15,396.55,2022-10-19,580498
396.8,401.95,393.35,398.8,2022-10-20,159255
402.9,402.9,381.0,384.95,2022-10-21,139482
389.65,399.0,382.2,395.4,2022-10-24,98275
395.0,401.0,388.8,397.15,2022-10-25,115732
397.15,399.35,385.3,387.3,2022-10-27,98776
388.0,393.45,380.0,382.35,2022-10-28,78053
385.0,389.9,380.0,381.2,2022-10-31,50989
382.0,388.0,380.2,384.0,2022-11-01,57389
385.9,387.5,380.8,384.35,2022-11-02,52827
383.35,388.55,381.15,382.3,2022-11-03,41829
382.5,389.0,381.5,386.15,2022-11-04,107994
388.7,404.9,388.6,393.3,2022-11-07,250350
396.5,419.55,390.0,414.8,2022-11-09,429101
414.8,424.0,392.05,402.7,2022-11-10,689110
420.0,420.0,397.3,411.2,2022-11-11,528783
411.2,411.95,396.95,399.35,2022-11-14,139684
399.35,399.5,386.75,393.4,2022-11-15,158346
389.9,412.4,387.45,404.1,2022-11-16,375972
403.9,411.8,396.0,401.05,2022-11-17,147815
404.85,411.0,398.5,408.25,2022-11-18,219729
405.05,410.4,400.5,405.25,2022-11-21,141833
405.0,419.95,400.8,417.45,2022-11-22,344749
430.0,434.4,423.1,428.15,2022-11-23,666508
432.3,434.25,422.7,426.4,2022-11-24,286945
429.8,431.7,420.4,426.2,2022-11-25,207460
425.0,433.45,423.05,427.85,2022-11-28,142205
430.9,439.5,426.8,430.35,2022-11-29,338189
430.4,437.95,430.4,435.15,2022-11-30,173030
437.95,448.75,432.25,434.4,2022-12-01,459896
430.5,438.95,430.5,431.6,2022-12-02,163454
434.9,442.8,431.9,436.35,2022-12-05,160629
436.0,442.75,433.3,434.75,2022-12-06,116278
433.3,438.95,428.0,430.1,2022-12-07,134352
430.1,439.75,428.35,436.85,2022-12-08,156862
438.6,440.95,428.0,433.2,2022-12-09,167485
433.2,439.95,430.95,437.8,2022-12-12,145884
437.8,445.5,437.8,441.55,2022-12-13,184635
442.9,446.0,438.1,442.4,2022-12-14,189417
440.25,451.85,440.25,448.9,2022-12-15,332891
448.9,448.95,432.55,434.5,2022-12-16,229894
432.05,440.95,430.05,436.15,2022-12-19,212300
437.7,440.45,434.8,439.5,2022-12-20,154286
442.4,444.45,418.0,422.75,2022-12-21,169626
421.9,429.15,410.25,414.85,2022-12-22,284298
409.7,410.95,389.0,394.6,2022-12-23,250571
394.6,420.0,392.6,417.3,2022-12-26,140210
420.9,424.2,416.65,419.45,2022-12-27,80205
424.9,430.9,418.25,419.8,2022-12-28,189239
415.0,423.15,415.0,420.2,2022-12-29,101469
422.0,425.35,418.0,419.7,2022-12-30,49571
420.9,435.0,416.0,433.05,2023-01-02,135554
436.2,437.35,432.0,433.35,2023-01-03,79401
432.05,441.0,430.0,435.5,2023-01-04,139963
438.0,442.85,431.0,440.15,2023-01-05,183911
441.35,443.5,436.8,441.85,2023-01-06,152097
443.65,454.8,432.2,435.75,2023-01-09,492004
434.45,441.95,433.0,439.15,2023-01-10,94698
440.8,444.65,435.1,440.2,2023-01-11,76942
442.45,444.25,433.1,440.7,2023-01-12,117248
441.0,443.8,435.0,437.9,2023-01-13,57285
440.0,454.7,435.75,446.0,2023-01-16,220085
446.0,452.0,439.4,450.6,2023-01-17,184215
450.5,458.0,446.0,452.6,2023-01-18,219411
450.9,477.9,446.5,475.1,2023-01-19,723432
477.4,478.4,469.0,473.2,2023-01-20,407658
474.0,474.9,459.9,466.6,2023-01-23,177624
469.7,478.0,460.1,473.65,2023-01-24,166020
473.9,478.05,463.95,473.8,2023-01-25,361050
475.0,477.3,465.25,472.95,2023-01-27,320834
471.05,484.0,446.1,451.7,2023-01-30,211990
455.8,480.6,452.3,472.15,2023-01-31,191003
476.85,479.9,446.4,457.05,2023-02-01,167265
452.0,470.2,452.0,460.85,2023-02-02,77918
461.9,467.2,453.1,463.3,2023-02-03,77290
463.0,473.75,455.1,470.5,2023-02-06,80387
472.0,509.55,466.0,502.7,2023-02-07,1214398
505.0,510.0,486.05,495.25,2023-02-08,488646
497.95,506.0,488.0,504.3,2023-02-09,318606
504.3,531.0,502.25,513.55,2023-02-10,595609
517.8,536.0,517.0,534.75,2023-02-13,622713
536.9,540.95,529.85,535.35,2023-02-14,338155
535.9,551.75,528.65,547.7,2023-02-15,376654
552.4,553.0,537.9,545.45,2023-02-16,302496
544.5,549.8,518.1,542.4,2023-02-17,207856
544.8,557.35,515.0,522.45,2023-02-20,269481
