open,high,low,close,date,volume
634.7,634.7,612.45,620.3,2022-09-29,1073403
620.0,621.9,606.35,617.0,2022-09-30,1158573
615.0,621.0,604.0,605.45,2022-10-03,984379
614.7,618.75,609.35,615.15,2022-10-04,678639
619.0,624.4,614.3,615.45,2022-10-06,528536
614.7,627.4,606.35,625.9,2022-10-07,1344755
621.0,624.7,614.7,622.75,2022-10-10,586345
627.75,635.9,615.65,617.65,2022-10-11,1344168
620.45,628.7,610.55,625.7,2022-10-12,906362
625.0,631.75,614.0,615.2,2022-10-13,523981
622.0,624.65,611.0,612.4,2022-10-14,373551
612.0,615.0,603.5,613.75,2022-10-17,571176
614.9,624.0,612.9,619.4,2022-10-18,481126
623.0,627.3,616.25,618.75,2022-10-19,329541
615.0,622.9,608.1,618.85,2022-10-20,622425
615.0,616.4,583.35,585.35,2022-10-21,2762223
596.95,596.95,587.55,590.0,2022-10-24,281306
593.0,594.9,582.0,583.35,2022-10-25,754247
588.95,588.95,569.8,573.95,2022-10-27,1388263
578.0,580.9,569.45,574.85,2022-10-28,727498
580.0,587.0,576.45,585.8,2022-10-31,472921
589.7,599.5,586.35,598.5,2022-11-01,690092
598.5,598.9,591.75,595.6,2022-11-02,475378
592.6,608.0,591.0,606.7,2022-11-03,1108299
609.0,610.5,599.45,604.25,2022-11-04,508475
607.3,616.0,603.05,614.45,2022-11-07,892095
615.2,617.45,578.0,588.7,2022-11-09,2228310
588.7,589.0,576.25,583.15,2022-11-10,1122060
590.0,602.35,583.25,598.1,2022-11-11,1139923
602.0,607.8,597.6,601.4,2022-11-14,750772
605.0,610.25,596.45,609.3,2022-11-15,568357
605.0,611.5,602.25,608.55,2022-11-16,585044
609.0,613.7,604.25,609.8,2022-11-17,536093
613.0,613.35,600.0,603.55,2022-11-18,760035
606.6,607.65,600.15,605.1,2022-11-21,506871
605.15,611.0,602.3,609.65,2022-11-22,471072
611.0,614.7,605.7,613.95,2022-11-23,554841
618.05,621.9,613.4,614.85,2022-11-24,711079
614.85,617.65,608.0,616.7,2022-11-25,484792
622.0,627.0,617.0,619.4,2022-11-28,843757
621.2,622.0,611.1,612.2,2022-11-29,550358
611.0,623.75,611.0,622.4,2022-11-30,1182037
623.0,624.8,618.5,620.45,2022-12-01,510536
620.4,620.4,614.0,616.4,2022-12-02,550726
617.05,628.0,613.8,622.2,2022-12-05,852853
622.0,623.7,615.0,618.5,2022-12-06,356837
622.9,627.6,617.4,621.35,2022-12-07,699570
623.2,630.0,616.7,619.3,2022-12-08,631854
625.0,626.15,609.45,615.15,2022-12-09,436859
615.15,623.55,602.75,622.4,2022-12-12,1166892
623.0,623.45,608.0,611.3,2022-12-13,825001
612.85,616.0,607.1,608.45,2022-12-14,409731
608.0,611.35,603.2,605.45,2022-12-15,444727
605.0,605.0,589.35,594.85,2022-12-16,1038990
597.85,599.45,590.0,592.1,2022-12-19,396138
589.95,593.0,583.7,591.85,2022-12-20,466254
593.0,599.0,585.6,590.35,2022-12-21,403872
594.5,596.4,587.25,592.25,2022-12-22,497030
585.0,589.0,573.0,575.55,2022-12-23,657845
573.0,587.4,569.1,585.4,2022-12-26,462317
586.8,594.7,586.05,590.95,2022-12-27,488127
589.95,599.9,583.6,591.05,2022-12-28,820562
589.25,590.4,581.5,584.15,2022-12-29,492663
585.95,588.0,580.05,581.35,2022-12-30,323551
584.4,586.0,573.05,577.3,2023-01-02,484786
577.3,584.15,577.3,579.05,2023-01-03,333768
581.65,582.7,572.05,573.65,2023-01-04,398497
577.05,582.55,571.55,573.0,2023-01-05,396000
573.0,574.45,564.5,568.4,2023-01-06,433455
571.35,574.95,565.2,568.65,2023-01-09,441110
570.5,571.95,565.3,566.85,2023-01-10,420985
565.5,569.55,558.05,561.3,2023-01-11,836201
562.55,565.9,556.15,561.95,2023-01-12,593139
564.75,564.75,556.5,562.15,2023-01-13,507504
565.65,565.65,558.05,560.0,2023-01-16,349229
560.95,569.85,560.0,567.7,2023-01-17,695586
569.7,575.65,565.5,574.8,2023-01-18,380235
574.9,576.1,561.45,563.65,2023-01-19,593767
564.25,565.5,553.25,557.15,2023-01-20,842518
558.95,565.0,554.05,564.65,2023-01-23,299042
564.7,568.7,559.85,562.0,2023-01-24,437301
562.0,564.0,546.5,548.75,2023-01-25,880591
549.9,552.15,534.05,539.5,2023-01-27,616557
542.2,557.65,539.2,554.1,2023-01-30,612638
555.75,559.95,547.3,549.15,2023-01-31,555410
552.75,562.85,544.0,549.75,2023-02-01,536757
544.2,553.25,536.55,540.6,2023-02-02,733659
530.0,560.85,527.15,558.3,2023-02-03,2209596
559.0,565.4,552.25,563.65,2023-02-06,594738
565.0,569.0,553.05,562.45,2023-02-07,572284
563.0,565.0,554.7,563.25,2023-02-08,468699
563.0,571.25,561.8,568.55,2023-02-09,521088
570.0,572.55,564.0,571.6,2023-02-10,439177
571.6,573.35,558.0,558.65,2023-02-13,507300
561.6,561.6,553.1,554.2,2023-02-14,462132
554.2,559.7,551.25,558.65,2023-02-15,345677
560.0,563.6,555.15,562.3,2023-02-16,400849
562.75,569.85,560.7,568.95,2023-02-17,590723
572.1,573.0,563.65,570.4,2023-02-20,546220
575.0,575.0,564.05,570.6,2023-02-21,627140
567.0,569.95,560.0,566.55,2023-02-22,886640
567.0,568.4,552.55,560.65,2023-02-23,710381
561.0,565.0,557.4,558.05,2023-02-24,821838
556.25,559.15,549.55,556.95,2023-02-27,345098
553.0,582.95,550.55,579.6,2023-02-28,1174180
583.0,585.4,576.0,580.7,2023-03-01,1102700
580.0,584.3,576.45,582.75,2023-03-02,904532
583.5,588.85,576.6,580.75,2023-03-03,847355
583.95,589.0,579.75,586.3,2023-03-06,574922
585.0,589.0,578.9,587.45,2023-03-08,421990
587.45,593.05,583.65,590.1,2023-03-09,850225
589.95,591.0,580.1,589.1,2023-03-10,537767
585.1,589.55,575.45,580.05,2023-03-13,853527
582.75,584.0,570.15,581.6,2023-03-14,565905
583.0,592.0,582.45,591.15,2023-03-15,924989
598.0,605.0,590.25,603.7,2023-03-16,1481680
605.7,608.9,590.85,593.45,2023-03-17,904634
592.5,600.0,586.85,596.3,2023-03-20,663282
596.9,598.7,591.0,594.7,2023-03-21,514862
592.9,601.75,591.05,594.25,2023-03-22,414423
592.9,592.9,573.85,575.95,2023-03-23,919483
575.1,577.85,568.1,573.7,2023-03-24,507905
576.4,580.55,570.3,576.8,2023-03-27,378127
573.5,575.75,565.2,574.0,2023-03-28,432586
574.0,582.0,569.65,573.25,2023-03-29,867598
574.0,583.35,570.8,581.7,2023-03-31,454992
579.0,586.0,567.85,579.6,2023-04-03,991603
578.85,594.45,575.55,592.0,2023-04-05,479115
592.0,600.6,591.0,597.2,2023-04-06,904437
598.0,599.0,592.55,595.25,2023-04-10,332389
595.0,595.0,570.15,574.0,2023-04-11,1343213
578.0,587.4,573.2,583.9,2023-04-12,823531
582.6,585.35,578.0,578.6,2023-04-13,335351
578.6,584.95,574.0,580.75,2023-04-17,318728
580.8,583.45,576.55,579.7,2023-04-18,212091
580.0,581.8,574.0,575.65,2023-04-19,248417
576.15,579.55,573.8,576.8,2023-04-20,252730
579.8,588.4,578.05,584.6,2023-04-21,696120
588.0,596.1,588.0,592.85,2023-04-24,581719
592.0,596.0,587.05,594.05,2023-04-25,353219
595.0,606.8,594.1,604.75,2023-04-26,669046
606.45,612.0,599.0,602.6,2023-04-27,756165
601.5,611.9,595.65,610.35,2023-04-28,610558
612.05,619.0,611.0,614.9,2023-05-02,633368
618.0,625.0,612.05,614.1,2023-05-03,1011092
615.45,625.3,613.85,620.55,2023-05-04,595650
620.0,625.0,615.4,617.25,2023-05-05,253697
615.0,621.6,607.55,619.75,2023-05-08,595177
620.0,632.95,617.35,626.5,2023-05-09,1072909
