open,high,low,close,date,volume
1349.35,1365.95,1302.1,1322.9,2022-09-29,2992
1339.9,1367.3,1301.1,1308.55,2022-09-30,13344
1320.0,1361.35,1300.0,1359.75,2022-10-03,5440
1394.0,1450.0,1368.55,1396.7,2022-10-04,16917
1422.0,1434.0,1386.35,1395.1,2022-10-06,3899
1406.0,1465.0,1371.65,1388.25,2022-10-07,39676
1399.4,1409.95,1350.0,1363.35,2022-10-10,9705
1368.8,1369.4,1325.1,1339.05,2022-10-11,7605
1344.4,1355.0,1325.15,1350.4,2022-10-12,2693
1349.9,1349.95,1320.0,1321.0,2022-10-13,1216
1347.25,1357.0,1328.6,1343.3,2022-10-14,616
1366.0,1366.0,1330.05,1333.2,2022-10-17,397
1320.65,1339.75,1310.05,1328.4,2022-10-18,15358
1354.95,1438.0,1331.65,1399.65,2022-10-19,35277
1427.55,1440.0,1400.05,1429.05,2022-10-20,9482
1439.0,1459.0,1395.1,1401.15,2022-10-21,14679
1435.0,1500.0,1425.0,1478.6,2022-10-24,16884
1500.0,1500.8,1412.0,1425.35,2022-10-25,20217
1452.35,1453.25,1401.0,1411.15,2022-10-27,3777
1402.1,1427.45,1395.2,1399.95,2022-10-28,30934
1400.45,1450.0,1384.5,1400.25,2022-10-31,37096
1428.25,1431.85,1386.05,1396.8,2022-11-01,5252
1398.85,1424.4,1392.45,1402.45,2022-11-02,9187
1399.2,1420.0,1399.2,1400.7,2022-11-03,5166
1385.0,1449.0,1385.0,1439.7,2022-11-04,41668
1470.0,1470.0,1425.0,1431.8,2022-11-07,7659
1469.75,1470.0,1433.5,1456.6,2022-11-09,7633
1455.0,1456.6,1412.55,1434.6,2022-11-10,6922
1464.0,1467.45,1402.55,1424.85,2022-11-11,7331
1425.0,1449.9,1410.0,1438.55,2022-11-14,2306
1462.95,1726.25,1440.0,1458.65,2022-11-15,4373
1501.95,1501.95,1440.75,1457.8,2022-11-16,6992
1430.0,1490.0,1421.0,1453.35,2022-11-17,10066
1477.0,1485.95,1438.0,1447.85,2022-11-18,7640
1441.5,1441.9,1420.1,1423.05,2022-11-21,2581
1425.5,1453.0,1407.05,1438.7,2022-11-22,2285
1479.95,1479.95,1419.35,1422.45,2022-11-23,6953
1405.85,1421.0,1382.55,1391.6,2022-11-24,16385
1435.0,1435.0,1396.05,1400.1,2022-11-25,558
1401.25,1409.0,1385.0,1401.35,2022-11-28,1710
1397.75,1426.0,1395.05,1399.8,2022-11-29,2469
1399.05,1412.95,1395.1,1406.9,2022-11-30,1720
1396.55,1430.0,1395.1,1417.95,2022-12-01,2081
1400.15,1423.0,1395.1,1396.2,2022-12-02,2393
1405.05,1405.05,1381.0,1385.05,2022-12-05,2756
1399.7,1399.7,1357.3,1369.5,2022-12-06,3004
1380.0,1405.9,1380.0,1399.15,2022-12-07,3690
1419.0,1488.0,1371.0,1430.8,2022-12-08,32633
1421.8,1448.65,1407.55,1419.9,2022-12-09,2124
1412.0,1422.0,1404.05,1413.0,2022-12-12,1857
1411.8,1428.8,1398.0,1400.15,2022-12-13,4670
1400.15,1409.95,1375.0,1377.35,2022-12-14,5061
