open,high,low,close,date,volume
209.0,212.0,192.1,194.7,2023-05-04,1061830
193.75,195.5,182.65,184.9,2023-05-05,360572
186.0,186.9,178.0,179.1,2023-05-08,276334
179.1,186.7,177.05,179.1,2023-05-09,275575
179.3,182.35,174.0,175.95,2023-05-10,216223
175.05,177.45,171.0,171.8,2023-05-11,197558
171.05,173.65,166.1,166.65,2023-05-12,207710
168.0,188.8,163.15,174.3,2023-05-15,774323
175.7,176.5,170.85,172.05,2023-05-16,150422
174.0,175.55,170.95,171.45,2023-05-17,91173
171.4,177.4,171.4,171.9,2023-05-18,207702
174.0,174.05,167.35,170.7,2023-05-19,95043
170.7,175.0,168.6,169.25,2023-05-22,88702
170.95,171.8,166.4,168.2,2023-05-23,133147
166.05,168.95,161.5,162.6,2023-05-24,135964
163.0,163.05,157.65,158.6,2023-05-25,139627
158.8,164.0,158.6,159.65,2023-05-26,195418
160.15,162.65,157.05,159.0,2023-05-29,244242
159.05,161.65,157.35,159.25,2023-05-30,137818
159.4,161.15,152.5,154.15,2023-05-31,212004
153.4,160.0,153.4,158.7,2023-06-01,139107
158.1,159.0,155.0,155.65,2023-06-02,196341
156.9,159.0,155.55,156.75,2023-06-05,89727
156.85,157.95,153.15,154.3,2023-06-06,121828
156.0,156.0,152.55,152.85,2023-06-07,126592
154.75,154.75,149.1,149.45,2023-06-08,238543
150.0,150.85,147.0,147.4,2023-06-09,103030
149.3,149.65,144.8,146.85,2023-06-12,180618
147.0,148.05,144.0,147.0,2023-06-13,156589
148.5,158.15,146.4,155.5,2023-06-14,607013
156.9,156.9,149.5,150.4,2023-06-15,175842
151.85,155.7,151.0,153.55,2023-06-16,147198
155.5,164.7,151.85,163.55,2023-06-19,465069
164.05,165.8,160.1,161.8,2023-06-20,245822
162.7,177.0,161.3,171.1,2023-06-21,866859
172.9,173.05,162.85,167.75,2023-06-22,283022
167.0,168.2,162.35,163.6,2023-06-23,163750
163.6,165.5,160.65,163.55,2023-06-26,90809
163.95,165.0,160.9,161.9,2023-06-27,64438
162.0,163.7,161.1,162.0,2023-06-28,45445
163.0,164.25,159.0,160.05,2023-06-30,165589
160.4,165.9,157.7,162.35,2023-07-03,158045
164.4,164.8,160.5,161.45,2023-07-04,77563
162.0,162.0,136.0,158.3,2023-07-05,420927
158.3,161.1,158.3,158.9,2023-07-06,44334
159.35,160.8,156.1,156.55,2023-07-07,132722
156.55,159.15,156.1,156.35,2023-07-10,72591
158.7,159.05,156.5,157.45,2023-07-11,54448
159.7,159.7,156.1,156.6,2023-07-12,59851
156.6,158.9,153.1,154.05,2023-07-13,197659
154.1,156.25,152.5,154.45,2023-07-14,102320
154.55,155.9,152.95,153.4,2023-07-17,63757
153.7,155.4,152.6,153.2,2023-07-18,59724
153.0,156.3,152.6,152.9,2023-07-19,75014
154.4,162.0,152.0,155.8,2023-07-20,284333
155.8,156.95,153.1,154.2,2023-07-21,85158
154.8,157.15,154.5,155.0,2023-07-24,78652
156.4,156.4,153.5,154.2,2023-07-25,60974
155.8,159.4,154.35,157.25,2023-07-26,136732
158.75,158.85,155.55,156.05,2023-07-27,79073
156.0,157.75,153.1,154.3,2023-07-28,79618
156.5,161.0,154.9,158.2,2023-07-31,185491
159.45,159.85,156.6,157.55,2023-08-01,102912
158.8,159.45,154.1,155.6,2023-08-02,162558
155.2,156.5,153.3,154.45,2023-08-03,75723
154.55,155.7,153.6,153.75,2023-08-04,97261
154.0,162.1,154.0,158.0,2023-08-07,235407
160.0,165.1,157.15,162.9,2023-08-08,332996
163.5,165.0,158.3,160.05,2023-08-09,114857
161.25,171.0,160.1,164.95,2023-08-10,528795
166.0,173.25,161.1,164.55,2023-08-11,562299
163.95,164.2,160.5,162.35,2023-08-14,103296
