open,high,low,close,date,volume
15895.0,15895.0,15300.0,15670.45,2022-09-29,57959
15670.45,15924.9,15501.0,15814.85,2022-09-30,18069
15895.1,15957.55,15500.1,15618.9,2022-10-03,36325
15900.0,15938.0,15700.0,15905.05,2022-10-04,12884
15990.0,16205.0,15901.0,15945.6,2022-10-06,30447
15999.0,16117.1,15850.0,15865.35,2022-10-07,28071
15700.0,15829.8,15581.4,15757.85,2022-10-10,13100
15795.0,15840.0,15465.0,15572.25,2022-10-11,19107
15576.0,15692.45,15393.6,15660.5,2022-10-12,12892
15700.0,15739.9,15480.0,15543.7,2022-10-13,10921
15700.0,15887.05,15436.95,15467.95,2022-10-14,28592
15460.0,15634.7,15400.1,15568.65,2022-10-17,16787
15640.0,15741.95,15606.05,15669.65,2022-10-18,11193
15700.0,15800.0,15597.3,15676.55,2022-10-19,15358
15649.0,15790.0,15516.1,15772.8,2022-10-20,10560
15790.0,15849.95,15501.0,15555.7,2022-10-21,9445
15610.0,15700.0,15560.6,15623.15,2022-10-24,2298
15635.0,15685.0,15543.0,15646.35,2022-10-25,8065
15700.0,15835.0,15590.45,15743.15,2022-10-27,14228
15750.0,16163.95,15740.0,16114.4,2022-10-28,23435
16245.0,16555.0,16122.6,16488.6,2022-10-31,30738
16510.0,16650.0,16380.2,16599.3,2022-11-01,53465
16599.3,16655.0,16500.0,16578.3,2022-11-02,26775
16450.0,16659.2,16450.0,16557.9,2022-11-03,19015
16591.0,16591.0,16108.55,16322.25,2022-11-04,50207
16375.0,16632.6,16216.25,16446.2,2022-11-07,32977
16387.5,17510.3,16340.0,17223.6,2022-11-09,151023
17101.0,17301.0,16780.0,16813.4,2022-11-10,38820
16999.0,17069.95,16666.65,16768.3,2022-11-11,28041
16852.15,16860.0,16660.0,16821.1,2022-11-14,15577
16909.0,17089.95,16857.45,16890.5,2022-11-15,21179
16890.5,17100.0,16619.05,16674.75,2022-11-16,12774
16690.0,16850.0,16601.0,16703.3,2022-11-17,13940
16762.95,16762.95,16435.55,16535.6,2022-11-18,15665
16520.0,16520.0,16309.0,16357.35,2022-11-21,19098
16407.9,16483.7,16380.0,16422.15,2022-11-22,18998
16503.7,16756.0,16422.15,16647.65,2022-11-23,59286
16730.0,16819.25,16551.1,16638.3,2022-11-24,20170
16721.45,16988.0,16602.55,16936.6,2022-11-25,27789
16872.0,17047.0,16850.0,16973.6,2022-11-28,17734
16903.6,17002.0,16766.0,16795.2,2022-11-29,24072
16879.2,17075.35,16822.5,17004.4,2022-11-30,28048
17025.0,17206.0,16929.0,17038.4,2022-12-01,37807
