open,high,low,close,date,volume
119.2,124.95,114.55,122.95,2022-12-06,76353
125.0,128.8,119.5,121.35,2022-12-07,44730
121.45,124.5,119.0,119.85,2022-12-08,24435
120.05,123.75,118.95,119.25,2022-12-09,26493
119.1,119.65,115.55,117.55,2022-12-12,19245
120.75,120.75,117.15,118.75,2022-12-13,14177
123.5,123.5,117.25,118.7,2022-12-14,23337
120.5,120.5,116.45,117.7,2022-12-15,6945
117.7,119.0,115.0,115.5,2022-12-16,26188
113.3,118.3,109.75,113.0,2022-12-19,154421
112.0,113.95,107.35,107.5,2022-12-20,69750
107.05,109.75,102.15,102.15,2022-12-21,105869
101.15,103.75,97.85,100.2,2022-12-22,68781
99.95,105.2,99.0,105.2,2022-12-23,85338
105.3,110.45,105.3,109.7,2022-12-26,59728
114.8,114.8,108.0,108.6,2022-12-27,7404
110.8,112.0,108.8,110.15,2022-12-28,26827
110.0,112.75,108.5,109.2,2022-12-29,12221
109.0,111.15,108.0,109.3,2022-12-30,8123
112.6,112.6,107.5,108.6,2023-01-02,10845
108.6,110.2,107.65,108.75,2023-01-03,15292
110.0,111.7,106.55,108.25,2023-01-04,13162
108.15,109.8,103.35,105.1,2023-01-05,16908
107.0,107.4,104.5,104.75,2023-01-06,4307
106.0,107.1,104.65,106.05,2023-01-09,8211
106.05,107.7,105.0,106.65,2023-01-10,5411
106.15,107.4,101.35,101.55,2023-01-11,50776
100.0,101.0,97.5,98.2,2023-01-12,17262
98.9,101.8,96.0,98.1,2023-01-13,32188
99.1,103.0,97.3,98.3,2023-01-16,53996
98.2,101.0,98.2,99.45,2023-01-17,21297
99.1,100.0,97.25,97.55,2023-01-18,15167
97.95,100.15,96.4,97.2,2023-01-19,26156
98.8,102.05,98.45,102.05,2023-01-20,24913
104.6,107.1,102.3,105.55,2023-01-23,36495
108.0,108.0,101.25,103.0,2023-01-24,14662
102.05,104.15,99.1,100.45,2023-01-25,14637
103.05,103.5,95.45,95.95,2023-01-27,16822
100.7,100.7,97.1,100.7,2023-01-30,13457
105.7,105.7,102.35,105.05,2023-01-31,30488
109.8,110.3,102.6,108.8,2023-02-01,111127
110.0,111.1,104.15,104.75,2023-02-02,27876
107.95,107.95,99.55,102.65,2023-02-03,49306
103.3,104.6,99.35,100.05,2023-02-06,14536
100.95,102.0,97.35,100.1,2023-02-07,14072
100.0,103.4,95.1,102.3,2023-02-08,29018
103.6,104.0,99.05,99.9,2023-02-09,8383
103.35,103.65,98.0,99.45,2023-02-10,30290
99.45,103.1,93.1,96.3,2023-02-13,50149
99.5,101.35,96.1,97.9,2023-02-14,6897
97.1,99.8,96.65,98.85,2023-02-15,10113
100.0,101.4,99.55,99.6,2023-02-16,6525
99.0,100.35,97.2,98.4,2023-02-17,13642
97.0,98.95,95.0,95.6,2023-02-20,21941
98.0,98.0,96.0,96.15,2023-02-21,4504
96.4,96.95,94.15,94.85,2023-02-22,6929
94.85,96.0,94.0,94.05,2023-02-23,6816
96.0,96.3,92.45,93.15,2023-02-24,9804
97.9,97.9,90.45,91.0,2023-02-27,13090
95.0,96.45,92.05,95.6,2023-02-28,8688
98.4,98.4,94.1,95.1,2023-03-01,10268
97.05,97.05,93.0,94.15,2023-03-02,16883
97.0,97.0,92.1,95.9,2023-03-03,10251
95.0,96.9,92.5,93.1,2023-03-06,25779
92.5,93.9,91.15,91.75,2023-03-08,8523
95.0,95.0,91.1,92.7,2023-03-09,19887
90.35,93.5,90.35,91.4,2023-03-10,6395
93.0,93.3,82.5,84.1,2023-03-13,63200
86.15,86.15,77.9,78.95,2023-03-14,37914
80.85,80.9,71.05,71.05,2023-03-15,205231
71.05,72.15,67.5,67.5,2023-03-16,69167
68.7,68.7,64.15,64.15,2023-03-17,79967
63.95,63.95,60.95,60.95,2023-03-20,204872
58.7,63.95,57.9,63.95,2023-03-21,287438
67.1,67.1,67.1,67.1,2023-03-22,11555
70.45,70.45,64.3,70.35,2023-03-23,512298
73.85,73.85,70.0,73.85,2023-03-24,92399
74.9,74.9,70.15,70.15,2023-03-27,157060
66.65,66.65,66.65,66.65,2023-03-28,8009
63.35,63.35,63.35,63.35,2023-03-29,30118
62.55,66.5,61.25,62.35,2023-03-31,223166
62.35,65.45,62.35,65.45,2023-04-03,25612
67.0,67.5,63.5,64.25,2023-04-05,96168
64.05,66.0,63.3,65.2,2023-04-06,19035
65.05,68.45,65.05,68.1,2023-04-10,79762
69.8,69.8,65.75,66.2,2023-04-11,64805
66.8,68.15,65.25,67.2,2023-04-12,42255
67.2,68.7,66.4,68.0,2023-04-13,17800
70.0,70.0,66.05,66.55,2023-04-17,18340
69.4,69.4,67.0,67.2,2023-04-18,15132
67.0,68.7,66.1,68.1,2023-04-19,22861
67.5,69.0,66.8,67.3,2023-04-20,16956
69.2,69.2,65.05,65.55,2023-04-21,22158
69.85,69.85,62.7,63.75,2023-04-24,84392
64.9,64.95,63.1,63.3,2023-04-25,21281
63.3,64.9,63.0,63.9,2023-04-26,36798
64.35,64.7,63.3,63.6,2023-04-27,22016
64.9,65.15,63.45,63.75,2023-04-28,30331
65.8,65.8,63.3,63.8,2023-05-02,30646
65.0,65.0,62.8,63.3,2023-05-03,21745
64.0,65.65,62.8,64.65,2023-05-04,28431
64.0,65.2,63.1,63.95,2023-05-05,18694
63.85,65.55,62.5,63.65,2023-05-08,24529
64.5,64.5,63.05,63.9,2023-05-09,8923
64.2,68.4,63.3,65.9,2023-05-10,74467
66.95,67.0,64.05,64.2,2023-05-11,26707
66.75,67.0,64.75,65.7,2023-05-12,16975
66.75,66.8,64.05,64.4,2023-05-15,16408
64.5,64.5,63.0,63.2,2023-05-16,56178
63.55,64.0,62.0,62.1,2023-05-17,41375
62.8,64.0,62.15,63.1,2023-05-18,13143
62.3,63.55,62.1,62.35,2023-05-19,6912
63.7,63.7,57.8,58.3,2023-05-22,72545
61.25,61.25,58.55,58.9,2023-05-23,20471
60.45,60.45,58.1,58.4,2023-05-24,23799
59.05,59.35,57.5,57.9,2023-05-25,28231
58.0,62.0,58.0,60.8,2023-05-26,42434
62.0,62.0,59.0,61.7,2023-05-29,38337
62.5,62.5,60.2,61.1,2023-05-30,6301
62.2,63.9,60.45,61.65,2023-05-31,32368
61.0,62.65,60.0,60.6,2023-06-01,34140
61.0,63.0,60.95,61.9,2023-06-02,14793
62.1,62.8,61.0,61.4,2023-06-05,22656
61.8,63.4,61.4,62.55,2023-06-06,31694
62.95,66.0,62.3,64.45,2023-06-07,74124
64.85,67.9,63.05,65.4,2023-06-08,75303
65.5,65.8,62.1,63.0,2023-06-09,33474
63.9,64.8,62.3,62.8,2023-06-12,33580
63.1,63.75,61.8,62.4,2023-06-13,26843
63.5,63.55,61.9,62.25,2023-06-14,19819
63.4,65.95,63.0,64.75,2023-06-15,64505
64.75,76.5,64.7,70.55,2023-06-16,313088
71.4,83.5,70.95,81.05,2023-06-19,832488
81.6,82.8,79.45,80.35,2023-06-20,186738
80.95,84.8,79.0,80.35,2023-06-21,116364
80.9,81.45,74.8,75.15,2023-06-22,68912
75.55,75.55,72.8,73.25,2023-06-23,27421
75.65,77.25,73.8,74.2,2023-06-26,31418
75.9,77.0,75.0,75.3,2023-06-27,23541
75.55,77.55,75.55,77.2,2023-06-28,16606
77.9,79.45,76.0,78.55,2023-06-30,38165
78.6,78.6,76.25,76.5,2023-07-03,58169
77.9,78.45,77.05,77.75,2023-07-04,36629
77.05,78.95,75.25,76.15,2023-07-05,19792
76.15,78.0,76.15,76.3,2023-07-06,15688
77.7,77.7,75.7,76.45,2023-07-07,17489
77.85,79.35,76.3,77.7,2023-07-10,18612
78.9,78.9,75.55,75.95,2023-07-11,26577
75.5,77.2,75.2,76.3,2023-07-12,19674
77.7,83.7,76.45,81.2,2023-07-13,100159
81.95,84.75,81.75,82.2,2023-07-14,42640
80.0,83.0,78.65,79.5,2023-07-17,78824
80.5,81.5,79.7,80.1,2023-07-18,11392
81.0,82.5,80.15,80.9,2023-07-19,34896
81.0,83.4,80.5,81.8,2023-07-20,73456
80.9,84.35,80.75,83.1,2023-07-21,52353
84.7,91.8,83.45,86.2,2023-07-24,284741
87.0,89.2,84.3,84.6,2023-07-25,88597
88.6,88.6,85.4,86.9,2023-07-26,63171
89.9,91.1,87.0,89.45,2023-07-27,248831
88.7,91.7,84.5,87.55,2023-07-28,228732
87.55,89.75,85.8,86.0,2023-07-31,104787
87.45,97.35,86.25,95.35,2023-08-01,353457
100.2,106.0,98.0,98.7,2023-08-02,466808
98.0,102.65,95.1,96.3,2023-08-03,130951
146.25,162.5,146.25,162.5,2023-12-26,574463
