open,high,low,close,date,volume
1679.95,1697.45,1645.0,1650.6,2022-09-29,5979
1626.6,1725.0,1626.6,1687.2,2022-09-30,10725
1699.0,1699.0,1611.3,1625.6,2022-10-03,4781
1671.85,1688.95,1642.0,1651.75,2022-10-04,3476
1660.05,1816.9,1658.0,1809.15,2022-10-06,77264
1822.85,1822.85,1715.0,1732.95,2022-10-07,30310
1738.9,1742.0,1715.5,1729.3,2022-10-10,12045
1737.8,1758.05,1715.5,1721.7,2022-10-11,10421
1723.0,1768.2,1644.65,1745.4,2022-10-12,31163
1739.0,1860.0,1736.05,1801.35,2022-10-13,42722
1821.0,1903.35,1800.0,1814.3,2022-10-14,20081
1750.0,1766.95,1680.0,1721.95,2022-10-17,42271
1788.7,1788.7,1725.1,1760.55,2022-10-18,18456
1797.7,1797.7,1731.1,1768.55,2022-10-19,9077
1790.0,1790.0,1706.9,1750.1,2022-10-20,8490
1759.25,1780.0,1752.0,1761.95,2022-10-21,8951
1788.25,1788.25,1731.0,1761.95,2022-10-24,1643
1766.0,1766.0,1700.0,1710.95,2022-10-25,4250
1714.15,1730.05,1688.05,1701.1,2022-10-27,7782
1700.0,1709.4,1650.0,1658.1,2022-10-28,4545
1677.25,1677.25,1612.05,1654.6,2022-10-31,8390
1699.95,1699.95,1621.45,1630.4,2022-11-01,4318
1640.0,1640.0,1583.95,1604.65,2022-11-02,5343
1604.0,1639.95,1578.0,1590.45,2022-11-03,5881
1644.9,1644.95,1588.0,1599.85,2022-11-04,3329
1590.0,1627.4,1546.55,1575.6,2022-11-07,5658
1553.5,1609.95,1520.5,1578.0,2022-11-09,5912
1601.65,1645.0,1535.2,1595.9,2022-11-10,7924
1630.0,1630.0,1550.0,1556.4,2022-11-11,4871
1600.0,1600.0,1528.0,1553.7,2022-11-14,5744
1560.0,1598.9,1560.0,1576.2,2022-11-15,3384
1600.0,1610.0,1530.2,1596.5,2022-11-16,10771
1573.0,1592.4,1570.1,1574.75,2022-11-17,1205
1574.8,1590.0,1566.05,1586.1,2022-11-18,3695
1586.1,1635.0,1569.3,1571.9,2022-11-21,2368
1565.0,1588.0,1547.3,1570.25,2022-11-22,6145
1588.0,1595.95,1549.9,1559.15,2022-11-23,2251
