open,high,low,close,date,volume
21.9,21.9,20.25,20.6,2022-09-23,52172
20.6,20.7,19.15,19.65,2022-09-26,58005
21.05,21.05,19.4,20.35,2022-09-27,27587
20.5,20.65,19.55,19.7,2022-09-28,34118
21.0,21.0,19.3,19.45,2022-09-29,37015
20.0,20.35,18.95,19.25,2022-09-30,69798
19.7,20.75,19.0,19.6,2022-10-03,30234
20.5,20.5,19.1,19.3,2022-10-04,53576
19.65,20.15,19.3,19.35,2022-10-06,24673
20.2,20.2,19.4,19.55,2022-10-07,27568
19.5,19.75,18.6,19.3,2022-10-10,41329
19.7,19.7,18.75,18.9,2022-10-11,23267
18.95,19.25,18.85,19.05,2022-10-12,33454
19.1,19.25,18.35,18.5,2022-10-13,35073
19.5,19.5,18.5,18.85,2022-10-14,26722
20.1,20.1,18.3,18.45,2022-10-17,25752
18.45,22.1,18.45,22.1,2022-10-18,272048
22.9,24.35,22.15,22.85,2022-10-19,804647
23.3,23.3,22.15,22.3,2022-10-20,90397
23.0,23.2,21.15,21.3,2022-10-21,59794
21.6,22.2,20.85,21.15,2022-10-24,19071
20.4,25.35,20.4,23.95,2022-10-25,1660848
24.4,24.85,22.9,23.15,2022-10-27,384851
23.15,23.35,21.6,22.15,2022-10-28,138925
22.5,23.65,22.5,22.9,2022-10-31,89159
23.5,23.5,21.6,22.15,2022-11-01,93115
22.0,23.0,21.5,21.9,2022-11-02,61416
21.9,22.4,21.9,22.15,2022-11-03,31811
22.15,23.1,21.85,22.4,2022-11-04,52832
23.0,23.0,22.05,22.15,2022-11-07,29020
22.75,22.75,21.65,22.0,2022-11-09,35584
22.4,22.45,21.5,21.85,2022-11-10,45652
22.25,22.25,21.55,21.85,2022-11-11,21302
21.55,22.2,21.55,21.95,2022-11-14,29062
21.95,21.95,21.5,21.65,2022-11-15,23808
21.65,22.8,21.4,21.9,2022-11-16,65387
21.5,22.2,21.4,21.6,2022-11-17,24868
21.5,21.9,21.2,21.3,2022-11-18,23839
22.3,22.3,20.85,21.0,2022-11-21,18504
21.45,21.45,20.55,20.85,2022-11-22,48927
20.7,21.4,20.4,20.6,2022-11-23,36973
21.4,21.4,20.25,20.45,2022-11-24,23686
20.4,22.8,20.35,21.7,2022-11-25,146378
22.1,22.1,21.1,21.35,2022-11-28,34134
21.4,21.75,20.65,21.0,2022-11-29,29839
21.0,21.45,21.0,21.2,2022-11-30,10437
21.75,21.75,20.2,20.65,2022-12-01,70620
20.6,21.75,20.6,21.25,2022-12-02,98907
21.6,22.25,20.8,21.65,2022-12-05,48870
21.8,21.9,21.3,21.45,2022-12-06,21755
22.0,22.0,21.3,21.45,2022-12-07,20903
21.15,21.4,21.0,21.1,2022-12-08,25065
21.4,21.4,20.7,20.9,2022-12-09,40838
20.9,21.3,20.5,21.1,2022-12-12,35027
21.35,21.35,20.75,20.95,2022-12-13,24416
20.5,21.4,20.5,21.05,2022-12-14,36291
21.3,21.3,20.5,20.8,2022-12-15,30204
21.0,21.05,20.5,20.55,2022-12-16,21233
20.8,21.3,20.0,20.3,2022-12-19,36161
20.35,21.0,20.35,20.6,2022-12-20,18471
20.85,21.3,20.0,20.3,2022-12-21,44434
20.75,20.85,19.15,19.5,2022-12-22,25453
18.7,19.3,17.5,17.95,2022-12-23,47286
20.5,21.2,18.35,19.45,2022-12-26,104651
19.95,21.3,19.7,20.4,2022-12-27,41013
20.4,20.7,20.0,20.3,2022-12-28,5532
20.3,24.35,19.55,20.4,2022-12-29,186303
20.4,21.4,20.25,20.45,2022-12-30,37801
20.1,21.0,19.95,20.7,2023-01-02,38156
20.7,20.75,20.3,20.5,2023-01-03,19244
20.45,20.8,20.3,20.45,2023-01-04,14163
20.3,20.85,20.3,20.4,2023-01-05,12674
20.4,20.75,20.05,20.15,2023-01-06,11475
20.85,20.85,20.05,20.3,2023-01-09,17361
20.3,20.95,20.1,20.2,2023-01-10,30544
20.25,20.8,19.7,20.1,2023-01-11,19080
20.15,20.5,19.75,19.85,2023-01-12,30262
19.95,20.3,19.75,19.9,2023-01-13,29826
20.3,20.35,19.65,19.9,2023-01-16,23202
20.3,20.3,19.2,19.85,2023-01-17,29220
20.2,20.2,19.65,19.95,2023-01-18,18140
20.3,20.3,19.7,19.85,2023-01-19,19297
19.95,20.2,19.5,19.65,2023-01-20,31049
19.7,19.9,19.15,19.35,2023-01-23,43377
19.5,19.95,19.25,19.4,2023-01-24,23599
19.4,19.45,18.15,19.0,2023-01-25,30631
19.65,19.65,18.2,18.5,2023-01-27,31434
18.5,19.2,17.9,18.15,2023-01-30,57363
18.6,18.85,18.0,18.1,2023-01-31,25840
18.75,18.75,17.6,18.05,2023-02-01,38195
18.7,18.7,17.65,18.15,2023-02-02,30791
20.45,20.45,17.6,18.05,2023-02-03,31275
18.95,18.95,17.85,18.1,2023-02-06,24859
19.1,19.1,17.65,17.95,2023-02-07,20512
17.55,18.35,17.55,17.8,2023-02-08,22860
19.0,19.0,17.55,17.85,2023-02-09,8611
18.0,18.6,17.65,17.8,2023-02-10,6648
18.0,18.55,17.6,17.9,2023-02-13,18914
18.4,18.4,16.4,16.85,2023-02-14,76854
18.0,18.0,16.55,16.95,2023-02-15,92888
16.95,17.9,16.6,16.75,2023-02-16,86989
16.75,19.15,16.5,18.4,2023-02-17,465255
18.0,18.3,16.6,16.85,2023-02-20,253895
17.4,17.4,15.15,15.55,2023-02-21,160806
15.6,16.35,13.85,14.25,2023-02-22,159988
14.8,15.1,13.85,14.75,2023-02-23,99150
15.15,15.8,14.1,14.85,2023-02-24,70605
15.35,15.7,13.35,14.35,2023-02-27,37058
14.4,14.9,13.65,14.1,2023-02-28,26728
14.5,14.5,14.1,14.4,2023-03-01,14512
14.6,14.6,13.65,14.3,2023-03-02,26739
14.3,15.0,13.95,14.3,2023-03-03,34702
14.75,15.25,13.8,14.3,2023-03-06,99132
14.1,14.8,14.0,14.3,2023-03-08,25671
14.8,14.8,14.05,14.2,2023-03-09,44191
14.5,14.5,13.5,14.1,2023-03-10,43910
14.1,14.35,13.55,13.65,2023-03-13,47140
13.95,13.95,13.25,13.35,2023-03-14,47421
13.5,13.8,13.05,13.15,2023-03-15,50699
13.15,13.35,12.75,13.15,2023-03-16,45518
13.2,13.7,12.8,13.4,2023-03-17,151842
14.35,14.35,13.3,13.6,2023-03-20,74137
13.85,13.85,13.3,13.45,2023-03-21,19513
13.4,14.0,13.1,13.45,2023-03-22,60548
13.45,14.1,13.1,13.3,2023-03-23,34548
13.95,13.95,12.2,12.75,2023-03-24,52548
13.45,13.45,11.4,11.6,2023-03-27,68910
12.35,12.35,11.3,11.9,2023-03-28,46396
12.15,12.3,11.7,11.9,2023-03-29,43510
11.95,12.1,11.4,11.55,2023-03-31,60029
12.25,12.25,11.6,12.05,2023-04-03,40823
12.3,13.6,12.05,13.3,2023-04-05,96311
14.0,14.0,13.4,13.7,2023-04-06,37687
14.0,14.75,13.3,13.8,2023-04-10,44046
13.95,14.2,13.6,13.75,2023-04-11,24909
13.9,13.95,13.4,13.5,2023-04-12,30431
13.65,14.05,13.3,13.5,2023-04-13,17407
13.95,13.95,12.8,13.3,2023-04-17,18273
13.8,13.8,13.05,13.3,2023-04-18,12225
13.1,13.6,12.8,13.2,2023-04-19,19607
13.05,13.55,12.8,12.9,2023-04-20,41753
12.9,13.4,12.9,13.15,2023-04-21,18068
13.3,15.75,12.75,15.75,2023-04-24,1933772
16.5,16.95,14.6,14.8,2023-04-25,705702
15.1,17.75,15.05,17.7,2023-04-26,1280397
17.85,18.2,16.15,16.75,2023-04-27,621532
16.6,18.45,16.5,17.1,2023-04-28,384612
