open,high,low,close,date,volume
169.55,171.4,158.0,159.6,2022-09-29,452533
160.25,163.9,156.8,159.9,2022-09-30,404897
160.0,162.65,156.6,157.5,2022-10-03,169921
159.9,167.0,156.55,158.5,2022-10-04,333673
159.6,165.0,159.25,161.4,2022-10-06,283160
162.35,165.35,159.3,161.05,2022-10-07,227919
159.8,166.3,158.15,161.45,2022-10-10,141158
163.0,167.0,161.3,162.25,2022-10-11,187872
163.0,167.0,161.75,163.6,2022-10-12,244077
163.7,164.4,158.85,159.95,2022-10-13,108395
162.1,167.85,161.1,161.8,2022-10-14,263302
160.8,162.4,157.5,159.2,2022-10-17,99122
160.7,165.35,158.65,160.75,2022-10-18,294647
161.0,164.95,160.6,162.5,2022-10-19,214947
162.0,166.8,161.15,165.45,2022-10-20,161500
166.3,168.7,161.5,165.3,2022-10-21,131060
166.0,166.6,163.8,165.05,2022-10-24,41655
165.0,168.65,164.3,167.6,2022-10-25,151383
168.25,174.3,167.6,168.55,2022-10-27,267303
169.35,172.0,165.3,166.1,2022-10-28,96658
167.3,168.0,158.0,160.15,2022-10-31,164437
160.5,163.0,159.05,161.65,2022-11-01,103829
162.2,164.0,160.5,161.8,2022-11-02,91850
161.8,162.95,159.4,161.55,2022-11-03,86602
160.8,163.1,159.7,161.5,2022-11-04,160540
162.4,162.95,152.6,154.8,2022-11-07,246422
155.9,155.9,151.15,152.3,2022-11-09,102765
151.0,153.0,147.15,148.15,2022-11-10,114275
155.0,159.5,151.6,155.5,2022-11-11,462889
157.0,160.2,155.5,157.25,2022-11-14,113866
157.25,159.5,153.75,158.15,2022-11-15,108160
158.4,162.35,154.05,155.1,2022-11-16,107824
155.15,155.55,152.05,153.4,2022-11-17,33095
153.55,154.45,148.5,152.55,2022-11-18,100334
153.5,155.2,146.0,147.45,2022-11-21,90865
147.45,147.45,138.2,140.1,2022-11-22,298850
140.9,144.0,138.95,139.35,2022-11-23,98243
139.55,141.9,137.6,138.95,2022-11-24,266444
139.3,144.9,139.3,143.9,2022-11-25,175809
143.9,147.2,142.8,143.25,2022-11-28,133002
143.25,147.5,143.25,144.05,2022-11-29,283313
145.15,145.55,140.5,140.8,2022-11-30,82556
141.55,142.0,139.45,140.15,2022-12-01,154013
140.0,145.4,139.25,144.4,2022-12-02,112015
145.4,145.95,142.0,144.55,2022-12-05,164458
143.9,145.25,143.0,143.6,2022-12-06,44123
144.3,144.75,141.0,143.35,2022-12-07,113690
142.9,143.9,139.5,140.15,2022-12-08,89784
140.9,142.25,136.15,137.85,2022-12-09,104848
138.0,143.95,136.1,143.05,2022-12-12,126369
143.05,144.0,139.2,140.0,2022-12-13,93603
140.8,146.6,138.8,144.3,2022-12-14,212633
143.9,145.3,141.55,143.5,2022-12-15,168152
142.05,155.55,142.05,147.9,2022-12-16,1007078
149.0,153.35,146.0,151.8,2022-12-19,354086
153.7,162.0,152.0,153.5,2022-12-20,834324
154.0,156.45,141.1,143.6,2022-12-21,318299
145.0,147.2,137.05,138.6,2022-12-22,236284
136.6,138.05,124.15,127.4,2022-12-23,473654
127.4,137.8,127.4,136.5,2022-12-26,250582
138.55,146.4,135.5,138.4,2022-12-27,636581
141.0,144.0,138.2,141.55,2022-12-28,238603
140.05,142.9,138.65,141.5,2022-12-29,56678
142.15,157.7,142.15,153.0,2022-12-30,1176876
152.0,162.5,152.0,158.5,2023-01-02,1058187
158.6,159.45,153.45,156.4,2023-01-03,446746
156.8,158.85,152.45,153.85,2023-01-04,234188
154.25,161.7,153.95,157.8,2023-01-05,1076344
158.95,162.9,157.2,160.55,2023-01-06,1199092
161.7,166.0,160.2,162.05,2023-01-09,529816
162.9,162.9,157.3,159.55,2023-01-10,211135
159.75,161.85,157.5,158.1,2023-01-11,143128
158.75,160.1,153.35,154.5,2023-01-12,138825
155.95,157.45,154.5,156.0,2023-01-13,105816
