open,high,low,close,date,volume
727.55,746.9,725.0,728.95,2022-09-29,25587
728.95,749.5,689.45,744.4,2022-09-30,246366
735.0,752.8,735.0,746.95,2022-10-03,45553
749.0,759.4,736.6,746.35,2022-10-04,36981
746.35,755.6,738.3,740.35,2022-10-06,39044
740.0,744.1,730.15,734.7,2022-10-07,39310
731.15,736.75,725.9,729.25,2022-10-10,21097
727.0,733.45,715.0,720.65,2022-10-11,27083
720.1,723.0,704.6,712.55,2022-10-12,19929
715.0,719.8,700.05,710.2,2022-10-13,29805
714.95,720.0,705.05,709.25,2022-10-14,21450
712.8,715.0,700.0,708.8,2022-10-17,18406
712.35,735.0,708.05,718.35,2022-10-18,65412
721.95,735.0,717.5,730.05,2022-10-19,35690
725.5,742.65,725.5,737.75,2022-10-20,36391
739.0,745.9,732.05,740.85,2022-10-21,28606
745.1,746.7,735.0,739.55,2022-10-24,7091
741.0,748.0,736.6,744.75,2022-10-25,34978
746.0,754.5,740.5,746.6,2022-10-27,43607
746.0,749.0,731.0,734.2,2022-10-28,22911
738.15,742.15,716.95,724.85,2022-10-31,21704
724.0,744.4,722.8,733.75,2022-11-01,31645
733.85,741.0,729.55,739.95,2022-11-02,24845
739.0,740.5,734.05,738.25,2022-11-03,20553
740.0,742.5,735.0,738.6,2022-11-04,33705
740.0,758.3,731.0,737.65,2022-11-07,83288
737.65,747.0,733.95,738.65,2022-11-09,39307
738.6,749.95,726.05,732.7,2022-11-10,37377
735.95,740.05,726.95,731.35,2022-11-11,48138
735.65,780.0,735.65,775.3,2022-11-14,297168
785.7,785.75,755.0,762.35,2022-11-15,98718
762.0,771.95,750.0,751.4,2022-11-16,36038
752.05,756.15,715.1,729.15,2022-11-17,67529
722.0,735.0,718.1,726.0,2022-11-18,66724
726.0,739.0,720.35,735.9,2022-11-21,50880
739.6,739.6,730.05,732.7,2022-11-22,25857
733.0,736.4,731.05,734.25,2022-11-23,14792
734.0,743.0,733.25,738.05,2022-11-24,23798
741.75,741.75,732.85,735.15,2022-11-25,19051
737.95,765.5,735.25,758.25,2022-11-28,82789
762.05,763.4,750.0,754.25,2022-11-29,23741
756.95,759.0,747.55,755.45,2022-11-30,24196
759.7,761.0,746.45,755.25,2022-12-01,60883
759.2,766.35,749.1,761.05,2022-12-02,27874
765.35,777.8,759.0,765.6,2022-12-05,121516
765.0,769.7,755.5,761.1,2022-12-06,27221
761.0,761.0,730.5,739.8,2022-12-07,61888
745.65,750.95,740.05,746.75,2022-12-08,27891
750.0,750.0,731.6,737.5,2022-12-09,37649
730.8,739.5,721.05,723.45,2022-12-12,54228
723.0,723.45,708.1,713.75,2022-12-13,105373
717.6,740.7,706.05,738.05,2022-12-14,70323
741.75,745.9,735.5,739.05,2022-12-15,26424
736.3,742.9,723.85,726.85,2022-12-16,26396
730.5,737.85,720.8,727.55,2022-12-19,26181
727.55,740.15,724.15,736.15,2022-12-20,35604
740.7,743.85,720.1,726.8,2022-12-21,32145
726.8,730.6,700.6,708.85,2022-12-22,53819
705.0,725.45,700.8,706.4,2022-12-23,78322
709.95,715.0,696.65,705.0,2022-12-26,33118
705.0,720.45,701.2,713.3,2022-12-27,26439
713.35,719.65,706.0,711.15,2022-12-28,14941
710.4,714.1,706.95,710.75,2022-12-29,12337
710.75,714.95,710.5,713.3,2022-12-30,16723
717.1,727.9,712.5,723.7,2023-01-02,32121
725.1,727.3,722.7,724.55,2023-01-03,10757
728.2,755.75,724.55,745.75,2023-01-04,152468
749.7,749.75,732.95,737.95,2023-01-05,22042
733.95,742.9,721.5,726.4,2023-01-06,24054
730.2,732.6,722.55,728.7,2023-01-09,23446
