open,high,low,close,date,volume
850.0,853.15,840.8,850.45,2022-09-29,74832
850.45,906.0,840.5,896.4,2022-09-30,172949
898.0,899.2,860.0,889.05,2022-10-03,159492
896.0,904.8,879.15,880.55,2022-10-04,90580
884.4,894.0,880.25,890.05,2022-10-06,70674
890.05,903.9,875.0,899.85,2022-10-07,42208
895.0,905.0,886.0,895.65,2022-10-10,69248
895.4,923.9,875.0,878.15,2022-10-11,121876
882.0,887.55,861.6,880.4,2022-10-12,90053
884.0,893.5,867.95,888.5,2022-10-13,85479
892.0,896.0,876.6,884.1,2022-10-14,68166
881.35,885.55,874.0,879.45,2022-10-17,41970
882.0,885.0,873.35,876.5,2022-10-18,115791
879.85,879.85,852.25,860.1,2022-10-19,149546
859.9,864.05,840.75,846.6,2022-10-20,94668
848.0,854.45,842.1,850.1,2022-10-21,51233
854.6,856.9,845.0,851.45,2022-10-24,7200
852.55,874.0,841.1,851.3,2022-10-25,59754
856.0,874.0,851.4,858.8,2022-10-27,70234
863.0,863.0,843.85,859.15,2022-10-28,72733
859.0,866.5,837.45,845.85,2022-10-31,254786
846.5,860.0,835.25,838.6,2022-11-01,72667
839.75,851.6,834.1,839.8,2022-11-02,71100
840.0,847.05,831.2,843.95,2022-11-03,45494
848.2,848.2,835.65,843.3,2022-11-04,27824
843.3,849.05,831.2,841.2,2022-11-07,49748
848.0,848.0,812.1,817.15,2022-11-09,214870
820.95,820.95,791.65,802.8,2022-11-10,86521
806.85,812.85,801.0,807.4,2022-11-11,22142
811.0,812.5,788.15,800.5,2022-11-14,97011
804.5,814.95,797.75,811.2,2022-11-15,114739
814.0,818.95,801.0,812.9,2022-11-16,138614
812.9,812.9,796.85,802.7,2022-11-17,343218
797.0,807.9,790.0,801.5,2022-11-18,376039
805.5,815.05,796.55,807.5,2022-11-21,221520
811.55,811.55,798.8,802.3,2022-11-22,29249
806.0,830.0,800.75,825.5,2022-11-23,105590
829.65,834.95,817.2,823.85,2022-11-24,50321
828.0,834.0,815.0,820.5,2022-11-25,81338
820.0,848.8,817.1,841.8,2022-11-28,105383
850.0,859.0,835.1,838.4,2022-11-29,81352
837.0,859.0,833.0,853.2,2022-11-30,40446
861.4,861.4,835.15,838.65,2022-12-01,31419
838.1,869.4,834.55,861.65,2022-12-02,50729
861.65,864.0,845.0,849.85,2022-12-05,69403
852.3,852.5,841.6,848.95,2022-12-06,24760
845.0,856.75,836.0,838.55,2022-12-07,38384
837.0,842.75,833.0,837.95,2022-12-08,24321
840.0,864.0,837.95,855.5,2022-12-09,249683
856.0,869.3,847.0,859.65,2022-12-12,126184
863.9,887.0,856.0,880.4,2022-12-13,260628
889.0,898.6,880.0,884.1,2022-12-14,281567
884.1,886.95,876.15,879.75,2022-12-15,52664
879.75,905.0,870.2,885.95,2022-12-16,244165
890.4,906.0,878.75,902.95,2022-12-19,92362
904.9,909.35,891.95,899.3,2022-12-20,151296
903.85,908.85,870.0,883.9,2022-12-21,124469
875.85,884.0,858.05,878.55,2022-12-22,82990
