open,high,low,close,date,volume
643.0,653.15,640.35,648.85,2022-09-29,95215
647.7,647.7,625.0,635.85,2022-09-30,203824
635.0,639.5,625.0,629.25,2022-10-03,77840
634.35,640.85,619.4,625.45,2022-10-04,195370
628.6,633.2,621.0,630.0,2022-10-06,236534
628.25,634.0,616.1,630.15,2022-10-07,737834
627.25,630.55,616.95,619.95,2022-10-10,256307
623.05,626.1,615.65,622.05,2022-10-11,86276
622.05,630.0,607.9,624.85,2022-10-12,75479
624.85,625.95,618.2,624.3,2022-10-13,34443
625.0,632.0,608.0,611.7,2022-10-14,108935
606.5,620.0,604.15,616.2,2022-10-17,80253
619.3,625.0,608.05,622.45,2022-10-18,111365
625.6,633.0,620.0,630.6,2022-10-19,64560
622.15,631.1,617.0,625.25,2022-10-20,100764
620.6,630.7,619.2,626.75,2022-10-21,88656
635.0,637.95,633.0,635.6,2022-10-24,17285
637.0,639.0,630.6,633.45,2022-10-25,36223
636.6,637.85,620.0,621.95,2022-10-27,113575
621.0,626.95,590.0,596.25,2022-10-28,130318
600.1,603.45,587.85,598.1,2022-10-31,330863
601.1,602.0,592.05,597.95,2022-11-01,216436
600.95,605.0,589.25,598.9,2022-11-02,184160
595.0,601.1,590.55,592.55,2022-11-03,107973
595.55,596.15,586.2,587.95,2022-11-04,185730
590.9,592.75,585.0,587.7,2022-11-07,127148
588.05,593.75,575.15,586.45,2022-11-09,319491
582.0,610.0,578.0,606.75,2022-11-10,342734
609.8,611.95,587.0,595.3,2022-11-11,229622
588.5,603.0,588.5,594.45,2022-11-14,95520
594.65,595.0,585.2,592.15,2022-11-15,53566
589.0,591.15,571.05,580.55,2022-11-16,294901
578.75,584.0,571.2,580.05,2022-11-17,72986
579.0,580.95,565.4,575.15,2022-11-18,83653
575.15,576.2,552.9,561.7,2022-11-21,101248
560.0,563.05,547.2,553.15,2022-11-22,87031
553.15,557.15,540.5,547.1,2022-11-23,103403
545.0,548.6,538.2,542.75,2022-11-24,102396
543.0,547.45,535.0,539.9,2022-11-25,156081
540.95,564.4,540.05,563.0,2022-11-28,171041
565.85,566.75,550.5,553.1,2022-11-29,201983
555.15,556.6,529.1,542.4,2022-11-30,328521
538.3,557.25,535.0,556.1,2022-12-01,263637
560.0,565.95,553.05,563.75,2022-12-02,110366
563.75,572.95,560.85,570.55,2022-12-05,100278
573.45,584.05,565.05,569.2,2022-12-06,104522
570.95,574.75,562.0,566.45,2022-12-07,129419
