open,high,low,close,date,volume
840.0,840.0,820.1,823.0,2022-09-29,65518
823.0,829.85,800.1,810.7,2022-09-30,105977
812.0,816.8,794.4,800.1,2022-10-03,123856
806.0,815.55,801.1,806.15,2022-10-04,103601
811.95,830.4,809.8,825.6,2022-10-06,105757
825.6,836.05,822.9,830.8,2022-10-07,82652
820.0,838.0,818.95,830.3,2022-10-10,71347
833.65,837.4,811.9,816.4,2022-10-11,58082
819.9,849.9,811.85,834.8,2022-10-12,239707
836.8,836.8,813.0,816.2,2022-10-13,67443
822.5,829.9,816.6,821.9,2022-10-14,69334
821.9,831.0,812.0,819.75,2022-10-17,66793
822.1,829.05,815.0,817.55,2022-10-18,54638
821.5,822.5,815.0,815.9,2022-10-19,60004
815.8,859.0,815.0,849.8,2022-10-20,256604
858.0,858.0,829.0,836.65,2022-10-21,181776
844.9,852.0,831.0,836.1,2022-10-24,33172
830.3,841.25,811.0,814.05,2022-10-25,100679
854.0,883.9,832.0,877.35,2022-10-27,1046500
880.0,880.7,860.0,869.7,2022-10-28,256195
861.35,875.4,852.1,856.2,2022-10-31,97410
856.8,864.45,845.0,848.85,2022-11-01,135507
853.1,855.95,834.25,841.0,2022-11-02,99979
840.0,840.0,825.5,829.9,2022-11-03,129045
834.0,837.9,820.0,821.25,2022-11-04,114715
825.4,833.0,818.1,820.7,2022-11-07,75752
829.0,829.0,814.1,815.85,2022-11-09,77865
813.0,822.95,805.3,812.6,2022-11-10,64275
819.9,823.75,795.0,800.55,2022-11-11,97112
804.6,804.95,788.0,793.95,2022-11-14,89793
798.1,798.2,785.1,790.55,2022-11-15,109370
785.65,800.0,781.0,787.15,2022-11-16,111466
783.85,792.0,762.05,776.95,2022-11-17,156130
779.05,789.7,763.95,775.1,2022-11-18,87710
772.0,788.95,772.0,777.15,2022-11-21,61064
781.05,784.75,770.0,771.0,2022-11-22,68900
774.9,791.9,772.55,783.15,2022-11-23,109467
787.1,797.0,777.25,786.7,2022-11-24,151259
787.0,799.0,784.9,790.05,2022-11-25,138225
790.0,811.0,788.35,804.0,2022-11-28,138798
805.9,807.9,790.0,793.05,2022-11-29,60921
794.0,812.55,782.25,808.45,2022-11-30,198217
810.95,812.45,794.5,802.35,2022-12-01,83493
795.25,824.65,793.1,810.7,2022-12-02,383463
