open,high,low,close,date,volume
5635.0,5635.0,5360.15,5471.35,2022-09-29,25325
5430.05,5531.8,5395.0,5434.85,2022-09-30,13757
5434.85,5503.05,5390.05,5428.5,2022-10-03,10662
5457.1,5529.0,5351.0,5386.4,2022-10-04,8774
5386.4,5413.35,5335.2,5379.8,2022-10-06,7384
5380.0,5551.5,5288.4,5508.05,2022-10-07,28822
5401.0,5546.95,5380.0,5511.7,2022-10-10,8347
5500.0,5670.6,5438.0,5505.95,2022-10-11,15677
5520.0,5533.5,5366.4,5411.45,2022-10-12,5437
5430.0,5449.85,5374.45,5407.7,2022-10-13,2925
5434.75,5584.95,5427.75,5525.25,2022-10-14,7273
5525.25,5550.8,5449.0,5521.6,2022-10-17,6079
5549.25,5550.65,5436.5,5446.9,2022-10-18,8537
5436.1,5599.0,5436.0,5541.35,2022-10-19,7421
5485.95,5590.65,5474.1,5549.75,2022-10-20,3439
5507.4,5564.95,5409.95,5440.6,2022-10-21,6811
5450.0,5495.5,5420.4,5454.45,2022-10-24,1191
5459.8,5525.05,5387.65,5421.5,2022-10-25,13313
5425.0,5510.0,5240.0,5473.9,2022-10-27,19172
5500.0,5510.0,5367.65,5395.25,2022-10-28,7613
5381.0,5600.0,5381.0,5575.35,2022-10-31,16973
5572.0,5595.25,5486.0,5495.05,2022-11-01,7077
5495.0,5495.0,5400.0,5430.7,2022-11-02,5710
5385.05,5516.95,5385.05,5445.25,2022-11-03,3260
5472.5,5472.5,5405.0,5420.45,2022-11-04,3040
5447.6,5549.0,5374.0,5482.45,2022-11-07,14648
5399.95,5399.95,5150.05,5256.0,2022-11-09,84078
5180.0,5300.0,5178.05,5287.15,2022-11-10,19799
5290.0,5579.0,5280.0,5449.6,2022-11-11,45329
5476.85,5478.3,5311.0,5350.4,2022-11-14,7765
5340.0,5401.85,5330.85,5374.3,2022-11-15,3908
5399.8,5411.0,5335.1,5356.0,2022-11-16,42781
5345.0,5410.0,5310.0,5324.25,2022-11-17,3817
5320.05,5350.0,5180.05,5205.9,2022-11-18,34442
5190.0,5312.0,5158.6,5297.95,2022-11-21,9763
5250.0,5350.0,5250.0,5297.0,2022-11-22,8475
5248.8,5435.5,5248.8,5347.9,2022-11-23,30985
5373.0,6076.6,5310.0,5506.25,2022-11-24,426188
5506.25,5648.0,5440.2,5531.2,2022-11-25,53926
5545.0,5631.4,5505.95,5541.85,2022-11-28,23348
5550.0,5600.0,5501.05,5515.4,2022-11-29,12218
5516.0,5545.0,5320.0,5353.1,2022-11-30,28847
5419.85,5419.85,5312.0,5327.1,2022-12-01,12508
5336.95,5389.0,5320.0,5368.95,2022-12-02,56780
5405.0,5499.9,5350.75,5418.55,2022-12-05,22732
5400.1,5447.95,5156.7,5287.9,2022-12-06,120602
5345.0,5394.5,5300.0,5337.2,2022-12-07,25129
5312.1,5366.95,5250.0,5309.25,2022-12-08,21572
5337.2,5380.0,5260.0,5309.15,2022-12-09,31522
5332.35,5369.35,5264.95,5347.85,2022-12-12,22801
5315.0,5372.9,5315.0,5352.3,2022-12-13,24733
5352.0,5423.95,5352.0,5382.15,2022-12-14,12251
5398.0,5398.0,5339.95,5354.9,2022-12-15,7340
5340.0,5364.25,5299.95,5341.05,2022-12-16,5122
5292.5,5352.85,5290.2,5324.0,2022-12-19,41072
5302.2,5350.0,5278.15,5320.3,2022-12-20,15744
5348.3,5367.3,5165.1,5264.5,2022-12-21,14460
5230.0,5255.0,5110.15,5199.8,2022-12-22,15464
5065.05,5185.75,5009.0,5060.6,2022-12-23,13302
4984.7,5265.85,4963.4,5206.75,2022-12-26,11089
5232.8,5278.4,5122.2,5246.45,2022-12-27,5593
5225.0,5266.8,5165.25,5211.1,2022-12-28,4458
5164.0,5288.0,5143.5,5205.9,2022-12-29,9721
5180.2,5238.75,5180.0,5207.3,2022-12-30,11250
5207.3,5348.05,5199.05,5314.75,2023-01-02,6091
5320.0,5320.65,5239.95,5271.95,2023-01-03,4068
5299.7,5299.7,5175.75,5233.5,2023-01-04,7281
5220.05,5328.15,5203.9,5264.1,2023-01-05,6642
5206.0,5381.0,5206.0,5295.95,2023-01-06,7457
5322.45,5426.0,5240.0,5365.5,2023-01-09,11993
5335.0,5425.0,5314.95,5372.1,2023-01-10,5584
5372.1,5405.95,5334.4,5361.35,2023-01-11,2606
5313.2,5388.15,5313.2,5324.45,2023-01-12,6002
5313.05,5374.0,5280.05,5320.65,2023-01-13,6958
5321.0,5374.0,5304.7,5365.95,2023-01-16,2457
5350.05,5400.0,5320.05,5353.45,2023-01-17,3734
5380.25,5417.65,5350.0,5382.5,2023-01-18,2597
5400.0,5425.0,5356.05,5400.8,2023-01-19,2397
5425.0,5523.95,5255.25,5286.2,2023-01-20,20393
5312.6,5454.9,5260.1,5404.1,2023-01-23,10156
5399.95,5499.9,5387.05,5454.6,2023-01-24,7798
5406.0,5479.95,5406.0,5453.55,2023-01-25,3133
5401.0,5500.0,5367.6,5426.95,2023-01-27,9527
5436.6,5510.7,5250.0,5281.05,2023-01-30,15885
5299.0,5373.15,5230.0,5267.1,2023-01-31,14128
5260.0,5432.3,5260.0,5343.05,2023-02-01,8704
5300.0,5800.0,5300.0,5634.0,2023-02-02,37668
5663.7,5769.0,5594.05,5652.45,2023-02-03,18372
5652.45,5740.0,5612.15,5721.2,2023-02-06,8646
5749.85,5799.95,5690.0,5781.25,2023-02-07,10441
5844.0,5980.0,5700.0,5770.75,2023-02-08,20583
5799.65,5990.0,5799.65,5968.7,2023-02-09,22517
5930.7,6075.0,5918.0,6035.2,2023-02-10,20583
6094.95,6143.9,6013.85,6105.95,2023-02-13,17020
6145.0,6150.0,5901.2,5927.95,2023-02-14,14107
5916.0,6067.0,5873.05,6021.85,2023-02-15,17981
6034.0,6117.0,6022.6,6091.25,2023-02-16,27783
6100.0,6100.0,5913.05,5950.45,2023-02-17,13116
5966.0,6494.7,5966.0,6436.0,2023-02-20,165062
6417.0,6648.65,6380.0,6569.4,2023-02-21,76813
6462.4,6788.0,6447.5,6716.65,2023-02-22,92359
6705.05,6724.8,6400.0,6449.65,2023-02-23,53969
6459.0,6518.8,6028.0,6108.15,2023-02-24,88700
6150.0,6427.9,6015.0,6366.85,2023-02-27,68913
6400.0,6550.0,6325.85,6513.1,2023-02-28,47517
6559.7,6628.0,6461.15,6563.15,2023-03-01,31404
6595.95,6595.95,6401.5,6444.35,2023-03-02,21440
6427.0,6503.0,6261.0,6301.35,2023-03-03,32635
6334.5,6466.4,6151.55,6208.0,2023-03-06,21896
6208.0,6250.0,5998.65,6043.9,2023-03-08,26539
6077.7,6195.0,6022.8,6160.7,2023-03-09,27298
6160.65,6358.0,6111.05,6296.7,2023-03-10,37811
6328.25,6353.95,6160.0,6175.05,2023-03-13,23217
6207.6,6241.7,6026.0,6080.7,2023-03-14,20605
6055.1,6190.0,6029.2,6075.25,2023-03-15,15101
6107.2,6150.0,5882.65,5944.65,2023-03-16,34022
6000.0,6296.0,5886.9,6183.85,2023-03-17,172926
6183.85,6488.95,6077.35,6144.5,2023-03-20,28497
6160.0,6219.95,6160.0,6186.0,2023-03-21,7056
6239.0,6401.0,6186.0,6251.05,2023-03-22,13663
6246.0,6393.9,6201.05,6326.7,2023-03-23,12575
6326.7,6326.7,6217.1,6243.0,2023-03-24,7575
6289.85,6299.0,6087.0,6145.1,2023-03-27,9557
6121.0,6230.0,6080.55,6216.05,2023-03-28,7143
6247.15,6630.0,6236.8,6463.7,2023-03-29,40152
6467.05,6563.7,6355.05,6403.05,2023-03-31,17026
6435.1,6527.0,6365.55,6439.25,2023-04-03,14474
6420.0,6555.0,6401.1,6535.15,2023-04-05,8195
6539.2,6600.0,6480.0,6528.55,2023-04-06,16493
6538.0,6538.0,6285.4,6336.9,2023-04-10,26784
6350.0,6389.95,6302.0,6324.6,2023-04-11,12061
6313.0,6369.95,6280.0,6304.85,2023-04-12,4646
6331.05,6525.0,6294.2,6497.25,2023-04-13,32163
6477.0,6489.0,6411.0,6432.85,2023-04-17,6711
6432.85,6446.85,6310.0,6332.25,2023-04-18,18494
6356.4,6459.15,6251.1,6339.45,2023-04-19,16149
6369.0,6369.0,6265.0,6283.95,2023-04-20,10806
6284.0,6341.95,6199.7,6226.5,2023-04-21,15200
6220.0,6357.45,6090.0,6313.85,2023-04-24,15172
6295.0,6329.05,6105.0,6221.8,2023-04-25,10618
6199.0,6238.4,6030.0,6060.2,2023-04-26,23164
6080.0,6161.05,6055.55,6065.55,2023-04-27,8398
6070.0,6273.9,6070.0,6241.3,2023-04-28,23323
6334.0,6595.65,6300.0,6347.5,2023-05-02,42075
6347.5,6475.95,6320.85,6390.2,2023-05-03,25365
6390.15,6470.0,6375.05,6448.65,2023-05-04,10379
6450.0,6616.35,6435.05,6470.7,2023-05-05,31472
6475.4,6778.0,6475.4,6719.25,2023-05-08,46905
6700.0,6820.0,6520.2,6575.8,2023-05-09,21346
6610.4,6760.0,6540.0,6728.2,2023-05-10,51951
6800.0,6950.0,6709.05,6818.05,2023-05-11,33118
6840.0,7358.0,6832.0,7201.1,2023-05-12,177523
7150.0,7269.9,7108.25,7154.15,2023-05-15,27678
7200.0,7474.0,7133.75,7438.95,2023-05-16,48431
7488.0,7494.7,7300.0,7353.25,2023-05-17,36606
7351.0,7528.45,7344.95,7409.9,2023-05-18,30345
7430.0,7525.0,7411.05,7497.1,2023-05-19,20200
7495.0,7519.85,7430.5,7483.25,2023-05-22,15062
7484.0,7847.5,7483.25,7690.05,2023-05-23,58266
7690.05,7804.8,7550.0,7598.9,2023-05-24,35568
7636.0,7703.15,7600.0,7687.6,2023-05-25,20225
7680.0,7732.0,7550.0,7581.65,2023-05-26,13176
7589.0,7669.45,7508.6,7577.9,2023-05-29,13409
7585.25,7604.55,7461.1,7503.4,2023-05-30,8511
7503.4,7580.0,7380.0,7521.25,2023-05-31,28836
7540.0,7777.95,7540.0,7621.5,2023-06-01,29401
7605.0,7694.85,7540.0,7591.2,2023-06-02,10873
7629.2,7690.45,7521.95,7583.6,2023-06-05,6058
7620.0,7849.9,7562.45,7696.95,2023-06-06,37894
7725.0,7824.9,7661.05,7742.4,2023-06-07,14025
7769.0,8196.0,7728.05,7977.5,2023-06-08,133203
7999.0,8136.3,7830.05,7887.25,2023-06-09,25774
7949.95,7983.7,7758.65,7841.45,2023-06-12,13163
7938.95,7938.95,7796.85,7834.35,2023-06-13,11108
7847.25,8047.35,7801.2,7965.65,2023-06-14,27815
7965.65,8039.95,7865.45,7894.45,2023-06-15,12867
7916.0,7967.4,7774.9,7845.9,2023-06-16,13755
