open,high,low,close,date,volume
236.6,238.9,231.9,236.45,2022-09-29,5009594
235.0,236.65,231.5,235.7,2022-09-30,4195972
232.65,239.3,224.6,229.6,2022-10-03,1391436
232.0,235.45,228.25,231.85,2022-10-04,2363928
231.0,245.2,229.55,241.0,2022-10-06,4501861
242.3,254.35,241.1,252.7,2022-10-07,2641181
248.25,255.8,247.0,254.9,2022-10-10,1679444
257.45,263.4,246.8,251.5,2022-10-11,2542352
252.0,259.5,248.9,255.2,2022-10-12,1180821
255.0,259.5,252.6,256.65,2022-10-13,1263400
261.9,261.9,252.0,254.45,2022-10-14,1031077
254.45,258.0,252.4,254.25,2022-10-17,805344
256.5,263.0,253.55,260.5,2022-10-18,2522633
263.6,270.0,250.15,256.25,2022-10-19,6331258
258.0,262.5,251.7,259.75,2022-10-20,5462010
261.6,261.7,253.0,254.55,2022-10-21,1303877
259.0,259.0,253.55,255.95,2022-10-24,310808
255.05,259.3,246.1,253.2,2022-10-25,1944401
255.0,257.45,249.25,252.65,2022-10-27,1768057
253.5,261.0,250.75,258.8,2022-10-28,1762329
262.0,262.35,254.65,260.0,2022-10-31,1588235
260.0,263.95,257.3,262.1,2022-11-01,1372026
262.0,262.1,257.0,258.2,2022-11-02,976876
257.0,259.25,247.75,250.95,2022-11-03,2205694
250.75,254.8,249.45,253.65,2022-11-04,835517
254.8,255.0,249.05,251.9,2022-11-07,1134476
251.75,252.0,249.3,251.05,2022-11-09,603415
251.0,257.0,250.05,255.7,2022-11-10,1069461
259.0,266.3,257.6,263.6,2022-11-11,4408662
264.0,266.9,261.1,263.05,2022-11-14,1030552
263.4,271.9,262.05,270.7,2022-11-15,1957513
271.0,275.5,270.05,272.95,2022-11-16,2149354
273.15,274.45,266.45,267.5,2022-11-17,709876
267.0,268.6,257.0,262.25,2022-11-18,1344153
262.25,268.2,258.15,267.35,2022-11-21,859123
265.85,270.85,264.5,269.75,2022-11-22,1131094
268.25,273.5,268.25,271.55,2022-11-23,1499518
272.45,280.9,271.25,277.7,2022-11-24,3239615
278.85,283.4,278.25,281.15,2022-11-25,1379359
280.0,283.75,278.35,281.85,2022-11-28,1232761
280.0,282.5,279.5,279.85,2022-11-29,833554
280.0,280.9,274.4,279.6,2022-11-30,1343071
280.0,281.25,276.95,279.4,2022-12-01,1626316
275.4,280.3,275.4,278.15,2022-12-02,687427
278.15,283.2,277.55,281.05,2022-12-05,2835969
281.0,287.2,279.15,280.7,2022-12-06,1037096
280.9,283.65,278.0,281.2,2022-12-07,629680
282.5,282.5,275.15,276.15,2022-12-08,625606
277.25,280.0,272.1,276.0,2022-12-09,1121418
277.05,282.55,276.5,281.8,2022-12-12,1592165
282.35,287.4,281.35,284.7,2022-12-13,1822476
285.0,288.0,280.5,281.9,2022-12-14,1039282
282.95,284.9,278.0,279.0,2022-12-15,710114
279.45,279.8,274.5,278.3,2022-12-16,888448
279.65,279.65,272.5,275.05,2022-12-19,840913
274.9,277.5,266.75,269.55,2022-12-20,2189957
269.8,271.35,261.5,262.6,2022-12-21,1497887
262.9,265.0,254.65,256.25,2022-12-22,1766836
250.1,256.25,250.0,251.65,2022-12-23,2087026
251.15,257.95,247.55,256.6,2022-12-26,904210
257.9,265.5,254.8,263.45,2022-12-27,1144158
263.4,270.9,262.1,267.55,2022-12-28,816506
268.0,270.4,265.0,266.7,2022-12-29,426656
267.95,272.35,263.9,270.3,2022-12-30,919336
267.0,273.0,265.0,270.6,2023-01-02,1512754
275.95,275.95,269.0,274.2,2023-01-03,753832
275.25,277.1,270.0,274.3,2023-01-04,1018706
272.5,273.9,269.0,270.9,2023-01-05,953714
270.05,271.2,267.2,270.0,2023-01-06,721930
272.0,291.4,271.1,289.45,2023-01-09,6464804
286.5,298.6,285.5,289.8,2023-01-10,4651066
291.0,300.0,288.0,299.2,2023-01-11,4627649
300.7,305.0,293.2,295.1,2023-01-12,3568679
296.5,310.7,295.9,308.55,2023-01-13,5903809
311.3,315.4,300.1,302.0,2023-01-16,4344439
303.3,310.2,301.75,305.65,2023-01-17,3243763
307.0,310.95,303.1,308.35,2023-01-18,2775644
308.4,315.3,307.55,313.85,2023-01-19,4884677
315.0,315.05,310.1,312.75,2023-01-20,2704855
312.7,313.25,297.0,303.55,2023-01-23,2595157
304.85,308.3,294.0,299.35,2023-01-24,2343669
299.0,311.8,297.0,300.4,2023-01-25,3645017
300.0,306.25,286.5,298.4,2023-01-27,3339589
299.1,305.8,298.55,301.75,2023-01-30,3383826
304.0,306.5,298.15,302.45,2023-01-31,1912210
303.85,306.0,291.55,302.4,2023-02-01,2732882
303.45,308.3,300.05,306.1,2023-02-02,1711354
307.0,310.5,303.9,309.25,2023-02-03,3179890
308.0,310.0,306.1,307.4,2023-02-06,2066418
308.95,319.5,307.85,315.3,2023-02-07,3715973
316.1,319.45,315.0,316.45,2023-02-08,1538187
316.35,316.35,306.05,311.45,2023-02-09,2591230
321.15,333.0,318.2,327.85,2023-02-10,7281913
328.8,335.25,328.0,334.45,2023-02-13,4193247
334.0,338.6,333.3,335.75,2023-02-14,3557133
334.95,336.35,315.45,320.75,2023-02-15,4085177
322.95,327.45,321.5,323.75,2023-02-16,4072105
320.95,325.75,317.5,320.15,2023-02-17,2437429
319.95,323.8,314.0,317.0,2023-02-20,7742141
316.3,324.35,315.05,319.9,2023-02-21,3231711
318.75,320.8,312.0,314.4,2023-02-22,2921934
315.7,320.5,312.65,314.2,2023-02-23,3645631
315.75,319.85,313.0,314.85,2023-02-24,3877334
314.4,319.75,308.4,310.9,2023-02-27,3505642
315.0,318.8,298.8,305.25,2023-02-28,78490279
300.0,309.6,299.15,306.8,2023-03-01,1547803
308.9,309.8,291.0,300.05,2023-03-02,3935281
302.0,306.0,296.1,300.75,2023-03-03,2251488
301.0,301.6,294.05,298.35,2023-03-06,1748045
298.7,305.4,297.0,301.3,2023-03-08,2094412
301.65,304.8,295.1,297.05,2023-03-09,1812978
295.85,302.0,294.0,297.35,2023-03-10,2168497
296.85,298.2,286.8,290.95,2023-03-13,2083004
290.0,298.2,280.75,293.0,2023-03-14,2059502
293.2,299.7,289.1,292.2,2023-03-15,1559818
292.95,294.0,283.5,290.8,2023-03-16,1772334
292.05,293.45,286.0,289.15,2023-03-17,1801010
285.5,291.0,276.65,286.85,2023-03-20,2344438
288.35,298.95,288.35,296.3,2023-03-21,2262931
297.8,299.8,292.2,293.9,2023-03-22,796707
292.95,298.9,292.15,296.3,2023-03-23,1145571
296.0,296.85,286.1,288.75,2023-03-24,1060023
290.0,291.9,284.1,287.7,2023-03-27,1469877
289.35,291.45,283.25,289.55,2023-03-28,1100200
289.0,308.05,287.4,305.05,2023-03-29,2925120
307.6,307.6,297.55,300.05,2023-03-31,2761619
303.0,304.8,295.6,296.7,2023-04-03,1250839
294.05,297.0,289.1,290.5,2023-04-05,2588114
290.5,292.35,290.0,290.7,2023-04-06,876239
290.1,291.3,286.85,288.05,2023-04-10,2150819
288.15,295.5,286.8,294.55,2023-04-11,1144355
295.0,303.0,292.75,301.25,2023-04-12,1163685
302.0,306.0,296.5,298.0,2023-04-13,1467802
299.0,305.5,298.05,301.1,2023-04-17,1662067
303.0,304.95,300.5,303.85,2023-04-18,913636
303.85,303.9,296.3,298.6,2023-04-19,593807
299.5,302.1,295.35,300.15,2023-04-20,756569
298.0,304.0,294.3,302.8,2023-04-21,908853
304.0,304.4,300.25,302.45,2023-04-24,561124
302.9,307.35,299.1,306.15,2023-04-25,1323830
306.15,310.8,302.7,308.75,2023-04-26,2238883
309.25,310.2,303.0,307.75,2023-04-27,1138840
307.75,310.8,303.8,308.85,2023-04-28,1189908
308.0,311.35,305.25,306.85,2023-05-02,999558
306.8,316.4,305.1,311.8,2023-05-03,2687959
313.65,315.8,309.0,311.25,2023-05-04,791174
308.7,311.25,303.5,305.55,2023-05-05,1842407
306.75,314.15,290.0,312.35,2023-05-08,3569790
315.5,323.4,309.3,320.5,2023-05-09,3493120
323.0,325.0,315.0,315.85,2023-05-10,1526594
316.7,329.0,316.45,327.0,2023-05-11,4777643
326.3,335.0,322.85,332.35,2023-05-12,4621280
330.3,341.5,329.05,332.15,2023-05-15,3198066
332.0,344.7,331.0,338.45,2023-05-16,3037654
338.45,340.4,332.45,336.4,2023-05-17,1454973
339.0,339.8,334.65,336.65,2023-05-18,778622
338.25,344.75,333.25,340.65,2023-05-19,1280319
340.95,354.6,339.1,353.0,2023-05-22,3438288
351.65,362.0,351.1,357.4,2023-05-23,2640866
356.0,365.55,354.55,364.3,2023-05-24,1791179
363.85,375.0,358.45,373.25,2023-05-25,3876292
375.1,389.25,373.3,387.0,2023-05-26,3040632
388.9,395.3,378.0,383.75,2023-05-29,2939627
383.35,388.7,375.55,385.9,2023-05-30,3152139
385.9,397.8,382.0,392.85,2023-05-31,6088536
392.75,394.3,386.2,388.55,2023-06-01,3435479
390.55,392.0,378.1,380.85,2023-06-02,1858421
380.85,383.25,377.6,381.45,2023-06-05,3094541
381.0,382.65,373.0,374.6,2023-06-06,944775
376.65,380.6,369.0,370.1,2023-06-07,1354189
372.2,377.0,371.1,375.05,2023-06-08,1331695
375.0,389.0,374.25,379.95,2023-06-09,1529117
382.0,384.8,376.05,377.85,2023-06-12,835240
377.85,383.9,375.85,382.4,2023-06-13,1074668
383.9,384.0,376.1,378.1,2023-06-14,1358222
377.4,381.0,376.35,378.3,2023-06-15,691330
379.4,380.95,373.6,377.1,2023-06-16,1256088
377.0,380.25,362.4,364.5,2023-06-19,4434760
366.9,371.0,363.4,366.8,2023-06-20,2131374
369.0,379.75,367.95,377.15,2023-06-21,1625233
377.45,379.4,371.05,372.6,2023-06-22,615591
373.35,373.35,364.4,368.8,2023-06-23,1167160
370.0,374.8,367.15,373.9,2023-06-26,1703097
374.0,378.75,371.0,373.3,2023-06-27,629123
375.0,377.8,371.3,374.45,2023-06-28,648521
376.25,379.95,374.6,378.5,2023-06-30,875942
379.95,383.9,375.6,378.9,2023-07-03,802497
379.9,381.8,375.25,379.05,2023-07-04,557086
378.5,385.0,378.0,384.15,2023-07-05,1237128
385.0,395.0,384.3,390.25,2023-07-06,2410088
392.35,393.85,384.7,386.45,2023-07-07,1208758
386.45,389.8,379.9,388.65,2023-07-10,1894464
389.85,400.0,386.95,399.05,2023-07-11,2580097
403.5,407.65,401.75,405.85,2023-07-12,1785862
406.9,408.45,401.5,403.95,2023-07-13,1165892
404.5,410.0,397.05,408.75,2023-07-14,1226202
410.9,410.9,405.0,406.9,2023-07-17,615003
409.0,424.0,405.05,422.7,2023-07-18,2378567
424.05,424.65,414.1,417.4,2023-07-19,1570254
419.1,419.4,411.0,412.3,2023-07-20,933152
413.0,414.0,404.1,408.05,2023-07-21,1047371
408.0,412.5,400.05,401.85,2023-07-24,1076880
404.8,409.8,398.5,399.5,2023-07-25,981046
400.0,408.0,398.0,400.45,2023-07-26,1935916
403.6,404.8,391.2,396.8,2023-07-27,3611506
403.85,407.3,395.0,403.75,2023-07-28,2271602
403.75,404.95,398.25,402.05,2023-07-31,1147205
401.0,410.05,394.1,408.0,2023-08-01,1740052
409.35,412.35,402.05,407.4,2023-08-02,1243991
409.05,413.1,404.15,406.3,2023-08-03,1014133
409.2,412.45,403.6,408.05,2023-08-04,846840
410.0,411.9,403.0,404.9,2023-08-07,562836
404.0,408.9,402.85,407.95,2023-08-08,813604
408.5,409.7,402.2,403.85,2023-08-09,725021
404.0,406.8,400.0,401.4,2023-08-10,687611
403.65,404.9,401.0,403.95,2023-08-11,1438246
403.95,407.25,398.9,401.7,2023-08-14,683453
401.5,413.65,401.0,408.3,2023-08-16,1491227
409.0,425.5,405.95,412.4,2023-08-17,2523108
414.5,432.0,414.0,429.65,2023-08-18,3336542
435.0,435.0,421.0,423.1,2023-08-21,1875220
426.0,427.9,419.25,424.95,2023-08-22,929212
424.95,427.45,414.0,417.0,2023-08-23,879842
419.95,420.0,412.25,414.75,2023-08-24,847091
414.45,421.4,412.45,417.95,2023-08-25,1138594
420.0,420.95,408.6,410.6,2023-08-28,1116505
412.5,412.65,405.1,406.8,2023-08-29,1068508
408.45,412.4,407.25,409.4,2023-08-30,864442
411.95,435.0,411.0,429.35,2023-08-31,7965798
424.9,426.0,416.6,423.95,2023-09-01,2190945
426.6,440.0,420.55,434.95,2023-09-04,2935598
439.95,449.95,433.0,437.45,2023-09-05,3817208
437.45,438.3,429.7,431.6,2023-09-06,1013008
434.2,449.95,433.0,448.7,2023-09-07,2409688
450.95,459.7,450.55,455.25,2023-09-08,2587763
458.2,458.4,445.0,451.35,2023-09-11,1000599
454.95,454.95,434.0,440.4,2023-09-12,1853376
439.0,452.0,420.0,443.4,2023-09-13,2121602
446.0,446.5,434.15,444.85,2023-09-14,1765008
447.25,454.7,432.0,436.2,2023-09-15,4031729
439.7,442.95,432.8,439.1,2023-09-18,1275521
439.05,440.0,430.3,431.6,2023-09-20,1273080
432.0,437.45,425.15,429.5,2023-09-21,1102266
429.8,443.0,422.6,440.5,2023-09-22,1515418
441.7,441.95,431.55,434.45,2023-09-25,1065899
436.75,445.0,431.4,438.0,2023-09-26,1041825
440.35,443.9,433.8,438.05,2023-09-27,906069
438.05,448.6,433.05,436.5,2023-09-28,2089040
438.6,446.7,436.8,442.2,2023-09-29,1068454
442.2,446.9,438.1,444.35,2023-10-03,871947
445.75,446.0,429.0,432.0,2023-10-04,1085420
436.0,436.85,424.55,426.0,2023-10-05,904761
429.5,430.45,417.05,418.75,2023-10-06,1673711
417.95,419.55,411.45,413.25,2023-10-09,898022
413.25,418.0,410.9,411.95,2023-10-10,652483
416.75,416.75,401.0,404.45,2023-10-11,2063963
405.0,408.0,393.05,399.75,2023-10-12,5297532
400.45,402.45,395.0,396.25,2023-10-13,1405103
396.25,399.05,388.0,393.15,2023-10-16,1277647
394.25,397.3,390.2,392.35,2023-10-17,1729180
392.7,399.8,385.2,386.9,2023-10-18,1642283
386.8,389.4,371.0,380.4,2023-10-19,3327160
383.0,399.0,376.25,394.25,2023-10-20,4679204
400.0,406.9,378.55,384.0,2023-10-23,3261076
389.0,394.0,367.95,372.35,2023-10-25,2423091
375.0,376.1,359.2,371.6,2023-10-26,2225309
375.0,387.9,375.0,384.4,2023-10-27,1827772
387.8,394.2,383.05,391.15,2023-10-30,1341022
395.0,397.5,388.4,390.1,2023-10-31,1175211
390.1,391.35,376.2,383.05,2023-11-01,1278270
384.5,388.6,381.15,383.7,2023-11-02,568672
387.5,387.5,378.0,380.2,2023-11-03,1744286
381.85,385.0,370.95,376.6,2023-11-06,1313908
376.7,390.8,376.7,388.25,2023-11-07,1021467
392.5,398.8,381.3,382.65,2023-11-08,1239559
386.4,386.9,378.9,383.65,2023-11-09,2752128
386.25,389.55,379.6,388.55,2023-11-10,1117609
392.0,393.65,387.0,387.8,2023-11-12,164362
387.7,390.0,380.5,382.65,2023-11-13,1369804
388.4,397.5,379.0,394.3,2023-11-15,1998162
394.3,401.2,387.3,398.15,2023-11-16,2327265
400.8,400.95,387.0,389.15,2023-11-17,1475072
389.65,396.25,382.55,394.25,2023-11-20,1127292
395.1,395.8,389.1,391.15,2023-11-21,948157
389.65,469.35,386.0,469.35,2023-11-22,15951070
498.0,503.45,455.35,460.3,2023-11-23,23771976
467.25,471.15,427.3,429.15,2023-11-24,6433058
433.0,437.4,410.1,431.5,2023-11-28,10684488
431.5,449.95,429.0,439.25,2023-11-29,4005149
440.05,454.9,438.55,449.4,2023-11-30,4490610
453.9,458.9,443.15,455.95,2023-12-01,2797416
459.95,472.25,459.0,470.0,2023-12-04,2981176
474.0,474.5,463.0,473.25,2023-12-05,2477611
475.0,476.3,451.95,453.75,2023-12-06,1854358
458.5,463.7,448.5,456.3,2023-12-07,1537747
458.1,460.45,446.5,454.85,2023-12-08,3163081
454.85,455.7,446.5,451.0,2023-12-11,1641400
451.0,452.8,445.0,448.3,2023-12-12,1706411
445.6,466.0,440.0,456.8,2023-12-13,3118861
464.95,475.35,453.8,465.9,2023-12-14,2983562
464.45,464.45,455.1,459.65,2023-12-15,2226438
463.75,468.0,455.0,456.55,2023-12-18,1695602
456.5,459.0,447.0,455.8,2023-12-19,1978035
458.9,458.9,442.05,448.9,2023-12-20,3052726
442.0,459.0,436.05,456.1,2023-12-21,1622890
462.65,469.75,456.55,466.7,2023-12-22,2491966
470.0,473.0,461.0,465.3,2023-12-26,1041127
468.9,468.9,457.0,458.15,2023-12-27,785764
458.4,463.4,450.05,452.35,2023-12-28,1317438
455.0,459.9,448.35,454.4,2023-12-29,1367257
