open,high,low,close,date,volume
414.15,416.1,408.15,416.1,2022-09-29,66677
420.0,426.95,401.05,410.2,2022-09-30,32897
407.95,410.0,389.7,389.95,2022-10-03,21448
389.95,409.4,382.8,409.4,2022-10-04,23600
420.0,429.85,415.15,429.85,2022-10-06,10544
451.3,451.3,423.0,426.95,2022-10-07,96585
408.5,423.4,408.45,410.15,2022-10-10,35439
422.0,430.65,410.0,414.9,2022-10-11,49051
410.25,422.95,397.3,412.7,2022-10-12,30817
419.85,419.9,398.1,411.35,2022-10-13,20681
418.0,427.9,415.0,418.25,2022-10-14,30258
415.0,423.95,398.4,401.2,2022-10-17,20857
410.0,410.0,384.0,395.4,2022-10-18,29201
399.45,404.0,385.0,387.05,2022-10-19,15002
385.1,388.55,367.7,368.6,2022-10-20,67937
368.7,373.95,350.2,350.2,2022-10-21,49621
340.0,348.0,332.7,332.7,2022-10-24,20359
332.7,349.3,316.1,349.3,2022-10-25,67526
357.0,366.75,355.15,366.75,2022-10-27,19833
385.05,385.05,370.15,385.05,2022-10-28,37747
392.95,392.95,365.8,365.8,2022-10-31,62548
365.8,384.05,351.4,367.25,2022-11-01,28461
375.0,379.9,365.0,370.55,2022-11-02,17151
366.85,371.95,352.05,355.05,2022-11-03,33640
338.0,348.0,337.3,337.3,2022-11-04,80374
337.0,342.8,325.1,329.6,2022-11-07,27059
334.45,345.8,318.5,320.0,2022-11-09,26932
313.2,319.0,305.15,310.85,2022-11-10,22042
310.2,316.45,295.35,296.5,2022-11-11,33959
291.5,311.3,282.7,309.3,2022-11-14,86793
306.05,308.0,295.55,297.35,2022-11-15,34020
297.35,304.0,290.0,293.1,2022-11-16,29669
299.0,307.45,290.3,294.15,2022-11-17,38832
287.35,304.5,287.35,295.1,2022-11-18,11168
298.35,300.0,290.7,294.3,2022-11-21,10297
295.2,309.0,291.1,309.0,2022-11-22,52140
313.9,322.0,311.55,317.4,2022-11-23,38414
317.55,325.8,307.1,308.4,2022-11-24,15075
304.0,307.95,301.05,301.35,2022-11-25,9885
304.95,305.85,297.0,299.75,2022-11-28,23939
303.0,303.0,295.0,299.35,2022-11-29,14073
303.8,305.0,299.35,302.45,2022-11-30,11785
303.45,305.0,299.0,301.3,2022-12-01,11404
301.3,316.35,298.6,309.6,2022-12-02,34790
314.3,315.0,310.5,314.0,2022-12-05,16588
317.9,317.9,305.95,314.4,2022-12-06,19400
318.0,318.0,305.0,306.3,2022-12-07,6479
311.45,314.0,292.6,298.2,2022-12-08,17197
295.5,309.0,295.5,303.75,2022-12-09,16491
306.0,318.9,303.7,311.2,2022-12-12,36892
317.8,317.8,306.05,311.65,2022-12-13,15753
315.9,315.9,308.3,309.45,2022-12-14,8310
308.0,314.0,303.95,305.5,2022-12-15,10715
304.0,306.0,300.0,300.35,2022-12-16,7808
301.3,311.65,300.5,303.95,2022-12-19,11234
302.0,307.95,300.0,300.5,2022-12-20,4663
301.05,307.0,285.5,285.5,2022-12-21,17134
293.9,293.9,271.25,271.25,2022-12-22,23818
258.55,268.0,257.7,257.7,2022-12-23,30355
252.0,268.35,245.35,262.5,2022-12-26,37616
266.5,275.6,264.05,273.35,2022-12-27,19510
275.0,287.0,274.4,285.3,2022-12-28,16390
280.1,288.0,271.05,280.15,2022-12-29,15015
283.35,287.9,280.0,282.25,2022-12-30,10051
282.3,291.0,282.3,286.8,2023-01-02,10010
295.0,295.0,287.25,289.15,2023-01-03,6574
286.0,294.9,281.9,282.5,2023-01-04,5728
292.0,292.0,274.1,277.75,2023-01-05,8142
276.0,284.45,276.0,277.85,2023-01-06,5450
277.4,284.95,277.35,279.95,2023-01-09,10214
280.05,280.95,274.55,275.55,2023-01-10,5193
282.9,282.9,274.0,275.65,2023-01-11,2834
275.7,279.9,275.7,277.55,2023-01-12,4724
283.0,283.0,273.0,274.7,2023-01-13,4153
272.0,274.6,270.55,271.05,2023-01-16,3888
277.85,278.9,268.0,275.2,2023-01-17,5556
275.05,282.5,272.0,273.9,2023-01-18,4880
272.0,277.4,266.7,268.9,2023-01-19,4997
276.75,276.75,264.95,267.3,2023-01-20,10119
265.2,275.0,265.0,266.7,2023-01-23,8753
265.7,270.85,258.1,261.05,2023-01-24,5071
264.0,264.0,256.0,256.2,2023-01-25,5088
254.0,258.95,244.0,253.5,2023-01-27,6185
245.25,258.25,245.25,248.9,2023-01-30,7331
246.3,257.0,246.3,254.45,2023-01-31,6842
260.0,260.0,247.0,251.65,2023-02-01,8841
250.8,262.35,245.0,251.4,2023-02-02,12367
250.55,259.05,245.7,249.0,2023-02-03,6389
255.0,255.0,248.85,253.35,2023-02-06,5275
258.2,278.65,245.6,275.45,2023-02-07,28161
294.0,302.0,270.4,273.75,2023-02-08,120926
274.8,276.95,263.0,264.2,2023-02-09,27687
263.0,290.6,261.55,290.6,2023-02-10,36428
306.0,306.0,293.0,296.7,2023-02-13,48424
296.7,299.0,283.15,286.95,2023-02-14,16533
291.25,291.95,280.15,283.2,2023-02-15,10491
287.45,296.45,281.0,283.5,2023-02-16,12748
282.0,292.6,278.1,282.55,2023-02-17,14953
285.4,286.0,280.0,283.1,2023-02-20,8175
280.0,286.25,278.6,280.0,2023-02-21,6560
280.1,284.0,274.2,275.7,2023-02-22,16154
280.0,282.95,270.05,274.3,2023-02-23,15384
276.85,281.8,270.0,272.7,2023-02-24,17547
276.0,281.95,265.0,272.1,2023-02-27,11716
278.95,278.95,260.0,264.15,2023-02-28,6996
264.0,274.8,261.0,265.5,2023-03-01,7185
265.5,270.0,260.0,264.55,2023-03-02,7614
273.95,273.95,265.15,267.3,2023-03-03,7158
270.0,277.45,267.0,271.75,2023-03-06,12318
272.0,273.45,266.1,269.9,2023-03-08,11968
276.9,276.9,261.05,263.45,2023-03-09,14109
266.85,266.85,259.0,263.95,2023-03-10,8911
265.95,266.4,255.3,257.05,2023-03-13,16099
257.05,261.75,251.1,253.1,2023-03-14,10512
250.2,259.85,246.0,248.5,2023-03-15,11075
250.0,250.0,234.0,239.7,2023-03-16,18021
244.7,245.9,240.6,241.65,2023-03-17,8171
241.2,241.2,226.0,230.85,2023-03-20,16391
232.2,240.0,226.05,235.1,2023-03-21,26153
240.0,240.0,228.0,235.45,2023-03-22,27947
234.85,235.0,230.05,232.1,2023-03-23,37234
231.15,234.4,218.1,222.4,2023-03-24,15845
225.0,225.8,216.25,216.7,2023-03-27,10539
223.4,223.6,214.5,217.35,2023-03-28,37893
220.35,222.55,213.05,217.85,2023-03-29,26013
217.0,229.45,217.0,226.25,2023-03-31,29798
226.0,248.85,224.85,248.85,2023-04-03,19407
266.8,273.7,255.2,273.7,2023-04-05,37323
286.0,288.0,255.05,268.85,2023-04-06,58717
273.4,278.0,258.0,262.6,2023-04-10,19432
267.45,272.95,260.0,260.85,2023-04-11,17315
264.0,286.9,256.6,286.9,2023-04-12,57571
288.65,300.0,281.55,296.45,2023-04-13,83651
296.45,301.95,286.5,288.9,2023-04-17,27466
291.1,299.0,289.05,292.35,2023-04-18,15558
293.05,297.65,273.05,276.9,2023-04-19,25351
281.05,285.7,275.3,279.3,2023-04-20,16729
283.45,283.45,274.2,277.05,2023-04-21,12175
277.7,284.2,275.6,276.8,2023-04-24,10421
278.5,280.0,265.05,270.0,2023-04-25,11960
271.0,279.95,271.0,276.45,2023-04-26,12525
279.85,279.85,275.65,277.2,2023-04-27,4870
278.5,281.75,275.5,276.9,2023-04-28,10753
277.9,280.9,276.15,278.35,2023-05-02,12841
275.0,278.0,273.0,274.8,2023-05-03,7551
276.45,277.95,273.05,276.95,2023-05-04,6253
276.95,277.75,265.15,272.25,2023-05-05,15595
275.0,277.95,271.0,272.45,2023-05-08,16487
275.0,293.95,275.0,286.9,2023-05-09,59734
