open,high,low,close,date,volume
551.75,554.2,536.0,540.0,2022-09-29,125725
531.9,558.8,524.35,552.95,2022-09-30,156599
555.0,556.9,541.0,543.95,2022-10-03,92806
548.05,554.0,541.6,547.3,2022-10-04,100836
550.0,551.4,540.0,541.9,2022-10-06,35502
541.0,546.1,535.4,540.0,2022-10-07,132811
537.0,540.0,530.2,532.5,2022-10-10,42077
534.95,536.5,516.6,526.3,2022-10-11,60362
527.25,534.3,521.3,525.15,2022-10-12,24448
522.1,549.7,522.1,547.95,2022-10-13,145295
551.0,563.05,536.65,541.75,2022-10-14,54466
544.35,549.85,533.35,536.6,2022-10-17,118889
538.85,554.35,537.0,546.85,2022-10-18,123619
549.6,558.0,547.55,552.0,2022-10-19,94868
554.5,584.4,552.05,576.95,2022-10-20,307710
591.0,594.0,553.4,568.65,2022-10-21,387672
589.0,597.0,570.0,588.45,2022-10-24,117643
589.0,629.0,576.7,617.2,2022-10-25,477819
625.0,633.0,610.6,618.15,2022-10-27,214775
621.0,628.15,612.0,616.2,2022-10-28,203224
620.1,632.5,616.8,624.05,2022-10-31,244936
625.8,627.45,617.9,624.65,2022-11-01,119719
619.55,624.8,612.0,615.05,2022-11-02,69470
618.05,618.05,592.35,595.95,2022-11-03,82036
597.45,599.4,588.55,592.85,2022-11-04,67625
590.1,605.3,586.25,588.95,2022-11-07,76300
588.95,592.0,572.8,576.6,2022-11-09,142954
576.0,590.0,573.05,585.95,2022-11-10,128449
590.0,604.0,578.9,581.05,2022-11-11,151310
581.5,589.55,568.4,572.95,2022-11-14,110307
577.2,585.5,570.0,576.75,2022-11-15,112977
579.45,582.4,565.0,569.65,2022-11-16,58674
566.1,580.5,566.1,569.75,2022-11-17,73166
572.0,572.0,557.5,560.75,2022-11-18,66034
557.3,558.0,527.0,530.15,2022-11-21,119307
535.4,540.4,524.2,538.55,2022-11-22,83032
538.55,542.9,534.0,535.7,2022-11-23,19397
538.35,544.25,535.05,537.65,2022-11-24,47414
539.95,542.5,532.5,537.1,2022-11-25,79251
539.5,539.5,517.5,520.15,2022-11-28,69450
520.15,534.7,516.3,527.7,2022-11-29,96849
526.0,540.0,521.65,529.2,2022-11-30,96625
531.8,536.2,527.55,529.7,2022-12-01,74273
532.35,553.95,531.45,546.95,2022-12-02,67780
548.75,564.2,545.0,556.75,2022-12-05,214680
555.2,566.4,551.0,554.25,2022-12-06,117827
557.05,557.05,544.55,550.0,2022-12-07,18232
580.0,580.0,545.1,552.7,2022-12-08,66062
552.7,555.4,532.9,546.4,2022-12-09,56565
546.4,555.2,540.25,552.35,2022-12-12,194501
555.15,555.15,542.05,545.25,2022-12-13,50000
546.15,552.0,539.2,541.85,2022-12-14,91319
543.75,555.0,540.1,552.2,2022-12-15,142656
552.95,554.7,544.0,548.85,2022-12-16,143103
548.0,552.4,541.0,543.95,2022-12-19,173500
544.95,549.7,541.0,548.65,2022-12-20,26552
543.15,550.4,535.0,539.5,2022-12-21,182885
542.2,542.2,527.15,537.55,2022-12-22,46620
537.55,537.55,525.0,527.75,2022-12-23,38192
530.4,537.4,526.35,534.65,2022-12-26,32505
537.3,537.4,528.1,530.3,2022-12-27,116969
532.9,533.0,526.9,528.75,2022-12-28,113655
530.55,531.35,526.3,528.3,2022-12-29,143056
530.95,541.75,522.35,527.2,2022-12-30,36397
529.85,550.0,525.5,547.2,2023-01-02,115575
540.35,570.0,540.0,566.25,2023-01-03,137027
568.0,575.0,563.0,572.2,2023-01-04,43376
570.05,578.5,569.0,573.25,2023-01-05,31771
576.15,576.15,553.55,560.0,2023-01-06,91671
565.0,565.0,551.45,558.0,2023-01-09,65455
558.0,564.0,553.0,560.85,2023-01-10,179562
560.9,580.0,558.35,570.45,2023-01-11,246917
568.0,569.65,553.0,557.7,2023-01-12,49628
557.75,570.5,552.5,566.35,2023-01-13,47773
565.95,566.0,543.95,548.5,2023-01-16,43526
547.0,554.5,540.1,549.15,2023-01-17,87980
549.15,568.4,547.0,559.9,2023-01-18,110743
558.0,573.6,558.0,567.9,2023-01-19,156165
568.05,576.45,563.0,568.9,2023-01-20,105564
575.85,584.5,571.15,579.65,2023-01-23,129290
579.65,589.0,577.0,579.1,2023-01-24,40618
580.05,581.9,574.55,578.05,2023-01-25,34869
573.0,588.1,573.0,580.4,2023-01-27,82610
583.1,603.45,579.5,599.15,2023-01-30,135817
607.5,610.0,595.1,603.9,2023-01-31,121514
620.0,624.9,605.55,612.0,2023-02-01,328806
616.0,638.4,608.15,618.5,2023-02-02,198244
626.9,627.75,598.85,607.55,2023-02-03,149002
610.6,618.9,601.5,603.8,2023-02-06,61614
611.0,615.1,598.0,602.55,2023-02-07,55794
603.35,625.8,603.35,622.75,2023-02-08,126221
622.75,712.0,618.65,686.05,2023-02-09,897959
693.6,704.0,662.45,671.85,2023-02-10,381225
673.0,705.0,673.0,698.25,2023-02-13,325690
704.0,715.0,692.25,709.3,2023-02-14,248196
713.0,718.4,700.0,704.4,2023-02-15,137224
709.9,720.0,698.0,714.65,2023-02-16,144689
714.65,733.7,708.7,726.4,2023-02-17,325756
731.95,732.0,704.0,706.1,2023-02-20,136436
706.1,718.0,704.65,709.3,2023-02-21,112625
708.05,719.5,694.0,703.55,2023-02-22,78890
707.0,714.4,699.9,705.1,2023-02-23,44927
708.65,727.0,706.55,710.5,2023-02-24,157248
714.0,714.1,698.0,708.15,2023-02-27,107637
701.05,713.25,701.05,703.1,2023-02-28,94753
710.85,725.0,701.65,718.4,2023-03-01,165309
719.05,719.95,700.0,707.6,2023-03-02,131978
712.9,758.5,708.0,749.05,2023-03-03,524786
772.0,789.85,766.15,778.95,2023-03-06,458505
778.7,797.45,771.05,789.35,2023-03-08,222328
790.0,794.7,767.3,769.85,2023-03-09,128345
762.0,793.2,751.55,782.05,2023-03-10,173664
775.1,781.45,751.1,758.35,2023-03-13,132910
758.35,791.0,742.25,784.65,2023-03-14,194779
801.0,805.0,765.6,784.15,2023-03-15,202874
779.95,787.0,768.1,771.45,2023-03-16,80751
774.75,785.05,765.0,769.0,2023-03-17,118372
770.05,776.0,748.55,757.6,2023-03-20,82838
766.0,769.95,743.0,745.7,2023-03-21,65834
753.0,797.9,751.2,785.7,2023-03-22,360381
776.0,784.0,753.95,758.35,2023-03-23,114840
758.0,768.85,755.0,765.3,2023-03-24,147197
767.4,769.15,721.1,732.85,2023-03-27,176536
730.0,742.4,709.2,713.75,2023-03-28,180332
590.0,744.9,590.0,737.2,2023-03-29,296116
738.0,754.55,732.6,746.0,2023-03-31,64273
762.0,815.0,748.85,796.65,2023-04-03,286224
807.05,811.45,780.6,794.65,2023-04-05,246229
795.0,811.8,782.65,792.7,2023-04-06,72464
794.85,800.4,775.0,780.35,2023-04-10,64612
785.0,825.9,774.0,818.75,2023-04-11,245953
826.95,836.5,812.75,820.6,2023-04-12,119775
824.0,835.05,800.0,820.2,2023-04-13,42462
813.0,818.25,788.6,792.75,2023-04-17,88592
798.3,800.7,740.0,759.6,2023-04-18,209082
759.9,808.8,749.0,791.9,2023-04-19,151463
795.0,805.5,778.6,802.4,2023-04-20,77310
809.9,810.0,789.25,794.9,2023-04-21,68381
798.0,812.0,784.8,799.5,2023-04-24,92688
807.0,807.95,790.0,794.0,2023-04-25,64683
789.9,815.0,788.35,796.95,2023-04-26,111931
804.0,838.8,798.55,823.1,2023-04-27,198748
827.45,865.0,824.8,863.4,2023-04-28,345042
870.0,885.0,852.55,862.65,2023-05-02,200079
860.0,881.65,815.1,875.75,2023-05-03,399421
880.0,888.5,867.35,876.75,2023-05-04,109491
876.75,895.9,868.5,879.05,2023-05-05,148658
887.0,907.7,882.0,884.1,2023-05-08,156621
895.0,897.4,860.0,867.95,2023-05-09,99504
870.0,880.0,860.9,867.35,2023-05-10,74135
867.4,878.95,860.0,864.1,2023-05-11,88242
861.0,875.0,856.0,867.5,2023-05-12,41305
876.0,880.5,855.8,863.1,2023-05-15,42496
874.0,874.0,845.0,849.9,2023-05-16,57461
848.0,850.45,825.0,833.5,2023-05-17,115896
835.05,843.95,809.45,814.0,2023-05-18,135082
820.0,864.0,805.55,852.6,2023-05-19,191062
859.5,860.5,836.35,844.0,2023-05-22,66302
848.0,871.0,844.4,855.95,2023-05-23,99510
