open,high,low,close,date,volume
271.0,274.25,268.1,269.85,2022-09-29,87877
268.0,273.6,265.2,271.5,2022-09-30,137202
271.4,290.0,270.0,282.9,2022-10-03,1044492
290.0,295.7,272.0,285.65,2022-10-04,687152
289.45,297.9,285.2,296.1,2022-10-06,622171
298.5,309.7,289.25,306.9,2022-10-07,1462860
302.75,314.8,300.25,305.35,2022-10-10,689140
305.75,307.35,291.55,292.95,2022-10-11,377202
293.1,297.5,285.2,294.1,2022-10-12,225359
292.0,298.0,286.05,288.05,2022-10-13,161019
297.6,297.6,289.5,291.65,2022-10-14,228330
288.6,299.85,286.5,294.95,2022-10-17,225637
295.0,304.45,295.0,296.55,2022-10-18,253789
298.0,302.8,293.2,300.25,2022-10-19,388988
299.0,312.5,297.55,310.1,2022-10-20,708282
312.0,315.0,306.05,307.95,2022-10-21,456198
310.8,313.65,306.9,309.65,2022-10-24,118199
310.95,335.9,307.95,331.55,2022-10-25,2193454
334.6,337.5,326.0,331.95,2022-10-27,1021093
332.0,338.8,327.1,331.55,2022-10-28,512641
333.3,334.4,308.95,312.9,2022-10-31,562570
314.0,344.0,292.5,335.25,2022-11-01,3813321
336.0,349.5,326.0,336.5,2022-11-02,2770414
335.7,344.5,333.4,340.2,2022-11-03,1044822
344.9,344.9,333.0,336.75,2022-11-04,614263
339.5,340.95,324.0,329.65,2022-11-07,515522
330.5,341.95,328.65,335.65,2022-11-09,358297
331.65,339.95,330.0,335.85,2022-11-10,391187
341.0,343.95,330.8,333.35,2022-11-11,328658
335.0,341.95,332.55,335.9,2022-11-14,434959
338.3,352.3,325.45,329.15,2022-11-15,1445785
329.0,337.8,328.5,333.05,2022-11-16,3513285
345.0,348.9,337.55,345.15,2022-11-17,698811
348.95,355.55,337.3,339.3,2022-11-18,702884
340.0,344.5,333.9,336.9,2022-11-21,380146
338.45,341.85,336.0,339.7,2022-11-22,279639
341.0,342.0,335.2,336.1,2022-11-23,230253
337.9,341.2,333.1,336.85,2022-11-24,274298
337.85,338.8,330.0,333.65,2022-11-25,283836
334.05,336.0,330.0,333.7,2022-11-28,531182
333.95,339.9,329.2,332.4,2022-11-29,189788
333.4,335.25,326.6,331.6,2022-11-30,1086807
333.4,335.05,331.0,331.95,2022-12-01,156014
337.0,338.25,333.4,334.65,2022-12-02,464737
338.9,338.9,329.6,333.95,2022-12-05,426369
333.7,335.5,331.05,334.75,2022-12-06,197102
334.0,334.25,328.0,328.2,2022-12-07,126598
328.5,329.45,322.1,323.8,2022-12-08,130702
324.9,334.95,324.0,331.45,2022-12-09,401040
333.75,333.75,325.0,326.5,2022-12-12,123947
329.0,330.95,321.1,323.7,2022-12-13,150622
327.0,327.95,321.0,322.95,2022-12-14,134230
322.95,323.0,315.9,317.35,2022-12-15,145062
315.05,322.0,312.0,313.4,2022-12-16,148749
314.9,314.9,305.1,306.4,2022-12-19,221728
305.9,309.5,301.6,305.05,2022-12-20,119144
306.45,308.9,293.55,295.9,2022-12-21,494279
298.5,301.75,288.1,291.65,2022-12-22,308051
289.0,289.0,271.8,274.75,2022-12-23,307772
272.0,286.95,270.1,283.25,2022-12-26,220779
283.35,298.0,283.35,296.0,2022-12-27,208602
296.9,306.4,292.0,305.05,2022-12-28,196044
305.5,313.15,304.0,309.7,2022-12-29,325679
311.0,319.9,310.0,312.55,2022-12-30,225584
312.55,320.2,312.25,317.9,2023-01-02,146569
318.8,321.45,310.0,311.25,2023-01-03,194708
310.0,313.0,303.35,309.5,2023-01-04,333561
311.0,312.45,304.2,307.9,2023-01-05,142358
308.0,309.7,301.8,303.05,2023-01-06,106669
305.4,309.25,304.5,306.65,2023-01-09,84501
306.05,310.15,303.5,305.15,2023-01-10,89166
304.0,307.1,303.1,305.4,2023-01-11,89464
305.5,310.0,302.75,306.9,2023-01-12,116951
307.9,311.3,301.8,304.95,2023-01-13,142083
304.0,308.0,301.0,304.0,2023-01-16,102853
304.0,310.0,300.25,303.95,2023-01-17,430231
305.5,308.95,302.55,308.0,2023-01-18,99693
307.0,316.0,305.4,309.6,2023-01-19,362509
309.6,321.65,306.95,310.1,2023-01-20,358137
311.7,313.5,309.0,310.7,2023-01-23,214819
310.7,316.8,309.0,311.7,2023-01-24,312275
309.0,315.5,309.0,313.55,2023-01-25,256855
313.55,315.45,302.0,304.3,2023-01-27,167574
302.05,312.0,299.8,303.65,2023-01-30,167308
300.25,310.2,300.0,307.8,2023-01-31,173945
312.7,324.0,300.35,307.1,2023-02-01,1025038
308.7,315.0,302.5,303.3,2023-02-02,138538
304.9,312.6,302.85,310.4,2023-02-03,160850
310.4,319.65,309.45,312.9,2023-02-06,231183
315.0,315.0,299.25,301.15,2023-02-07,215034
300.0,301.45,289.4,298.9,2023-02-08,369305
300.25,303.3,299.65,300.85,2023-02-09,89014
301.95,302.4,296.3,300.95,2023-02-10,86433
300.25,303.65,291.05,292.15,2023-02-13,116840
293.6,293.6,285.25,287.75,2023-02-14,128453
289.2,299.7,282.95,296.0,2023-02-15,218363
297.6,303.3,290.15,294.7,2023-02-16,191077
294.65,297.0,291.3,295.1,2023-02-17,144663
295.1,297.15,288.3,289.5,2023-02-20,97644
289.5,294.7,286.0,292.95,2023-02-21,110365
288.0,291.95,285.0,286.45,2023-02-22,62831
286.45,290.9,282.0,287.55,2023-02-23,144308
287.55,290.4,279.3,280.1,2023-02-24,544376
280.5,283.95,275.6,277.2,2023-02-27,142592
280.0,290.9,274.05,285.8,2023-02-28,148635
287.3,287.3,280.55,283.95,2023-03-01,118498
287.95,288.9,284.5,286.3,2023-03-02,84477
287.8,294.05,286.05,290.95,2023-03-03,120336
295.3,295.65,287.45,293.1,2023-03-06,111283
293.1,297.9,292.7,296.05,2023-03-08,98138
297.0,298.1,289.0,290.45,2023-03-09,57677
290.45,294.05,287.65,291.6,2023-03-10,76380
290.0,294.8,273.85,281.25,2023-03-13,288878
282.2,285.45,275.15,277.05,2023-03-14,111803
285.0,285.45,276.05,282.45,2023-03-15,132880
279.8,286.95,275.45,284.5,2023-03-16,186979
284.9,288.1,281.0,286.35,2023-03-17,93085
281.25,286.7,275.2,282.45,2023-03-20,148497
283.0,286.95,281.0,285.85,2023-03-21,187423
287.0,291.95,284.2,286.05,2023-03-22,126648
283.4,289.85,283.4,286.05,2023-03-23,85430
286.85,287.6,278.4,280.0,2023-03-24,93511
280.0,280.0,272.2,274.95,2023-03-27,149737
276.4,276.4,260.8,269.25,2023-03-28,201383
268.9,281.8,268.15,279.2,2023-03-29,136539
280.1,283.7,272.85,276.95,2023-03-31,169566
280.0,286.6,278.65,284.8,2023-04-03,131014
284.8,288.7,284.2,286.2,2023-04-05,324998
286.05,286.3,279.65,285.7,2023-04-06,88241
286.45,286.55,283.6,285.65,2023-04-10,93116
287.9,287.9,281.85,283.6,2023-04-11,86133
285.05,286.8,283.6,286.05,2023-04-12,94198
287.8,294.7,285.5,289.95,2023-04-13,165996
291.9,291.9,284.1,286.75,2023-04-17,120628
287.9,292.35,285.45,289.75,2023-04-18,88761
289.7,297.9,289.2,296.05,2023-04-19,162309
298.9,299.6,286.25,289.15,2023-04-20,132615
290.7,290.85,284.25,286.15,2023-04-21,62349
287.15,289.0,282.6,284.25,2023-04-24,75523
285.7,302.0,280.0,295.9,2023-04-25,2200392
295.45,295.85,287.7,290.05,2023-04-26,174862
291.6,296.35,287.4,289.75,2023-04-27,177280
290.0,294.7,288.7,291.85,2023-04-28,160509
292.0,294.7,289.0,289.85,2023-05-02,163283
288.7,292.0,286.5,287.1,2023-05-03,91162
288.6,289.75,286.55,288.55,2023-05-04,89079
287.55,295.0,287.55,293.95,2023-05-05,134532
295.95,301.8,292.75,293.55,2023-05-08,187317
293.55,296.9,290.25,293.25,2023-05-09,76218
294.8,298.95,290.6,293.45,2023-05-10,224513
295.0,319.45,294.85,311.15,2023-05-11,1017116
315.0,315.45,305.8,308.9,2023-05-12,212127
315.0,315.0,306.0,309.05,2023-05-15,143526
309.0,317.75,309.0,313.2,2023-05-16,310989
313.55,317.9,306.95,308.45,2023-05-17,186999
310.9,322.95,310.3,313.7,2023-05-18,383834
315.0,319.75,306.4,307.8,2023-05-19,313145
309.3,314.8,306.9,313.35,2023-05-22,175691
315.0,321.6,309.05,312.2,2023-05-23,254818
320.9,326.6,313.75,317.2,2023-05-24,652965
320.0,323.9,317.0,319.75,2023-05-25,144670
322.15,330.5,320.6,322.2,2023-05-26,504044
326.1,330.55,319.3,321.95,2023-05-29,263932
320.25,324.55,313.95,317.75,2023-05-30,243355
316.95,327.5,315.5,325.5,2023-05-31,343483
325.0,332.0,321.2,322.75,2023-06-01,266424
324.4,328.5,322.45,325.7,2023-06-02,514388
329.45,331.0,321.1,322.9,2023-06-05,229508
322.85,330.5,319.85,327.7,2023-06-06,425055
329.4,335.0,325.25,327.9,2023-06-07,570946
328.9,338.0,322.2,326.65,2023-06-08,578651
330.95,331.0,296.45,307.4,2023-06-09,27306249
314.0,333.0,310.5,324.55,2023-06-12,6902340
326.2,333.55,318.5,321.05,2023-06-13,1824697
322.1,335.0,318.35,329.7,2023-06-14,2216285
328.0,346.6,326.35,343.1,2023-06-15,2006275
346.0,346.95,337.0,338.55,2023-06-16,895183
338.95,343.0,332.85,340.8,2023-06-19,746178
341.0,351.0,337.35,347.7,2023-06-20,1068932
349.95,361.0,348.05,353.55,2023-06-21,1660913
360.0,361.95,348.0,355.4,2023-06-22,915663
356.4,357.25,343.1,344.45,2023-06-23,554821
344.45,348.75,341.0,343.45,2023-06-26,346367
345.0,356.9,344.05,355.5,2023-06-27,746668
360.0,375.0,360.0,368.5,2023-06-28,1932832
372.0,373.4,363.0,367.95,2023-06-30,792669
370.0,379.95,362.05,376.35,2023-07-03,876062
378.8,383.4,371.7,378.55,2023-07-04,1159041
378.6,384.05,375.0,376.95,2023-07-05,929531
378.1,386.4,372.25,374.9,2023-07-06,454264
374.9,378.6,366.8,372.5,2023-07-07,456052
370.55,376.95,367.4,375.0,2023-07-10,333126
374.15,382.4,371.85,378.4,2023-07-11,353124
380.0,385.8,377.6,381.5,2023-07-12,385332
380.0,393.0,380.0,385.4,2023-07-13,726927
386.0,398.0,385.65,394.85,2023-07-14,676827
397.4,401.1,388.15,392.55,2023-07-17,582072
391.0,394.95,381.65,388.75,2023-07-18,352171
388.25,392.0,381.2,382.95,2023-07-19,260866
382.95,390.8,381.1,383.75,2023-07-20,497397
382.0,387.6,377.3,380.4,2023-07-21,254173
389.0,391.0,374.65,378.5,2023-07-24,919628
381.8,382.0,366.25,367.7,2023-07-25,512021
370.0,388.35,370.0,381.1,2023-07-26,802167
382.95,383.95,375.65,380.85,2023-07-27,322538
381.65,390.0,378.0,387.9,2023-07-28,408716
389.8,409.4,386.45,399.25,2023-07-31,1540159
400.0,404.35,392.1,395.4,2023-08-01,463225
395.9,401.7,374.25,381.4,2023-08-02,762726
382.05,391.0,381.45,387.5,2023-08-03,371224
389.8,397.15,389.35,392.7,2023-08-04,246880
395.45,395.45,387.0,388.95,2023-08-07,198255
390.95,400.0,389.4,394.5,2023-08-08,585522
396.2,398.4,387.35,390.8,2023-08-09,210220
382.95,382.95,357.15,362.75,2023-08-10,16060039
366.0,373.5,365.0,367.75,2023-08-11,2639085
367.75,367.75,358.6,360.9,2023-08-14,740010
365.0,367.5,361.75,362.9,2023-08-16,1014615
364.0,367.5,352.0,354.3,2023-08-17,1019790
354.3,359.7,346.0,351.05,2023-08-18,903324
350.8,358.0,346.8,351.45,2023-08-21,803546
351.0,364.35,350.5,361.45,2023-08-22,1208860
361.45,365.45,355.3,358.8,2023-08-23,689964
358.25,362.95,355.15,356.35,2023-08-24,778001
357.0,363.5,355.0,359.6,2023-08-25,1065607
360.95,361.45,354.0,356.05,2023-08-28,602411
358.35,359.0,354.75,358.3,2023-08-29,778370
358.0,360.6,353.0,355.2,2023-08-30,1219889
