open,high,low,close,date,volume
24.5,24.5,23.15,23.35,2022-09-23,122412
22.65,23.1,21.2,21.85,2022-09-26,212027
21.85,23.2,21.25,22.75,2022-09-27,142026
22.75,23.2,22.1,22.7,2022-09-28,62090
23.05,23.25,22.45,22.55,2022-09-29,47220
22.4,23.6,22.15,22.4,2022-09-30,104599
22.85,23.0,22.25,22.4,2022-10-03,38854
22.35,22.95,22.35,22.65,2022-10-04,61159
22.7,23.0,22.6,22.95,2022-10-06,44911
22.9,22.95,22.65,22.8,2022-10-07,46144
22.65,22.8,21.25,22.2,2022-10-10,84398
22.2,22.9,21.9,22.15,2022-10-11,61877
22.6,22.75,22.2,22.3,2022-10-12,46112
22.65,22.7,21.65,22.55,2022-10-13,63271
23.1,23.1,22.5,22.7,2022-10-14,55146
23.0,23.25,22.7,22.85,2022-10-17,68296
22.95,23.4,22.65,23.1,2022-10-18,62298
23.5,23.5,21.5,22.7,2022-10-19,90548
22.5,22.95,21.25,21.95,2022-10-20,65559
22.4,22.5,21.0,21.8,2022-10-21,91890
22.25,22.6,22.25,22.5,2022-10-24,37556
22.7,22.7,22.25,22.35,2022-10-25,50679
22.7,22.7,22.15,22.25,2022-10-27,33266
22.55,22.55,22.0,22.25,2022-10-28,32601
22.75,22.75,22.1,22.3,2022-10-31,31043
22.65,22.7,21.95,22.1,2022-11-01,101911
22.45,22.65,22.0,22.2,2022-11-02,63883
22.4,22.4,22.05,22.2,2022-11-03,25566
22.2,22.45,22.0,22.15,2022-11-04,47176
22.25,22.45,22.0,22.25,2022-11-07,79654
22.55,23.5,21.1,22.45,2022-11-09,111175
22.5,22.7,22.1,22.25,2022-11-10,50331
22.8,22.8,22.1,22.4,2022-11-11,63044
22.55,22.65,22.0,22.15,2022-11-14,71344
22.15,22.35,21.0,21.6,2022-11-15,120144
22.0,22.1,21.65,21.8,2022-11-16,63512
22.0,22.0,21.5,21.6,2022-11-17,40624
21.6,21.6,21.2,21.45,2022-11-18,31778
