open,high,low,close,date,volume
466.3,470.45,442.1,447.75,2022-09-29,6836
454.15,459.35,445.1,447.9,2022-09-30,4052
448.0,470.25,445.05,460.85,2022-10-03,55439
479.85,479.85,462.45,469.95,2022-10-04,4175
479.4,479.95,461.0,472.0,2022-10-06,4494
466.35,484.4,466.35,474.6,2022-10-07,5052
488.0,498.5,455.0,465.6,2022-10-10,10334
494.0,494.0,461.05,464.1,2022-10-11,12744
465.4,480.0,456.0,478.0,2022-10-12,5018
472.2,483.0,452.0,459.35,2022-10-13,18398
477.85,477.85,452.0,456.8,2022-10-14,9142
472.65,472.65,454.1,458.1,2022-10-17,2283
460.65,467.9,450.1,457.5,2022-10-18,3834
468.05,470.0,454.0,458.0,2022-10-19,1685
451.3,464.0,450.0,454.15,2022-10-20,937
457.7,464.0,434.15,439.1,2022-10-21,10277
442.25,459.0,440.0,453.9,2022-10-24,2837
455.15,459.5,444.85,450.1,2022-10-25,11148
448.8,460.25,434.25,442.3,2022-10-27,10525
447.05,456.9,432.0,449.35,2022-10-28,9091
444.85,459.55,441.0,457.1,2022-10-31,4919
443.0,535.0,443.0,498.9,2022-11-01,45057
498.9,508.3,483.5,497.15,2022-11-02,6936
512.7,512.7,483.3,496.65,2022-11-03,3080
504.9,504.9,481.95,494.75,2022-11-04,2857
498.6,498.6,466.75,474.1,2022-11-07,4136
470.05,488.05,465.1,468.6,2022-11-09,3825
477.0,477.0,461.0,469.1,2022-11-10,1302
480.0,480.0,462.65,467.65,2022-11-11,3154
462.45,473.9,458.05,466.65,2022-11-14,3127
530.0,530.0,493.8,515.5,2022-11-15,46065
510.0,528.0,472.25,485.7,2022-11-16,8495
480.0,489.4,461.0,474.6,2022-11-17,4278
466.95,475.05,461.7,467.4,2022-11-18,3911
465.0,544.0,465.0,516.75,2022-11-21,80059
536.75,543.9,521.2,529.6,2022-11-22,41936
544.0,544.0,510.0,535.45,2022-11-23,20483
535.45,548.7,525.0,535.7,2022-11-24,11729
535.65,549.0,526.0,542.25,2022-11-25,11335
548.5,548.9,531.0,532.25,2022-11-28,5503
512.0,538.95,512.0,521.35,2022-11-29,5346
534.05,534.05,515.0,521.05,2022-11-30,5903
536.3,536.3,517.7,518.8,2022-12-01,3414
510.95,529.9,510.95,517.8,2022-12-02,6074
511.0,536.65,511.0,520.6,2022-12-05,8555
530.0,530.0,511.6,514.55,2022-12-06,22142
524.9,524.9,495.25,503.65,2022-12-07,47147
506.05,549.0,488.55,531.75,2022-12-08,45515
532.05,538.0,525.0,528.25,2022-12-09,8671
509.5,599.0,509.5,584.85,2022-12-12,199420
598.7,618.0,586.9,599.85,2022-12-13,93140
603.6,648.8,594.1,639.35,2022-12-14,150839
633.0,643.0,609.0,613.5,2022-12-15,23512
614.0,615.0,591.4,601.5,2022-12-16,22723
600.0,606.05,586.1,597.2,2022-12-19,6674
604.85,604.85,580.25,592.6,2022-12-20,6686
604.3,604.3,523.55,562.45,2022-12-21,18056
572.9,572.9,505.1,525.2,2022-12-22,32763
515.05,525.0,485.9,508.9,2022-12-23,38000
507.0,564.95,507.0,542.65,2022-12-26,18525
550.0,561.35,522.0,531.4,2022-12-27,13640
535.0,547.2,515.6,533.0,2022-12-28,19476
540.2,554.7,538.05,550.25,2022-12-29,11309
567.0,593.5,547.05,559.95,2022-12-30,35611
551.55,584.0,545.5,577.9,2023-01-02,17190
590.0,595.0,575.0,575.6,2023-01-03,45910
578.7,578.7,532.0,538.15,2023-01-04,25315
549.9,551.15,522.0,529.0,2023-01-05,13736
535.9,535.95,508.45,516.15,2023-01-06,19199
523.9,538.85,520.05,524.95,2023-01-09,11569
525.15,532.75,512.9,519.25,2023-01-10,9093
537.95,537.95,513.35,522.4,2023-01-11,6111
515.1,535.15,506.65,517.05,2023-01-12,16681
524.0,532.9,512.85,521.7,2023-01-13,23888
529.55,532.0,516.0,517.8,2023-01-16,9415
522.3,533.0,520.1,530.15,2023-01-17,6549
534.0,557.05,531.9,543.35,2023-01-18,11206
548.5,556.0,535.25,551.05,2023-01-19,4702
543.9,548.65,532.1,536.25,2023-01-20,3631
539.3,539.3,521.1,524.3,2023-01-23,4515
539.95,539.95,525.05,526.9,2023-01-24,3158
525.5,528.2,490.55,507.0,2023-01-25,24754
506.9,510.35,481.55,484.2,2023-01-27,11793
493.8,496.4,466.05,478.8,2023-01-30,13583
486.2,533.6,478.2,522.85,2023-01-31,23968
523.0,536.95,454.0,482.1,2023-02-01,18571
496.9,499.0,482.05,491.35,2023-02-02,7383
497.35,497.35,462.5,479.1,2023-02-03,17159
487.4,495.0,476.0,484.6,2023-02-06,9167
484.95,499.65,483.0,492.2,2023-02-07,8409
491.1,499.0,489.05,496.4,2023-02-08,3687
499.6,507.0,490.0,503.85,2023-02-09,4919
505.7,515.0,496.4,500.9,2023-02-10,5861
500.0,504.0,480.0,485.45,2023-02-13,7261
