open,high,low,close,date,volume
3124.85,3198.8,3072.85,3164.25,2022-09-29,16258
3155.5,3296.0,3076.0,3264.65,2022-09-30,57634
3233.0,3255.3,3174.6,3213.25,2022-10-03,12708
3229.35,3249.8,3185.5,3195.55,2022-10-04,13947
3190.0,3230.35,3190.0,3218.3,2022-10-06,10916
3222.9,3243.9,3163.0,3169.1,2022-10-07,15044
3140.0,3224.0,3100.1,3133.7,2022-10-10,59998
3135.0,3183.65,3110.0,3145.7,2022-10-11,18541
3161.45,3168.25,3076.15,3091.5,2022-10-12,26603
3100.0,3124.75,3066.05,3094.4,2022-10-13,17073
3119.5,3159.6,3105.05,3143.45,2022-10-14,14380
3139.95,3143.45,3070.0,3075.5,2022-10-17,31044
3090.9,3097.95,3030.0,3040.35,2022-10-18,179155
3046.8,3073.8,3022.0,3050.85,2022-10-19,35936
3050.0,3087.9,2925.0,2955.35,2022-10-20,98921
2961.0,2999.0,2910.0,2926.75,2022-10-21,30668
2959.0,2975.0,2949.7,2967.75,2022-10-24,6192
2968.15,3013.4,2956.1,2986.5,2022-10-25,22264
3000.0,3090.0,2986.5,3003.75,2022-10-27,35145
3008.5,3023.8,2960.1,2971.7,2022-10-28,27612
2986.6,3049.0,2959.5,2997.8,2022-10-31,25134
3012.8,3082.0,3000.6,3009.8,2022-11-01,31102
3021.0,3049.45,2992.0,3003.4,2022-11-02,18718
3018.45,3033.95,2951.0,2954.0,2022-11-03,35452
2954.4,2967.75,2913.25,2921.4,2022-11-04,28122
2936.05,2947.95,2867.5,2881.25,2022-11-07,32298
2898.35,2904.55,2800.0,2819.65,2022-11-09,54130
2815.0,2995.0,2808.0,2947.8,2022-11-10,129116
2993.2,3035.8,2961.4,2983.55,2022-11-11,113547
2985.0,3056.9,2950.0,3006.45,2022-11-14,46203
3007.3,3042.55,2980.0,3020.95,2022-11-15,33305
3012.2,3040.0,2984.35,2993.7,2022-11-16,30421
2990.0,2996.0,2945.0,2952.2,2022-11-17,19026
2950.0,3017.1,2941.2,2985.9,2022-11-18,33184
2978.2,3045.9,2958.85,2991.35,2022-11-21,49034
2998.0,3016.55,2961.15,2981.85,2022-11-22,29624
2980.0,3029.0,2980.0,2988.1,2022-11-23,18027
2998.25,3012.8,2970.0,2974.9,2022-11-24,14090
2988.95,3022.95,2966.05,2981.2,2022-11-25,17358
2981.2,3003.5,2960.0,2969.25,2022-11-28,69991
2967.5,2991.0,2915.45,2938.1,2022-11-29,14548
2944.95,2950.0,2915.0,2925.3,2022-11-30,66364
2939.95,2963.95,2900.1,2915.0,2022-12-01,35290
2930.0,2955.0,2915.05,2927.75,2022-12-02,100138
2954.0,2954.0,2841.0,2859.85,2022-12-05,62810
2859.85,2873.25,2821.0,2838.15,2022-12-06,38989
2847.1,2853.75,2812.55,2826.85,2022-12-07,86680
2841.7,2915.0,2826.8,2870.0,2022-12-08,55062
2880.0,2883.9,2754.95,2816.25,2022-12-09,52603
2820.1,2884.45,2795.0,2805.15,2022-12-12,28144
2839.95,2850.0,2818.0,2834.85,2022-12-13,20609
2840.5,2875.8,2840.5,2864.45,2022-12-14,13990
2860.0,2894.95,2823.55,2828.9,2022-12-15,17826
2854.9,2856.5,2811.0,2829.85,2022-12-16,18476
2844.0,2844.0,2805.0,2818.85,2022-12-19,45104
2820.0,2827.0,2787.0,2805.05,2022-12-20,48884
2824.8,2835.0,2802.0,2819.1,2022-12-21,10538
2830.0,2830.0,2763.0,2782.0,2022-12-22,19544
2762.15,2799.0,2725.0,2779.85,2022-12-23,22546
2790.0,2807.45,2755.0,2775.9,2022-12-26,11781
2791.0,2837.3,2762.0,2798.3,2022-12-27,14213
2804.6,2870.05,2793.8,2855.35,2022-12-28,18994
2777.0,3055.25,2777.0,2996.75,2022-12-29,168861
3012.5,3099.15,2962.0,3067.3,2022-12-30,52027
3034.0,3049.0,2975.1,2986.2,2023-01-02,28563
2987.0,3010.0,2941.0,2951.65,2023-01-03,24352
2951.65,2975.0,2892.0,2950.4,2023-01-04,27574
2950.4,2979.85,2930.0,2947.9,2023-01-05,10257
2947.9,2960.0,2910.05,2941.2,2023-01-06,7537
2955.0,2979.4,2922.0,2948.95,2023-01-09,19183
2955.0,3035.5,2935.05,3026.4,2023-01-10,32364
3022.0,3051.0,2988.85,3024.8,2023-01-11,16660
3025.0,3073.1,3012.25,3044.5,2023-01-12,30599
3035.15,3050.0,3010.0,3033.9,2023-01-13,6104
3033.9,3069.95,3024.0,3029.45,2023-01-16,9000
3030.5,3036.85,2998.0,3008.0,2023-01-17,8228
3023.05,3023.05,2950.1,3000.8,2023-01-18,12110
2995.0,3021.95,2980.0,2992.9,2023-01-19,5559
3001.25,3019.8,2980.0,3002.6,2023-01-20,6575
2991.0,2998.0,2961.1,2984.25,2023-01-23,7686
2990.75,3009.95,2966.35,2991.55,2023-01-24,4685
2991.55,2991.55,2951.0,2968.75,2023-01-25,10684
2973.45,3091.4,2973.45,3035.35,2023-01-27,64947
3020.0,3089.9,2988.15,3046.25,2023-01-30,17503
3046.25,3170.0,3016.05,3147.0,2023-01-31,43945
3147.0,3160.0,3055.05,3088.05,2023-02-01,22505
3088.0,3128.85,3054.0,3102.95,2023-02-02,17738
3130.0,3137.0,3081.65,3127.0,2023-02-03,17983
3135.0,3168.4,3120.0,3148.1,2023-02-06,15398
3148.1,3200.0,3116.75,3184.7,2023-02-07,18088
3190.0,3195.0,3109.6,3154.4,2023-02-08,23946
3168.95,3175.2,3124.55,3144.9,2023-02-09,16817
3144.9,3222.0,3131.25,3174.95,2023-02-10,43692
3175.0,3245.0,3145.0,3169.35,2023-02-13,45190
3154.8,3165.55,3116.75,3126.15,2023-02-14,11321
3129.4,3160.0,3120.65,3155.45,2023-02-15,11308
3150.0,3172.1,3117.0,3133.5,2023-02-16,20520
3150.0,3217.9,3100.05,3140.9,2023-02-17,38349
3170.0,3240.0,3157.7,3230.7,2023-02-20,53828
3243.0,3295.0,3231.0,3281.9,2023-02-21,45000
3280.0,3280.0,3168.85,3190.45,2023-02-22,14760
3193.35,3222.05,3145.0,3206.05,2023-02-23,13683
3208.0,3227.0,3180.0,3218.2,2023-02-24,9968
3218.25,3360.4,3150.0,3341.65,2023-02-27,52289
3341.65,3480.0,3288.0,3387.2,2023-02-28,72055
3400.0,3448.9,3388.1,3429.25,2023-03-01,32301
3430.05,3495.55,3406.05,3482.85,2023-03-02,42230
3482.85,3496.0,3371.0,3392.65,2023-03-03,31323
3395.85,3430.0,3303.0,3315.75,2023-03-06,28703
3329.0,3414.95,3303.8,3385.75,2023-03-08,26071
3385.75,3385.75,3306.7,3328.1,2023-03-09,14042
3328.7,3381.65,3279.25,3309.55,2023-03-10,18496
3365.0,3365.0,3236.85,3248.45,2023-03-13,15530
3293.95,3293.95,3186.0,3249.9,2023-03-14,18787
3250.0,3278.55,3190.0,3206.85,2023-03-15,20321
3207.25,3263.0,3070.0,3097.4,2023-03-16,30380
3105.0,3128.6,2971.5,2997.75,2023-03-17,29823
2992.0,3075.0,2984.55,3065.3,2023-03-20,37923
3075.0,3129.85,3032.85,3093.05,2023-03-21,30024
3110.0,3135.0,3078.05,3097.15,2023-03-22,12492
3087.25,3145.9,3081.65,3126.05,2023-03-23,10389
3120.0,3129.0,3025.7,3048.75,2023-03-24,16727
3047.0,3115.0,3019.3,3106.9,2023-03-27,21051
3088.3,3120.0,3065.0,3114.05,2023-03-28,14417
3124.0,3310.0,3102.05,3262.85,2023-03-29,39405
3175.0,3264.55,3175.0,3218.6,2023-03-31,42941
3238.6,3238.6,3202.75,3213.85,2023-04-03,9300
3237.0,3298.95,3208.55,3274.45,2023-04-05,14220
3290.0,3347.95,3255.35,3324.4,2023-04-06,14945
3362.95,3418.0,3307.5,3411.15,2023-04-10,63168
3381.0,3461.0,3366.1,3438.0,2023-04-11,57822
3418.0,3482.35,3410.15,3474.2,2023-04-12,52586
3485.0,3521.55,3446.45,3500.85,2023-04-13,21733
3500.85,3592.9,3469.0,3524.55,2023-04-17,172804
3530.9,3581.1,3350.0,3390.45,2023-04-18,106537
3401.95,3439.7,3315.05,3354.95,2023-04-19,60058
3355.05,3360.45,3301.0,3307.35,2023-04-20,13790
3335.05,3347.95,3241.1,3266.6,2023-04-21,33435
3300.0,3384.8,3280.95,3370.75,2023-04-24,79561
3365.0,3410.5,3340.0,3401.95,2023-04-25,18233
3385.0,3484.0,3385.0,3471.55,2023-04-26,31857
3471.55,3609.0,3431.75,3568.4,2023-04-27,70984
3560.0,3627.95,3361.6,3599.2,2023-04-28,71822
3599.0,3602.35,3494.5,3520.6,2023-05-02,45177
3520.65,3640.0,3492.05,3622.9,2023-05-03,66262
3622.9,3622.9,3579.0,3593.65,2023-05-04,30606
3580.0,3580.05,3480.1,3508.3,2023-05-05,15087
3530.0,3544.95,3464.05,3497.75,2023-05-08,21263
3497.0,3537.0,3470.0,3477.1,2023-05-09,21606
3494.5,3534.9,3470.15,3520.2,2023-05-10,37083
3502.05,3560.0,3499.0,3542.85,2023-05-11,21951
3550.0,3615.0,3536.15,3589.95,2023-05-12,37518
3574.8,3624.0,3557.65,3599.9,2023-05-15,22833
3579.0,3610.0,3525.0,3537.25,2023-05-16,14854
3537.25,3600.0,3510.0,3578.35,2023-05-17,12740
3574.05,3620.0,3556.4,3568.4,2023-05-18,8498
3551.0,3565.0,3501.75,3548.7,2023-05-19,8310
3540.0,3690.0,3535.05,3597.45,2023-05-22,45467
3586.0,3600.0,3550.9,3565.45,2023-05-23,8994
3550.0,3605.5,3550.0,3584.95,2023-05-24,11555
3599.95,3599.95,3559.0,3583.75,2023-05-25,7228
3601.7,3720.0,3583.75,3701.65,2023-05-26,46889
3708.7,3768.0,3690.0,3718.55,2023-05-29,23741
3684.7,3730.0,3675.0,3703.2,2023-05-30,25509
3703.2,3850.0,3698.9,3798.7,2023-05-31,91735
3790.95,3875.95,3770.0,3822.55,2023-06-01,21949
3845.9,3900.0,3755.0,3771.9,2023-06-02,23679
3804.0,3850.0,3760.45,3806.5,2023-06-05,19903
3783.7,3875.0,3751.6,3768.35,2023-06-06,18687
3768.35,4000.0,3765.0,3993.2,2023-06-07,166052
3993.2,3993.2,3840.0,3863.1,2023-06-08,35516
3873.0,3985.0,3873.0,3929.95,2023-06-09,38612
3949.5,4027.6,3880.0,4009.8,2023-06-12,49080
4009.8,4009.8,3921.05,3933.65,2023-06-13,25661
3940.0,3964.5,3880.45,3947.05,2023-06-14,18714
3966.8,3967.45,3891.15,3906.3,2023-06-15,8988
3925.85,3925.85,3861.0,3884.4,2023-06-16,16968
3881.0,3981.85,3825.0,3920.25,2023-06-19,33933
3920.25,3979.85,3891.4,3950.85,2023-06-20,18532
3975.0,3979.0,3900.0,3906.65,2023-06-21,17788
3926.2,3942.65,3806.5,3827.05,2023-06-22,16083
3810.05,3817.15,3769.0,3783.2,2023-06-23,7465
3771.0,3916.9,3705.65,3882.0,2023-06-26,38423
3897.9,3914.0,3851.2,3870.1,2023-06-27,8038
3874.95,3885.0,3806.25,3834.9,2023-06-28,24062
3846.0,3925.0,3832.15,3902.95,2023-06-30,24909
3911.55,3922.5,3852.0,3863.0,2023-07-03,10805
3872.05,3903.85,3868.55,3896.85,2023-07-04,11063
3917.4,3984.95,3870.05,3900.3,2023-07-05,27844
3900.0,3937.25,3850.0,3867.75,2023-07-06,14937
3867.0,3878.65,3810.0,3824.15,2023-07-07,10901
3843.3,3911.0,3787.05,3824.25,2023-07-10,87619
3831.0,3855.6,3802.0,3821.2,2023-07-11,8614
3830.0,3867.75,3772.0,3827.4,2023-07-12,15310
3850.0,3870.0,3817.0,3860.75,2023-07-13,17100
3869.0,3910.75,3821.55,3835.15,2023-07-14,16320
3850.0,3919.0,3850.0,3880.3,2023-07-17,21175
3890.0,3936.0,3866.75,3912.0,2023-07-18,19599
3940.0,3983.0,3851.5,3867.4,2023-07-19,46872
3939.95,3952.45,3892.0,3902.9,2023-07-20,19380
3871.0,3930.0,3871.0,3900.3,2023-07-21,9514
3918.95,3918.95,3802.0,3830.7,2023-07-24,13372
3849.0,3849.0,3781.0,3790.75,2023-07-25,10646
3799.05,3869.4,3799.05,3824.6,2023-07-26,6346
3824.0,3884.0,3824.0,3863.05,2023-07-27,16735
3875.0,3882.35,3832.0,3844.65,2023-07-28,13321
3863.0,3942.0,3831.95,3915.5,2023-07-31,31206
3936.1,3959.85,3872.0,3884.35,2023-08-01,12302
3900.0,3911.95,3851.3,3872.95,2023-08-02,17577
3851.0,3872.0,3800.0,3823.6,2023-08-03,11119
3849.65,3871.6,3800.0,3815.25,2023-08-04,9252
3833.9,3870.0,3777.0,3838.5,2023-08-07,17782
3858.7,3884.0,3830.0,3865.4,2023-08-08,12250
3845.05,3890.0,3810.2,3847.95,2023-08-09,9409
3847.85,3919.0,3832.1,3899.25,2023-08-10,31382
3900.1,4040.0,3875.0,3937.05,2023-08-11,125448
3944.0,3944.0,3716.05,3820.25,2023-08-14,39673
3780.0,3909.9,3780.0,3887.15,2023-08-16,17065
3887.05,3899.9,3857.75,3871.5,2023-08-17,8069
3875.4,3890.75,3805.0,3815.75,2023-08-18,12274
3835.8,3997.95,3814.55,3955.95,2023-08-21,63720
3955.9,4064.95,3920.15,4023.5,2023-08-22,46937
4050.0,4075.0,4000.0,4029.25,2023-08-23,19166
4049.35,4069.9,3950.0,4004.2,2023-08-24,12986
4004.2,4004.2,3904.2,3937.95,2023-08-25,18556
3948.75,3948.75,3856.0,3883.9,2023-08-28,11709
3904.0,3904.0,3844.0,3876.2,2023-08-29,11199
3895.55,3945.3,3831.4,3917.6,2023-08-30,19935
3917.6,3998.7,3874.0,3970.65,2023-08-31,33454
3970.95,3973.0,3895.0,3929.05,2023-09-01,28574
3953.25,3972.0,3876.35,3884.15,2023-09-04,22929
3900.0,3930.0,3825.25,3845.9,2023-09-05,69305
3875.8,3875.8,3828.0,3837.05,2023-09-06,10300
3853.0,3932.65,3808.1,3876.25,2023-09-07,40948
3889.0,3909.0,3836.25,3897.15,2023-09-08,18818
3920.0,3939.85,3854.4,3925.85,2023-09-11,32247
3940.0,3940.0,3821.5,3856.0,2023-09-12,120103
3876.3,3923.85,3806.8,3845.55,2023-09-13,14159
3850.05,3888.0,3850.05,3871.05,2023-09-14,7411
3880.0,3909.55,3856.05,3873.55,2023-09-15,16286
3869.95,3875.1,3837.0,3850.8,2023-09-18,6986
3869.8,3869.8,3822.0,3834.65,2023-09-20,6269
3825.0,3865.0,3809.45,3833.9,2023-09-21,14192
3853.05,3887.8,3825.25,3854.5,2023-09-22,29345
3855.0,3899.8,3831.65,3888.1,2023-09-25,7691
3890.05,3928.0,3849.45,3873.65,2023-09-26,42903
3873.65,3874.9,3833.7,3861.15,2023-09-27,9968
3860.0,3919.0,3837.9,3895.7,2023-09-28,41267
3900.0,3960.0,3852.65,3924.15,2023-09-29,29815
3920.0,3929.2,3885.2,3906.2,2023-10-03,56672
3882.8,3905.5,3849.0,3871.15,2023-10-04,82782
3871.15,3879.8,3845.0,3856.0,2023-10-05,27751
3875.0,3875.0,3835.5,3842.95,2023-10-06,6978
