open,high,low,close,date,volume
239.85,244.0,235.0,236.95,2022-09-23,110040
236.95,236.95,228.4,231.75,2022-09-26,56117
232.1,243.8,232.1,237.2,2022-09-27,48165
241.0,241.8,233.25,240.75,2022-09-28,47957
243.95,255.95,240.75,244.2,2022-09-29,86715
239.05,243.95,231.0,234.3,2022-09-30,66288
235.5,236.55,229.25,232.3,2022-10-03,30781
234.8,238.15,232.15,236.35,2022-10-04,22552
237.7,239.4,230.55,232.55,2022-10-06,29110
234.85,239.45,233.5,235.5,2022-10-07,28464
234.5,251.95,231.25,247.95,2022-10-10,177053
248.95,250.8,242.05,245.0,2022-10-11,62854
247.75,258.9,243.0,245.25,2022-10-12,114814
246.6,247.95,240.15,245.5,2022-10-13,21260
248.8,248.8,237.2,238.95,2022-10-14,27066
238.95,245.0,233.4,238.4,2022-10-17,60717
246.9,246.9,235.85,238.1,2022-10-18,18315
237.05,242.45,232.05,234.4,2022-10-19,34710
234.0,236.45,229.9,231.5,2022-10-20,27758
232.8,232.8,226.2,227.6,2022-10-21,50671
229.85,233.55,228.0,232.0,2022-10-24,8044
230.05,232.75,229.05,229.85,2022-10-25,10798
232.05,232.1,228.5,230.1,2022-10-27,17331
231.0,233.65,230.0,231.55,2022-10-28,14605
232.0,233.25,230.0,230.4,2022-10-31,33739
232.7,239.5,231.65,235.5,2022-11-01,33488
234.55,238.5,233.1,233.6,2022-11-02,15200
232.45,234.0,230.1,231.0,2022-11-03,17693
231.9,233.05,229.6,230.65,2022-11-04,11338
231.7,233.75,225.0,232.25,2022-11-07,42677
234.45,234.45,229.1,230.7,2022-11-09,41988
230.0,240.0,229.25,236.6,2022-11-10,37446
238.0,238.6,234.8,236.15,2022-11-11,41480
238.8,254.4,238.8,250.15,2022-11-14,222066
264.8,264.85,248.0,250.4,2022-11-15,187321
254.95,261.0,250.0,251.25,2022-11-16,148597
251.95,260.5,249.1,258.5,2022-11-17,80474
259.4,269.55,257.9,261.9,2022-11-18,118068
264.4,264.4,252.7,254.7,2022-11-21,36561
254.7,260.05,252.0,253.9,2022-11-22,31162
255.45,255.45,251.35,253.25,2022-11-23,37195
253.3,257.65,250.15,255.5,2022-11-24,36952
254.9,254.9,249.25,250.6,2022-11-25,54462
251.1,256.0,249.45,254.25,2022-11-28,37397
254.25,257.4,251.15,252.8,2022-11-29,21474
253.9,254.5,250.3,250.6,2022-11-30,22785
251.9,253.4,248.05,249.1,2022-12-01,31301
250.5,251.05,245.75,248.3,2022-12-02,32019
250.0,250.8,246.0,247.25,2022-12-05,25710
247.25,249.95,245.9,247.85,2022-12-06,43092
247.85,249.35,243.5,244.25,2022-12-07,21105
244.5,251.65,239.1,249.4,2022-12-08,63304
250.5,256.5,247.35,251.05,2022-12-09,44705
252.4,252.4,244.05,246.7,2022-12-12,55192
247.9,249.9,243.05,244.05,2022-12-13,39340
243.4,246.15,242.4,243.1,2022-12-14,19245
243.9,245.0,241.05,241.85,2022-12-15,16072
241.8,243.0,236.1,240.8,2022-12-16,47116
245.0,259.0,244.35,251.5,2022-12-19,125394
251.65,255.5,250.05,252.7,2022-12-20,42542
254.0,256.9,241.35,242.6,2022-12-21,104865
244.0,253.55,235.6,246.85,2022-12-22,145685
246.2,247.15,234.05,235.7,2022-12-23,45038
235.5,244.85,230.6,243.3,2022-12-26,32225
248.1,256.4,243.8,253.1,2022-12-27,35635
254.0,290.0,248.05,276.55,2022-12-28,927430
275.0,275.0,264.25,267.25,2022-12-29,134398
267.2,279.75,266.0,275.25,2022-12-30,127231
276.8,277.95,266.2,268.5,2023-01-02,54851
269.65,279.75,268.0,269.65,2023-01-03,109775
270.6,297.0,268.85,282.95,2023-01-04,537650
283.1,284.4,274.0,280.65,2023-01-05,101159
276.45,285.0,276.45,282.7,2023-01-06,80382
284.9,286.95,272.0,273.4,2023-01-09,101088
273.8,277.4,270.15,272.95,2023-01-10,33020
277.0,284.0,272.55,274.4,2023-01-11,112053
274.45,276.6,270.5,271.65,2023-01-12,32212
271.65,277.0,269.1,270.55,2023-01-13,47291
271.0,279.7,271.0,279.0,2023-01-16,65259
278.2,281.3,271.0,271.65,2023-01-17,43473
272.85,274.0,266.6,267.3,2023-01-18,42258
267.2,269.95,266.9,268.3,2023-01-19,25166
269.3,278.9,266.8,277.25,2023-01-20,87527
275.3,278.9,265.1,267.0,2023-01-23,44395
267.0,268.2,260.5,262.3,2023-01-24,46745
262.9,262.9,255.2,255.95,2023-01-25,30921
252.9,256.5,249.3,251.8,2023-01-27,47651
252.8,269.05,252.2,266.2,2023-01-30,86957
278.0,279.0,271.4,275.6,2023-01-31,212736
275.6,285.0,265.9,268.6,2023-02-01,94028
270.85,274.6,264.45,265.9,2023-02-02,54590
266.8,266.8,257.8,261.4,2023-02-03,54498
262.2,277.0,260.95,271.6,2023-02-06,88394
273.05,277.0,267.35,274.15,2023-02-07,53091
274.25,275.8,271.15,272.85,2023-02-08,25271
272.0,279.4,270.8,276.3,2023-02-09,88759
276.0,280.0,270.8,273.35,2023-02-10,49711
273.35,274.45,267.35,270.2,2023-02-13,38832
271.3,271.3,262.0,265.0,2023-02-14,34824
262.55,269.15,262.0,265.55,2023-02-15,41330
266.0,267.95,261.95,263.35,2023-02-16,33373
262.85,269.0,262.85,267.25,2023-02-17,19250
267.0,267.0,257.15,258.85,2023-02-20,41379
258.8,258.8,252.05,252.95,2023-02-21,35126
252.0,252.7,243.7,245.75,2023-02-22,58614
245.7,256.45,244.3,253.95,2023-02-23,42955
257.0,261.4,246.05,247.5,2023-02-24,44424
246.0,247.5,242.7,243.55,2023-02-27,20435
243.6,253.6,243.6,250.5,2023-02-28,27225
249.15,256.0,248.7,255.1,2023-03-01,17826
253.9,255.0,249.2,251.0,2023-03-02,24204
251.05,259.95,251.05,257.15,2023-03-03,24295
257.5,265.0,257.5,261.15,2023-03-06,38748
258.0,261.2,255.05,255.95,2023-03-08,28922
253.3,259.05,253.05,253.7,2023-03-09,20015
256.0,256.0,250.0,252.25,2023-03-10,23034
250.0,253.75,242.0,244.15,2023-03-13,35992
242.1,249.0,239.25,241.3,2023-03-14,49620
242.8,248.2,242.45,244.75,2023-03-15,28926
244.9,244.9,239.75,242.1,2023-03-16,24979
244.0,244.75,242.0,242.6,2023-03-17,6629
242.65,244.65,240.0,243.45,2023-03-20,9228
244.2,245.85,242.05,243.7,2023-03-21,14795
244.8,248.05,243.15,245.95,2023-03-22,18539
247.0,249.5,244.5,245.7,2023-03-23,14494
246.8,246.8,244.0,244.9,2023-03-24,36442
244.9,245.15,240.7,243.0,2023-03-27,16603
242.15,245.0,240.0,240.1,2023-03-28,24671
240.0,243.95,240.0,241.85,2023-03-29,38862
241.85,255.0,241.75,253.05,2023-03-31,39797
251.1,256.45,250.55,254.5,2023-04-03,18483
255.8,259.7,253.25,257.1,2023-04-05,19626
258.4,265.0,254.5,264.55,2023-04-06,39666
264.55,264.55,260.7,262.75,2023-04-10,14856
262.75,270.0,259.85,267.1,2023-04-11,33736
267.5,270.0,264.8,266.2,2023-04-12,17783
266.2,268.8,264.1,266.4,2023-04-13,10702
265.9,272.8,262.0,270.5,2023-04-17,35122
270.5,273.15,262.2,262.95,2023-04-18,31680
263.8,272.0,261.8,266.65,2023-04-19,24344
267.05,272.0,266.4,269.4,2023-04-20,24783
269.35,297.2,265.85,287.1,2023-04-21,276270
286.05,289.0,278.3,285.9,2023-04-24,43654
281.6,294.2,281.6,291.05,2023-04-25,82774
288.15,294.8,283.0,286.7,2023-04-26,72799
287.75,290.3,272.3,277.0,2023-04-27,63122
278.35,283.45,275.05,281.05,2023-04-28,44074
281.25,286.0,281.25,285.4,2023-05-02,43461
282.0,288.0,275.0,276.4,2023-05-03,38418
274.0,284.4,272.6,274.35,2023-05-04,44054
274.2,274.2,263.95,266.25,2023-05-05,45658
267.0,274.95,266.0,272.05,2023-05-08,34886
272.85,277.2,270.95,272.75,2023-05-09,34620
273.3,273.3,266.0,266.65,2023-05-10,23891
266.65,269.9,265.45,266.65,2023-05-11,14730
264.1,271.4,264.05,266.6,2023-05-12,18990
266.1,267.5,258.9,260.0,2023-05-15,55067
260.9,269.8,260.85,266.9,2023-05-16,44035
269.95,269.95,260.2,262.2,2023-05-17,28689
262.5,263.0,257.25,258.3,2023-05-18,38491
257.85,259.65,255.15,257.05,2023-05-19,98912
255.1,265.0,255.1,262.05,2023-05-22,21124
262.05,274.85,259.4,271.3,2023-05-23,64642
269.0,271.9,263.3,264.0,2023-05-24,28054
264.95,265.9,261.0,262.2,2023-05-25,14031
263.5,270.05,262.05,268.15,2023-05-26,42841
264.0,268.0,260.05,262.4,2023-05-29,71763
261.0,262.95,258.0,259.4,2023-05-30,34355
258.2,262.75,255.0,256.5,2023-05-31,35067
257.9,261.85,254.2,257.05,2023-06-01,28126
258.45,259.7,247.0,248.55,2023-06-02,89051
250.7,251.05,243.25,246.0,2023-06-05,109756
245.95,249.35,242.55,243.6,2023-06-06,57428
244.85,251.0,243.7,249.55,2023-06-07,60282
250.7,258.8,250.2,251.85,2023-06-08,89471
252.0,262.0,248.85,261.05,2023-06-09,86072
267.95,269.85,262.4,264.7,2023-06-12,108429
265.9,265.9,262.0,263.0,2023-06-13,31248
263.0,265.6,260.05,260.85,2023-06-14,33120
260.85,262.8,259.55,260.2,2023-06-15,30661
262.8,265.65,257.55,260.0,2023-06-16,64260
262.55,263.75,260.05,261.25,2023-06-19,23856
262.5,264.9,259.5,260.35,2023-06-20,16383
261.7,262.95,256.0,257.5,2023-06-21,30571
258.8,258.8,254.0,255.25,2023-06-22,30676
255.15,255.75,251.0,251.65,2023-06-23,17275
252.7,254.1,250.05,251.5,2023-06-26,10236
251.05,254.85,251.05,253.1,2023-06-27,13960
254.65,254.85,247.1,248.75,2023-06-28,36727
250.6,254.0,250.0,251.3,2023-06-30,22724
252.7,253.95,248.0,250.8,2023-07-03,25601
252.2,252.2,245.95,247.15,2023-07-04,34867
248.1,251.05,244.7,245.0,2023-07-05,46922
245.0,249.45,245.0,245.6,2023-07-06,33363
245.6,247.7,242.3,242.9,2023-07-07,76435
242.9,248.25,241.7,247.35,2023-07-10,46234
249.95,255.8,248.85,250.7,2023-07-11,86942
253.0,253.1,246.0,246.9,2023-07-12,30677
248.5,248.95,246.0,246.8,2023-07-13,18872
246.8,255.0,244.0,253.1,2023-07-14,64580
254.4,262.65,253.85,261.0,2023-07-17,103120
260.7,263.95,260.65,261.65,2023-07-18,54440
262.75,263.65,258.55,261.0,2023-07-19,45106
262.35,278.0,261.0,271.1,2023-07-20,188692
273.0,305.4,271.0,300.45,2023-07-21,1333083
307.0,324.0,300.0,301.7,2023-07-24,625696
304.4,305.75,288.45,293.55,2023-07-25,203246
294.9,305.0,292.45,296.75,2023-07-26,213104
296.5,303.35,290.4,291.95,2023-07-27,87584
291.55,296.5,287.1,291.95,2023-07-28,83049
288.0,291.95,279.65,283.95,2023-07-31,192075
266.35,283.3,261.65,267.3,2023-08-01,558128
268.0,294.9,268.0,282.4,2023-08-02,729143
283.8,291.1,272.6,285.8,2023-08-03,170220
287.95,287.95,280.1,280.65,2023-08-04,38983
285.0,294.15,283.85,286.75,2023-08-07,139008
287.0,288.0,282.2,286.2,2023-08-08,51641
283.15,285.7,282.4,284.4,2023-08-09,34059
