open,high,low,close,date,volume
287.0,319.9,287.0,308.45,2022-11-11,36271420
306.7,307.9,283.0,300.95,2022-11-14,7021355
292.0,295.6,277.4,278.8,2022-11-15,2809423
279.0,286.8,266.15,270.2,2022-11-16,1846883
269.9,273.7,260.0,261.05,2022-11-17,1025856
262.75,274.85,260.3,267.3,2022-11-18,1162040
268.0,271.0,260.4,261.9,2022-11-21,538570
262.25,264.3,250.1,251.3,2022-11-22,522794
252.25,261.85,251.6,253.25,2022-11-23,525846
255.0,262.3,252.45,258.0,2022-11-24,613962
259.3,267.0,257.6,260.5,2022-11-25,660754
261.95,264.65,258.8,260.1,2022-11-28,361035
259.8,260.0,252.65,254.35,2022-11-29,502522
256.65,258.0,252.8,254.15,2022-11-30,221833
255.45,257.5,254.0,254.8,2022-12-01,214179
254.65,264.85,253.4,259.3,2022-12-02,469185
260.6,261.3,256.5,257.9,2022-12-05,196689
259.0,259.0,253.5,254.35,2022-12-06,194532
255.0,255.95,251.3,251.75,2022-12-07,167035
253.0,253.3,249.0,249.4,2022-12-08,275324
247.0,256.5,241.0,242.25,2022-12-09,1152808
241.05,242.0,233.0,233.75,2022-12-12,424357
230.55,234.7,225.0,225.75,2022-12-13,471315
226.9,234.95,226.5,229.0,2022-12-14,471311
230.4,233.45,225.35,227.9,2022-12-15,357993
228.0,243.2,227.1,241.55,2022-12-16,740012
242.8,249.5,235.85,240.55,2022-12-19,429066
238.65,246.4,235.1,239.75,2022-12-20,503625
240.95,242.95,225.0,230.1,2022-12-21,393250
230.5,234.5,210.55,215.0,2022-12-22,656386
217.0,220.0,199.7,200.45,2022-12-23,684640
201.5,210.0,201.1,207.05,2022-12-26,727852
208.1,215.95,208.1,210.75,2022-12-27,549569
210.95,230.9,209.05,228.05,2022-12-28,661931
229.2,233.55,217.8,219.6,2022-12-29,601203
220.7,227.15,220.55,224.65,2022-12-30,302283
225.8,227.0,222.05,224.35,2023-01-02,129093
225.4,228.1,222.0,223.0,2023-01-03,136761
222.55,223.15,209.05,210.35,2023-01-04,496808
212.0,220.0,212.0,215.6,2023-01-05,346310
216.65,217.0,211.0,212.7,2023-01-06,132331
213.65,215.9,212.3,212.95,2023-01-09,164383
213.5,214.0,207.5,209.1,2023-01-10,193972
210.1,218.2,208.15,217.05,2023-01-11,410129
218.0,221.85,213.95,215.3,2023-01-12,226258
216.1,220.0,212.5,217.0,2023-01-13,269376
216.95,218.35,212.65,213.7,2023-01-16,149704
213.95,218.6,212.0,214.4,2023-01-17,155297
214.95,216.8,211.0,212.65,2023-01-18,124274
212.3,215.45,211.1,213.55,2023-01-19,125612
213.6,216.7,211.4,212.2,2023-01-20,150448
213.3,215.0,210.0,211.7,2023-01-23,142094
214.0,214.0,208.6,210.7,2023-01-24,183376
210.55,211.0,205.0,207.4,2023-01-25,150028
208.45,208.65,194.05,198.65,2023-01-27,325285
197.55,200.0,190.1,191.7,2023-01-30,390299
193.85,193.85,191.45,192.9,2023-01-31,163268
195.4,195.4,179.0,180.45,2023-02-01,448905
177.0,184.65,171.2,175.2,2023-02-02,254138
176.1,179.0,168.25,176.9,2023-02-03,258928
177.8,192.45,177.0,189.4,2023-02-06,352722
189.5,190.75,180.2,183.25,2023-02-07,244064
184.2,184.85,180.1,180.75,2023-02-08,168870
180.7,181.0,174.0,174.6,2023-02-09,238072
174.6,174.6,168.65,171.5,2023-02-10,264310
172.0,172.6,158.55,163.65,2023-02-13,352258
164.0,166.0,158.05,158.9,2023-02-14,209662
159.35,162.0,149.8,153.05,2023-02-15,1004166
152.95,158.4,149.8,152.05,2023-02-16,865388
152.85,153.45,149.75,150.9,2023-02-17,807079
151.75,174.3,151.75,170.6,2023-02-20,1586399
171.5,178.55,165.0,166.85,2023-02-21,658764
167.0,169.85,161.1,164.35,2023-02-22,505441
164.9,167.0,159.05,160.8,2023-02-23,444604
161.0,163.9,156.1,159.45,2023-02-24,194228
160.25,160.25,155.0,156.8,2023-02-27,163375
