open,high,low,close,date,volume
505.95,514.0,496.05,511.45,2022-09-29,6717
508.25,536.7,501.45,526.6,2022-09-30,24331
518.4,529.0,513.75,518.5,2022-10-03,7130
528.8,531.6,520.0,523.3,2022-10-04,5405
528.6,531.9,520.0,523.65,2022-10-06,6270
520.0,528.0,520.0,523.65,2022-10-07,4133
515.0,521.5,509.0,514.0,2022-10-10,8110
517.0,518.85,501.05,504.55,2022-10-11,8054
514.55,514.55,498.5,501.35,2022-10-12,6825
502.1,517.85,498.95,516.65,2022-10-13,20511
522.85,526.55,505.3,513.4,2022-10-14,5441
508.7,517.9,502.0,505.45,2022-10-17,6649
518.0,518.0,502.2,512.5,2022-10-18,7273
510.7,519.65,505.1,506.85,2022-10-19,4232
506.85,512.9,484.5,494.85,2022-10-20,23794
498.35,503.8,495.5,498.7,2022-10-21,5066
505.0,548.9,505.0,508.2,2022-10-24,7363
507.15,510.85,499.0,501.5,2022-10-25,3832
506.0,515.05,505.05,506.4,2022-10-27,4068
510.0,510.0,495.05,500.65,2022-10-28,4894
500.65,514.0,499.25,508.5,2022-10-31,6022
510.0,524.75,500.55,509.65,2022-11-01,17106
510.45,514.95,503.0,504.55,2022-11-02,9603
502.95,512.0,495.0,500.05,2022-11-03,16639
506.45,519.0,501.05,509.0,2022-11-04,9040
515.0,518.0,507.05,514.3,2022-11-07,14491
514.8,522.0,507.0,509.25,2022-11-09,10799
506.95,510.3,503.05,505.05,2022-11-10,3882
509.05,514.9,492.5,497.8,2022-11-11,31892
497.8,507.25,480.1,484.4,2022-11-14,26881
492.0,492.0,483.8,485.85,2022-11-15,6122
486.0,494.0,486.0,491.0,2022-11-16,6556
498.6,502.3,489.0,492.5,2022-11-17,12231
492.45,499.2,486.0,488.95,2022-11-18,4708
482.0,494.45,482.0,490.7,2022-11-21,5399
494.95,494.95,485.0,489.75,2022-11-22,4933
489.75,497.0,485.65,490.05,2022-11-23,3429
495.0,495.0,487.65,490.4,2022-11-24,5712
