open,high,low,close,date,volume
109.5,113.85,109.5,113.1,2022-09-29,52551
112.05,118.75,112.05,118.75,2022-09-30,56725
122.0,124.65,120.25,124.65,2022-10-03,49569
130.1,130.1,125.35,126.45,2022-10-04,70482
122.8,132.75,121.7,132.4,2022-10-06,177026
137.5,139.0,133.65,139.0,2022-10-07,91744
141.7,145.95,139.15,145.95,2022-10-10,88110
152.75,152.75,138.7,138.7,2022-10-11,165017
139.0,143.15,131.8,133.1,2022-10-12,86057
135.75,139.75,132.25,139.75,2022-10-13,47768
146.7,146.7,143.55,146.7,2022-10-14,51213
144.0,144.0,139.4,140.0,2022-10-17,99745
139.0,144.0,137.25,140.2,2022-10-18,47928
140.0,147.0,140.0,145.55,2022-10-19,51892
136.55,142.05,135.0,138.65,2022-12-06,14794
140.0,142.0,136.3,139.75,2022-12-07,12061
139.5,143.9,138.05,138.5,2022-12-08,9180
142.95,142.95,133.3,134.05,2022-12-09,16258
135.2,136.1,131.05,134.4,2022-12-12,5452
129.0,141.1,128.65,137.65,2022-12-13,21991
140.8,140.8,135.0,135.7,2022-12-14,11125
138.0,138.0,135.15,135.15,2022-12-15,11689
131.3,135.15,129.65,132.9,2022-12-16,7024
139.0,139.0,129.65,131.45,2022-12-19,12773
131.1,135.0,131.1,134.5,2022-12-20,9943
136.5,136.5,127.8,127.9,2022-12-21,48844
128.05,128.05,121.55,121.7,2022-12-22,30154
118.0,121.95,115.65,115.9,2022-12-23,36818
117.0,121.65,114.25,121.65,2022-12-26,7926
127.15,127.7,123.3,127.55,2022-12-27,13542
130.0,133.9,126.05,132.1,2022-12-28,20190
128.6,133.8,126.2,132.35,2022-12-29,8657
134.6,138.0,130.65,132.45,2022-12-30,14343
137.0,137.0,125.85,131.55,2023-01-02,17696
131.0,135.0,129.55,130.05,2023-01-03,14440
131.55,135.0,129.9,133.35,2023-01-04,10840
132.85,132.95,128.5,129.45,2023-01-05,3393
130.45,132.95,126.1,128.45,2023-01-06,7531
129.35,129.7,126.05,126.9,2023-01-09,4455
127.5,129.85,124.55,128.85,2023-01-10,2727
129.1,132.45,127.05,131.45,2023-01-11,4671
129.0,131.1,129.0,129.7,2023-01-12,5397
129.0,133.6,126.65,130.8,2023-01-13,13627
126.85,130.9,126.85,128.1,2023-01-16,5634
128.1,131.0,127.0,128.35,2023-01-17,15329
128.35,131.45,127.6,129.3,2023-01-18,24303
125.7,131.6,125.7,129.7,2023-01-19,15499
130.5,131.0,126.8,129.55,2023-01-20,8779
129.55,131.2,126.55,130.0,2023-01-23,27551
130.7,136.5,129.05,134.0,2023-01-24,49715
133.7,134.65,131.05,133.5,2023-01-25,26433
133.1,133.1,126.85,127.55,2023-01-27,61802
122.0,126.5,122.0,125.2,2023-01-30,27095
127.0,131.2,125.0,130.55,2023-01-31,35648
131.0,133.05,124.05,124.05,2023-02-01,16490
122.0,122.95,117.85,117.95,2023-02-02,65639
116.9,117.85,112.05,113.6,2023-02-03,60235
119.2,119.2,111.4,115.05,2023-02-06,16711
116.3,118.9,113.25,114.45,2023-02-07,9529
115.15,117.1,111.1,113.05,2023-02-08,14963
117.0,124.35,113.7,121.2,2023-02-09,162019
126.0,130.0,123.05,127.65,2023-02-10,38726
128.5,130.0,124.0,126.15,2023-02-13,23543
126.0,126.35,115.0,117.4,2023-02-14,9626
117.85,126.0,117.25,123.3,2023-02-15,16524
124.0,125.0,121.0,122.85,2023-02-16,6958
121.95,123.25,118.0,118.25,2023-02-17,3375
118.95,121.5,115.55,117.8,2023-02-20,11775
118.4,126.9,116.05,124.7,2023-02-21,15716
123.95,134.0,118.0,119.1,2023-02-22,52809
119.1,120.75,112.2,114.15,2023-02-23,14375
114.05,116.05,110.0,111.8,2023-02-24,18149
111.8,112.0,109.8,110.15,2023-02-27,1492
110.15,112.35,108.15,108.8,2023-02-28,8476
107.85,110.0,107.15,109.55,2023-03-01,11210
109.55,114.5,108.35,112.85,2023-03-02,8992
113.25,119.95,113.25,117.95,2023-03-03,7451
117.5,119.3,113.25,117.8,2023-03-06,14755
116.45,118.2,112.5,113.2,2023-03-08,6812
116.15,119.8,113.3,114.2,2023-03-09,9861
114.05,117.0,113.25,114.6,2023-03-10,5872
115.6,115.65,109.05,109.3,2023-03-13,12292
109.05,111.45,104.1,105.3,2023-03-14,8495
107.1,110.3,106.8,109.1,2023-03-15,7601
108.0,108.0,102.25,105.3,2023-03-16,33644
106.35,107.3,94.8,102.55,2023-03-17,48289
100.35,103.25,98.05,99.2,2023-03-20,37335
99.2,101.65,96.9,100.7,2023-03-21,59850
100.7,105.0,97.0,103.5,2023-03-22,40719
100.15,103.4,93.15,94.15,2023-03-23,100371
94.0,94.45,90.15,91.5,2023-03-24,15356
90.0,93.4,86.0,87.1,2023-03-27,46249
88.2,93.0,87.5,91.85,2023-03-28,25576
92.95,101.0,91.05,99.45,2023-03-29,46374
104.0,109.35,99.05,107.3,2023-03-31,42778
110.85,110.85,105.45,107.0,2023-04-03,28278
107.0,114.5,107.0,112.1,2023-04-05,18854
112.1,113.45,106.5,106.5,2023-04-06,32383
106.2,107.95,105.05,105.5,2023-04-10,24699
105.5,107.05,102.7,105.2,2023-04-11,14743
105.2,108.35,105.2,106.95,2023-04-12,2566
107.7,112.25,106.15,108.85,2023-04-13,27610
110.5,110.5,106.75,108.7,2023-04-17,7078
108.0,114.1,108.0,113.95,2023-04-18,52950
117.4,119.6,115.25,119.6,2023-04-19,37171
123.0,123.55,116.1,117.25,2023-04-20,12809
117.5,118.65,115.55,117.7,2023-04-21,10026
117.6,121.55,116.15,117.45,2023-04-24,22828
122.2,122.2,112.9,114.85,2023-04-25,16752
115.4,118.15,114.0,115.3,2023-04-26,18349
114.35,116.2,109.55,110.6,2023-04-27,27472
110.0,113.8,108.95,111.7,2023-04-28,5006
114.3,114.9,108.0,111.15,2023-05-02,22280
112.15,113.95,110.7,112.7,2023-05-03,24258
114.05,115.9,111.15,114.7,2023-05-04,32502
113.95,116.0,112.5,114.85,2023-05-05,12593
116.45,120.55,111.2,113.35,2023-05-08,43625
114.65,116.25,112.0,114.65,2023-05-09,21688
113.05,117.0,113.0,115.55,2023-05-10,6384
114.0,117.3,113.55,116.55,2023-05-11,8942
115.05,118.0,115.0,117.8,2023-05-12,16603
121.0,121.05,116.15,118.05,2023-05-15,45202
118.0,118.65,116.0,117.7,2023-05-16,5805
117.7,119.2,114.45,118.0,2023-05-17,29035
117.9,118.85,113.3,115.15,2023-05-18,20167
115.15,116.95,112.0,113.6,2023-05-19,14145
113.0,117.1,111.0,113.4,2023-05-22,18829
114.55,119.05,110.2,112.5,2023-05-23,33775
110.65,118.1,110.65,114.15,2023-05-24,50656
114.15,117.0,113.5,114.3,2023-05-25,44317
117.25,117.5,112.6,114.15,2023-05-26,28565
116.2,117.5,110.5,112.3,2023-05-29,39583
112.05,113.9,106.7,106.8,2023-05-30,59045
106.85,111.7,105.95,109.3,2023-05-31,52826
108.1,112.0,106.15,107.2,2023-06-01,37560
106.05,107.95,105.2,106.65,2023-06-02,33224
108.0,111.95,106.8,111.95,2023-06-05,57479
117.5,117.5,113.05,117.5,2023-06-06,129125
123.35,123.35,123.35,123.35,2023-06-07,22841
129.5,129.5,125.15,129.2,2023-06-08,549320
135.65,135.65,130.65,135.65,2023-06-09,109658
138.0,142.4,131.15,142.4,2023-06-12,252648
148.5,149.5,135.35,139.15,2023-06-13,180794
135.95,138.05,133.25,136.4,2023-06-14,43852
136.75,137.5,130.25,131.35,2023-06-15,19722
134.0,137.9,134.0,137.2,2023-06-16,97722
137.6,137.6,130.6,131.4,2023-06-19,19654
131.0,133.7,126.25,128.0,2023-06-20,28199
128.25,134.4,127.8,133.15,2023-06-21,37790
134.1,134.9,131.15,132.4,2023-06-22,14559
132.5,132.5,128.3,130.5,2023-06-23,7282
130.5,137.0,130.0,135.1,2023-06-26,58590
137.85,139.45,132.3,134.7,2023-06-27,16378
134.0,137.45,130.25,132.6,2023-06-28,17304
131.3,134.45,129.5,129.65,2023-06-30,16819
147.1,158.6,144.8,148.6,2023-11-07,42814
143.05,151.0,143.05,146.3,2023-11-08,12541
149.95,150.0,139.0,140.55,2023-11-09,14756
141.75,142.95,135.3,138.45,2023-11-10,10445
142.0,143.9,138.5,140.05,2023-11-12,3442
139.95,141.45,138.55,139.7,2023-11-13,3471
143.0,146.65,140.0,146.65,2023-11-15,9946
153.5,153.95,149.35,153.95,2023-11-16,11861
157.8,161.6,154.05,161.6,2023-11-17,75385
169.65,169.65,169.65,169.65,2023-11-20,4032
178.1,178.1,171.0,172.95,2023-11-21,120231
168.0,169.9,164.3,164.7,2023-11-22,18247
164.05,166.65,162.2,163.05,2023-11-23,3339
161.05,171.2,161.05,169.45,2023-11-24,24268
171.45,171.45,165.0,166.25,2023-11-28,7790
168.8,169.95,165.05,168.65,2023-11-29,7832
166.3,168.75,161.45,162.45,2023-11-30,11157
165.0,165.0,159.75,161.75,2023-12-01,8473
164.95,164.95,158.6,161.95,2023-12-04,25699
161.65,169.95,160.0,168.45,2023-12-05,40686
171.9,173.45,163.05,164.45,2023-12-06,45813
