open,high,low,close,date,volume
585.0,585.0,571.0,577.15,2022-09-29,317406
582.45,584.9,576.45,582.9,2022-09-30,91067
582.85,582.85,562.25,567.25,2022-10-03,383060
550.0,603.95,550.0,593.9,2022-10-04,366408
593.9,608.7,590.75,596.65,2022-10-06,285475
596.4,605.0,593.2,601.4,2022-10-07,104089
593.0,595.05,571.75,575.55,2022-10-10,104165
579.9,579.9,553.3,556.35,2022-10-11,160516
560.8,564.95,553.7,562.7,2022-10-12,142640
565.7,566.95,556.65,560.2,2022-10-13,43595
562.0,569.2,558.1,561.05,2022-10-14,316574
561.1,564.4,533.1,548.95,2022-10-17,1216159
555.0,570.0,547.55,555.6,2022-10-18,1462034
560.0,565.0,555.75,559.25,2022-10-19,92133
555.0,555.85,463.85,471.15,2022-10-20,2160757
474.95,478.7,376.95,385.75,2022-10-21,16084743
388.95,406.95,386.0,399.2,2022-10-24,944062
402.0,402.0,378.0,383.4,2022-10-25,3647705
382.9,390.4,366.0,370.3,2022-10-27,1657868
375.0,375.0,350.0,355.45,2022-10-28,2229869
355.0,357.0,341.3,344.2,2022-10-31,1783658
345.0,378.6,344.2,378.6,2022-11-01,2387886
384.85,387.35,367.55,379.45,2022-11-02,1130018
379.05,390.35,378.0,385.2,2022-11-03,589280
386.0,401.2,384.05,397.0,2022-11-04,670382
400.0,403.4,387.4,395.05,2022-11-07,639511
403.0,403.05,385.0,393.35,2022-11-09,292529
390.9,390.9,370.3,375.4,2022-11-10,504330
383.0,385.2,377.0,379.2,2022-11-11,1099903
390.0,390.0,369.1,370.35,2022-11-14,788487
374.9,379.4,369.15,374.55,2022-11-15,518959
376.0,380.0,372.1,374.55,2022-11-16,688519
372.55,378.0,366.05,367.3,2022-11-17,479297
365.0,366.9,346.2,350.7,2022-11-18,867668
372.0,372.0,329.9,344.55,2022-11-21,19972322
344.0,346.45,331.4,334.9,2022-11-22,3089093
340.0,340.0,317.0,326.2,2022-11-23,6081103
333.0,335.95,326.3,329.95,2022-11-24,1680742
331.0,336.0,330.0,331.7,2022-11-25,3881472
331.5,331.5,319.8,321.05,2022-11-28,2583143
