open,high,low,close,date,volume
192.7,194.5,191.0,192.0,2022-09-29,1682134
192.75,195.0,188.3,194.7,2022-09-30,1721119
194.5,201.55,191.15,192.45,2022-10-03,2936730
195.0,198.25,193.5,194.6,2022-10-04,1648260
195.05,201.9,193.5,194.15,2022-10-06,7157866
194.9,198.0,194.2,197.55,2022-10-07,1747600
194.8,198.3,192.7,193.8,2022-10-10,2014108
194.7,197.55,193.15,194.3,2022-10-11,2618414
195.4,196.4,190.25,193.55,2022-10-12,1549877
194.5,194.7,188.5,189.35,2022-10-13,1432246
193.0,193.35,186.05,186.9,2022-10-14,1613451
186.0,190.4,184.35,189.65,2022-10-17,1461977
191.4,192.35,183.5,187.85,2022-10-18,1031359
188.8,195.0,187.55,194.45,2022-10-19,2200351
192.45,194.4,191.3,193.65,2022-10-20,1240925
193.9,195.9,190.5,191.8,2022-10-21,879092
193.8,196.2,192.2,194.2,2022-10-24,555518
194.0,200.75,193.2,194.5,2022-10-25,3046051
195.05,197.65,192.6,194.7,2022-10-27,1088967
194.1,195.0,192.0,192.45,2022-10-28,854465
193.0,195.0,191.4,193.55,2022-10-31,1530585
194.7,198.0,193.85,194.35,2022-11-01,1369209
195.3,200.9,186.05,187.3,2022-11-02,6282436
186.0,191.7,182.55,183.45,2022-11-03,6323284
183.85,190.45,183.6,187.75,2022-11-04,6205866
189.2,190.6,184.75,185.9,2022-11-07,2654309
187.9,187.9,183.3,184.4,2022-11-09,3718334
183.0,183.8,173.1,174.1,2022-11-10,4949379
176.05,182.4,175.55,181.45,2022-11-11,3666454
181.7,182.05,173.1,175.55,2022-11-14,4638084
176.0,182.5,175.6,182.1,2022-11-15,2733801
182.0,185.8,180.15,183.5,2022-11-16,2695515
182.6,184.55,181.05,183.6,2022-11-17,1471912
183.55,184.55,178.2,181.9,2022-11-18,2037815
181.0,185.95,180.5,184.75,2022-11-21,2487359
184.5,186.8,182.25,185.2,2022-11-22,1722974
185.8,189.5,184.8,188.9,2022-11-23,1983035
189.75,191.0,187.65,190.1,2022-11-24,2134394
190.5,191.05,189.35,189.95,2022-11-25,915178
190.05,190.1,185.25,186.5,2022-11-28,1289397
186.7,187.9,184.65,186.0,2022-11-29,1352735
185.6,189.65,185.4,188.45,2022-11-30,2348043
189.2,189.85,187.7,188.45,2022-12-01,826456
188.8,190.35,187.5,188.0,2022-12-02,1117942
